category,file,rows,columns,bytes,sha256,runtime_source
attack,attack_audioseal_K2.csv,600,model;K;spk;local_t;gi;method;ASR;R3_escape;R5_escape;ACC_near;ACC_near_norm;AggResid;PESQ;STOI;SI_SDR,49604,d1a7730c063b5f7079583aa2f987217251b885b1e79f39a94ce9e2bab8920da9,results/evaluation/attack_audioseal_K2.csv
attack,attack_audioseal_K3.csv,600,model;K;spk;local_t;gi;method;ASR;R3_escape;R5_escape;ACC_near;ACC_near_norm;AggResid;PESQ;STOI;SI_SDR,49605,f2dbf264dca1111fd417c48fafa3a855acd12bcb0d2da24c4a86cad58badbfe1,results/evaluation/attack_audioseal_K3.csv
attack,attack_audioseal_K5.csv,600,model;K;spk;local_t;gi;method;ASR;R3_escape;R5_escape;ACC_near;ACC_near_norm;AggResid;PESQ;STOI;SI_SDR,49605,749412e0c05ceb909a049eeb86f242dcb8d9173b60b34001c6094496e1e2aed8,results/evaluation/attack_audioseal_K5.csv
attack,attack_audioseal_K8.csv,600,model;K;spk;local_t;gi;method;ASR;R3_escape;R5_escape;ACC_near;ACC_near_norm;AggResid;PESQ;STOI;SI_SDR,49604,8a2a35d3079c1a0e90d61e5cbf7b4015ae04f367b8a1819025d438229fc21053,results/evaluation/attack_audioseal_K8.csv
ecc,attack_ecc_audioseal_K2.csv,600,model;K;scheme;code_bits;info_bits;codebook_size;spk;local_t;gi;method;ASR;R3_escape;R5_escape;ACC_near;ACC_near_norm;PESQ;STOI;SI_SDR,53412,e29655122a0b8d8c351152dc4a35fd65d79ad869150106317b9876ed589d077d,results/evaluation/attack_ecc_audioseal_K2.csv
ecc,attack_ecc_audioseal_K3.csv,600,model;K;scheme;code_bits;info_bits;codebook_size;spk;local_t;gi;method;ASR;R3_escape;R5_escape;ACC_near;ACC_near_norm;PESQ;STOI;SI_SDR,53386,cf617c7ea1a9777db7abe1a9bc879682da6332bad518ceae9c32d85de83a397f,results/evaluation/attack_ecc_audioseal_K3.csv
ecc,attack_ecc_audioseal_K5.csv,600,model;K;scheme;code_bits;info_bits;codebook_size;spk;local_t;gi;method;ASR;R3_escape;R5_escape;ACC_near;ACC_near_norm;PESQ;STOI;SI_SDR,53335,847877b1205a2671d2d1e61e16473b46b109cc287f22c33385e6e1e3e09f9800,results/evaluation/attack_ecc_audioseal_K5.csv
ecc,attack_ecc_audioseal_K8.csv,600,model;K;scheme;code_bits;info_bits;codebook_size;spk;local_t;gi;method;ASR;R3_escape;R5_escape;ACC_near;ACC_near_norm;PESQ;STOI;SI_SDR,53339,93f33b2c2f354eba2f6e8292718276c4f598fcd79092e0dc62663937a11539cc,results/evaluation/attack_ecc_audioseal_K8.csv
ecc,attack_ecc_timbrewm_K2.csv,600,model;K;scheme;code_bits;info_bits;codebook_size;spk;local_t;gi;method;ASR;R3_escape;R5_escape;ACC_near;ACC_near_norm;PESQ;STOI;SI_SDR,50838,75d279d57c22f66069bb79dbdeb852fe88e1429a692becd1391a5433bfd21c50,results/evaluation/attack_ecc_timbrewm_K2.csv
ecc,attack_ecc_timbrewm_K3.csv,600,model;K;scheme;code_bits;info_bits;codebook_size;spk;local_t;gi;method;ASR;R3_escape;R5_escape;ACC_near;ACC_near_norm;PESQ;STOI;SI_SDR,50838,cc3c806ea0194eb39e613eddecaaccc90fd9dc5ef173beec4d5c8f2538cdc83b,results/evaluation/attack_ecc_timbrewm_K3.csv
