model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
audioseal,5,121,0,0,mean,1,1,1,12,0.7500,0.120000,4.5994,0.9998,33.80
audioseal,5,121,0,0,blind_gram_cb,1,1,1,12,0.7500,0.121905,4.5898,0.9997,33.12
audioseal,5,121,0,0,extreme_pair,1,1,1,14,0.8750,0.312500,4.6110,0.9998,34.37
audioseal,5,121,1,1,mean,1,1,1,11,0.6875,0.120000,4.5857,0.9997,33.71
audioseal,5,121,1,1,blind_gram_cb,1,1,1,12,0.7500,0.127239,4.5880,0.9998,34.06
audioseal,5,121,1,1,extreme_pair,1,1,1,12,0.7500,0.375000,4.5981,0.9998,33.34
audioseal,5,121,2,2,mean,1,1,1,14,0.8750,0.160000,4.6115,0.9998,34.99
audioseal,5,121,2,2,blind_gram_cb,1,1,1,14,0.8750,0.171871,4.6137,0.9998,35.21
audioseal,5,121,2,2,extreme_pair,1,1,1,12,0.7500,0.187500,4.5866,0.9998,33.99
audioseal,5,121,3,3,mean,1,1,1,13,0.8125,0.320000,4.6070,0.9997,34.35
audioseal,5,121,3,3,blind_gram_cb,1,1,1,12,0.7500,0.327052,4.6034,0.9997,33.88
audioseal,5,121,3,3,extreme_pair,1,1,1,13,0.8125,0.500000,4.5815,0.9994,31.43
audioseal,5,237,0,4,mean,1,1,1,12,0.7500,0.280000,4.6119,1.0000,40.89
audioseal,5,237,0,4,blind_gram_cb,1,1,1,12,0.7500,0.271091,4.6102,1.0000,40.75
audioseal,5,237,0,4,extreme_pair,1,1,1,14,0.8750,0.562500,4.5859,0.9999,38.31
audioseal,5,237,1,5,mean,1,1,1,14,0.8750,0.120000,4.6218,0.9999,41.15
audioseal,5,237,1,5,blind_gram_cb,1,1,1,14,0.8750,0.142351,4.6246,0.9999,41.26
audioseal,5,237,1,5,extreme_pair,1,1,1,11,0.6875,0.250000,4.6038,0.9998,37.85
audioseal,5,237,2,6,mean,1,1,1,12,0.7500,0.200000,4.6071,0.9999,39.69
audioseal,5,237,2,6,blind_gram_cb,1,1,1,12,0.7500,0.205568,4.6073,0.9999,39.91
audioseal,5,237,2,6,extreme_pair,1,1,1,14,0.8750,0.437500,4.5938,0.9999,36.85
audioseal,5,237,3,7,mean,1,1,1,13,0.8125,0.160000,4.6169,0.9999,39.26
audioseal,5,237,3,7,blind_gram_cb,1,1,1,13,0.8125,0.165637,4.6152,0.9999,39.17
audioseal,5,237,3,7,extreme_pair,1,1,1,12,0.7500,0.375000,4.6231,0.9999,40.37
audioseal,5,260,0,8,mean,1,1,1,12,0.7500,0.160000,4.6056,0.9994,37.42
audioseal,5,260,0,8,blind_gram_cb,1,1,1,12,0.7500,0.166894,4.6025,0.9993,37.35
audioseal,5,260,0,8,extreme_pair,1,1,1,11,0.6875,0.250000,4.6059,0.9994,37.33
audioseal,5,260,1,9,mean,1,1,1,13,0.8125,0.140000,4.6064,0.9993,37.10
audioseal,5,260,1,9,blind_gram_cb,1,1,1,12,0.7500,0.153173,4.6097,0.9994,37.48
audioseal,5,260,1,9,extreme_pair,1,1,1,12,0.7500,0.375000,4.6041,0.9993,35.84
audioseal,5,260,2,10,mean,1,1,1,13,0.8125,0.200000,4.5957,0.9993,37.07
audioseal,5,260,2,10,blind_gram_cb,1,1,1,13,0.8125,0.196793,4.5973,0.9993,37.20
audioseal,5,260,2,10,extreme_pair,1,1,1,11,0.6875,0.375000,4.5673,0.9988,35.08
audioseal,5,260,3,11,mean,1,1,1,13,0.8125,0.240000,4.6105,0.9995,37.63
audioseal,5,260,3,11,blind_gram_cb,1,1,1,12,0.7500,0.234619,4.6107,0.9995,37.85
audioseal,5,260,3,11,extreme_pair,1,1,1,11,0.6875,0.375000,4.5929,0.9991,35.15
audioseal,5,672,0,12,mean,1,1,1,11,0.6875,0.140000,4.5836,0.9985,31.51
audioseal,5,672,0,12,blind_gram_cb,1,1,1,12,0.7500,0.145064,4.5827,0.9984,31.42
audioseal,5,672,0,12,extreme_pair,1,1,1,14,0.8750,0.500000,4.5876,0.9991,32.86
audioseal,5,672,1,13,mean,1,1,1,13,0.8125,0.280000,4.5819,0.9984,35.15
audioseal,5,672,1,13,blind_gram_cb,1,1,1,12,0.7500,0.281510,4.5817,0.9984,35.18
audioseal,5,672,1,13,extreme_pair,1,1,1,13,0.8125,0.375000,4.5952,0.9991,35.91
audioseal,5,672,2,14,mean,1,1,1,12,0.7500,0.160000,4.5809,0.9987,31.34
audioseal,5,672,2,14,blind_gram_cb,1,1,1,12,0.7500,0.175961,4.5762,0.9986,31.01
audioseal,5,672,2,14,extreme_pair,1,1,1,13,0.8125,0.562500,4.6048,0.9992,33.13
audioseal,5,672,3,15,mean,1,1,1,13,0.8125,0.220000,4.5886,0.9990,35.00
audioseal,5,672,3,15,blind_gram_cb,1,1,1,14,0.8750,0.265074,4.5926,0.9992,36.22
audioseal,5,672,3,15,extreme_pair,1,1,1,11,0.6875,0.312500,4.5977,0.9988,34.41
audioseal,5,908,0,16,mean,1,1,1,15,0.9375,0.160000,4.5911,0.9987,34.87
audioseal,5,908,0,16,blind_gram_cb,1,1,1,15,0.9375,0.147652,4.5910,0.9987,34.94
audioseal,5,908,0,16,extreme_pair,1,1,1,12,0.7500,0.375000,4.6051,0.9991,36.66
audioseal,5,908,1,17,mean,1,1,1,13,0.8125,0.180000,4.6037,0.9990,36.26
audioseal,5,908,1,17,blind_gram_cb,1,1,1,13,0.8125,0.168840,4.6009,0.9990,35.93
audioseal,5,908,1,17,extreme_pair,1,1,1,12,0.7500,0.375000,4.5575,0.9980,32.74
audioseal,5,908,2,18,mean,1,1,1,12,0.7500,0.200000,4.6060,0.9990,35.88
audioseal,5,908,2,18,blind_gram_cb,1,1,1,12,0.7500,0.215023,4.6058,0.9990,35.95
audioseal,5,908,2,18,extreme_pair,1,1,1,13,0.8125,0.375000,4.6046,0.9992,36.62
audioseal,5,908,3,19,mean,1,1,0,15,0.9375,0.260000,4.5896,0.9991,36.00
audioseal,5,908,3,19,blind_gram_cb,1,1,1,14,0.8750,0.235591,4.5880,0.9991,35.92
audioseal,5,908,3,19,extreme_pair,1,1,1,12,0.7500,0.250000,4.5858,0.9991,35.89
audioseal,5,1089,0,20,mean,1,1,1,14,0.8750,0.160000,4.5966,0.9992,35.09
audioseal,5,1089,0,20,blind_gram_cb,1,1,1,14,0.8750,0.160982,4.5973,0.9992,35.22
audioseal,5,1089,0,20,extreme_pair,1,1,1,13,0.8125,0.500000,4.5732,0.9985,31.61
audioseal,5,1089,1,21,mean,1,1,1,14,0.8750,0.180000,4.6034,0.9995,36.27
audioseal,5,1089,1,21,blind_gram_cb,1,1,1,13,0.8125,0.163757,4.5983,0.9994,35.44
audioseal,5,1089,1,21,extreme_pair,1,1,1,13,0.8125,0.375000,4.6038,0.9994,34.08
audioseal,5,1089,2,22,mean,1,1,1,12,0.7500,0.080000,4.5842,0.9992,34.22
audioseal,5,1089,2,22,blind_gram_cb,1,1,1,12,0.7500,0.077548,4.5885,0.9993,34.60
audioseal,5,1089,2,22,extreme_pair,1,1,1,11,0.6875,0.312500,4.5684,0.9988,32.44
audioseal,5,1089,3,23,mean,1,1,1,14,0.8750,0.140000,4.5928,0.9992,32.98
audioseal,5,1089,3,23,blind_gram_cb,1,1,1,14,0.8750,0.151781,4.5946,0.9993,33.12
audioseal,5,1089,3,23,extreme_pair,1,1,1,11,0.6875,0.125000,4.6002,0.9994,34.71
audioseal,5,1188,0,24,mean,1,1,1,12,0.7500,0.240000,4.5973,0.9977,33.29
audioseal,5,1188,0,24,blind_gram_cb,1,1,1,12,0.7500,0.234339,4.5928,0.9974,32.90
audioseal,5,1188,0,24,extreme_pair,1,1,1,11,0.6875,0.312500,4.5836,0.9970,32.58
audioseal,5,1188,1,25,mean,1,1,1,14,0.8750,0.200000,4.5812,0.9977,29.84
audioseal,5,1188,1,25,blind_gram_cb,1,1,1,14,0.8750,0.176485,4.5807,0.9977,29.40
audioseal,5,1188,1,25,extreme_pair,1,1,1,12,0.7500,0.500000,4.6010,0.9984,31.36
audioseal,5,1188,2,26,mean,1,1,1,13,0.8125,0.220000,4.6114,0.9981,33.63
audioseal,5,1188,2,26,blind_gram_cb,1,1,1,13,0.8125,0.232058,4.6135,0.9982,33.90
audioseal,5,1188,2,26,extreme_pair,1,1,0,15,0.9375,0.437500,4.5942,0.9971,30.92
audioseal,5,1188,3,27,mean,1,1,1,13,0.8125,0.200000,4.5921,0.9974,32.06
audioseal,5,1188,3,27,blind_gram_cb,1,1,1,13,0.8125,0.202808,4.5987,0.9978,32.54
audioseal,5,1188,3,27,extreme_pair,1,1,1,12,0.7500,0.500000,4.5620,0.9954,30.60
audioseal,5,1221,0,28,mean,1,1,1,14,0.8750,0.220000,4.6091,0.9994,36.02
audioseal,5,1221,0,28,blind_gram_cb,1,1,1,12,0.7500,0.190654,4.6041,0.9992,35.32
audioseal,5,1221,0,28,extreme_pair,1,1,1,10,0.6250,0.312500,4.5880,0.9986,33.27
audioseal,5,1221,1,29,mean,1,1,1,13,0.8125,0.100000,4.5990,0.9991,33.25
audioseal,5,1221,1,29,blind_gram_cb,1,1,1,12,0.7500,0.097941,4.6046,0.9992,33.57
audioseal,5,1221,1,29,extreme_pair,1,1,1,12,0.7500,0.250000,4.5663,0.9983,31.18
audioseal,5,1221,2,30,mean,1,1,1,11,0.6875,0.120000,4.5875,0.9989,33.04
audioseal,5,1221,2,30,blind_gram_cb,1,1,1,13,0.8125,0.122902,4.5882,0.9990,33.16
audioseal,5,1221,2,30,extreme_pair,1,1,1,11,0.6875,0.375000,4.5591,0.9981,30.87
audioseal,5,1221,3,31,mean,1,1,1,12,0.7500,0.140000,4.5891,0.9992,33.02
audioseal,5,1221,3,31,blind_gram_cb,1,1,1,12,0.7500,0.146171,4.5889,0.9992,32.89
audioseal,5,1221,3,31,extreme_pair,1,1,1,12,0.7500,0.375000,4.5750,0.9988,30.55
audioseal,5,1284,0,32,mean,1,1,1,13,0.8125,0.260000,4.5963,0.9996,34.76
audioseal,5,1284,0,32,blind_gram_cb,1,1,1,13,0.8125,0.273946,4.5983,0.9996,34.90
audioseal,5,1284,0,32,extreme_pair,1,1,1,11,0.6875,0.312500,4.5968,0.9997,35.97
audioseal,5,1284,1,33,mean,1,1,1,13,0.8125,0.200000,4.6159,0.9998,38.20
audioseal,5,1284,1,33,blind_gram_cb,1,1,1,13,0.8125,0.213510,4.6153,0.9998,38.56
audioseal,5,1284,1,33,extreme_pair,1,1,1,12,0.7500,0.312500,4.5933,0.9995,34.72
audioseal,5,1284,2,34,mean,1,1,1,13,0.8125,0.280000,4.6003,0.9997,38.08
audioseal,5,1284,2,34,blind_gram_cb,1,1,1,12,0.7500,0.267650,4.6039,0.9998,38.69
audioseal,5,1284,2,34,extreme_pair,1,1,1,14,0.8750,0.562500,4.5709,0.9994,34.27
audioseal,5,1284,3,35,mean,1,1,1,12,0.7500,0.120000,4.5974,0.9995,36.60
audioseal,5,1284,3,35,blind_gram_cb,1,1,1,12,0.7500,0.121507,4.5941,0.9995,36.62
audioseal,5,1284,3,35,extreme_pair,1,1,1,13,0.8125,0.375000,4.5705,0.9991,34.03
audioseal,5,1320,0,36,mean,1,1,1,13,0.8125,0.180000,4.6083,0.9997,38.91
audioseal,5,1320,0,36,blind_gram_cb,1,1,1,13,0.8125,0.168592,4.6083,0.9997,38.63
audioseal,5,1320,0,36,extreme_pair,1,1,1,11,0.6875,0.312500,4.5953,0.9994,35.76
audioseal,5,1320,1,37,mean,1,1,1,13,0.8125,0.280000,4.5986,0.9998,38.59
audioseal,5,1320,1,37,blind_gram_cb,1,1,1,13,0.8125,0.276161,4.5949,0.9997,38.12
audioseal,5,1320,1,37,extreme_pair,1,1,1,13,0.8125,0.437500,4.5802,0.9996,35.85
audioseal,5,1320,2,38,mean,1,1,1,12,0.7500,0.160000,4.6128,0.9998,38.66
audioseal,5,1320,2,38,blind_gram_cb,1,1,1,13,0.8125,0.169431,4.6142,0.9998,38.85
audioseal,5,1320,2,38,extreme_pair,1,1,1,13,0.8125,0.375000,4.6017,0.9997,37.90
audioseal,5,1320,3,39,mean,1,1,1,13,0.8125,0.180000,4.6196,0.9998,39.43
audioseal,5,1320,3,39,blind_gram_cb,1,1,1,12,0.7500,0.170114,4.6186,0.9998,39.24
audioseal,5,1320,3,39,extreme_pair,1,1,1,11,0.6875,0.312500,4.6170,0.9998,39.41
audioseal,5,1580,0,40,mean,1,1,1,13,0.8125,0.300000,4.5708,0.9986,26.36
audioseal,5,1580,0,40,blind_gram_cb,1,1,1,13,0.8125,0.321713,4.5610,0.9985,25.51
audioseal,5,1580,0,40,extreme_pair,1,1,1,12,0.7500,0.437500,4.5868,0.9990,28.18
audioseal,5,1580,1,41,mean,1,0,0,15,0.9375,0.260000,4.5456,0.9988,31.17
audioseal,5,1580,1,41,blind_gram_cb,1,1,1,13,0.8125,0.237777,4.5474,0.9988,31.09
audioseal,5,1580,1,41,extreme_pair,1,1,1,11,0.6875,0.250000,4.5376,0.9989,30.32
audioseal,5,1580,2,42,mean,1,1,1,13,0.8125,0.240000,4.6067,0.9988,28.09
