model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
timbrewm,5,121,0,0,mean,1,1,1,8,0.8000,0.136000,4.5906,0.9992,28.56
timbrewm,5,121,0,0,blind_gram_cb,1,1,1,8,0.8000,0.118437,4.5808,0.9992,28.21
timbrewm,5,121,0,0,extreme_pair,1,1,1,7,0.7000,0.200000,4.4958,0.9993,28.32
timbrewm,5,121,1,1,mean,0,0,0,10,1.0000,0.200000,4.5940,0.9989,29.30
timbrewm,5,121,1,1,blind_gram_cb,0,0,0,10,1.0000,0.162551,4.5915,0.9989,29.07
timbrewm,5,121,1,1,extreme_pair,1,1,1,7,0.7000,0.200000,4.4633,0.9978,25.25
timbrewm,5,121,2,2,mean,1,1,1,9,0.9000,0.200000,4.6074,0.9992,30.38
timbrewm,5,121,2,2,blind_gram_cb,1,1,1,8,0.8000,0.177044,4.6064,0.9992,30.13
timbrewm,5,121,2,2,extreme_pair,1,1,1,8,0.8000,0.100000,4.5497,0.9986,27.76
timbrewm,5,121,3,3,mean,1,1,1,8,0.8000,0.232000,4.5566,0.9988,27.57
timbrewm,5,121,3,3,blind_gram_cb,1,1,1,8,0.8000,0.218348,4.5582,0.9989,27.64
timbrewm,5,121,3,3,extreme_pair,1,1,1,8,0.8000,0.300000,4.5109,0.9991,28.39
timbrewm,5,237,0,4,mean,1,1,1,8,0.8000,0.328000,4.5893,0.9993,36.78
timbrewm,5,237,0,4,blind_gram_cb,1,1,1,8,0.8000,0.324078,4.5885,0.9993,36.80
timbrewm,5,237,0,4,extreme_pair,1,1,1,7,0.7000,0.400000,4.4919,0.9987,34.25
timbrewm,5,237,1,5,mean,1,0,0,9,0.9000,0.168000,4.5680,0.9994,35.90
timbrewm,5,237,1,5,blind_gram_cb,1,1,0,8,0.8000,0.157526,4.5654,0.9994,35.83
timbrewm,5,237,1,5,extreme_pair,1,1,1,8,0.8000,0.300000,4.5196,0.9994,36.13
timbrewm,5,237,2,6,mean,1,1,1,8,0.8000,0.104000,4.5599,0.9994,35.33
timbrewm,5,237,2,6,blind_gram_cb,1,1,1,8,0.8000,0.091709,4.5623,0.9994,35.35
timbrewm,5,237,2,6,extreme_pair,1,1,1,6,0.6000,0.200000,4.5914,0.9995,36.18
timbrewm,5,237,3,7,mean,1,0,0,9,0.9000,0.168000,4.5497,0.9992,34.49
timbrewm,5,237,3,7,blind_gram_cb,1,0,0,9,0.9000,0.158721,4.5527,0.9992,34.57
timbrewm,5,237,3,7,extreme_pair,1,1,1,8,0.8000,0.300000,4.5634,0.9994,36.29
timbrewm,5,260,0,8,mean,1,1,1,8,0.8000,0.104000,4.5825,0.9987,32.25
timbrewm,5,260,0,8,blind_gram_cb,1,1,1,7,0.7000,0.100156,4.5849,0.9987,32.36
timbrewm,5,260,0,8,extreme_pair,1,1,1,8,0.8000,0.200000,4.5233,0.9978,30.32
timbrewm,5,260,1,9,mean,1,1,1,8,0.8000,0.136000,4.5903,0.9988,32.69
timbrewm,5,260,1,9,blind_gram_cb,1,1,1,8,0.8000,0.128969,4.5905,0.9988,32.63
