model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
wavmark,8,121,0,0,mean,1,1,1,14,0.8750,0.093750,4.5037,1.0000,40.26
wavmark,8,121,0,0,blind_gram_cb,1,1,1,14,0.8750,0.091474,4.5045,1.0000,40.29
wavmark,8,121,0,0,extreme_pair,1,1,1,11,0.6875,0.250000,4.5247,1.0000,41.85
wavmark,8,121,1,1,mean,1,1,1,13,0.8125,0.160156,4.4514,1.0000,40.60
wavmark,8,121,1,1,blind_gram_cb,1,1,1,13,0.8125,0.156020,4.4501,1.0000,40.53
wavmark,8,121,1,1,extreme_pair,1,1,1,11,0.6875,0.250000,4.4380,1.0000,39.88
wavmark,8,121,2,2,mean,1,1,1,12,0.7500,0.125000,4.4186,1.0000,40.91
wavmark,8,121,2,2,blind_gram_cb,1,1,1,12,0.7500,0.122595,4.4187,1.0000,40.91
wavmark,8,121,2,2,extreme_pair,1,1,1,13,0.8125,0.312500,4.4184,1.0000,39.71
wavmark,8,121,3,3,mean,1,1,1,13,0.8125,0.121094,4.4680,1.0000,40.76
wavmark,8,121,3,3,blind_gram_cb,1,1,1,13,0.8125,0.119540,4.4702,1.0000,40.82
wavmark,8,121,3,3,extreme_pair,1,1,1,12,0.7500,0.250000,4.4858,1.0000,39.39
wavmark,8,237,0,4,mean,1,1,1,12,0.7500,0.113281,4.5921,0.9999,42.82
wavmark,8,237,0,4,blind_gram_cb,1,1,1,12,0.7500,0.113100,4.5924,0.9999,42.85
wavmark,8,237,0,4,extreme_pair,1,1,1,11,0.6875,0.250000,4.6135,0.9999,44.51
wavmark,8,237,1,5,mean,1,1,1,12,0.7500,0.117188,4.6120,0.9999,43.96
wavmark,8,237,1,5,blind_gram_cb,1,1,1,12,0.7500,0.115733,4.6122,0.9999,43.97
wavmark,8,237,1,5,extreme_pair,1,1,1,12,0.7500,0.187500,4.5843,0.9999,41.92
wavmark,8,237,2,6,mean,1,1,1,13,0.8125,0.207031,4.5981,0.9999,43.84
wavmark,8,237,2,6,blind_gram_cb,1,1,1,13,0.8125,0.203123,4.5981,0.9999,43.83
wavmark,8,237,2,6,extreme_pair,1,1,1,13,0.8125,0.312500,4.5654,0.9999,41.27
wavmark,8,237,3,7,mean,1,1,1,11,0.6875,0.109375,4.5914,0.9999,43.06
wavmark,8,237,3,7,blind_gram_cb,1,1,1,11,0.6875,0.109540,4.5913,0.9999,43.06
wavmark,8,237,3,7,extreme_pair,1,1,1,10,0.6250,0.187500,4.5814,0.9999,41.69
wavmark,8,260,0,8,mean,1,1,1,13,0.8125,0.132812,4.5963,0.9997,44.37
wavmark,8,260,0,8,blind_gram_cb,1,1,1,13,0.8125,0.128204,4.5963,0.9997,44.35
wavmark,8,260,0,8,extreme_pair,1,1,1,11,0.6875,0.312500,4.5620,0.9994,41.95
wavmark,8,260,1,9,mean,1,1,1,13,0.8125,0.105469,4.5921,0.9994,42.44
wavmark,8,260,1,9,blind_gram_cb,1,1,1,13,0.8125,0.104526,4.5928,0.9994,42.49
wavmark,8,260,1,9,extreme_pair,1,1,1,12,0.7500,0.187500,4.5958,0.9994,43.73
wavmark,8,260,2,10,mean,1,1,1,13,0.8125,0.128906,4.5874,0.9989,43.15
wavmark,8,260,2,10,blind_gram_cb,1,1,1,14,0.8750,0.125303,4.5878,0.9989,43.18
wavmark,8,260,2,10,extreme_pair,1,1,1,13,0.8125,0.312500,4.5720,0.9985,41.65
wavmark,8,260,3,11,mean,1,1,1,12,0.7500,0.144531,4.5953,0.9995,43.34
wavmark,8,260,3,11,blind_gram_cb,1,1,1,12,0.7500,0.142325,4.5957,0.9995,43.40
wavmark,8,260,3,11,extreme_pair,1,1,1,12,0.7500,0.250000,4.5784,0.9994,42.00
wavmark,8,672,0,12,mean,1,1,1,11,0.6875,0.113281,4.5790,0.9958,41.52
wavmark,8,672,0,12,blind_gram_cb,1,1,1,11,0.6875,0.113135,4.5797,0.9959,41.57
wavmark,8,672,0,12,extreme_pair,1,1,1,13,0.8125,0.250000,4.5453,0.9945,39.62
wavmark,8,672,1,13,mean,1,1,1,12,0.7500,0.148438,4.5902,0.9977,41.97
wavmark,8,672,1,13,blind_gram_cb,1,1,1,12,0.7500,0.147254,4.5897,0.9976,41.95
wavmark,8,672,1,13,extreme_pair,1,1,1,14,0.8750,0.187500,4.5902,0.9978,42.57
wavmark,8,672,2,14,mean,1,1,1,14,0.8750,0.101562,4.6155,0.9987,43.67
wavmark,8,672,2,14,blind_gram_cb,1,1,1,14,0.8750,0.097757,4.6151,0.9986,43.55
wavmark,8,672,2,14,extreme_pair,1,1,1,12,0.7500,0.250000,4.5918,0.9978,41.74
wavmark,8,672,3,15,mean,1,1,1,13,0.8125,0.152344,4.6168,0.9985,43.70
wavmark,8,672,3,15,blind_gram_cb,1,1,1,13,0.8125,0.146158,4.6162,0.9985,43.61
wavmark,8,672,3,15,extreme_pair,1,1,1,12,0.7500,0.312500,4.6097,0.9982,42.47
