model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
wmcodec,5,chinese:SSB0005,0,0,mean,1,1,1,11,0.6875,0.240000,4.3676,0.9856,17.41
wmcodec,5,chinese:SSB0005,0,0,fwp,1,1,1,8,0.5000,0.500000,4.1864,0.9787,14.80
wmcodec,5,chinese:SSB0005,1,1,mean,1,1,1,10,0.6250,0.140000,4.3786,0.9847,17.30
wmcodec,5,chinese:SSB0005,1,1,fwp,1,1,1,10,0.6250,0.375000,4.1877,0.9777,14.80
wmcodec,5,chinese:SSB0005,2,2,mean,1,1,1,11,0.6875,0.200000,4.4254,0.9849,17.56
wmcodec,5,chinese:SSB0005,2,2,fwp,1,1,1,9,0.5625,0.500000,4.0777,0.9794,14.86
wmcodec,5,chinese:SSB0009,0,3,mean,1,1,1,12,0.7500,0.140000,4.2916,0.9854,14.16
wmcodec,5,chinese:SSB0009,0,3,fwp,1,1,1,15,0.9375,0.312500,4.1056,0.9804,11.11
wmcodec,5,chinese:SSB0009,1,4,mean,1,1,1,12,0.7500,0.280000,4.2742,0.9856,13.96
wmcodec,5,chinese:SSB0009,1,4,fwp,1,1,1,13,0.8125,0.375000,4.3464,0.9894,15.54
wmcodec,5,chinese:SSB0009,2,5,mean,1,1,1,11,0.6875,0.280000,4.2395,0.9852,13.25
wmcodec,5,chinese:SSB0009,2,5,fwp,1,1,1,11,0.6875,0.625000,4.3697,0.9884,14.99
wmcodec,5,chinese:SSB0011,0,6,mean,1,1,1,14,0.8750,0.180000,4.3203,0.9849,16.60
wmcodec,5,chinese:SSB0011,0,6,fwp,1,1,1,12,0.7500,0.437500,4.3599,0.9884,18.64
wmcodec,5,chinese:SSB0011,1,7,mean,1,1,1,13,0.8125,0.140000,4.1217,0.9823,16.57
wmcodec,5,chinese:SSB0011,1,7,fwp,1,1,1,10,0.6250,0.375000,4.2490,0.9876,18.19
wmcodec,5,chinese:SSB0011,2,8,mean,1,1,1,14,0.8750,0.260000,4.1664,0.9816,16.63
wmcodec,5,chinese:SSB0011,2,8,fwp,1,1,1,10,0.6250,0.625000,3.9124,0.9727,13.76
wmcodec,5,chinese:SSB0012,0,9,mean,1,1,1,11,0.6875,0.320000,4.2504,0.9832,13.97
wmcodec,5,chinese:SSB0012,0,9,fwp,1,1,1,12,0.7500,0.500000,3.9930,0.9729,10.98
wmcodec,5,chinese:SSB0012,1,10,mean,1,1,1,12,0.7500,0.220000,4.3262,0.9834,13.95
wmcodec,5,chinese:SSB0012,1,10,fwp,1,1,1,11,0.6875,0.562500,4.1568,0.9749,11.68
wmcodec,5,chinese:SSB0012,2,11,mean,1,1,1,11,0.6875,0.200000,4.3335,0.9829,12.78
wmcodec,5,chinese:SSB0012,2,11,fwp,1,1,1,9,0.5625,0.562500,4.0152,0.9752,10.19
wmcodec,5,chinese:SSB0016,0,12,mean,1,1,1,13,0.8125,0.200000,4.3690,0.9848,16.57
wmcodec,5,chinese:SSB0016,0,12,fwp,1,1,1,13,0.8125,0.500000,4.1529,0.9757,13.43
wmcodec,5,chinese:SSB0016,1,13,mean,1,1,1,12,0.7500,0.080000,4.2545,0.9854,16.33
wmcodec,5,chinese:SSB0016,1,13,fwp,1,1,1,11,0.6875,0.500000,4.0359,0.9747,13.40
wmcodec,5,chinese:SSB0016,2,14,mean,1,1,1,14,0.8750,0.200000,4.1835,0.9833,15.57
wmcodec,5,chinese:SSB0016,2,14,fwp,1,1,1,11,0.6875,0.187500,4.2087,0.9876,17.39
wmcodec,5,chinese:SSB0018,0,15,mean,1,1,1,12,0.7500,0.180000,4.3470,0.9865,15.33
wmcodec,5,chinese:SSB0018,0,15,fwp,1,1,1,10,0.6250,0.500000,4.4011,0.9897,17.30
wmcodec,5,chinese:SSB0018,1,16,mean,1,1,1,11,0.6875,0.100000,4.3380,0.9878,15.06
wmcodec,5,chinese:SSB0018,1,16,fwp,1,1,1,12,0.7500,0.625000,4.0222,0.9784,12.09
wmcodec,5,chinese:SSB0018,2,17,mean,1,1,1,10,0.6250,0.140000,4.3784,0.9887,15.42
wmcodec,5,chinese:SSB0018,2,17,fwp,1,1,1,9,0.5625,0.625000,4.4049,0.9893,16.32
wmcodec,5,chinese:SSB0033,0,18,mean,1,1,1,10,0.6250,0.200000,4.3404,0.9889,19.58
wmcodec,5,chinese:SSB0033,0,18,fwp,1,1,1,10,0.6250,0.500000,4.3456,0.9927,21.37
wmcodec,5,chinese:SSB0033,1,19,mean,1,1,1,11,0.6875,0.280000,4.3080,0.9873,20.18
wmcodec,5,chinese:SSB0033,1,19,fwp,1,1,1,9,0.5625,0.375000,4.1526,0.9823,17.51
wmcodec,5,chinese:SSB0033,2,20,mean,1,1,1,11,0.6875,0.120000,4.3746,0.9878,20.26
wmcodec,5,chinese:SSB0033,2,20,fwp,1,1,1,14,0.8750,0.562500,4.2190,0.9824,17.94
wmcodec,5,chinese:SSB0038,0,21,mean,1,1,1,10,0.6250,0.100000,4.3945,0.9900,17.22
wmcodec,5,chinese:SSB0038,0,21,fwp,1,1,1,10,0.6250,0.562500,4.1262,0.9848,14.07
wmcodec,5,chinese:SSB0038,1,22,mean,1,1,1,12,0.7500,0.120000,4.4250,0.9881,16.93
wmcodec,5,chinese:SSB0038,1,22,fwp,1,1,1,13,0.8125,0.437500,4.4791,0.9926,18.54
wmcodec,5,chinese:SSB0038,2,23,mean,1,1,1,14,0.8750,0.240000,4.3900,0.9881,15.98
wmcodec,5,chinese:SSB0038,2,23,fwp,1,1,1,9,0.5625,0.500000,4.3883,0.9906,17.24
wmcodec,5,chinese:SSB0043,0,24,mean,1,1,1,12,0.7500,0.120000,4.0372,0.9764,15.43
wmcodec,5,chinese:SSB0043,0,24,fwp,1,1,1,10,0.6250,0.500000,4.2033,0.9832,17.72
wmcodec,5,chinese:SSB0043,1,25,mean,1,1,1,11,0.6875,0.240000,4.1056,0.9792,16.22
