model,k,trial_id,speaker,clip_index,source_path,valid_copy_count,payloads_tested,mixing,escaped,closest_member_bits,closest_member_bit_accuracy,pesq,stoi,si_sdr
wavmark,2,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,2,2,uniform,1,14,0.8750,4.5519,0.9975,45.38
wavmark,2,1,chinese:SSB0005,2,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,2,2,uniform,1,11,0.6875,4.5940,0.9995,44.53
wavmark,2,2,chinese:SSB0005,3,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,2,2,uniform,1,14,0.8750,4.5959,0.9993,46.72
wavmark,2,3,chinese:SSB0009,1,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_01.wav,2,2,uniform,1,15,0.9375,4.6023,1.0000,48.11
wavmark,2,4,chinese:SSB0009,2,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_02.wav,2,2,uniform,1,12,0.7500,4.5600,0.9999,44.60
wavmark,2,5,chinese:SSB0009,3,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_03.wav,2,2,uniform,1,12,0.7500,4.6075,0.9999,45.31
wavmark,2,6,chinese:SSB0011,1,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_01.wav,2,2,uniform,1,13,0.8125,4.5268,0.9997,44.31
wavmark,2,7,chinese:SSB0011,2,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_02.wav,2,2,uniform,1,12,0.7500,4.5693,0.9994,43.16
wavmark,2,8,chinese:SSB0011,3,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_03.wav,2,2,uniform,1,12,0.7500,4.5267,0.9996,43.91
wavmark,2,9,chinese:SSB0012,1,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_01.wav,2,2,uniform,1,13,0.8125,4.5633,0.9998,44.73
wavmark,2,10,chinese:SSB0012,2,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_02.wav,2,2,uniform,1,14,0.8750,4.6055,0.9999,43.96
wavmark,2,11,chinese:SSB0012,3,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_03.wav,2,2,uniform,1,14,0.8750,4.5970,0.9999,46.68
wavmark,2,12,chinese:SSB0016,1,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_01.wav,2,2,uniform,0,16,1.0000,4.5226,0.9992,42.35
wavmark,2,13,chinese:SSB0016,2,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_02.wav,2,2,uniform,1,13,0.8125,4.4739,0.9985,39.70
wavmark,2,14,chinese:SSB0016,3,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_03.wav,2,2,uniform,1,15,0.9375,4.5573,0.9989,44.57
wavmark,2,15,chinese:SSB0018,1,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_01.wav,2,2,uniform,1,11,0.6875,4.5753,0.9996,45.34
wavmark,2,16,chinese:SSB0018,2,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_02.wav,2,2,uniform,1,13,0.8125,4.5298,0.9996,44.05
wavmark,2,17,chinese:SSB0018,3,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_03.wav,2,2,uniform,1,14,0.8750,4.6043,0.9998,46.25
wavmark,2,18,chinese:SSB0033,1,dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_01.wav,2,2,uniform,1,13,0.8125,4.5227,0.9997,44.92
wavmark,2,19,chinese:SSB0033,2,dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_02.wav,2,2,uniform,1,15,0.9375,4.5317,0.9981,45.88
wavmark,2,20,chinese:SSB0033,3,dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_03.wav,2,2,uniform,1,14,0.8750,4.5341,0.9993,44.80
wavmark,2,21,chinese:SSB0038,1,dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_01.wav,2,2,uniform,1,12,0.7500,4.5659,0.9999,44.26
wavmark,2,22,chinese:SSB0038,2,dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_02.wav,2,2,uniform,1,12,0.7500,4.5537,0.9999,44.41
wavmark,2,23,chinese:SSB0038,3,dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_03.wav,2,2,uniform,1,13,0.8125,4.5562,0.9999,45.43
wavmark,2,24,chinese:SSB0043,1,dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_01.wav,2,2,uniform,1,13,0.8125,4.5744,0.9993,44.69
wavmark,2,25,chinese:SSB0043,2,dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_02.wav,2,2,uniform,1,12,0.7500,4.5206,0.9991,43.17
wavmark,2,26,chinese:SSB0043,3,dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_03.wav,2,2,uniform,1,12,0.7500,4.5769,0.9990,43.19
wavmark,2,27,chinese:SSB0057,1,dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_01.wav,2,2,uniform,1,12,0.7500,4.5653,0.9977,44.90
wavmark,2,28,chinese:SSB0057,2,dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_02.wav,2,2,uniform,1,13,0.8125,4.5470,0.9997,48.12
wavmark,2,29,chinese:SSB0057,3,dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_03.wav,2,2,uniform,1,15,0.9375,4.5767,0.9994,46.47
wavmark,2,30,chinese:SSB0073,1,dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_01.wav,2,2,uniform,1,13,0.8125,4.3725,0.9999,45.42
wavmark,2,31,chinese:SSB0073,2,dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_02.wav,2,2,uniform,1,15,0.9375,4.5605,0.9999,48.06
wavmark,2,32,chinese:SSB0073,3,dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_03.wav,2,2,uniform,1,14,0.8750,4.5559,0.9995,45.48
wavmark,2,33,chinese:SSB0080,1,dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_01.wav,2,2,uniform,1,12,0.7500,4.5940,0.9976,45.16
wavmark,2,34,chinese:SSB0080,2,dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_02.wav,2,2,uniform,1,12,0.7500,4.5422,0.9941,44.27
wavmark,2,35,chinese:SSB0080,3,dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_03.wav,2,2,uniform,1,12,0.7500,4.5141,0.9973,45.17
wavmark,2,36,chinese:SSB0112,1,dataset/collusion_300/chinese/SSB0112/chinese_SSB0112_01.wav,2,2,uniform,1,15,0.9375,4.5849,0.9994,42.00
wavmark,2,37,chinese:SSB0112,2,dataset/collusion_300/chinese/SSB0112/chinese_SSB0112_02.wav,2,2,uniform,1,14,0.8750,4.5539,0.9998,41.45
wavmark,2,38,chinese:SSB0112,3,dataset/collusion_300/chinese/SSB0112/chinese_SSB0112_03.wav,2,2,uniform,1,13,0.8125,4.5748,0.9995,41.13
wavmark,2,39,chinese:SSB0122,1,dataset/collusion_300/chinese/SSB0122/chinese_SSB0122_01.wav,2,2,uniform,1,14,0.8750,4.5228,0.9999,45.23
wavmark,2,40,chinese:SSB0122,2,dataset/collusion_300/chinese/SSB0122/chinese_SSB0122_02.wav,2,2,uniform,1,14,0.8750,4.5693,0.9999,47.22
wavmark,2,41,chinese:SSB0122,3,dataset/collusion_300/chinese/SSB0122/chinese_SSB0122_03.wav,2,2,uniform,1,13,0.8125,4.5444,0.9999,44.22
wavmark,2,42,chinese:SSB0133,1,dataset/collusion_300/chinese/SSB0133/chinese_SSB0133_01.wav,2,2,uniform,1,13,0.8125,4.5811,0.9998,45.25
wavmark,2,43,chinese:SSB0133,2,dataset/collusion_300/chinese/SSB0133/chinese_SSB0133_02.wav,2,2,uniform,1,11,0.6875,4.4636,0.9997,42.88
wavmark,2,44,chinese:SSB0133,3,dataset/collusion_300/chinese/SSB0133/chinese_SSB0133_03.wav,2,2,uniform,1,13,0.8125,4.4346,0.9998,43.89
wavmark,2,45,chinese:SSB0139,1,dataset/collusion_300/chinese/SSB0139/chinese_SSB0139_01.wav,2,2,uniform,1,12,0.7500,4.5364,0.9999,44.55
wavmark,2,46,chinese:SSB0139,2,dataset/collusion_300/chinese/SSB0139/chinese_SSB0139_02.wav,2,2,uniform,1,15,0.9375,4.5627,0.9999,46.29
wavmark,2,47,chinese:SSB0139,3,dataset/collusion_300/chinese/SSB0139/chinese_SSB0139_03.wav,2,2,uniform,1,14,0.8750,4.5744,0.9982,47.40
wavmark,2,48,chinese:SSB0145,1,dataset/collusion_300/chinese/SSB0145/chinese_SSB0145_01.wav,2,2,uniform,1,13,0.8125,4.5821,1.0000,43.94
