model,k,trial_id,speaker,clip_index,source_path,valid_copy_count,payloads_tested,mixing,escaped,closest_member_bits,closest_member_bit_accuracy,pesq,stoi,si_sdr
audioseal,3,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,3,3,uniform,1,15,0.9375,4.6047,0.9996,39.98
audioseal,3,1,chinese:SSB0005,2,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,3,3,uniform,1,15,0.9375,4.6116,0.9997,37.94
audioseal,3,2,chinese:SSB0005,3,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,3,3,uniform,1,14,0.8750,4.5990,0.9995,35.66
audioseal,3,3,chinese:SSB0009,1,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_01.wav,3,3,uniform,1,15,0.9375,4.6076,0.9999,40.00
audioseal,3,4,chinese:SSB0009,2,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_02.wav,3,3,uniform,1,13,0.8125,4.5925,0.9996,31.98
audioseal,3,5,chinese:SSB0009,3,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_03.wav,3,3,uniform,1,10,0.6250,4.5943,0.9997,34.14
audioseal,3,6,chinese:SSB0011,1,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_01.wav,3,3,uniform,1,13,0.8125,4.5873,0.9994,35.48
audioseal,3,7,chinese:SSB0011,2,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_02.wav,3,3,uniform,1,14,0.8750,4.5762,0.9989,35.50
audioseal,3,8,chinese:SSB0011,3,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_03.wav,3,3,uniform,1,10,0.6250,4.5770,0.9989,32.07
audioseal,3,9,chinese:SSB0012,1,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_01.wav,3,3,uniform,1,13,0.8125,4.6108,0.9996,34.95
audioseal,3,10,chinese:SSB0012,2,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_02.wav,3,3,uniform,1,13,0.8125,4.6035,0.9998,36.04
audioseal,3,11,chinese:SSB0012,3,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_03.wav,3,3,uniform,1,11,0.6875,4.5992,0.9998,34.08
audioseal,3,12,chinese:SSB0016,1,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_01.wav,3,3,uniform,1,14,0.8750,4.5611,0.9985,32.00
audioseal,3,13,chinese:SSB0016,2,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_02.wav,3,3,uniform,0,16,1.0000,4.5900,0.9994,33.20
audioseal,3,14,chinese:SSB0016,3,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_03.wav,3,3,uniform,1,13,0.8125,4.5615,0.9980,34.23
audioseal,3,15,chinese:SSB0018,1,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_01.wav,3,3,uniform,1,13,0.8125,4.5948,0.9997,34.62
audioseal,3,16,chinese:SSB0018,2,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_02.wav,3,3,uniform,1,13,0.8125,4.6257,0.9997,37.81
audioseal,3,17,chinese:SSB0018,3,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_03.wav,3,3,uniform,1,13,0.8125,4.5998,0.9998,39.07
audioseal,3,18,chinese:SSB0033,1,dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_01.wav,3,3,uniform,1,11,0.6875,4.5923,0.9996,39.84
audioseal,3,19,chinese:SSB0033,2,dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_02.wav,3,3,uniform,1,15,0.9375,4.6162,0.9998,42.36
audioseal,3,20,chinese:SSB0033,3,dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_03.wav,3,3,uniform,1,13,0.8125,4.6026,0.9998,38.79
audioseal,3,21,chinese:SSB0038,1,dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_01.wav,3,3,uniform,1,14,0.8750,4.5991,0.9991,36.75
audioseal,3,22,chinese:SSB0038,2,dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_02.wav,3,3,uniform,1,13,0.8125,4.5806,0.9992,34.23
