model,k,trial_id,speaker,clip_index,source_path,valid_copy_count,payloads_tested,mixing,escaped,closest_member_bits,closest_member_bit_accuracy,pesq,stoi,si_sdr
timbrewm,5,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,5,5,uniform,1,9,0.9000,4.5509,0.9973,34.17
timbrewm,5,1,chinese:SSB0005,2,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,5,5,uniform,1,9,0.9000,4.5354,0.9966,32.71
timbrewm,5,2,chinese:SSB0005,3,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,5,5,uniform,1,9,0.9000,4.5776,0.9967,33.31
timbrewm,5,3,chinese:SSB0009,1,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_01.wav,5,5,uniform,1,9,0.9000,4.5785,0.9981,29.76
timbrewm,5,4,chinese:SSB0009,2,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_02.wav,5,5,uniform,1,9,0.9000,4.5637,0.9981,31.00
timbrewm,5,5,chinese:SSB0009,3,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_03.wav,5,5,uniform,1,9,0.9000,4.4407,0.9974,29.29
timbrewm,5,6,chinese:SSB0011,1,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_01.wav,5,5,uniform,0,10,1.0000,4.5540,0.9979,34.03
timbrewm,5,7,chinese:SSB0011,2,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_02.wav,5,5,uniform,1,8,0.8000,4.5169,0.9938,30.83
timbrewm,5,8,chinese:SSB0011,3,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_03.wav,5,5,uniform,1,8,0.8000,4.5304,0.9958,31.96
timbrewm,5,9,chinese:SSB0012,1,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_01.wav,5,5,uniform,1,9,0.9000,4.4305,0.9970,32.68
timbrewm,5,10,chinese:SSB0012,2,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_02.wav,5,5,uniform,1,7,0.7000,4.5301,0.9986,32.01
timbrewm,5,11,chinese:SSB0012,3,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_03.wav,5,5,uniform,1,8,0.8000,4.5418,0.9977,31.70
timbrewm,5,12,chinese:SSB0016,1,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_01.wav,5,5,uniform,0,10,1.0000,4.5531,0.9953,28.92
timbrewm,5,13,chinese:SSB0016,2,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_02.wav,5,5,uniform,1,8,0.8000,4.3195,0.9950,26.85
timbrewm,5,14,chinese:SSB0016,3,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_03.wav,5,5,uniform,0,10,1.0000,4.5305,0.9949,27.87
timbrewm,5,15,chinese:SSB0018,1,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_01.wav,5,5,uniform,1,9,0.9000,4.5496,0.9968,34.64
timbrewm,5,16,chinese:SSB0018,2,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_02.wav,5,5,uniform,1,8,0.8000,4.5291,0.9962,31.28
timbrewm,5,17,chinese:SSB0018,3,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_03.wav,5,5,uniform,1,8,0.8000,4.5526,0.9959,32.09
timbrewm,5,18,chinese:SSB0033,1,dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_01.wav,5,5,uniform,1,8,0.8000,4.5360,0.9966,35.05
timbrewm,5,19,chinese:SSB0033,2,dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_02.wav,5,5,uniform,1,7,0.7000,4.5944,0.9976,38.08
timbrewm,5,20,chinese:SSB0033,3,dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_03.wav,5,5,uniform,1,7,0.7000,4.5381,0.9960,35.19
timbrewm,5,21,chinese:SSB0038,1,dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_01.wav,5,5,uniform,1,8,0.8000,4.5867,0.9969,32.27
timbrewm,5,22,chinese:SSB0038,2,dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_02.wav,5,5,uniform,1,9,0.9000,4.4827,0.9966,31.74
timbrewm,5,23,chinese:SSB0038,3,dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_03.wav,5,5,uniform,1,9,0.9000,4.4763,0.9955,29.42
timbrewm,5,24,chinese:SSB0043,1,dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_01.wav,5,5,uniform,1,8,0.8000,4.4661,0.9951,30.56
timbrewm,5,25,chinese:SSB0043,2,dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_02.wav,5,5,uniform,1,9,0.9000,4.4235,0.9963,30.39
timbrewm,5,26,chinese:SSB0043,3,dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_03.wav,5,5,uniform,1,8,0.8000,4.4010,0.9931,30.82
timbrewm,5,27,chinese:SSB0057,1,dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_01.wav,5,5,uniform,1,9,0.9000,4.5800,0.9986,36.48
timbrewm,5,28,chinese:SSB0057,2,dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_02.wav,5,5,uniform,1,7,0.7000,4.5435,0.9990,37.49
timbrewm,5,29,chinese:SSB0057,3,dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_03.wav,5,5,uniform,1,8,0.8000,4.5780,0.9987,34.09
timbrewm,5,30,chinese:SSB0073,1,dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_01.wav,5,5,uniform,1,9,0.9000,4.6088,0.9989,35.61
timbrewm,5,31,chinese:SSB0073,2,dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_02.wav,5,5,uniform,1,8,0.8000,4.5575,0.9974,32.73
timbrewm,5,32,chinese:SSB0073,3,dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_03.wav,5,5,uniform,1,8,0.8000,4.4755,0.9973,30.23
timbrewm,5,33,chinese:SSB0080,1,dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_01.wav,5,5,uniform,1,8,0.8000,4.4028,0.9927,26.86
timbrewm,5,34,chinese:SSB0080,2,dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_02.wav,5,5,uniform,1,8,0.8000,4.5341,0.9949,32.24
timbrewm,5,35,chinese:SSB0080,3,dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_03.wav,5,5,uniform,1,9,0.9000,4.5717,0.9975,33.02
timbrewm,5,36,chinese:SSB0112,1,dataset/collusion_300/chinese/SSB0112/chinese_SSB0112_01.wav,5,5,uniform,1,9,0.9000,4.5320,0.9962,28.33
timbrewm,5,37,chinese:SSB0112,2,dataset/collusion_300/chinese/SSB0112/chinese_SSB0112_02.wav,5,5,uniform,1,9,0.9000,4.4126,0.9965,25.22
timbrewm,5,38,chinese:SSB0112,3,dataset/collusion_300/chinese/SSB0112/chinese_SSB0112_03.wav,5,5,uniform,1,8,0.8000,4.4516,0.9948,27.10
timbrewm,5,39,chinese:SSB0122,1,dataset/collusion_300/chinese/SSB0122/chinese_SSB0122_01.wav,5,5,uniform,1,7,0.7000,4.4850,0.9973,31.87
timbrewm,5,40,chinese:SSB0122,2,dataset/collusion_300/chinese/SSB0122/chinese_SSB0122_02.wav,5,5,uniform,1,8,0.8000,4.5745,0.9986,34.46
timbrewm,5,41,chinese:SSB0122,3,dataset/collusion_300/chinese/SSB0122/chinese_SSB0122_03.wav,5,5,uniform,1,8,0.8000,4.5290,0.9987,32.54
timbrewm,5,42,chinese:SSB0133,1,dataset/collusion_300/chinese/SSB0133/chinese_SSB0133_01.wav,5,5,uniform,1,8,0.8000,4.4275,0.9959,30.02
timbrewm,5,43,chinese:SSB0133,2,dataset/collusion_300/chinese/SSB0133/chinese_SSB0133_02.wav,5,5,uniform,1,9,0.9000,4.4559,0.9949,29.39
timbrewm,5,44,chinese:SSB0133,3,dataset/collusion_300/chinese/SSB0133/chinese_SSB0133_03.wav,5,5,uniform,1,8,0.8000,4.5481,0.9977,31.24
timbrewm,5,45,chinese:SSB0139,1,dataset/collusion_300/chinese/SSB0139/chinese_SSB0139_01.wav,5,5,uniform,1,8,0.8000,4.5782,0.9989,35.84
timbrewm,5,46,chinese:SSB0139,2,dataset/collusion_300/chinese/SSB0139/chinese_SSB0139_02.wav,5,5,uniform,1,8,0.8000,4.5835,0.9983,32.69
timbrewm,5,47,chinese:SSB0139,3,dataset/collusion_300/chinese/SSB0139/chinese_SSB0139_03.wav,5,5,uniform,1,8,0.8000,4.5777,0.9982,33.07
timbrewm,5,48,chinese:SSB0145,1,dataset/collusion_300/chinese/SSB0145/chinese_SSB0145_01.wav,5,5,uniform,1,8,0.8000,4.5402,0.9978,29.84
timbrewm,5,49,chinese:SSB0145,2,dataset/collusion_300/chinese/SSB0145/chinese_SSB0145_02.wav,5,5,uniform,1,8,0.8000,4.5482,0.9978,32.32
timbrewm,5,50,chinese:SSB0145,3,dataset/collusion_300/chinese/SSB0145/chinese_SSB0145_03.wav,5,5,uniform,1,8,0.8000,4.5908,0.9986,31.37
timbrewm,5,51,chinese:SSB0149,1,dataset/collusion_300/chinese/SSB0149/chinese_SSB0149_01.wav,5,5,uniform,1,8,0.8000,4.4334,0.9965,31.16
timbrewm,5,52,chinese:SSB0149,2,dataset/collusion_300/chinese/SSB0149/chinese_SSB0149_02.wav,5,5,uniform,1,8,0.8000,4.5409,0.9981,32.04
timbrewm,5,53,chinese:SSB0149,3,dataset/collusion_300/chinese/SSB0149/chinese_SSB0149_03.wav,5,5,uniform,1,7,0.7000,4.5560,0.9984,30.97
timbrewm,5,54,chinese:SSB0193,1,dataset/collusion_300/chinese/SSB0193/chinese_SSB0193_01.wav,5,5,uniform,1,9,0.9000,4.4321,0.9931,26.21
timbrewm,5,55,chinese:SSB0193,2,dataset/collusion_300/chinese/SSB0193/chinese_SSB0193_02.wav,5,5,uniform,1,8,0.8000,4.5827,0.9961,29.32
timbrewm,5,56,chinese:SSB0193,3,dataset/collusion_300/chinese/SSB0193/chinese_SSB0193_03.wav,5,5,uniform,1,9,0.9000,4.5325,0.9974,29.07
timbrewm,5,57,chinese:SSB0197,1,dataset/collusion_300/chinese/SSB0197/chinese_SSB0197_01.wav,5,5,uniform,1,9,0.9000,4.5212,0.9940,26.98
timbrewm,5,58,chinese:SSB0197,2,dataset/collusion_300/chinese/SSB0197/chinese_SSB0197_02.wav,5,5,uniform,1,8,0.8000,4.5795,0.9953,30.08
timbrewm,5,59,chinese:SSB0197,3,dataset/collusion_300/chinese/SSB0197/chinese_SSB0197_03.wav,5,5,uniform,1,9,0.9000,4.5576,0.9964,28.25
timbrewm,5,60,chinese:SSB0200,1,dataset/collusion_300/chinese/SSB0200/chinese_SSB0200_01.wav,5,5,uniform,1,8,0.8000,4.4838,0.9948,26.99
timbrewm,5,61,chinese:SSB0200,2,dataset/collusion_300/chinese/SSB0200/chinese_SSB0200_02.wav,5,5,uniform,0,10,1.0000,4.4189,0.9934,25.55
timbrewm,5,62,chinese:SSB0200,3,dataset/collusion_300/chinese/SSB0200/chinese_SSB0200_03.wav,5,5,uniform,1,9,0.9000,4.5344,0.9938,29.32
timbrewm,5,63,chinese:SSB0241,1,dataset/collusion_300/chinese/SSB0241/chinese_SSB0241_01.wav,5,5,uniform,0,10,1.0000,4.5922,0.9976,32.41
timbrewm,5,64,chinese:SSB0241,2,dataset/collusion_300/chinese/SSB0241/chinese_SSB0241_02.wav,5,5,uniform,1,9,0.9000,4.6211,0.9989,36.33
timbrewm,5,65,chinese:SSB0241,3,dataset/collusion_300/chinese/SSB0241/chinese_SSB0241_03.wav,5,5,uniform,0,10,1.0000,4.5798,0.9984,33.74
timbrewm,5,66,chinese:SSB0246,1,dataset/collusion_300/chinese/SSB0246/chinese_SSB0246_01.wav,5,5,uniform,1,9,0.9000,4.5536,0.9977,31.80
timbrewm,5,67,chinese:SSB0246,2,dataset/collusion_300/chinese/SSB0246/chinese_SSB0246_02.wav,5,5,uniform,1,8,0.8000,4.5495,0.9978,32.41
timbrewm,5,68,chinese:SSB0246,3,dataset/collusion_300/chinese/SSB0246/chinese_SSB0246_03.wav,5,5,uniform,1,8,0.8000,4.5045,0.9958,29.19
timbrewm,5,69,chinese:SSB0261,1,dataset/collusion_300/chinese/SSB0261/chinese_SSB0261_01.wav,5,5,uniform,1,8,0.8000,4.5060,0.9967,29.89
timbrewm,5,70,chinese:SSB0261,2,dataset/collusion_300/chinese/SSB0261/chinese_SSB0261_02.wav,5,5,uniform,1,9,0.9000,4.6030,0.9978,32.54
timbrewm,5,71,chinese:SSB0261,3,dataset/collusion_300/chinese/SSB0261/chinese_SSB0261_03.wav,5,5,uniform,1,8,0.8000,4.6019,0.9975,30.21
timbrewm,5,72,chinese:SSB0267,1,dataset/collusion_300/chinese/SSB0267/chinese_SSB0267_01.wav,5,5,uniform,0,10,1.0000,4.4139,0.9904,29.72
timbrewm,5,73,chinese:SSB0267,2,dataset/collusion_300/chinese/SSB0267/chinese_SSB0267_02.wav,5,5,uniform,1,9,0.9000,4.5813,0.9968,30.77
timbrewm,5,74,chinese:SSB0267,3,dataset/collusion_300/chinese/SSB0267/chinese_SSB0267_03.wav,5,5,uniform,1,9,0.9000,4.5790,0.9965,31.29
timbrewm,5,75,chinese:SSB0273,1,dataset/collusion_300/chinese/SSB0273/chinese_SSB0273_01.wav,5,5,uniform,1,9,0.9000,4.5779,0.9988,37.84
timbrewm,5,76,chinese:SSB0273,2,dataset/collusion_300/chinese/SSB0273/chinese_SSB0273_02.wav,5,5,uniform,1,8,0.8000,4.5935,0.9981,37.42
timbrewm,5,77,chinese:SSB0273,3,dataset/collusion_300/chinese/SSB0273/chinese_SSB0273_03.wav,5,5,uniform,1,9,0.9000,4.6007,0.9993,39.25
timbrewm,5,78,chinese:SSB0287,1,dataset/collusion_300/chinese/SSB0287/chinese_SSB0287_01.wav,5,5,uniform,1,8,0.8000,4.5435,0.9972,35.03
timbrewm,5,79,chinese:SSB0287,2,dataset/collusion_300/chinese/SSB0287/chinese_SSB0287_02.wav,5,5,uniform,1,8,0.8000,4.4836,0.9949,30.02
timbrewm,5,80,chinese:SSB0287,3,dataset/collusion_300/chinese/SSB0287/chinese_SSB0287_03.wav,5,5,uniform,1,9,0.9000,4.4405,0.9953,28.66
timbrewm,5,81,chinese:SSB0288,1,dataset/collusion_300/chinese/SSB0288/chinese_SSB0288_01.wav,5,5,uniform,1,9,0.9000,4.5276,0.9974,32.98
timbrewm,5,82,chinese:SSB0288,2,dataset/collusion_300/chinese/SSB0288/chinese_SSB0288_02.wav,5,5,uniform,1,8,0.8000,4.5616,0.9963,31.04
timbrewm,5,83,chinese:SSB0288,3,dataset/collusion_300/chinese/SSB0288/chinese_SSB0288_03.wav,5,5,uniform,1,8,0.8000,4.5455,0.9962,31.35
timbrewm,5,84,chinese:SSB0299,1,dataset/collusion_300/chinese/SSB0299/chinese_SSB0299_01.wav,5,5,uniform,1,8,0.8000,4.5258,0.9981,29.81
timbrewm,5,85,chinese:SSB0299,2,dataset/collusion_300/chinese/SSB0299/chinese_SSB0299_02.wav,5,5,uniform,1,9,0.9000,4.5563,0.9972,30.74
timbrewm,5,86,chinese:SSB0299,3,dataset/collusion_300/chinese/SSB0299/chinese_SSB0299_03.wav,5,5,uniform,1,8,0.8000,4.4451,0.9965,29.54
timbrewm,5,87,chinese:SSB0307,1,dataset/collusion_300/chinese/SSB0307/chinese_SSB0307_01.wav,5,5,uniform,1,9,0.9000,4.5458,0.9935,25.91
timbrewm,5,88,chinese:SSB0307,2,dataset/collusion_300/chinese/SSB0307/chinese_SSB0307_02.wav,5,5,uniform,1,9,0.9000,4.5931,0.9950,30.58
timbrewm,5,89,chinese:SSB0307,3,dataset/collusion_300/chinese/SSB0307/chinese_SSB0307_03.wav,5,5,uniform,1,9,0.9000,4.5355,0.9930,28.67
timbrewm,5,90,chinese:SSB0309,1,dataset/collusion_300/chinese/SSB0309/chinese_SSB0309_01.wav,5,5,uniform,1,9,0.9000,4.3998,0.9967,30.16
timbrewm,5,91,chinese:SSB0309,2,dataset/collusion_300/chinese/SSB0309/chinese_SSB0309_02.wav,5,5,uniform,1,9,0.9000,4.5371,0.9986,32.62
timbrewm,5,92,chinese:SSB0309,3,dataset/collusion_300/chinese/SSB0309/chinese_SSB0309_03.wav,5,5,uniform,1,9,0.9000,4.5559,0.9972,32.32
timbrewm,5,93,chinese:SSB0315,1,dataset/collusion_300/chinese/SSB0315/chinese_SSB0315_01.wav,5,5,uniform,0,10,1.0000,4.5979,0.9989,35.98
timbrewm,5,94,chinese:SSB0315,2,dataset/collusion_300/chinese/SSB0315/chinese_SSB0315_02.wav,5,5,uniform,1,7,0.7000,4.5958,0.9989,33.45
timbrewm,5,95,chinese:SSB0315,3,dataset/collusion_300/chinese/SSB0315/chinese_SSB0315_03.wav,5,5,uniform,1,9,0.9000,4.5680,0.9991,35.03
timbrewm,5,96,chinese:SSB0316,1,dataset/collusion_300/chinese/SSB0316/chinese_SSB0316_01.wav,5,5,uniform,1,9,0.9000,4.5330,0.9981,32.54
timbrewm,5,97,chinese:SSB0316,2,dataset/collusion_300/chinese/SSB0316/chinese_SSB0316_02.wav,5,5,uniform,1,8,0.8000,4.5964,0.9983,34.10
timbrewm,5,98,chinese:SSB0316,3,dataset/collusion_300/chinese/SSB0316/chinese_SSB0316_03.wav,5,5,uniform,1,8,0.8000,4.5832,0.9964,33.03
timbrewm,5,99,chinese:SSB0323,1,dataset/collusion_300/chinese/SSB0323/chinese_SSB0323_01.wav,5,5,uniform,1,8,0.8000,4.4955,0.9987,31.46
timbrewm,5,100,chinese:SSB0323,2,dataset/collusion_300/chinese/SSB0323/chinese_SSB0323_02.wav,5,5,uniform,1,9,0.9000,4.5096,0.9971,30.80
timbrewm,5,101,chinese:SSB0323,3,dataset/collusion_300/chinese/SSB0323/chinese_SSB0323_03.wav,5,5,uniform,1,8,0.8000,4.5546,0.9984,33.94
timbrewm,5,102,chinese:SSB0338,1,dataset/collusion_300/chinese/SSB0338/chinese_SSB0338_01.wav,5,5,uniform,1,9,0.9000,4.5719,0.9982,29.54
timbrewm,5,103,chinese:SSB0338,2,dataset/collusion_300/chinese/SSB0338/chinese_SSB0338_02.wav,5,5,uniform,1,8,0.8000,4.4407,0.9961,25.98
timbrewm,5,104,chinese:SSB0338,3,dataset/collusion_300/chinese/SSB0338/chinese_SSB0338_03.wav,5,5,uniform,1,9,0.9000,4.5493,0.9975,27.98
timbrewm,5,105,chinese:SSB0339,1,dataset/collusion_300/chinese/SSB0339/chinese_SSB0339_01.wav,5,5,uniform,1,8,0.8000,4.5089,0.9972,28.93
timbrewm,5,106,chinese:SSB0339,2,dataset/collusion_300/chinese/SSB0339/chinese_SSB0339_02.wav,5,5,uniform,1,9,0.9000,4.5305,0.9979,30.12
timbrewm,5,107,chinese:SSB0339,3,dataset/collusion_300/chinese/SSB0339/chinese_SSB0339_03.wav,5,5,uniform,1,9,0.9000,4.3186,0.9961,26.39
timbrewm,5,108,chinese:SSB0341,1,dataset/collusion_300/chinese/SSB0341/chinese_SSB0341_01.wav,5,5,uniform,1,9,0.9000,4.5849,0.9976,35.65
timbrewm,5,109,chinese:SSB0341,2,dataset/collusion_300/chinese/SSB0341/chinese_SSB0341_02.wav,5,5,uniform,1,8,0.8000,4.5604,0.9979,34.48
timbrewm,5,110,chinese:SSB0341,3,dataset/collusion_300/chinese/SSB0341/chinese_SSB0341_03.wav,5,5,uniform,1,8,0.8000,4.5881,0.9980,35.89
timbrewm,5,111,chinese:SSB0342,1,dataset/collusion_300/chinese/SSB0342/chinese_SSB0342_01.wav,5,5,uniform,1,9,0.9000,4.5205,0.9964,30.10
timbrewm,5,112,chinese:SSB0342,2,dataset/collusion_300/chinese/SSB0342/chinese_SSB0342_02.wav,5,5,uniform,1,9,0.9000,4.5888,0.9976,35.19
timbrewm,5,113,chinese:SSB0342,3,dataset/collusion_300/chinese/SSB0342/chinese_SSB0342_03.wav,5,5,uniform,1,8,0.8000,4.4882,0.9927,31.70
timbrewm,5,114,chinese:SSB0354,1,dataset/collusion_300/chinese/SSB0354/chinese_SSB0354_01.wav,5,5,uniform,1,8,0.8000,4.6006,0.9976,35.10
timbrewm,5,115,chinese:SSB0354,2,dataset/collusion_300/chinese/SSB0354/chinese_SSB0354_02.wav,5,5,uniform,0,10,1.0000,4.5448,0.9971,34.90
timbrewm,5,116,chinese:SSB0354,3,dataset/collusion_300/chinese/SSB0354/chinese_SSB0354_03.wav,5,5,uniform,1,9,0.9000,4.5617,0.9944,33.96
