model,k,trial_id,speaker,clip_index,source_path,valid_copy_count,payloads_tested,mixing,escaped,closest_member_bits,closest_member_bit_accuracy,pesq,stoi,si_sdr
voicemark,5,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,5,6,uniform,1,13,0.8125,3.8725,0.9711,16.70
voicemark,5,1,chinese:SSB0005,2,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,5,6,uniform,1,11,0.6875,4.3074,0.9830,14.70
voicemark,5,2,chinese:SSB0005,3,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,5,7,uniform,1,11,0.6875,4.3588,0.9770,13.20
voicemark,5,3,chinese:SSB0009,1,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_01.wav,5,6,uniform,1,10,0.6250,3.8374,0.9636,13.24
voicemark,5,4,chinese:SSB0009,2,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_02.wav,5,5,uniform,1,8,0.5000,4.0296,0.9634,13.13
voicemark,5,5,chinese:SSB0009,3,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_03.wav,5,6,uniform,1,12,0.7500,4.1893,0.9771,11.98
voicemark,5,6,chinese:SSB0011,1,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_01.wav,5,5,uniform,1,15,0.9375,4.3882,0.9803,19.77
voicemark,5,7,chinese:SSB0011,2,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_02.wav,5,5,uniform,1,12,0.7500,4.0910,0.9578,12.82
voicemark,5,8,chinese:SSB0011,3,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_03.wav,5,5,uniform,1,13,0.8125,4.2840,0.9730,17.02
voicemark,5,9,chinese:SSB0012,1,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_01.wav,5,8,uniform,1,10,0.6250,4.1306,0.9665,13.46
voicemark,5,10,chinese:SSB0012,2,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_02.wav,5,5,uniform,1,13,0.8125,4.1661,0.9637,13.31
voicemark,5,11,chinese:SSB0012,3,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_03.wav,5,5,uniform,1,13,0.8125,4.1093,0.9766,13.38
voicemark,5,12,chinese:SSB0016,1,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_01.wav,5,5,uniform,1,11,0.6875,4.0285,0.9537,14.84
voicemark,5,13,chinese:SSB0016,2,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_02.wav,5,6,uniform,1,9,0.5625,3.9146,0.9693,14.10
voicemark,5,14,chinese:SSB0016,3,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_03.wav,5,5,uniform,1,13,0.8125,4.3007,0.9646,17.02
voicemark,5,15,chinese:SSB0018,1,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_01.wav,5,5,uniform,1,12,0.7500,4.1405,0.9736,16.62
