model,k,trial_id,speaker,clip_index,source_path,valid_copy_count,payloads_tested,mixing,escaped,closest_member_bits,closest_member_bit_accuracy,pesq,stoi,si_sdr
wmcodec,5,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,5,5,uniform,1,11,0.6875,4.3320,0.9854,18.32
wmcodec,5,1,chinese:SSB0005,2,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,5,5,uniform,1,13,0.8125,4.3663,0.9836,15.44
wmcodec,5,2,chinese:SSB0005,3,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,5,5,uniform,1,12,0.7500,4.3323,0.9820,15.29
wmcodec,5,3,chinese:SSB0009,1,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_01.wav,5,5,uniform,1,13,0.8125,4.2318,0.9853,13.70
wmcodec,5,4,chinese:SSB0009,2,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_02.wav,5,5,uniform,1,11,0.6875,4.2615,0.9849,13.10
wmcodec,5,5,chinese:SSB0009,3,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_03.wav,5,5,uniform,1,10,0.6250,4.1755,0.9839,12.89
wmcodec,5,6,chinese:SSB0011,1,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_01.wav,5,5,uniform,1,12,0.7500,4.3256,0.9854,16.80
wmcodec,5,7,chinese:SSB0011,2,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_02.wav,5,5,uniform,1,12,0.7500,4.0050,0.9832,15.54
wmcodec,5,8,chinese:SSB0011,3,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_03.wav,5,5,uniform,1,13,0.8125,4.2701,0.9825,16.52
wmcodec,5,9,chinese:SSB0012,1,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_01.wav,5,5,uniform,1,11,0.6875,4.2423,0.9822,13.57
wmcodec,5,10,chinese:SSB0012,2,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_02.wav,5,5,uniform,1,11,0.6875,4.2595,0.9806,14.02
wmcodec,5,11,chinese:SSB0012,3,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_03.wav,5,5,uniform,1,10,0.6250,4.2956,0.9867,14.81
wmcodec,5,12,chinese:SSB0016,1,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_01.wav,5,5,uniform,1,12,0.7500,4.3743,0.9846,16.74
wmcodec,5,13,chinese:SSB0016,2,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_02.wav,5,5,uniform,1,11,0.6875,4.2390,0.9834,14.86
wmcodec,5,14,chinese:SSB0016,3,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_03.wav,5,5,uniform,1,13,0.8125,4.2840,0.9816,16.33
wmcodec,5,15,chinese:SSB0018,1,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_01.wav,5,5,uniform,1,12,0.7500,4.2496,0.9843,14.27
wmcodec,5,16,chinese:SSB0018,2,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_02.wav,5,5,uniform,1,14,0.8750,4.3052,0.9860,15.70
wmcodec,5,17,chinese:SSB0018,3,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_03.wav,5,5,uniform,1,13,0.8125,4.3887,0.9894,16.92
wmcodec,5,18,chinese:SSB0033,1,dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_01.wav,5,5,uniform,1,13,0.8125,4.2687,0.9886,20.06
wmcodec,5,19,chinese:SSB0033,2,dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_02.wav,5,5,uniform,1,13,0.8125,4.3292,0.9853,20.67
wmcodec,5,20,chinese:SSB0033,3,dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_03.wav,5,5,uniform,1,10,0.6250,4.2954,0.9892,18.53
wmcodec,5,21,chinese:SSB0038,1,dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_01.wav,5,5,uniform,1,11,0.6875,4.4169,0.9887,17.23
wmcodec,5,22,chinese:SSB0038,2,dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_02.wav,5,5,uniform,1,11,0.6875,4.2525,0.9897,16.63
wmcodec,5,23,chinese:SSB0038,3,dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_03.wav,5,5,uniform,1,14,0.8750,4.1724,0.9850,16.36
wmcodec,5,24,chinese:SSB0043,1,dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_01.wav,5,5,uniform,1,12,0.7500,4.2020,0.9776,16.41
wmcodec,5,25,chinese:SSB0043,2,dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_02.wav,5,5,uniform,1,10,0.6250,3.9781,0.9750,14.94
wmcodec,5,26,chinese:SSB0043,3,dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_03.wav,5,5,uniform,1,10,0.6250,4.1503,0.9798,16.25
wmcodec,5,27,chinese:SSB0057,1,dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_01.wav,5,5,uniform,1,12,0.7500,4.2868,0.9854,15.86
wmcodec,5,28,chinese:SSB0057,2,dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_02.wav,5,5,uniform,1,12,0.7500,4.2858,0.9908,16.47
wmcodec,5,29,chinese:SSB0057,3,dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_03.wav,5,5,uniform,1,10,0.6250,4.0553,0.9881,16.81
wmcodec,5,30,chinese:SSB0073,1,dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_01.wav,5,5,uniform,1,14,0.8750,4.3078,0.9827,15.85
wmcodec,5,31,chinese:SSB0073,2,dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_02.wav,5,5,uniform,1,13,0.8125,4.2769,0.9840,17.33
