model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
audioseal,3,121,0,0,median,1,0,0,15,0.9375,4.5107,0.9999,35.82
audioseal,3,121,0,0,minimum,1,1,1,12,0.7500,4.4569,0.9997,31.31
audioseal,3,121,0,0,maximum,1,1,1,12,0.7500,4.4641,0.9997,31.31
audioseal,3,121,0,0,rand_minmax,1,1,1,12,0.7500,3.9482,0.9996,30.06
audioseal,3,121,0,0,copy_paste,1,1,1,14,0.8750,4.5691,0.9996,30.97
audioseal,3,121,1,1,median,0,0,0,16,1.0000,4.5487,0.9999,37.69
audioseal,3,121,1,1,minimum,1,1,1,14,0.8750,4.5220,0.9997,31.85
audioseal,3,121,1,1,maximum,1,1,1,14,0.8750,4.5266,0.9997,31.84
audioseal,3,121,1,1,rand_minmax,1,1,1,14,0.8750,4.1286,0.9996,30.67
audioseal,3,121,1,1,copy_paste,1,1,1,14,0.8750,4.5716,0.9996,31.50
audioseal,3,121,2,2,median,1,1,1,13,0.8125,4.5480,0.9998,34.43
audioseal,3,121,2,2,minimum,1,1,1,13,0.8125,4.5092,0.9997,31.41
audioseal,3,121,2,2,maximum,1,1,1,12,0.7500,4.5039,0.9997,31.43
audioseal,3,121,2,2,rand_minmax,1,1,1,13,0.8125,4.0640,0.9996,30.30
audioseal,3,121,2,2,copy_paste,1,1,1,14,0.8750,4.5691,0.9996,31.09
audioseal,3,121,3,3,median,0,0,0,16,1.0000,4.5595,1.0000,41.68
audioseal,3,121,3,3,minimum,1,1,1,13,0.8125,4.5234,0.9997,31.74
audioseal,3,121,3,3,maximum,1,1,1,15,0.9375,4.5314,0.9997,31.71
audioseal,3,121,3,3,rand_minmax,1,1,1,14,0.8750,4.1437,0.9996,30.43
audioseal,3,121,3,3,copy_paste,1,1,1,14,0.8750,4.5808,0.9997,32.39
audioseal,3,237,0,4,median,1,1,1,13,0.8125,4.6266,0.9999,41.88
audioseal,3,237,0,4,minimum,1,1,1,13,0.8125,4.5423,0.9998,36.15
audioseal,3,237,0,4,maximum,1,1,1,13,0.8125,4.5349,0.9998,36.23
audioseal,3,237,0,4,rand_minmax,1,1,1,13,0.8125,4.1848,0.9997,35.13
audioseal,3,237,0,4,copy_paste,1,1,1,13,0.8125,4.6009,0.9999,36.61
audioseal,3,237,1,5,median,1,1,1,14,0.8750,4.6236,1.0000,43.17
audioseal,3,237,1,5,minimum,1,1,1,13,0.8125,4.5899,0.9998,38.02
audioseal,3,237,1,5,maximum,1,1,1,14,0.8750,4.5738,0.9998,37.90
audioseal,3,237,1,5,rand_minmax,1,1,1,13,0.8125,4.3263,0.9997,36.51
audioseal,3,237,1,5,copy_paste,1,1,1,12,0.7500,4.5938,0.9999,37.94
audioseal,3,237,2,6,median,1,1,1,14,0.8750,4.6124,0.9999,40.31
audioseal,3,237,2,6,minimum,1,1,1,14,0.8750,4.5381,0.9998,35.86
audioseal,3,237,2,6,maximum,1,1,1,14,0.8750,4.5229,0.9998,36.09
audioseal,3,237,2,6,rand_minmax,1,1,1,14,0.8750,4.1905,0.9997,35.10
audioseal,3,237,2,6,copy_paste,1,1,1,14,0.8750,4.5887,0.9998,37.54
audioseal,3,237,3,7,median,0,0,0,16,1.0000,4.6177,0.9999,41.11
audioseal,3,237,3,7,minimum,1,0,0,15,0.9375,4.5939,0.9999,40.86
