model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
timbrewm,2,121,0,0,median,0,0,0,10,1.0000,4.6238,0.9997,33.74
timbrewm,2,121,0,0,minimum,0,0,0,10,1.0000,4.5211,0.9996,31.67
timbrewm,2,121,0,0,maximum,0,0,0,10,1.0000,4.5257,0.9996,31.75
timbrewm,2,121,0,0,rand_minmax,0,0,0,10,1.0000,4.3670,0.9995,30.75
timbrewm,2,121,0,0,copy_paste,0,0,0,10,1.0000,4.5705,0.9993,31.04
timbrewm,2,121,1,1,median,0,0,0,10,1.0000,4.6111,0.9993,30.74
timbrewm,2,121,1,1,minimum,1,0,0,9,0.9000,4.4358,0.9991,28.69
timbrewm,2,121,1,1,maximum,1,0,0,9,0.9000,4.4272,0.9991,28.69
timbrewm,2,121,1,1,rand_minmax,1,0,0,9,0.9000,4.1074,0.9989,27.75
timbrewm,2,121,1,1,copy_paste,0,0,0,10,1.0000,4.4586,0.9980,27.42
timbrewm,2,121,2,2,median,1,1,1,7,0.7000,4.5783,0.9989,28.79
timbrewm,2,121,2,2,minimum,1,1,1,7,0.7000,4.2571,0.9987,26.73
timbrewm,2,121,2,2,maximum,1,1,1,8,0.8000,4.2680,0.9987,26.73
timbrewm,2,121,2,2,rand_minmax,1,1,1,8,0.8000,3.9267,0.9984,25.80
timbrewm,2,121,2,2,copy_paste,1,1,1,7,0.7000,4.3904,0.9974,25.67
timbrewm,2,121,3,3,median,1,1,1,9,0.9000,4.5883,0.9993,29.45
timbrewm,2,121,3,3,minimum,1,1,1,8,0.8000,4.3019,0.9990,27.38
timbrewm,2,121,3,3,maximum,1,1,1,8,0.8000,4.3123,0.9991,27.35
timbrewm,2,121,3,3,rand_minmax,1,1,1,8,0.8000,3.8998,0.9988,26.38
timbrewm,2,121,3,3,copy_paste,1,1,1,8,0.8000,4.4019,0.9984,27.07
timbrewm,2,237,0,4,median,1,1,1,7,0.7000,4.5879,0.9994,36.87
timbrewm,2,237,0,4,minimum,1,1,1,7,0.7000,4.5338,0.9993,34.91
timbrewm,2,237,0,4,maximum,1,1,1,7,0.7000,4.5434,0.9993,34.87
timbrewm,2,237,0,4,rand_minmax,1,1,1,7,0.7000,4.3019,0.9992,33.87
timbrewm,2,237,0,4,copy_paste,1,1,1,7,0.7000,4.4203,0.9986,33.34
timbrewm,2,237,1,5,median,1,1,1,7,0.7000,4.6001,0.9997,38.40
timbrewm,2,237,1,5,minimum,1,1,1,7,0.7000,4.5875,0.9996,36.46
timbrewm,2,237,1,5,maximum,1,1,1,7,0.7000,4.5855,0.9996,36.41
timbrewm,2,237,1,5,rand_minmax,1,1,1,7,0.7000,4.5041,0.9995,35.35
timbrewm,2,237,1,5,copy_paste,1,1,1,7,0.7000,4.4939,0.9993,35.21
timbrewm,2,237,2,6,median,1,1,0,9,0.9000,4.6090,0.9997,39.21
timbrewm,2,237,2,6,minimum,1,1,0,9,0.9000,4.5928,0.9996,37.28
timbrewm,2,237,2,6,maximum,1,0,0,9,0.9000,4.5933,0.9996,37.25
timbrewm,2,237,2,6,rand_minmax,1,1,0,9,0.9000,4.4871,0.9996,36.23
timbrewm,2,237,2,6,copy_paste,1,1,0,9,0.9000,4.5287,0.9993,36.32
timbrewm,2,237,3,7,median,1,1,1,7,0.7000,4.5882,0.9995,36.69
timbrewm,2,237,3,7,minimum,1,1,1,8,0.8000,4.5456,0.9994,34.72
timbrewm,2,237,3,7,maximum,1,1,1,8,0.8000,4.5358,0.9994,34.70
timbrewm,2,237,3,7,rand_minmax,1,1,1,8,0.8000,4.2484,0.9992,33.67
timbrewm,2,237,3,7,copy_paste,1,1,1,7,0.7000,4.4644,0.9990,34.39
timbrewm,2,260,0,8,median,0,0,0,10,1.0000,4.5949,0.9993,34.86
timbrewm,2,260,0,8,minimum,1,1,0,8,0.8000,4.4392,0.9986,33.00
timbrewm,2,260,0,8,maximum,1,0,0,9,0.9000,4.4530,0.9987,33.01
timbrewm,2,260,0,8,rand_minmax,1,1,0,8,0.8000,3.9275,0.9981,31.88
timbrewm,2,260,0,8,copy_paste,0,0,0,10,1.0000,4.4507,0.9983,31.83
timbrewm,2,260,1,9,median,1,1,1,7,0.7000,4.5781,0.9990,33.17
timbrewm,2,260,1,9,minimum,1,1,1,8,0.8000,4.4148,0.9983,31.33
timbrewm,2,260,1,9,maximum,1,1,1,8,0.8000,4.4239,0.9983,31.30
timbrewm,2,260,1,9,rand_minmax,1,1,1,8,0.8000,3.6312,0.9971,30.17
timbrewm,2,260,1,9,copy_paste,1,1,1,8,0.8000,4.3971,0.9978,30.32
timbrewm,2,260,2,10,median,1,0,0,9,0.9000,4.6084,0.9993,35.44
timbrewm,2,260,2,10,minimum,1,0,0,9,0.9000,4.4685,0.9987,33.56
timbrewm,2,260,2,10,maximum,1,0,0,9,0.9000,4.4853,0.9987,33.59
timbrewm,2,260,2,10,rand_minmax,1,0,0,9,0.9000,3.7939,0.9980,32.43
timbrewm,2,260,2,10,copy_paste,1,1,0,9,0.9000,4.4317,0.9981,32.05
timbrewm,2,260,3,11,median,0,0,0,10,1.0000,4.5363,0.9991,34.49
timbrewm,2,260,3,11,minimum,1,1,0,9,0.9000,4.4255,0.9986,32.62
timbrewm,2,260,3,11,maximum,1,0,0,9,0.9000,4.4232,0.9986,32.57
timbrewm,2,260,3,11,rand_minmax,1,1,1,9,0.9000,3.8083,0.9980,31.51
timbrewm,2,260,3,11,copy_paste,1,0,0,9,0.9000,4.3024,0.9982,31.76
timbrewm,2,672,0,12,median,1,1,1,8,0.8000,4.5876,0.9979,32.50
timbrewm,2,672,0,12,minimum,1,1,1,9,0.9000,4.4526,0.9970,30.39
timbrewm,2,672,0,12,maximum,1,1,1,9,0.9000,4.4460,0.9971,30.43
timbrewm,2,672,0,12,rand_minmax,1,1,1,8,0.8000,4.2291,0.9960,29.43
timbrewm,2,672,0,12,copy_paste,1,1,0,8,0.8000,4.4741,0.9944,29.87
timbrewm,2,672,1,13,median,1,1,1,7,0.7000,4.5819,0.9974,31.66
timbrewm,2,672,1,13,minimum,1,1,1,7,0.7000,4.4313,0.9957,29.59
timbrewm,2,672,1,13,maximum,1,1,1,7,0.7000,4.4235,0.9959,29.58
timbrewm,2,672,1,13,rand_minmax,1,1,1,7,0.7000,4.1633,0.9946,28.60
timbrewm,2,672,1,13,copy_paste,1,1,1,7,0.7000,4.3616,0.9937,29.04
timbrewm,2,672,2,14,median,1,1,1,6,0.6000,4.5031,0.9974,30.51
timbrewm,2,672,2,14,minimum,1,1,1,7,0.7000,4.2688,0.9963,28.33
timbrewm,2,672,2,14,maximum,1,1,1,7,0.7000,4.2513,0.9962,28.34
timbrewm,2,672,2,14,rand_minmax,1,1,1,7,0.7000,4.0076,0.9948,27.58
