model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
wmcodec,3,121,0,0,median,1,1,1,11,0.6875,3.5099,0.9928,13.72
wmcodec,3,121,0,0,minimum,1,1,1,11,0.6875,2.0285,0.9743,10.30
wmcodec,3,121,0,0,maximum,1,1,1,12,0.7500,2.0873,0.9756,10.40
wmcodec,3,121,0,0,rand_minmax,1,1,1,12,0.7500,1.5133,0.9622,9.61
wmcodec,3,121,0,0,copy_paste,1,1,1,13,0.8125,4.0527,0.9915,11.31
wmcodec,3,121,1,1,median,1,1,0,14,0.8750,3.2573,0.9917,13.09
wmcodec,3,121,1,1,minimum,1,1,1,11,0.6875,1.8898,0.9715,9.41
wmcodec,3,121,1,1,maximum,1,1,1,13,0.8125,1.9315,0.9722,9.51
wmcodec,3,121,1,1,rand_minmax,1,1,1,12,0.7500,1.4683,0.9588,8.77
wmcodec,3,121,1,1,copy_paste,1,0,0,15,0.9375,4.1219,0.9904,9.91
wmcodec,3,121,2,2,median,1,1,1,11,0.6875,3.5320,0.9927,13.06
wmcodec,3,121,2,2,minimum,1,1,1,11,0.6875,2.0538,0.9773,10.42
wmcodec,3,121,2,2,maximum,1,1,1,11,0.6875,2.0709,0.9769,10.57
wmcodec,3,121,2,2,rand_minmax,1,1,1,15,0.9375,1.5433,0.9659,9.90
wmcodec,3,121,2,2,copy_paste,1,1,1,13,0.8125,4.0744,0.9919,11.30
wmcodec,3,121,3,3,median,1,1,1,12,0.7500,3.5031,0.9916,13.09
wmcodec,3,121,3,3,minimum,1,1,1,10,0.6250,1.9893,0.9732,9.88
wmcodec,3,121,3,3,maximum,1,1,1,11,0.6875,2.0246,0.9740,9.96
wmcodec,3,121,3,3,rand_minmax,1,1,1,12,0.7500,1.5074,0.9625,9.19
wmcodec,3,121,3,3,copy_paste,1,1,1,15,0.9375,3.9316,0.9907,10.00
wmcodec,3,237,0,4,median,1,1,1,8,0.5000,3.7320,0.9944,17.22
wmcodec,3,237,0,4,minimum,1,1,1,8,0.5000,2.7659,0.9827,14.80
wmcodec,3,237,0,4,maximum,1,1,1,8,0.5000,2.8463,0.9841,14.79
wmcodec,3,237,0,4,rand_minmax,1,1,1,10,0.6250,1.6220,0.9735,13.85
wmcodec,3,237,0,4,copy_paste,0,0,0,16,1.0000,4.0763,0.9942,15.65
wmcodec,3,237,1,5,median,1,1,1,13,0.8125,3.7887,0.9946,16.75
wmcodec,3,237,1,5,minimum,1,1,1,10,0.6250,2.8605,0.9840,14.90
wmcodec,3,237,1,5,maximum,1,1,1,13,0.8125,2.9126,0.9862,15.06
wmcodec,3,237,1,5,rand_minmax,1,1,1,12,0.7500,1.6652,0.9743,14.07
wmcodec,3,237,1,5,copy_paste,1,1,1,14,0.8750,4.1619,0.9944,14.88
wmcodec,3,237,2,6,median,1,1,1,12,0.7500,3.7563,0.9943,17.44
wmcodec,3,237,2,6,minimum,1,1,1,14,0.8750,2.8253,0.9832,15.28
wmcodec,3,237,2,6,maximum,1,1,1,9,0.5625,2.8881,0.9848,15.42
wmcodec,3,237,2,6,rand_minmax,1,1,1,12,0.7500,1.6106,0.9735,14.40
wmcodec,3,237,2,6,copy_paste,1,1,1,13,0.8125,4.0819,0.9943,15.25
wmcodec,3,237,3,7,median,1,1,1,14,0.8750,3.7725,0.9934,17.51
wmcodec,3,237,3,7,minimum,1,1,1,11,0.6875,2.8946,0.9834,15.11
wmcodec,3,237,3,7,maximum,1,1,1,13,0.8125,2.9358,0.9842,15.12
wmcodec,3,237,3,7,rand_minmax,1,1,1,13,0.8125,1.6386,0.9712,14.17
wmcodec,3,237,3,7,copy_paste,1,1,1,13,0.8125,4.0926,0.9933,14.94
wmcodec,3,260,0,8,median,1,1,1,9,0.5625,3.1380,0.9783,15.94
wmcodec,3,260,0,8,minimum,1,1,1,10,0.6250,2.4028,0.9576,13.67
wmcodec,3,260,0,8,maximum,1,1,1,11,0.6875,2.4072,0.9606,13.68
wmcodec,3,260,0,8,rand_minmax,1,1,1,12,0.7500,1.2731,0.9250,12.57
wmcodec,3,260,0,8,copy_paste,1,1,1,9,0.5625,3.7354,0.9864,13.60
wmcodec,3,260,1,9,median,1,1,1,12,0.7500,3.2845,0.9837,16.38
wmcodec,3,260,1,9,minimum,1,1,1,13,0.8125,2.5524,0.9653,14.88
wmcodec,3,260,1,9,maximum,1,1,1,13,0.8125,2.5457,0.9663,14.95
wmcodec,3,260,1,9,rand_minmax,1,1,1,14,0.8750,1.3239,0.9400,13.80
