model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
audioseal,8,121,0,0,bdb,1,1,1,13,0.8125,4.5508,0.9992,29.13
audioseal,8,121,1,1,bdb,1,1,1,11,0.6875,4.5735,0.9996,29.84
audioseal,8,121,2,2,bdb,1,1,1,12,0.7500,4.5660,0.9994,30.49
audioseal,8,121,3,3,bdb,1,1,1,14,0.8750,4.5669,0.9996,30.71
audioseal,8,237,0,4,bdb,1,1,1,12,0.7500,4.5833,0.9998,33.06
audioseal,8,237,1,5,bdb,1,1,1,15,0.9375,4.6287,1.0000,44.16
audioseal,8,237,2,6,bdb,1,1,1,11,0.6875,4.5984,0.9999,38.00
audioseal,8,237,3,7,bdb,1,1,1,15,0.9375,4.5926,0.9999,36.26
audioseal,8,260,0,8,bdb,1,1,1,11,0.6875,4.5824,0.9990,34.31
audioseal,8,260,1,9,bdb,1,1,1,13,0.8125,4.5449,0.9987,33.29
audioseal,8,260,2,10,bdb,1,1,1,12,0.7500,4.6242,0.9996,38.74
audioseal,8,260,3,11,bdb,1,1,1,13,0.8125,4.6220,0.9996,38.14
audioseal,8,672,0,12,bdb,1,1,1,14,0.8750,4.5155,0.9975,28.24
audioseal,8,672,1,13,bdb,1,1,1,15,0.9375,4.5583,0.9979,32.17
audioseal,8,672,2,14,bdb,1,1,1,12,0.7500,4.5736,0.9989,30.37
audioseal,8,672,3,15,bdb,1,1,1,13,0.8125,4.5525,0.9984,29.94
audioseal,8,908,0,16,bdb,1,1,1,14,0.8750,4.5610,0.9984,32.83
audioseal,8,908,1,17,bdb,1,1,1,12,0.7500,4.5775,0.9983,33.50
audioseal,8,908,2,18,bdb,1,1,1,12,0.7500,4.5886,0.9984,33.16
audioseal,8,908,3,19,bdb,1,1,1,11,0.6875,4.6023,0.9992,35.36
audioseal,8,1089,0,20,bdb,1,1,1,14,0.8750,4.5595,0.9988,31.56
audioseal,8,1089,1,21,bdb,1,1,1,14,0.8750,4.6132,0.9995,34.93
audioseal,8,1089,2,22,bdb,1,1,1,12,0.7500,4.5725,0.9988,30.19
audioseal,8,1089,3,23,bdb,1,1,1,11,0.6875,4.5838,0.9988,32.04
audioseal,8,1188,0,24,bdb,1,1,1,10,0.6250,4.5987,0.9977,32.33
audioseal,8,1188,1,25,bdb,1,1,1,13,0.8125,4.5654,0.9952,28.95
audioseal,8,1188,2,26,bdb,1,1,1,12,0.7500,4.5567,0.9962,28.00
audioseal,8,1188,3,27,bdb,1,1,1,13,0.8125,4.5966,0.9979,32.55
audioseal,8,1221,0,28,bdb,1,1,0,14,0.8750,4.5653,0.9983,30.61
audioseal,8,1221,1,29,bdb,1,1,1,14,0.8750,4.6217,0.9997,33.28
audioseal,8,1221,2,30,bdb,1,1,1,12,0.7500,4.6043,0.9992,31.18
audioseal,8,1221,3,31,bdb,1,1,1,11,0.6875,4.5544,0.9982,29.91
audioseal,8,1284,0,32,bdb,1,1,1,13,0.8125,4.5834,0.9992,31.93
audioseal,8,1284,1,33,bdb,1,1,1,12,0.7500,4.6134,0.9997,35.82
audioseal,8,1284,2,34,bdb,1,1,1,11,0.6875,4.5957,0.9996,34.82
audioseal,8,1284,3,35,bdb,1,1,1,14,0.8750,4.5750,0.9995,33.46
audioseal,8,1320,0,36,bdb,1,1,1,15,0.9375,4.5913,0.9994,33.48
audioseal,8,1320,1,37,bdb,1,1,1,13,0.8125,4.6042,0.9997,36.72
audioseal,8,1320,2,38,bdb,1,1,1,12,0.7500,4.5782,0.9994,34.42
audioseal,8,1320,3,39,bdb,1,1,1,14,0.8750,4.5716,0.9992,32.22
audioseal,8,1580,0,40,bdb,1,1,1,10,0.6250,4.5587,0.9987,27.07
audioseal,8,1580,1,41,bdb,1,1,1,13,0.8125,4.5126,0.9969,25.04
audioseal,8,1580,2,42,bdb,1,1,1,13,0.8125,4.5628,0.9980,23.54
audioseal,8,1580,3,43,bdb,1,1,1,13,0.8125,4.5194,0.9976,23.38
audioseal,8,1995,0,44,bdb,1,1,1,12,0.7500,4.5863,0.9990,35.03
audioseal,8,1995,1,45,bdb,1,1,1,11,0.6875,4.6063,0.9992,35.47
audioseal,8,1995,2,46,bdb,1,1,1,14,0.8750,4.6201,0.9996,41.28
audioseal,8,1995,3,47,bdb,1,1,1,14,0.8750,4.5717,0.9988,36.29
audioseal,8,2300,0,48,bdb,1,1,1,12,0.7500,4.5813,0.9993,35.93
audioseal,8,2300,1,49,bdb,0,0,0,16,1.0000,4.5673,0.9992,35.16
audioseal,8,2300,2,50,bdb,1,1,1,13,0.8125,4.6197,0.9997,41.19
audioseal,8,2300,3,51,bdb,1,1,1,11,0.6875,4.5842,0.9994,37.39
audioseal,8,2830,0,52,bdb,1,1,1,13,0.8125,4.5767,0.9991,33.61
audioseal,8,2830,1,53,bdb,1,1,1,14,0.8750,4.6117,0.9996,37.01
audioseal,8,2830,2,54,bdb,1,1,1,13,0.8125,4.5752,0.9992,36.02
audioseal,8,2830,3,55,bdb,1,1,1,13,0.8125,4.5663,0.9991,34.46
audioseal,8,2961,0,56,bdb,1,1,0,15,0.9375,4.5771,0.9992,32.96
audioseal,8,2961,1,57,bdb,1,1,1,12,0.7500,4.5860,0.9994,33.12
audioseal,8,2961,2,58,bdb,1,1,1,14,0.8750,4.5885,0.9995,33.67
audioseal,8,2961,3,59,bdb,1,1,1,11,0.6875,4.5787,0.9995,31.21
audioseal,8,3570,0,60,bdb,1,1,1,12,0.7500,4.5788,0.9997,37.80
audioseal,8,3570,1,61,bdb,1,1,1,12,0.7500,4.5827,0.9996,38.37
audioseal,8,3570,2,62,bdb,1,1,1,13,0.8125,4.6069,0.9998,38.40
audioseal,8,3570,3,63,bdb,1,1,1,13,0.8125,4.5835,0.9996,38.73
audioseal,8,3575,0,64,bdb,0,0,0,16,1.0000,4.5755,0.9991,32.79
audioseal,8,3575,1,65,bdb,1,1,1,13,0.8125,4.5686,0.9993,31.26
audioseal,8,3575,2,66,bdb,1,1,1,11,0.6875,4.5391,0.9991,33.94
audioseal,8,3575,3,67,bdb,1,0,0,15,0.9375,4.6130,0.9998,40.84
audioseal,8,3729,0,68,bdb,1,1,1,13,0.8125,4.6272,0.9996,31.87
audioseal,8,3729,1,69,bdb,1,1,1,12,0.7500,4.5943,0.9995,28.98
audioseal,8,3729,2,70,bdb,1,1,1,14,0.8750,4.5631,0.9992,26.57
audioseal,8,3729,3,71,bdb,1,1,1,15,0.9375,4.5580,0.9993,26.00
audioseal,8,4077,0,72,bdb,1,1,1,12,0.7500,4.5645,0.9989,35.27
audioseal,8,4077,1,73,bdb,1,1,1,12,0.7500,4.6175,0.9996,40.78
audioseal,8,4077,2,74,bdb,1,1,1,12,0.7500,4.5776,0.9992,34.84
audioseal,8,4077,3,75,bdb,1,1,1,13,0.8125,4.5568,0.9988,34.51
audioseal,8,4446,0,76,bdb,1,1,1,15,0.9375,4.5855,0.9999,32.65
audioseal,8,4446,1,77,bdb,1,1,1,13,0.8125,4.6168,1.0000,36.41
audioseal,8,4446,2,78,bdb,1,1,1,11,0.6875,4.5870,0.9999,31.59
audioseal,8,4446,3,79,bdb,1,1,1,12,0.7500,4.6162,0.9999,35.71
audioseal,8,4507,0,80,bdb,1,1,1,13,0.8125,4.5936,0.9993,39.85
audioseal,8,4507,1,81,bdb,1,1,1,14,0.8750,4.5903,0.9992,39.64
audioseal,8,4507,2,82,bdb,1,1,1,13,0.8125,4.5680,0.9990,37.52
audioseal,8,4507,3,83,bdb,1,1,1,13,0.8125,4.6098,0.9993,40.77
audioseal,8,4970,0,84,bdb,1,1,1,13,0.8125,4.5813,0.9997,31.61
audioseal,8,4970,1,85,bdb,1,1,1,11,0.6875,4.5776,0.9998,33.49
audioseal,8,4970,2,86,bdb,1,1,1,13,0.8125,4.5663,0.9997,30.97
audioseal,8,4970,3,87,bdb,1,1,1,12,0.7500,4.5862,0.9997,31.82
audioseal,8,4992,0,88,bdb,1,1,1,12,0.7500,4.5728,0.9994,33.63
audioseal,8,4992,1,89,bdb,1,1,1,10,0.6250,4.5837,0.9993,33.78
audioseal,8,4992,2,90,bdb,1,1,1,14,0.8750,4.5684,0.9992,33.42
audioseal,8,4992,3,91,bdb,1,1,1,13,0.8125,4.5536,0.9989,29.66
audioseal,8,5105,0,92,bdb,1,0,0,15,0.9375,4.5834,0.9995,32.16
audioseal,8,5105,1,93,bdb,1,1,1,12,0.7500,4.5723,0.9994,31.15
audioseal,8,5105,2,94,bdb,1,1,1,13,0.8125,4.5356,0.9992,31.12
audioseal,8,5105,3,95,bdb,1,1,1,13,0.8125,4.4829,0.9993,30.70
audioseal,8,5142,0,96,bdb,1,1,1,11,0.6875,4.5612,0.9999,32.01
audioseal,8,5142,1,97,bdb,1,1,1,13,0.8125,4.5969,0.9999,32.94
audioseal,8,5142,2,98,bdb,1,1,1,13,0.8125,4.5474,0.9997,29.28
audioseal,8,5142,3,99,bdb,1,1,1,12,0.7500,4.5753,0.9998,30.23
audioseal,8,5639,0,100,bdb,1,1,1,13,0.8125,4.5569,0.9990,29.05
audioseal,8,5639,1,101,bdb,1,1,1,14,0.8750,4.5320,0.9988,29.15
audioseal,8,5639,2,102,bdb,1,1,1,13,0.8125,4.5485,0.9989,27.96
audioseal,8,5639,3,103,bdb,1,1,1,15,0.9375,4.5675,0.9993,31.55
audioseal,8,5683,0,104,bdb,1,1,1,13,0.8125,4.5605,0.9993,32.50
audioseal,8,5683,1,105,bdb,1,1,1,13,0.8125,4.5708,0.9995,33.87
audioseal,8,5683,2,106,bdb,1,1,1,11,0.6875,4.6019,0.9997,36.16
audioseal,8,5683,3,107,bdb,1,1,1,14,0.8750,4.5641,0.9994,30.38
audioseal,8,6829,0,108,bdb,1,1,1,14,0.8750,4.6238,0.9996,38.36
audioseal,8,6829,1,109,bdb,1,1,1,12,0.7500,4.5589,0.9993,35.01
audioseal,8,6829,2,110,bdb,1,1,1,14,0.8750,4.5828,0.9994,35.07
audioseal,8,6829,3,111,bdb,1,1,1,12,0.7500,4.5369,0.9993,33.68
audioseal,8,6930,0,112,bdb,1,1,1,13,0.8125,4.5962,0.9992,38.82
audioseal,8,6930,1,113,bdb,1,1,1,12,0.7500,4.5481,0.9976,34.99
audioseal,8,6930,2,114,bdb,1,0,0,15,0.9375,4.5477,0.9978,34.60
audioseal,8,6930,3,115,bdb,1,1,1,14,0.8750,4.5482,0.9981,34.27
audioseal,8,7021,0,116,bdb,1,1,1,11,0.6875,4.5855,0.9994,38.56
audioseal,8,7021,1,117,bdb,1,1,1,12,0.7500,4.5870,0.9993,38.75
audioseal,8,7021,2,118,bdb,1,1,1,12,0.7500,4.5815,0.9989,37.93
audioseal,8,7021,3,119,bdb,1,1,1,14,0.8750,4.5518,0.9989,36.72
audioseal,8,7127,0,120,bdb,1,1,1,13,0.8125,4.5344,0.9979,29.14
audioseal,8,7127,1,121,bdb,1,1,1,11,0.6875,4.6037,0.9986,33.22
audioseal,8,7127,2,122,bdb,1,1,1,12,0.7500,4.5707,0.9979,30.09
audioseal,8,7127,3,123,bdb,1,1,1,13,0.8125,4.6004,0.9991,33.71
audioseal,8,7176,0,124,bdb,1,1,1,13,0.8125,4.5807,0.9997,34.50
audioseal,8,7176,1,125,bdb,1,1,1,10,0.6250,4.5750,0.9996,34.62
audioseal,8,7176,2,126,bdb,1,1,1,13,0.8125,4.5830,0.9996,34.66
audioseal,8,7176,3,127,bdb,1,1,1,13,0.8125,4.5871,0.9997,34.29
audioseal,8,7729,0,128,bdb,1,1,1,11,0.6875,4.5866,0.9994,33.11
audioseal,8,7729,1,129,bdb,1,1,1,14,0.8750,4.5656,0.9995,32.29
audioseal,8,7729,2,130,bdb,1,1,1,11,0.6875,4.6130,0.9997,35.66
audioseal,8,7729,3,131,bdb,1,1,0,15,0.9375,4.6147,0.9997,38.25
audioseal,8,8224,0,132,bdb,1,1,1,12,0.7500,4.5789,0.9989,37.51
audioseal,8,8224,1,133,bdb,1,1,1,13,0.8125,4.5880,0.9992,39.01
audioseal,8,8224,2,134,bdb,1,1,1,11,0.6875,4.5831,0.9989,36.71
audioseal,8,8224,3,135,bdb,1,1,1,12,0.7500,4.5779,0.9989,37.21
audioseal,8,8230,0,136,bdb,1,1,1,12,0.7500,4.6065,0.9995,37.19
audioseal,8,8230,1,137,bdb,1,1,1,13,0.8125,4.5755,0.9987,32.50
audioseal,8,8230,2,138,bdb,1,1,1,13,0.8125,4.6085,0.9996,38.76
audioseal,8,8230,3,139,bdb,1,1,1,15,0.9375,4.5501,0.9988,33.34
audioseal,8,8455,0,140,bdb,1,1,1,12,0.7500,4.5981,0.9998,36.76
audioseal,8,8455,1,141,bdb,1,1,1,12,0.7500,4.6018,0.9998,36.66
