model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
voicemark,3,121,0,0,bdb,1,1,1,11,0.6875,4.1036,0.9763,11.56
voicemark,3,121,1,1,bdb,1,1,1,9,0.5625,3.4194,0.9681,7.75
voicemark,3,121,2,2,bdb,1,1,1,12,0.7500,3.3270,0.9687,8.85
voicemark,3,121,3,3,bdb,1,1,1,14,0.8750,4.0104,0.9764,11.49
voicemark,3,237,0,4,bdb,0,0,0,16,1.0000,3.9992,0.9867,16.42
voicemark,3,237,1,5,bdb,1,1,1,10,0.6250,4.2697,0.9877,15.33
voicemark,3,237,2,6,bdb,1,1,1,11,0.6875,4.4898,0.9926,16.14
voicemark,3,237,3,7,bdb,1,1,1,14,0.8750,4.2649,0.9918,15.97
voicemark,3,260,0,8,bdb,1,1,1,11,0.6875,3.6021,0.9762,15.93
voicemark,3,260,1,9,bdb,1,1,1,12,0.7500,3.9171,0.9723,12.49
voicemark,3,260,2,10,bdb,1,1,1,11,0.6875,3.3360,0.9686,11.68
voicemark,3,260,3,11,bdb,1,1,1,8,0.5000,4.0572,0.9864,16.43
voicemark,3,672,0,12,bdb,1,1,1,14,0.8750,3.7742,0.9687,11.98
voicemark,3,672,1,13,bdb,1,1,1,8,0.5000,4.0278,0.9772,11.35
voicemark,3,672,2,14,bdb,1,1,1,12,0.7500,3.8076,0.9732,11.40
voicemark,3,672,3,15,bdb,1,1,1,10,0.6250,3.5426,0.9605,9.47
voicemark,3,908,0,16,bdb,1,1,1,12,0.7500,3.6319,0.9577,11.94
voicemark,3,908,1,17,bdb,1,1,1,12,0.7500,3.7407,0.9693,12.91
voicemark,3,908,2,18,bdb,1,1,1,12,0.7500,4.0784,0.9784,15.67
voicemark,3,908,3,19,bdb,1,1,1,14,0.8750,3.4960,0.9534,11.28
voicemark,3,1089,0,20,bdb,1,1,1,10,0.6250,4.3137,0.9876,17.13
voicemark,3,1089,1,21,bdb,1,0,0,14,0.8750,4.4871,0.9896,16.95
voicemark,3,1089,2,22,bdb,1,1,0,15,0.9375,4.4657,0.9924,18.59
voicemark,3,1089,3,23,bdb,1,1,1,12,0.7500,4.3982,0.9871,16.80
voicemark,3,1188,0,24,bdb,1,1,0,11,0.6875,3.9560,0.9681,15.71
voicemark,3,1188,1,25,bdb,1,1,1,15,0.9375,4.0017,0.9625,13.60
voicemark,3,1188,2,26,bdb,1,1,1,14,0.8750,3.8430,0.9599,13.66
voicemark,3,1188,3,27,bdb,1,1,1,8,0.5000,4.3207,0.9811,18.89
voicemark,3,1221,0,28,bdb,1,1,1,12,0.7500,4.4195,0.9919,14.39
voicemark,3,1221,1,29,bdb,1,1,1,11,0.6875,4.0445,0.9669,11.08
voicemark,3,1221,2,30,bdb,1,1,1,12,0.7500,4.0697,0.9870,12.07
voicemark,3,1221,3,31,bdb,1,1,1,10,0.6250,3.7912,0.9767,8.37
voicemark,3,1284,0,32,bdb,1,1,1,9,0.5625,4.0728,0.9817,17.62
voicemark,3,1284,1,33,bdb,1,1,1,13,0.8125,3.9707,0.9768,15.10
voicemark,3,1284,2,34,bdb,1,1,1,12,0.7500,4.5101,0.9909,18.44
voicemark,3,1284,3,35,bdb,1,0,0,14,0.8750,3.7236,0.9801,18.61
voicemark,3,1320,0,36,bdb,1,1,1,9,0.5625,4.0510,0.9847,19.11
voicemark,3,1320,1,37,bdb,1,1,1,9,0.5625,4.4929,0.9929,18.75
voicemark,3,1320,2,38,bdb,1,1,1,14,0.8750,4.1701,0.9871,18.18
voicemark,3,1320,3,39,bdb,1,1,1,12,0.7500,4.3555,0.9887,21.53
voicemark,3,1580,0,40,bdb,1,1,1,10,0.6250,4.1025,0.9760,8.49
voicemark,3,1580,1,41,bdb,1,1,1,11,0.6875,3.5857,0.9673,7.59
voicemark,3,1580,2,42,bdb,1,1,0,13,0.8125,3.6177,0.9729,8.03
voicemark,3,1580,3,43,bdb,1,1,1,9,0.5625,3.6884,0.9760,7.46
voicemark,3,1995,0,44,bdb,1,1,1,10,0.6250,4.3256,0.9802,18.64
voicemark,3,1995,1,45,bdb,1,1,1,11,0.6875,4.4017,0.9813,19.32
voicemark,3,1995,2,46,bdb,1,1,1,12,0.7500,4.3898,0.9791,21.04
voicemark,3,1995,3,47,bdb,1,1,1,11,0.6875,4.1829,0.9770,19.22
voicemark,3,2300,0,48,bdb,1,1,1,12,0.7500,4.4821,0.9897,18.24
voicemark,3,2300,1,49,bdb,1,1,1,12,0.7500,4.1409,0.9788,16.13
voicemark,3,2300,2,50,bdb,1,1,1,12,0.7500,4.0494,0.9885,19.73
voicemark,3,2300,3,51,bdb,1,1,1,12,0.7500,3.5356,0.9694,14.92
voicemark,3,2830,0,52,bdb,1,1,1,10,0.6250,4.3685,0.9851,17.62
voicemark,3,2830,1,53,bdb,1,1,1,9,0.5625,4.0911,0.9817,16.87
voicemark,3,2830,2,54,bdb,1,1,1,12,0.7500,4.1831,0.9758,14.73
voicemark,3,2830,3,55,bdb,1,1,1,12,0.7500,4.2446,0.9843,15.93
voicemark,3,2961,0,56,bdb,1,1,1,12,0.7500,4.0630,0.9792,14.78
voicemark,3,2961,1,57,bdb,1,1,1,15,0.9375,4.2007,0.9798,16.76
voicemark,3,2961,2,58,bdb,1,1,1,12,0.7500,4.3202,0.9898,15.96
voicemark,3,2961,3,59,bdb,1,1,1,14,0.8750,4.0634,0.9772,13.80
voicemark,3,3570,0,60,bdb,0,0,0,16,1.0000,4.0072,0.9761,17.88
voicemark,3,3570,1,61,bdb,1,1,1,12,0.7500,4.2460,0.9809,17.37
voicemark,3,3570,2,62,bdb,1,1,1,10,0.6250,4.0333,0.9729,15.55
voicemark,3,3570,3,63,bdb,1,1,1,12,0.7500,3.9165,0.9832,18.45
voicemark,3,3575,0,64,bdb,1,1,1,13,0.8125,3.8906,0.9745,14.85
voicemark,3,3575,1,65,bdb,1,1,1,12,0.7500,4.0117,0.9824,18.85
