model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
wavmark,8,121,0,0,bdb,1,1,1,12,0.7500,4.3958,0.9999,36.90
wavmark,8,121,1,1,bdb,1,1,1,11,0.6875,4.4380,1.0000,39.88
wavmark,8,121,2,2,bdb,1,1,1,13,0.8125,4.4295,1.0000,39.15
wavmark,8,121,3,3,bdb,1,1,1,11,0.6875,4.4289,1.0000,38.49
wavmark,8,237,0,4,bdb,1,1,1,13,0.8125,4.6172,1.0000,46.11
wavmark,8,237,1,5,bdb,1,1,1,13,0.8125,4.5911,0.9999,41.79
wavmark,8,237,2,6,bdb,1,1,1,13,0.8125,4.5654,0.9999,41.27
wavmark,8,237,3,7,bdb,1,1,0,15,0.9375,4.5911,0.9999,42.83
wavmark,8,260,0,8,bdb,1,1,1,11,0.6875,4.5620,0.9994,41.95
wavmark,8,260,1,9,bdb,1,1,1,12,0.7500,4.5958,0.9994,43.73
wavmark,8,260,2,10,bdb,1,1,1,14,0.8750,4.5247,0.9981,39.76
wavmark,8,260,3,11,bdb,1,1,1,13,0.8125,4.6138,0.9997,45.57
wavmark,8,672,0,12,bdb,1,1,1,13,0.8125,4.6149,0.9979,44.43
wavmark,8,672,1,13,bdb,1,1,1,14,0.8750,4.5902,0.9978,42.57
wavmark,8,672,2,14,bdb,1,1,1,12,0.7500,4.5918,0.9978,41.74
wavmark,8,672,3,15,bdb,1,1,1,11,0.6875,4.5793,0.9962,40.18
wavmark,8,908,0,16,bdb,1,1,1,14,0.8750,4.5325,0.9987,39.73
wavmark,8,908,1,17,bdb,1,1,1,11,0.6875,4.5542,0.9991,40.84
wavmark,8,908,2,18,bdb,1,1,1,11,0.6875,4.5686,0.9992,41.78
wavmark,8,908,3,19,bdb,1,1,1,12,0.7500,4.5883,0.9994,43.54
wavmark,8,1089,0,20,bdb,1,1,1,13,0.8125,4.5649,0.9995,40.23
wavmark,8,1089,1,21,bdb,1,1,1,12,0.7500,4.6113,0.9998,44.87
wavmark,8,1089,2,22,bdb,1,1,1,12,0.7500,4.6049,0.9997,44.32
wavmark,8,1089,3,23,bdb,1,1,1,12,0.7500,4.6170,0.9998,45.31
wavmark,8,1188,0,24,bdb,1,1,1,13,0.8125,4.5971,0.9953,43.88
wavmark,8,1188,1,25,bdb,1,1,1,11,0.6875,4.5443,0.9896,39.74
wavmark,8,1188,2,26,bdb,1,1,1,12,0.7500,4.5995,0.9967,44.75
wavmark,8,1188,3,27,bdb,1,1,1,11,0.6875,4.5488,0.9907,40.28
wavmark,8,1221,0,28,bdb,1,1,1,12,0.7500,4.6183,0.9996,41.20
wavmark,8,1221,1,29,bdb,0,0,0,16,1.0000,4.5937,0.9997,38.68
wavmark,8,1221,2,30,bdb,1,1,1,13,0.8125,4.5873,0.9995,37.55
wavmark,8,1221,3,31,bdb,1,1,1,12,0.7500,4.5984,0.9997,40.67
wavmark,8,1284,0,32,bdb,1,1,1,11,0.6875,4.5845,0.9996,42.24
wavmark,8,1284,1,33,bdb,1,1,1,12,0.7500,4.5324,0.9995,40.72
wavmark,8,1284,2,34,bdb,1,1,1,11,0.6875,4.5685,0.9995,41.03
wavmark,8,1284,3,35,bdb,1,1,1,12,0.7500,4.5464,0.9995,40.63
wavmark,8,1320,0,36,bdb,1,1,1,14,0.8750,4.5478,0.9996,41.86
wavmark,8,1320,1,37,bdb,1,1,1,13,0.8125,4.5369,0.9997,42.14
wavmark,8,1320,2,38,bdb,1,1,1,12,0.7500,4.5319,0.9995,41.26
wavmark,8,1320,3,39,bdb,1,1,1,15,0.9375,4.5111,0.9995,40.18
wavmark,8,1580,0,40,bdb,1,1,1,11,0.6875,4.5964,0.9970,37.62
wavmark,8,1580,1,41,bdb,1,1,1,10,0.6250,4.5835,0.9973,37.91
wavmark,8,1580,2,42,bdb,1,1,1,11,0.6875,4.5621,0.9951,36.11
wavmark,8,1580,3,43,bdb,1,1,1,14,0.8750,4.4442,0.9917,33.36
wavmark,8,1995,0,44,bdb,1,1,1,12,0.7500,4.5898,0.9997,44.77
wavmark,8,1995,1,45,bdb,1,1,1,13,0.8125,4.5384,0.9992,41.81
wavmark,8,1995,2,46,bdb,1,1,1,11,0.6875,4.5652,0.9993,42.27
wavmark,8,1995,3,47,bdb,1,1,1,13,0.8125,4.4741,0.9992,41.61
wavmark,8,2300,0,48,bdb,1,1,1,10,0.6250,4.4942,0.9995,41.48
wavmark,8,2300,1,49,bdb,1,1,1,14,0.8750,4.5202,0.9996,42.25
wavmark,8,2300,2,50,bdb,1,1,1,13,0.8125,4.5556,0.9998,46.40
wavmark,8,2300,3,51,bdb,1,1,1,13,0.8125,4.3680,0.9993,40.00
wavmark,8,2830,0,52,bdb,1,1,1,13,0.8125,4.5471,0.9998,39.85
wavmark,8,2830,1,53,bdb,1,0,0,15,0.9375,4.5935,0.9999,43.58
wavmark,8,2830,2,54,bdb,1,1,1,13,0.8125,4.6041,0.9999,43.87
wavmark,8,2830,3,55,bdb,1,1,1,14,0.8750,4.6180,0.9999,44.95
wavmark,8,2961,0,56,bdb,1,1,1,13,0.8125,4.5854,0.9999,44.35
wavmark,8,2961,1,57,bdb,1,1,1,13,0.8125,4.5473,0.9997,40.57
wavmark,8,2961,2,58,bdb,1,1,1,13,0.8125,4.5556,0.9998,40.72
wavmark,8,2961,3,59,bdb,1,1,1,14,0.8750,4.5543,0.9998,41.26
wavmark,8,3570,0,60,bdb,1,1,1,13,0.8125,4.5129,0.9997,40.29
wavmark,8,3570,1,61,bdb,1,1,1,12,0.7500,4.5333,0.9997,40.85
wavmark,8,3570,2,62,bdb,1,1,1,13,0.8125,4.5697,0.9998,41.94
wavmark,8,3570,3,63,bdb,1,1,1,12,0.7500,4.5299,0.9997,40.93
wavmark,8,3575,0,64,bdb,1,1,1,12,0.7500,4.5284,0.9997,40.48
wavmark,8,3575,1,65,bdb,1,1,1,12,0.7500,4.5560,0.9997,42.89
wavmark,8,3575,2,66,bdb,1,1,1,12,0.7500,4.5251,0.9997,41.09
wavmark,8,3575,3,67,bdb,1,1,1,13,0.8125,4.5063,0.9996,40.23
wavmark,8,3729,0,68,bdb,1,1,1,13,0.8125,4.6263,0.9999,39.80
wavmark,8,3729,1,69,bdb,1,1,1,13,0.8125,4.6185,0.9999,39.78
wavmark,8,3729,2,70,bdb,1,1,1,12,0.7500,4.6172,0.9999,38.56
wavmark,8,3729,3,71,bdb,1,0,0,15,0.9375,4.5975,0.9999,37.46
wavmark,8,4077,0,72,bdb,1,1,1,13,0.8125,4.5613,0.9997,42.26
wavmark,8,4077,1,73,bdb,1,1,1,12,0.7500,4.6070,0.9999,45.04
wavmark,8,4077,2,74,bdb,1,1,1,13,0.8125,4.4891,0.9993,39.96
wavmark,8,4077,3,75,bdb,1,1,1,11,0.6875,4.5824,0.9998,44.40
wavmark,8,4446,0,76,bdb,1,1,1,15,0.9375,4.6235,1.0000,44.67
wavmark,8,4446,1,77,bdb,1,1,1,13,0.8125,4.5659,1.0000,39.55
wavmark,8,4446,2,78,bdb,1,1,1,13,0.8125,4.5371,1.0000,40.27
wavmark,8,4446,3,79,bdb,1,1,1,14,0.8750,4.5765,1.0000,40.99
wavmark,8,4507,0,80,bdb,1,1,1,11,0.6875,4.5218,0.9993,41.45
wavmark,8,4507,1,81,bdb,1,1,1,11,0.6875,4.5024,0.9992,41.06
wavmark,8,4507,2,82,bdb,1,1,1,12,0.7500,4.5517,0.9995,42.72
wavmark,8,4507,3,83,bdb,1,1,1,11,0.6875,4.5908,0.9996,44.26
wavmark,8,4970,0,84,bdb,1,1,1,11,0.6875,4.5132,0.9999,40.22
wavmark,8,4970,1,85,bdb,1,1,1,13,0.8125,4.5591,1.0000,41.09
wavmark,8,4970,2,86,bdb,1,1,1,13,0.8125,4.5856,1.0000,44.20
wavmark,8,4970,3,87,bdb,1,1,1,12,0.7500,4.5457,1.0000,40.69
wavmark,8,4992,0,88,bdb,1,1,1,11,0.6875,4.5140,0.9993,42.03
wavmark,8,4992,1,89,bdb,1,1,1,13,0.8125,4.4935,0.9995,43.96
wavmark,8,4992,2,90,bdb,1,1,1,12,0.7500,4.4590,0.9994,41.73
