model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
wmcodec,3,chinese:SSB0005,0,0,bdb,1,1,1,11,0.6875,4.2162,0.9784,15.26
wmcodec,3,chinese:SSB0005,1,1,bdb,1,1,1,10,0.6250,4.4407,0.9910,18.93
wmcodec,3,chinese:SSB0005,2,2,bdb,1,1,1,9,0.5625,4.2071,0.9893,18.79
wmcodec,3,chinese:SSB0009,0,3,bdb,1,1,1,13,0.8125,4.0705,0.9800,11.63
wmcodec,3,chinese:SSB0009,1,4,bdb,1,1,1,12,0.7500,4.2847,0.9885,15.13
wmcodec,3,chinese:SSB0009,2,5,bdb,1,1,1,10,0.6250,4.4499,0.9885,15.80
wmcodec,3,chinese:SSB0011,0,6,bdb,1,1,1,10,0.6250,3.9948,0.9903,20.15
wmcodec,3,chinese:SSB0011,1,7,bdb,1,1,1,13,0.8125,4.2411,0.9892,18.10
wmcodec,3,chinese:SSB0011,2,8,bdb,1,1,1,10,0.6250,4.4503,0.9901,18.84
wmcodec,3,chinese:SSB0012,0,9,bdb,1,1,1,9,0.5625,4.4632,0.9878,15.62
wmcodec,3,chinese:SSB0012,1,10,bdb,1,1,1,10,0.6250,4.3244,0.9875,15.72
wmcodec,3,chinese:SSB0012,2,11,bdb,1,1,1,12,0.7500,4.3822,0.9894,16.23
wmcodec,3,chinese:SSB0016,0,12,bdb,1,1,1,11,0.6875,4.3830,0.9900,17.59
wmcodec,3,chinese:SSB0016,1,13,bdb,1,1,1,11,0.6875,4.0764,0.9749,13.43
wmcodec,3,chinese:SSB0016,2,14,bdb,1,1,1,12,0.7500,4.3568,0.9895,17.90
wmcodec,3,chinese:SSB0018,0,15,bdb,1,1,1,11,0.6875,4.4383,0.9877,16.18
wmcodec,3,chinese:SSB0018,1,16,bdb,1,1,1,13,0.8125,4.4708,0.9910,17.41
wmcodec,3,chinese:SSB0018,2,17,bdb,1,1,1,11,0.6875,4.3931,0.9894,16.51
wmcodec,3,chinese:SSB0033,0,18,bdb,1,1,1,9,0.5625,4.4000,0.9903,21.40
wmcodec,3,chinese:SSB0033,1,19,bdb,1,1,1,12,0.7500,4.1533,0.9813,17.29
wmcodec,3,chinese:SSB0033,2,20,bdb,1,1,0,15,0.9375,4.4178,0.9918,21.66
wmcodec,3,chinese:SSB0038,0,21,bdb,1,1,1,10,0.6250,4.4442,0.9931,19.12
wmcodec,3,chinese:SSB0038,1,22,bdb,1,1,1,10,0.6250,4.1971,0.9829,14.38
wmcodec,3,chinese:SSB0038,2,23,bdb,1,1,1,9,0.5625,4.4336,0.9902,18.37
wmcodec,3,chinese:SSB0043,0,24,bdb,1,1,1,10,0.6250,3.9347,0.9643,12.54
wmcodec,3,chinese:SSB0043,1,25,bdb,1,1,1,11,0.6875,4.2133,0.9863,18.01
wmcodec,3,chinese:SSB0043,2,26,bdb,1,1,1,11,0.6875,3.8040,0.9666,12.99
wmcodec,3,chinese:SSB0057,0,27,bdb,1,1,1,10,0.6250,4.3957,0.9907,16.57
wmcodec,3,chinese:SSB0057,1,28,bdb,1,1,1,9,0.5625,4.3486,0.9889,17.84
wmcodec,3,chinese:SSB0057,2,29,bdb,1,1,1,11,0.6875,4.3925,0.9878,16.37
wmcodec,3,chinese:SSB0073,0,30,bdb,1,1,1,10,0.6250,3.9357,0.9741,11.33
wmcodec,3,chinese:SSB0073,1,31,bdb,1,1,1,9,0.5625,4.0172,0.9778,12.64
wmcodec,3,chinese:SSB0073,2,32,bdb,1,0,0,13,0.8125,4.0443,0.9736,12.18
wmcodec,3,chinese:SSB0080,0,33,bdb,1,1,1,10,0.6250,4.4401,0.9870,17.44
wmcodec,3,chinese:SSB0080,1,34,bdb,1,1,1,11,0.6875,4.4555,0.9916,18.60
wmcodec,3,chinese:SSB0080,2,35,bdb,1,1,1,13,0.8125,4.1657,0.9760,13.88
wmcodec,3,chinese:SSB0112,0,36,bdb,1,1,1,12,0.7500,4.2652,0.9808,12.55
wmcodec,3,chinese:SSB0112,1,37,bdb,1,1,1,13,0.8125,4.4570,0.9918,16.94
wmcodec,3,chinese:SSB0112,2,38,bdb,1,1,1,11,0.6875,4.4597,0.9922,16.96
wmcodec,3,chinese:SSB0122,0,39,bdb,1,1,1,12,0.7500,4.2845,0.9843,13.52
wmcodec,3,chinese:SSB0122,1,40,bdb,1,1,1,12,0.7500,4.4305,0.9909,17.64
wmcodec,3,chinese:SSB0122,2,41,bdb,1,1,1,12,0.7500,4.5102,0.9929,18.46
wmcodec,3,chinese:SSB0133,0,42,bdb,1,1,1,8,0.5000,3.9045,0.9764,13.31
wmcodec,3,chinese:SSB0133,1,43,bdb,1,1,1,10,0.6250,3.6723,0.9800,14.39
wmcodec,3,chinese:SSB0133,2,44,bdb,1,1,1,10,0.6250,4.0297,0.9792,13.17
wmcodec,3,chinese:SSB0139,0,45,bdb,1,1,1,13,0.8125,4.4801,0.9960,19.59
wmcodec,3,chinese:SSB0139,1,46,bdb,1,1,1,9,0.5625,4.3551,0.9904,14.55
wmcodec,3,chinese:SSB0139,2,47,bdb,1,1,1,12,0.7500,4.1867,0.9898,14.57
wmcodec,3,chinese:SSB0145,0,48,bdb,1,1,1,10,0.6250,4.3784,0.9882,16.98
wmcodec,3,chinese:SSB0145,1,49,bdb,1,1,1,12,0.7500,4.0188,0.9789,12.37
wmcodec,3,chinese:SSB0145,2,50,bdb,1,1,1,9,0.5625,4.0553,0.9789,12.52
wmcodec,3,chinese:SSB0149,0,51,bdb,1,1,1,12,0.7500,4.2670,0.9912,13.74
wmcodec,3,chinese:SSB0149,1,52,bdb,1,1,1,9,0.5625,4.3527,0.9919,14.76
wmcodec,3,chinese:SSB0149,2,53,bdb,1,1,1,12,0.7500,4.4842,0.9927,14.10
wmcodec,3,chinese:SSB0193,0,54,bdb,1,1,1,13,0.8125,4.3929,0.9910,16.32
wmcodec,3,chinese:SSB0193,1,55,bdb,1,1,1,11,0.6875,4.3889,0.9886,15.63
wmcodec,3,chinese:SSB0193,2,56,bdb,1,1,1,13,0.8125,4.4165,0.9887,15.68
wmcodec,3,chinese:SSB0197,0,57,bdb,1,1,1,11,0.6875,4.4683,0.9874,17.60
wmcodec,3,chinese:SSB0197,1,58,bdb,1,1,1,12,0.7500,4.4000,0.9883,16.96
wmcodec,3,chinese:SSB0197,2,59,bdb,1,1,1,12,0.7500,4.4570,0.9885,16.45
wmcodec,3,chinese:SSB0200,0,60,bdb,1,1,1,10,0.6250,4.2981,0.9876,16.51
wmcodec,3,chinese:SSB0200,1,61,bdb,1,1,1,13,0.8125,3.8884,0.9625,11.30
wmcodec,3,chinese:SSB0200,2,62,bdb,1,1,1,9,0.5625,4.3478,0.9847,15.51
wmcodec,3,chinese:SSB0241,0,63,bdb,1,1,1,11,0.6875,4.3985,0.9913,17.35
wmcodec,3,chinese:SSB0241,1,64,bdb,1,1,1,11,0.6875,4.4366,0.9903,17.11
wmcodec,3,chinese:SSB0241,2,65,bdb,1,1,1,7,0.4375,4.4589,0.9902,16.97
wmcodec,3,chinese:SSB0246,0,66,bdb,1,1,1,12,0.7500,4.3838,0.9911,18.10
wmcodec,3,chinese:SSB0246,1,67,bdb,1,1,1,11,0.6875,4.0152,0.9804,14.77
wmcodec,3,chinese:SSB0246,2,68,bdb,1,1,1,12,0.7500,3.9486,0.9808,13.98
wmcodec,3,chinese:SSB0261,0,69,bdb,1,1,1,10,0.6250,3.9268,0.9719,11.62
wmcodec,3,chinese:SSB0261,1,70,bdb,1,1,1,8,0.5000,4.3448,0.9863,16.36
wmcodec,3,chinese:SSB0261,2,71,bdb,1,1,1,8,0.5000,3.9895,0.9713,11.65
wmcodec,3,chinese:SSB0267,0,72,bdb,1,1,1,11,0.6875,3.8114,0.9706,15.25
wmcodec,3,chinese:SSB0267,1,73,bdb,1,1,1,13,0.8125,3.9196,0.9732,14.70
wmcodec,3,chinese:SSB0267,2,74,bdb,1,1,1,12,0.7500,4.3667,0.9883,19.54
wmcodec,3,chinese:SSB0273,0,75,bdb,1,1,1,14,0.8750,4.3558,0.9910,18.76
wmcodec,3,chinese:SSB0273,1,76,bdb,0,0,0,16,1.0000,4.4782,0.9930,19.15
wmcodec,3,chinese:SSB0273,2,77,bdb,1,1,1,12,0.7500,4.4155,0.9922,19.03
wmcodec,3,chinese:SSB0287,0,78,bdb,1,1,1,11,0.6875,4.3069,0.9898,14.78
wmcodec,3,chinese:SSB0287,1,79,bdb,1,1,1,11,0.6875,4.1741,0.9803,12.76
wmcodec,3,chinese:SSB0287,2,80,bdb,1,1,1,8,0.5000,3.8769,0.9741,11.69
wmcodec,3,chinese:SSB0288,0,81,bdb,1,1,1,9,0.5625,4.1865,0.9814,13.71
wmcodec,3,chinese:SSB0288,1,82,bdb,1,1,1,12,0.7500,4.4289,0.9898,17.86
wmcodec,3,chinese:SSB0288,2,83,bdb,1,1,1,10,0.6250,4.3485,0.9920,18.05
wmcodec,3,chinese:SSB0299,0,84,bdb,1,1,1,11,0.6875,4.3076,0.9916,16.81
wmcodec,3,chinese:SSB0299,1,85,bdb,1,1,1,11,0.6875,4.3016,0.9935,16.95
wmcodec,3,chinese:SSB0299,2,86,bdb,1,1,1,10,0.6250,4.3392,0.9933,16.98
wmcodec,3,chinese:SSB0307,0,87,bdb,1,1,1,9,0.5625,4.4205,0.9868,16.94
wmcodec,3,chinese:SSB0307,1,88,bdb,1,1,1,12,0.7500,4.4268,0.9881,16.99
wmcodec,3,chinese:SSB0307,2,89,bdb,1,1,1,13,0.8125,4.4613,0.9897,17.59
wmcodec,3,chinese:SSB0309,0,90,bdb,1,1,1,11,0.6875,4.1098,0.9834,13.96
wmcodec,3,chinese:SSB0309,1,91,bdb,1,1,1,12,0.7500,4.1759,0.9847,14.24
wmcodec,3,chinese:SSB0309,2,92,bdb,1,1,1,9,0.5625,4.4030,0.9933,18.45
wmcodec,3,chinese:SSB0315,0,93,bdb,1,1,1,13,0.8125,4.5089,0.9929,17.86
wmcodec,3,chinese:SSB0315,1,94,bdb,1,1,1,8,0.5000,4.3780,0.9907,17.67
wmcodec,3,chinese:SSB0315,2,95,bdb,1,1,1,11,0.6875,4.1334,0.9809,14.48
wmcodec,3,chinese:SSB0316,0,96,bdb,1,1,1,11,0.6875,4.2012,0.9866,15.13
wmcodec,3,chinese:SSB0316,1,97,bdb,1,1,1,11,0.6875,3.9882,0.9732,11.50
wmcodec,3,chinese:SSB0316,2,98,bdb,1,1,1,11,0.6875,3.6068,0.9712,11.49
wmcodec,3,chinese:SSB0323,0,99,bdb,1,1,1,11,0.6875,4.1088,0.9819,13.19
wmcodec,3,chinese:SSB0323,1,100,bdb,1,1,1,11,0.6875,4.2327,0.9842,12.76
wmcodec,3,chinese:SSB0323,2,101,bdb,1,1,1,12,0.7500,3.9973,0.9821,12.36
wmcodec,3,chinese:SSB0338,0,102,bdb,1,1,1,13,0.8125,4.2163,0.9888,15.29
wmcodec,3,chinese:SSB0338,1,103,bdb,1,1,1,10,0.6250,3.9476,0.9794,10.83
wmcodec,3,chinese:SSB0338,2,104,bdb,1,1,1,15,0.9375,4.4336,0.9915,16.26
wmcodec,3,chinese:SSB0339,0,105,bdb,1,1,1,13,0.8125,3.7920,0.9669,11.24
wmcodec,3,chinese:SSB0339,1,106,bdb,1,1,1,12,0.7500,4.1070,0.9826,15.15
wmcodec,3,chinese:SSB0339,2,107,bdb,1,1,1,10,0.6250,4.1238,0.9845,14.80
wmcodec,3,chinese:SSB0341,0,108,bdb,1,1,1,9,0.5625,4.0737,0.9743,13.40
wmcodec,3,chinese:SSB0341,1,109,bdb,1,1,1,9,0.5625,3.8895,0.9712,12.84
wmcodec,3,chinese:SSB0341,2,110,bdb,1,1,1,12,0.7500,3.8314,0.9664,11.90
wmcodec,3,chinese:SSB0342,0,111,bdb,1,1,1,11,0.6875,4.4465,0.9927,20.61
wmcodec,3,chinese:SSB0342,1,112,bdb,1,1,1,9,0.5625,4.2400,0.9822,16.12
wmcodec,3,chinese:SSB0342,2,113,bdb,1,1,1,11,0.6875,4.0622,0.9792,15.25
wmcodec,3,chinese:SSB0354,0,114,bdb,1,1,1,10,0.6250,4.2943,0.9876,18.74
wmcodec,3,chinese:SSB0354,1,115,bdb,1,1,1,10,0.6250,4.3921,0.9872,18.28
wmcodec,3,chinese:SSB0354,2,116,bdb,1,1,1,13,0.8125,4.3674,0.9911,19.75
wmcodec,3,chinese:SSB0366,0,117,bdb,1,1,1,11,0.6875,3.9632,0.9658,12.70
wmcodec,3,chinese:SSB0366,1,118,bdb,1,1,1,10,0.6250,4.3845,0.9864,16.19
wmcodec,3,chinese:SSB0366,2,119,bdb,1,1,1,9,0.5625,4.2228,0.9814,15.34
wmcodec,3,chinese:SSB0375,0,120,bdb,1,1,1,11,0.6875,4.1354,0.9819,11.93
wmcodec,3,chinese:SSB0375,1,121,bdb,1,1,1,12,0.7500,4.1975,0.9825,12.25
wmcodec,3,chinese:SSB0375,2,122,bdb,1,1,1,10,0.6250,4.0037,0.9806,11.31
wmcodec,3,chinese:SSB0379,0,123,bdb,1,1,1,14,0.8750,4.3847,0.9924,17.87
wmcodec,3,chinese:SSB0379,1,124,bdb,1,1,1,11,0.6875,4.3710,0.9921,18.63
wmcodec,3,chinese:SSB0379,2,125,bdb,1,1,1,14,0.8750,4.0023,0.9825,13.52
wmcodec,3,chinese:SSB0380,0,126,bdb,1,1,1,12,0.7500,3.8531,0.9687,9.16
wmcodec,3,chinese:SSB0380,1,127,bdb,1,1,1,11,0.6875,4.2611,0.9868,15.01
wmcodec,3,chinese:SSB0380,2,128,bdb,1,1,1,8,0.5000,3.8192,0.9674,9.58
wmcodec,3,chinese:SSB0382,0,129,bdb,1,1,1,10,0.6250,4.2797,0.9878,15.67
wmcodec,3,chinese:SSB0382,1,130,bdb,1,1,1,12,0.7500,3.8634,0.9734,11.38
wmcodec,3,chinese:SSB0382,2,131,bdb,1,1,1,13,0.8125,4.0450,0.9746,11.74
wmcodec,3,chinese:SSB0385,0,132,bdb,1,1,1,11,0.6875,4.1629,0.9729,10.29
wmcodec,3,chinese:SSB0385,1,133,bdb,1,1,1,13,0.8125,4.4200,0.9870,14.52
wmcodec,3,chinese:SSB0385,2,134,bdb,1,1,1,10,0.6250,4.2013,0.9722,10.78
wmcodec,3,chinese:SSB0393,0,135,bdb,1,1,1,11,0.6875,4.4759,0.9914,16.99
wmcodec,3,chinese:SSB0393,1,136,bdb,1,1,1,11,0.6875,4.4341,0.9916,17.35
wmcodec,3,chinese:SSB0393,2,137,bdb,1,1,1,12,0.7500,4.4086,0.9900,16.97
wmcodec,3,chinese:SSB0394,0,138,bdb,1,1,1,10,0.6250,4.0765,0.9778,17.17
wmcodec,3,chinese:SSB0394,1,139,bdb,1,1,1,13,0.8125,4.0782,0.9808,16.06
wmcodec,3,chinese:SSB0394,2,140,bdb,1,1,1,11,0.6875,4.1237,0.9768,16.68
wmcodec,3,chinese:SSB0395,0,141,bdb,1,1,1,10,0.6250,4.0246,0.9786,15.08
wmcodec,3,chinese:SSB0395,1,142,bdb,1,1,1,12,0.7500,4.3429,0.9892,19.12
wmcodec,3,chinese:SSB0395,2,143,bdb,1,1,1,11,0.6875,4.1253,0.9778,15.20
wmcodec,3,chinese:SSB0407,0,144,bdb,1,1,1,11,0.6875,4.4624,0.9922,20.23
wmcodec,3,chinese:SSB0407,1,145,bdb,1,1,1,11,0.6875,4.4648,0.9932,20.32
wmcodec,3,chinese:SSB0407,2,146,bdb,1,1,1,10,0.6250,4.3984,0.9922,19.44
wmcodec,3,chinese:SSB0415,0,147,bdb,1,1,1,10,0.6250,4.3912,0.9912,18.29
wmcodec,3,chinese:SSB0415,1,148,bdb,1,1,1,10,0.6250,4.4423,0.9918,17.99
wmcodec,3,chinese:SSB0415,2,149,bdb,1,1,1,13,0.8125,4.2524,0.9900,17.34
wmcodec,3,english:103,0,150,bdb,1,1,1,12,0.7500,4.3431,0.9833,11.41
wmcodec,3,english:103,1,151,bdb,1,1,1,9,0.5625,4.3219,0.9835,11.70
wmcodec,3,english:103,2,152,bdb,1,1,1,12,0.7500,4.1164,0.9639,6.95
wmcodec,3,english:1034,0,153,bdb,1,1,1,11,0.6875,4.3702,0.9781,15.40
wmcodec,3,english:1034,1,154,bdb,1,1,1,11,0.6875,4.3633,0.9754,14.92
wmcodec,3,english:1034,2,155,bdb,1,1,1,11,0.6875,4.3536,0.9746,14.97
wmcodec,3,english:1040,0,156,bdb,1,1,1,13,0.8125,4.2228,0.9885,14.95
wmcodec,3,english:1040,1,157,bdb,1,1,1,11,0.6875,4.3769,0.9869,15.01
wmcodec,3,english:1040,2,158,bdb,1,1,1,10,0.6250,4.3591,0.9882,14.97
wmcodec,3,english:1069,0,159,bdb,1,1,1,11,0.6875,4.1994,0.9868,14.03
wmcodec,3,english:1069,1,160,bdb,1,1,1,11,0.6875,4.2855,0.9908,15.72
wmcodec,3,english:1069,2,161,bdb,1,1,1,10,0.6250,4.1784,0.9869,13.20
wmcodec,3,english:1081,0,162,bdb,1,1,1,10,0.6250,4.2662,0.9884,14.39
wmcodec,3,english:1081,1,163,bdb,1,1,1,10,0.6250,4.2805,0.9880,13.83
wmcodec,3,english:1081,2,164,bdb,1,1,1,9,0.5625,4.3036,0.9902,14.11
wmcodec,3,english:1088,0,165,bdb,1,1,1,14,0.8750,4.4250,0.9911,20.40
wmcodec,3,english:1088,1,166,bdb,1,1,1,11,0.6875,4.2480,0.9853,17.09
wmcodec,3,english:1088,2,167,bdb,1,1,1,11,0.6875,4.4378,0.9931,21.18
wmcodec,3,english:1098,0,168,bdb,1,1,1,10,0.6250,4.3229,0.9901,15.82
wmcodec,3,english:1098,1,169,bdb,1,1,1,8,0.5000,4.3480,0.9884,14.44
wmcodec,3,english:1098,2,170,bdb,1,1,1,13,0.8125,4.3192,0.9888,15.64
wmcodec,3,english:1116,0,171,bdb,1,1,1,10,0.6250,4.3748,0.9934,10.41
wmcodec,3,english:1116,1,172,bdb,1,1,1,10,0.6250,4.2153,0.9896,6.49
wmcodec,3,english:1116,2,173,bdb,1,1,1,9,0.5625,4.3767,0.9948,11.16
wmcodec,3,english:118,0,174,bdb,1,1,1,10,0.6250,4.2321,0.9867,11.93
wmcodec,3,english:118,1,175,bdb,1,1,1,15,0.9375,3.7855,0.9677,7.08
wmcodec,3,english:118,2,176,bdb,1,1,1,8,0.5000,4.0720,0.9824,11.16
wmcodec,3,english:1183,0,177,bdb,1,1,1,12,0.7500,4.2663,0.9846,9.24
wmcodec,3,english:1183,1,178,bdb,1,1,1,9,0.5625,4.2242,0.9850,9.09
wmcodec,3,english:1183,2,179,bdb,1,1,1,13,0.8125,4.3617,0.9874,9.74
wmcodec,3,english:1235,0,180,bdb,1,1,0,14,0.8750,4.3744,0.9834,16.25
wmcodec,3,english:1235,1,181,bdb,1,1,1,9,0.5625,4.2243,0.9829,15.22
wmcodec,3,english:1235,2,182,bdb,1,1,1,11,0.6875,3.8704,0.9595,10.64
