model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
timbrewm,5,121,0,0,blind_dist_cb,1,1,1,8,0.8000,4.5367,0.9991,27.50
timbrewm,5,121,1,1,blind_dist_cb,1,0,0,9,0.9000,4.5656,0.9987,27.79
timbrewm,5,121,2,2,blind_dist_cb,1,1,1,8,0.8000,4.5869,0.9988,28.53
timbrewm,5,121,3,3,blind_dist_cb,1,1,1,8,0.8000,4.5436,0.9989,27.90
timbrewm,5,237,0,4,blind_dist_cb,1,1,1,8,0.8000,4.5638,0.9991,36.01
timbrewm,5,237,1,5,blind_dist_cb,1,1,1,8,0.8000,4.5435,0.9992,35.27
timbrewm,5,237,2,6,blind_dist_cb,1,1,1,8,0.8000,4.5675,0.9993,35.21
timbrewm,5,237,3,7,blind_dist_cb,1,1,1,8,0.8000,4.5713,0.9993,35.15
timbrewm,5,260,0,8,blind_dist_cb,1,1,1,8,0.8000,4.5876,0.9988,32.51
timbrewm,5,260,1,9,blind_dist_cb,1,1,1,7,0.7000,4.5909,0.9988,32.39
timbrewm,5,260,2,10,blind_dist_cb,1,1,1,9,0.9000,4.5191,0.9984,32.34
timbrewm,5,260,3,11,blind_dist_cb,1,1,1,9,0.9000,4.5897,0.9987,32.33
timbrewm,5,672,0,12,blind_dist_cb,1,1,1,8,0.8000,4.5804,0.9965,30.30
timbrewm,5,672,1,13,blind_dist_cb,0,0,0,10,1.0000,4.5634,0.9979,30.85
timbrewm,5,672,2,14,blind_dist_cb,1,1,1,8,0.8000,4.6005,0.9974,30.89
timbrewm,5,672,3,15,blind_dist_cb,1,1,1,7,0.7000,4.5626,0.9980,30.54
timbrewm,5,908,0,16,blind_dist_cb,1,1,1,9,0.9000,4.5851,0.9974,33.08
timbrewm,5,908,1,17,blind_dist_cb,1,1,1,7,0.7000,4.5903,0.9977,32.38
timbrewm,5,908,2,18,blind_dist_cb,1,1,1,9,0.9000,4.5957,0.9975,32.80
timbrewm,5,908,3,19,blind_dist_cb,1,1,1,8,0.8000,4.5957,0.9985,32.70
timbrewm,5,1089,0,20,blind_dist_cb,1,1,1,7,0.7000,4.5687,0.9987,31.72
timbrewm,5,1089,1,21,blind_dist_cb,1,1,1,8,0.8000,4.5215,0.9983,31.70
timbrewm,5,1089,2,22,blind_dist_cb,1,1,1,7,0.7000,4.5440,0.9979,31.34
timbrewm,5,1089,3,23,blind_dist_cb,1,1,1,9,0.9000,4.5068,0.9983,31.52
timbrewm,5,1188,0,24,blind_dist_cb,1,1,1,8,0.8000,4.3944,0.9928,32.09
timbrewm,5,1188,1,25,blind_dist_cb,1,1,1,8,0.8000,4.5868,0.9943,33.18
timbrewm,5,1188,2,26,blind_dist_cb,1,1,1,7,0.7000,4.5856,0.9942,32.11
timbrewm,5,1188,3,27,blind_dist_cb,1,1,1,7,0.7000,4.5702,0.9954,33.50
timbrewm,5,1221,0,28,blind_dist_cb,1,1,1,7,0.7000,4.5765,0.9986,30.90
timbrewm,5,1221,1,29,blind_dist_cb,1,1,1,8,0.8000,4.5704,0.9982,30.72
timbrewm,5,1221,2,30,blind_dist_cb,1,1,1,7,0.7000,4.5805,0.9982,30.97
timbrewm,5,1221,3,31,blind_dist_cb,1,1,1,8,0.8000,4.5205,0.9982,30.21
timbrewm,5,1284,0,32,blind_dist_cb,1,1,1,7,0.7000,4.5678,0.9990,35.70
timbrewm,5,1284,1,33,blind_dist_cb,1,1,1,7,0.7000,4.5522,0.9988,34.32
timbrewm,5,1284,2,34,blind_dist_cb,1,1,1,9,0.9000,4.5675,0.9990,34.59
timbrewm,5,1284,3,35,blind_dist_cb,1,1,1,8,0.8000,4.5471,0.9987,34.47
timbrewm,5,1320,0,36,blind_dist_cb,1,1,1,8,0.8000,4.5662,0.9991,35.22
timbrewm,5,1320,1,37,blind_dist_cb,1,1,1,7,0.7000,4.5945,0.9989,34.36
timbrewm,5,1320,2,38,blind_dist_cb,1,1,1,9,0.9000,4.5756,0.9991,34.86
timbrewm,5,1320,3,39,blind_dist_cb,1,1,1,7,0.7000,4.5948,0.9986,34.66
timbrewm,5,1580,0,40,blind_dist_cb,1,1,1,8,0.8000,4.4778,0.9945,24.29
timbrewm,5,1580,1,41,blind_dist_cb,1,0,0,9,0.9000,4.5132,0.9949,23.61
timbrewm,5,1580,2,42,blind_dist_cb,1,1,1,7,0.7000,4.5889,0.9954,24.64
timbrewm,5,1580,3,43,blind_dist_cb,1,1,1,8,0.8000,4.5473,0.9937,23.84
timbrewm,5,1995,0,44,blind_dist_cb,1,1,1,8,0.8000,4.5863,0.9959,36.31
timbrewm,5,1995,1,45,blind_dist_cb,1,1,0,9,0.9000,4.5916,0.9960,35.49
timbrewm,5,1995,2,46,blind_dist_cb,1,1,1,8,0.8000,4.5768,0.9946,34.97
timbrewm,5,1995,3,47,blind_dist_cb,0,0,0,10,1.0000,4.5730,0.9962,35.39
timbrewm,5,2300,0,48,blind_dist_cb,1,1,1,9,0.9000,4.6031,0.9988,35.64
timbrewm,5,2300,1,49,blind_dist_cb,1,1,1,8,0.8000,4.5829,0.9988,35.78
timbrewm,5,2300,2,50,blind_dist_cb,1,1,1,7,0.7000,4.5751,0.9992,36.61
timbrewm,5,2300,3,51,blind_dist_cb,1,1,1,8,0.8000,4.5733,0.9987,35.30
timbrewm,5,2830,0,52,blind_dist_cb,1,1,1,7,0.7000,4.5462,0.9981,33.06
timbrewm,5,2830,1,53,blind_dist_cb,1,1,1,8,0.8000,4.5957,0.9984,33.05
timbrewm,5,2830,2,54,blind_dist_cb,1,1,0,8,0.8000,4.4990,0.9979,32.46
timbrewm,5,2830,3,55,blind_dist_cb,1,1,1,8,0.8000,4.5909,0.9983,33.79
timbrewm,5,2961,0,56,blind_dist_cb,1,1,1,8,0.8000,4.5758,0.9984,32.92
timbrewm,5,2961,1,57,blind_dist_cb,1,1,1,7,0.7000,4.5963,0.9978,32.64
timbrewm,5,2961,2,58,blind_dist_cb,1,1,1,8,0.8000,4.5800,0.9979,32.83
timbrewm,5,2961,3,59,blind_dist_cb,1,0,0,9,0.9000,4.5591,0.9986,33.32
timbrewm,5,3570,0,60,blind_dist_cb,1,1,1,8,0.8000,4.5738,0.9983,34.76
timbrewm,5,3570,1,61,blind_dist_cb,1,1,1,9,0.9000,4.4786,0.9985,34.02
timbrewm,5,3570,2,62,blind_dist_cb,1,1,1,9,0.9000,4.5365,0.9983,34.84
timbrewm,5,3570,3,63,blind_dist_cb,1,1,1,8,0.8000,4.5935,0.9985,34.99
timbrewm,5,3575,0,64,blind_dist_cb,1,1,1,7,0.7000,4.5585,0.9991,33.25
timbrewm,5,3575,1,65,blind_dist_cb,1,1,1,8,0.8000,4.5705,0.9985,34.57
timbrewm,5,3575,2,66,blind_dist_cb,1,1,0,9,0.9000,4.5581,0.9985,34.27
timbrewm,5,3575,3,67,blind_dist_cb,1,1,1,9,0.9000,4.5763,0.9981,33.81
timbrewm,5,3729,0,68,blind_dist_cb,1,1,1,7,0.7000,4.5541,0.9963,25.94
timbrewm,5,3729,1,69,blind_dist_cb,1,1,1,8,0.8000,4.5856,0.9973,26.81
timbrewm,5,3729,2,70,blind_dist_cb,1,1,1,8,0.8000,4.5637,0.9976,26.26
timbrewm,5,3729,3,71,blind_dist_cb,1,1,1,7,0.7000,4.5926,0.9978,26.09
timbrewm,5,4077,0,72,blind_dist_cb,1,1,0,9,0.9000,4.5988,0.9990,33.93
