model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
voicemark,8,121,0,0,blind_dist_cb,1,1,1,12,0.7500,3.3166,0.9719,9.48
voicemark,8,121,1,1,blind_dist_cb,1,1,1,11,0.6875,4.1343,0.9752,9.81
voicemark,8,121,2,2,blind_dist_cb,1,1,1,12,0.7500,3.8354,0.9737,9.58
voicemark,8,121,3,3,blind_dist_cb,1,1,1,12,0.7500,3.4094,0.9720,10.04
voicemark,8,237,0,4,blind_dist_cb,1,1,1,12,0.7500,4.3043,0.9858,14.33
voicemark,8,237,1,5,blind_dist_cb,1,1,1,12,0.7500,4.1542,0.9896,14.66
voicemark,8,237,2,6,blind_dist_cb,1,1,1,14,0.8750,4.0347,0.9825,13.62
voicemark,8,237,3,7,blind_dist_cb,1,1,1,11,0.6875,4.2781,0.9891,14.10
voicemark,8,260,0,8,blind_dist_cb,1,1,1,13,0.8125,4.3233,0.9802,13.96
voicemark,8,260,1,9,blind_dist_cb,1,1,1,11,0.6875,4.2973,0.9789,15.06
voicemark,8,260,2,10,blind_dist_cb,1,1,1,11,0.6875,4.0117,0.9715,13.63
voicemark,8,260,3,11,blind_dist_cb,1,1,1,12,0.7500,4.1716,0.9772,14.83
voicemark,8,672,0,12,blind_dist_cb,1,1,1,13,0.8125,3.8261,0.9707,9.98
voicemark,8,672,1,13,blind_dist_cb,1,1,1,11,0.6875,3.9796,0.9589,10.36
voicemark,8,672,2,14,blind_dist_cb,1,1,1,11,0.6875,3.7311,0.9610,10.74
voicemark,8,672,3,15,blind_dist_cb,0,0,0,16,1.0000,3.6839,0.9431,10.10
voicemark,8,908,0,16,blind_dist_cb,1,1,1,12,0.7500,3.5797,0.9554,13.17
voicemark,8,908,1,17,blind_dist_cb,1,1,1,13,0.8125,4.1023,0.9670,13.02
voicemark,8,908,2,18,blind_dist_cb,1,1,1,10,0.6250,4.1452,0.9677,13.06
voicemark,8,908,3,19,blind_dist_cb,1,1,1,9,0.5625,4.0862,0.9620,12.80
voicemark,8,1089,0,20,blind_dist_cb,1,1,1,12,0.7500,4.2808,0.9762,15.51
voicemark,8,1089,1,21,blind_dist_cb,1,1,1,12,0.7500,4.0350,0.9748,15.60
voicemark,8,1089,2,22,blind_dist_cb,1,1,1,13,0.8125,4.3759,0.9871,16.01
voicemark,8,1089,3,23,blind_dist_cb,1,1,1,10,0.6250,4.4545,0.9885,16.42
voicemark,8,1188,0,24,blind_dist_cb,1,1,1,13,0.8125,4.4028,0.9802,15.92
voicemark,8,1188,1,25,blind_dist_cb,1,1,1,11,0.6875,4.3295,0.9708,16.16
voicemark,8,1188,2,26,blind_dist_cb,1,1,1,10,0.6250,3.9602,0.9623,16.08
voicemark,8,1188,3,27,blind_dist_cb,1,1,1,13,0.8125,4.1767,0.9698,16.41
voicemark,8,1221,0,28,blind_dist_cb,1,1,1,9,0.5625,4.2314,0.9853,10.14
voicemark,8,1221,1,29,blind_dist_cb,1,1,1,15,0.9375,4.0254,0.9657,10.21
voicemark,8,1221,2,30,blind_dist_cb,1,1,1,12,0.7500,4.2911,0.9811,10.25
voicemark,8,1221,3,31,blind_dist_cb,1,1,1,15,0.9375,4.2854,0.9817,10.87
voicemark,8,1284,0,32,blind_dist_cb,1,1,1,11,0.6875,4.1426,0.9749,16.57
voicemark,8,1284,1,33,blind_dist_cb,1,1,1,12,0.7500,4.3510,0.9789,16.03
voicemark,8,1284,2,34,blind_dist_cb,1,1,1,12,0.7500,4.2768,0.9816,15.55
voicemark,8,1284,3,35,blind_dist_cb,1,1,1,11,0.6875,4.0246,0.9781,16.35
voicemark,8,1320,0,36,blind_dist_cb,1,1,1,13,0.8125,4.2580,0.9840,17.10
voicemark,8,1320,1,37,blind_dist_cb,1,1,1,14,0.8750,3.8665,0.9793,18.16
voicemark,8,1320,2,38,blind_dist_cb,1,1,1,11,0.6875,4.3692,0.9847,17.87
voicemark,8,1320,3,39,blind_dist_cb,1,1,1,13,0.8125,4.2360,0.9800,17.26
voicemark,8,1580,0,40,blind_dist_cb,1,1,1,10,0.6250,3.5178,0.9591,6.23
voicemark,8,1580,1,41,blind_dist_cb,1,1,1,14,0.8750,3.3914,0.9583,5.64
voicemark,8,1580,2,42,blind_dist_cb,1,1,1,13,0.8125,3.2255,0.9484,5.88
