model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
wavmark,3,121,0,0,blind_dist_cb,1,1,1,13,0.8125,4.4935,1.0000,41.62
wavmark,3,121,1,1,blind_dist_cb,1,1,1,13,0.8125,4.5281,1.0000,42.04
wavmark,3,121,2,2,blind_dist_cb,1,1,1,12,0.7500,4.5387,1.0000,42.04
wavmark,3,121,3,3,blind_dist_cb,1,1,1,13,0.8125,4.5490,1.0000,41.24
wavmark,3,237,0,4,blind_dist_cb,1,1,1,14,0.8750,4.6026,1.0000,45.12
wavmark,3,237,1,5,blind_dist_cb,1,1,1,13,0.8125,4.6033,0.9999,43.99
wavmark,3,237,2,6,blind_dist_cb,1,1,1,13,0.8125,4.6101,0.9999,44.45
wavmark,3,237,3,7,blind_dist_cb,1,1,1,15,0.9375,4.6236,1.0000,46.47
wavmark,3,260,0,8,blind_dist_cb,1,1,1,12,0.7500,4.5898,0.9996,44.72
wavmark,3,260,1,9,blind_dist_cb,1,1,1,13,0.8125,4.6138,0.9994,45.71
wavmark,3,260,2,10,blind_dist_cb,1,1,1,12,0.7500,4.6075,0.9997,44.40
wavmark,3,260,3,11,blind_dist_cb,1,1,1,12,0.7500,4.6151,0.9997,44.63
wavmark,3,672,0,12,blind_dist_cb,1,1,1,13,0.8125,4.6039,0.9981,43.18
wavmark,3,672,1,13,blind_dist_cb,1,1,1,12,0.7500,4.6062,0.9983,42.83
wavmark,3,672,2,14,blind_dist_cb,1,1,1,13,0.8125,4.6160,0.9987,43.57
wavmark,3,672,3,15,blind_dist_cb,1,1,1,12,0.7500,4.6178,0.9987,43.51
wavmark,3,908,0,16,blind_dist_cb,1,1,1,13,0.8125,4.5868,0.9994,43.33
wavmark,3,908,1,17,blind_dist_cb,1,1,1,12,0.7500,4.5943,0.9995,43.57
wavmark,3,908,2,18,blind_dist_cb,1,1,1,15,0.9375,4.6003,0.9996,44.69
wavmark,3,908,3,19,blind_dist_cb,1,1,1,12,0.7500,4.5867,0.9994,42.87
wavmark,3,1089,0,20,blind_dist_cb,1,1,1,13,0.8125,4.6191,0.9998,44.97
wavmark,3,1089,1,21,blind_dist_cb,1,1,1,12,0.7500,4.6041,0.9998,43.99
wavmark,3,1089,2,22,blind_dist_cb,1,1,1,14,0.8750,4.6223,0.9999,47.80
wavmark,3,1089,3,23,blind_dist_cb,1,1,1,15,0.9375,4.6209,0.9998,45.39
wavmark,3,1188,0,24,blind_dist_cb,1,1,1,12,0.7500,4.5953,0.9958,43.73
wavmark,3,1188,1,25,blind_dist_cb,1,1,1,12,0.7500,4.6045,0.9955,44.53
wavmark,3,1188,2,26,blind_dist_cb,1,1,1,15,0.9375,4.5987,0.9954,44.31
