model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
wmcodec,5,121,0,0,blind_dist_cb,1,1,1,10,0.6250,4.3200,0.9898,12.22
wmcodec,5,121,1,1,blind_dist_cb,1,1,1,12,0.7500,4.3236,0.9899,11.94
wmcodec,5,121,2,2,blind_dist_cb,1,1,1,12,0.7500,4.2758,0.9885,12.29
wmcodec,5,121,3,3,blind_dist_cb,1,1,1,11,0.6875,4.3148,0.9912,12.64
wmcodec,5,237,0,4,blind_dist_cb,1,1,1,13,0.8125,4.3351,0.9935,16.83
wmcodec,5,237,1,5,blind_dist_cb,1,1,1,11,0.6875,4.3536,0.9943,17.03
wmcodec,5,237,2,6,blind_dist_cb,1,1,1,11,0.6875,4.4360,0.9948,17.38
wmcodec,5,237,3,7,blind_dist_cb,1,1,1,10,0.6250,4.4361,0.9941,17.22
wmcodec,5,260,0,8,blind_dist_cb,1,1,1,8,0.5000,4.2877,0.9891,15.89
wmcodec,5,260,1,9,blind_dist_cb,1,1,1,9,0.5625,4.3168,0.9901,16.33
wmcodec,5,260,2,10,blind_dist_cb,1,1,1,12,0.7500,4.4400,0.9904,16.00
wmcodec,5,260,3,11,blind_dist_cb,1,1,1,14,0.8750,4.2253,0.9885,15.57
wmcodec,5,672,0,12,blind_dist_cb,1,1,1,11,0.6875,4.2700,0.9806,8.89
wmcodec,5,672,1,13,blind_dist_cb,1,1,1,9,0.5625,4.3456,0.9884,9.28
wmcodec,5,672,2,14,blind_dist_cb,1,1,1,9,0.5625,4.3557,0.9863,8.86
wmcodec,5,672,3,15,blind_dist_cb,1,1,1,13,0.8125,4.2656,0.9885,9.33
wmcodec,5,908,0,16,blind_dist_cb,1,1,1,13,0.8125,4.3125,0.9852,15.63
wmcodec,5,908,1,17,blind_dist_cb,1,1,1,12,0.7500,4.3234,0.9846,15.43
