model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
timbrewm,8,121,0,0,blind_minimax_cb,1,1,0,9,0.9000,4.5564,0.9985,28.06
timbrewm,8,121,1,1,blind_minimax_cb,1,0,0,9,0.9000,4.4219,0.9981,26.15
timbrewm,8,121,2,2,blind_minimax_cb,1,1,1,8,0.8000,4.5143,0.9983,25.96
timbrewm,8,121,3,3,blind_minimax_cb,0,0,0,10,1.0000,4.4919,0.9978,25.81
timbrewm,8,237,0,4,blind_minimax_cb,1,1,1,7,0.7000,4.6075,0.9996,36.91
timbrewm,8,237,1,5,blind_minimax_cb,1,1,1,9,0.9000,4.4442,0.9990,33.71
timbrewm,8,237,2,6,blind_minimax_cb,1,1,1,9,0.9000,4.4350,0.9986,32.35
timbrewm,8,237,3,7,blind_minimax_cb,1,1,1,8,0.8000,4.4551,0.9987,33.16
timbrewm,8,260,0,8,blind_minimax_cb,1,1,1,8,0.8000,4.5528,0.9984,30.87
timbrewm,8,260,1,9,blind_minimax_cb,1,1,1,8,0.8000,4.5160,0.9977,30.34
timbrewm,8,260,2,10,blind_minimax_cb,1,1,1,8,0.8000,4.5481,0.9981,31.31
timbrewm,8,260,3,11,blind_minimax_cb,1,1,1,8,0.8000,4.4942,0.9975,29.66
timbrewm,8,672,0,12,blind_minimax_cb,1,0,0,9,0.9000,4.4684,0.9934,28.20
timbrewm,8,672,1,13,blind_minimax_cb,1,1,1,8,0.8000,4.4925,0.9949,27.54
timbrewm,8,672,2,14,blind_minimax_cb,1,1,1,8,0.8000,4.5089,0.9948,27.76
timbrewm,8,672,3,15,blind_minimax_cb,1,1,0,8,0.8000,4.5148,0.9956,28.93
timbrewm,8,908,0,16,blind_minimax_cb,1,1,1,8,0.8000,4.4947,0.9946,29.22
timbrewm,8,908,1,17,blind_minimax_cb,1,1,1,7,0.7000,4.5132,0.9969,31.09
timbrewm,8,908,2,18,blind_minimax_cb,1,1,1,7,0.7000,4.5554,0.9967,31.43
timbrewm,8,908,3,19,blind_minimax_cb,0,0,0,10,1.0000,4.5158,0.9951,29.44
timbrewm,8,1089,0,20,blind_minimax_cb,1,1,1,8,0.8000,4.4749,0.9982,31.80
timbrewm,8,1089,1,21,blind_minimax_cb,1,1,0,8,0.8000,4.3961,0.9972,28.76
timbrewm,8,1089,2,22,blind_minimax_cb,1,1,1,8,0.8000,4.5931,0.9982,31.82
timbrewm,8,1089,3,23,blind_minimax_cb,1,1,1,6,0.6000,4.5080,0.9967,29.66
timbrewm,8,1188,0,24,blind_minimax_cb,1,1,1,8,0.8000,4.3565,0.9857,28.99
