model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
voicemark,8,121,0,0,blind_minimax_cb,1,1,1,12,0.7500,3.2244,0.9661,7.02
voicemark,8,121,1,1,blind_minimax_cb,1,1,1,12,0.7500,4.0681,0.9812,10.68
voicemark,8,121,2,2,blind_minimax_cb,1,1,1,10,0.6250,3.4865,0.9706,8.31
voicemark,8,121,3,3,blind_minimax_cb,1,1,1,10,0.6250,3.1424,0.9686,7.32
voicemark,8,237,0,4,blind_minimax_cb,1,0,0,13,0.8125,4.0110,0.9793,12.00
voicemark,8,237,1,5,blind_minimax_cb,1,0,0,13,0.8125,3.5083,0.9831,10.32
voicemark,8,237,2,6,blind_minimax_cb,1,1,1,12,0.7500,3.6652,0.9768,11.16
voicemark,8,237,3,7,blind_minimax_cb,1,1,1,11,0.6875,4.0920,0.9880,12.48
voicemark,8,260,0,8,blind_minimax_cb,1,1,1,12,0.7500,3.7956,0.9679,11.38
voicemark,8,260,1,9,blind_minimax_cb,1,1,1,13,0.8125,4.3571,0.9855,17.24
voicemark,8,260,2,10,blind_minimax_cb,1,1,1,11,0.6875,3.4395,0.9575,10.57
voicemark,8,260,3,11,blind_minimax_cb,1,1,1,11,0.6875,3.8949,0.9701,12.92
voicemark,8,672,0,12,blind_minimax_cb,1,1,1,11,0.6875,3.6902,0.9753,10.65
voicemark,8,672,1,13,blind_minimax_cb,1,1,0,14,0.8750,3.4790,0.9518,7.29
voicemark,8,672,2,14,blind_minimax_cb,1,1,1,14,0.8750,3.1094,0.9406,8.25
voicemark,8,672,3,15,blind_minimax_cb,0,0,0,16,1.0000,3.5323,0.9486,9.46
voicemark,8,908,0,16,blind_minimax_cb,1,1,1,12,0.7500,2.9472,0.9475,10.26
voicemark,8,908,1,17,blind_minimax_cb,1,1,1,14,0.8750,3.8477,0.9627,12.01
voicemark,8,908,2,18,blind_minimax_cb,1,1,1,11,0.6875,4.0325,0.9612,11.57
voicemark,8,908,3,19,blind_minimax_cb,1,1,1,11,0.6875,4.0137,0.9709,13.66
voicemark,8,1089,0,20,blind_minimax_cb,1,1,1,12,0.7500,3.6002,0.9609,11.36
voicemark,8,1089,1,21,blind_minimax_cb,1,0,0,15,0.9375,3.6155,0.9673,12.88
voicemark,8,1089,2,22,blind_minimax_cb,1,1,1,12,0.7500,4.3727,0.9898,19.80
voicemark,8,1089,3,23,blind_minimax_cb,1,1,1,14,0.8750,4.4162,0.9873,17.26
voicemark,8,1188,0,24,blind_minimax_cb,1,0,0,14,0.8750,4.3689,0.9795,17.40
voicemark,8,1188,1,25,blind_minimax_cb,1,1,1,11,0.6875,4.1028,0.9512,14.64
voicemark,8,1188,2,26,blind_minimax_cb,1,1,1,12,0.7500,3.4207,0.9488,13.63
voicemark,8,1188,3,27,blind_minimax_cb,1,1,1,12,0.7500,4.2073,0.9757,17.72
voicemark,8,1221,0,28,blind_minimax_cb,1,1,1,13,0.8125,3.6895,0.9789,7.34
voicemark,8,1221,1,29,blind_minimax_cb,1,1,1,13,0.8125,3.9203,0.9678,9.87
voicemark,8,1221,2,30,blind_minimax_cb,1,1,1,13,0.8125,3.7525,0.9618,6.26
voicemark,8,1221,3,31,blind_minimax_cb,1,1,1,13,0.8125,4.1305,0.9843,9.12
voicemark,8,1284,0,32,blind_minimax_cb,1,1,1,15,0.9375,3.5058,0.9626,12.31
voicemark,8,1284,1,33,blind_minimax_cb,1,1,1,13,0.8125,3.9228,0.9748,13.77
voicemark,8,1284,2,34,blind_minimax_cb,1,1,1,10,0.6250,3.9049,0.9784,14.29
voicemark,8,1284,3,35,blind_minimax_cb,1,1,1,14,0.8750,3.7218,0.9746,13.97
voicemark,8,1320,0,36,blind_minimax_cb,1,1,1,11,0.6875,4.0057,0.9760,14.85
voicemark,8,1320,1,37,blind_minimax_cb,1,1,1,12,0.7500,3.1095,0.9687,14.24
voicemark,8,1320,2,38,blind_minimax_cb,1,1,1,10,0.6250,4.2490,0.9808,16.61
voicemark,8,1320,3,39,blind_minimax_cb,1,1,1,13,0.8125,4.1106,0.9778,16.87
voicemark,8,1580,0,40,blind_minimax_cb,1,1,1,12,0.7500,3.3596,0.9554,4.27
voicemark,8,1580,1,41,blind_minimax_cb,1,1,1,12,0.7500,2.8719,0.9452,3.04
voicemark,8,1580,2,42,blind_minimax_cb,1,1,1,12,0.7500,2.8824,0.9317,4.36
voicemark,8,1580,3,43,blind_minimax_cb,1,1,1,14,0.8750,2.9923,0.9574,4.81
voicemark,8,1995,0,44,blind_minimax_cb,1,1,1,13,0.8125,3.5439,0.9324,15.78
voicemark,8,1995,1,45,blind_minimax_cb,1,1,1,12,0.7500,4.0257,0.9632,15.18
voicemark,8,1995,2,46,blind_minimax_cb,1,1,0,13,0.8125,3.0179,0.9507,14.47
voicemark,8,1995,3,47,blind_minimax_cb,1,1,1,14,0.8750,4.4226,0.9864,18.27
voicemark,8,2300,0,48,blind_minimax_cb,1,1,1,13,0.8125,3.5351,0.9666,13.42
voicemark,8,2300,1,49,blind_minimax_cb,1,1,1,12,0.7500,4.0752,0.9728,15.33
voicemark,8,2300,2,50,blind_minimax_cb,1,1,1,12,0.7500,3.4937,0.9654,15.03
voicemark,8,2300,3,51,blind_minimax_cb,1,1,1,11,0.6875,3.7302,0.9664,13.80
voicemark,8,2830,0,52,blind_minimax_cb,1,1,1,15,0.9375,3.7671,0.9749,15.05
voicemark,8,2830,1,53,blind_minimax_cb,1,1,1,12,0.7500,4.1919,0.9649,12.81
voicemark,8,2830,2,54,blind_minimax_cb,0,0,0,16,1.0000,4.1900,0.9710,13.72
voicemark,8,2830,3,55,blind_minimax_cb,1,1,1,11,0.6875,4.4018,0.9846,18.04
voicemark,8,2961,0,56,blind_minimax_cb,1,1,1,10,0.6250,3.2403,0.9613,10.83
voicemark,8,2961,1,57,blind_minimax_cb,1,1,1,12,0.7500,3.1475,0.9660,11.88
voicemark,8,2961,2,58,blind_minimax_cb,1,1,1,12,0.7500,3.9553,0.9650,11.43
voicemark,8,2961,3,59,blind_minimax_cb,1,1,1,12,0.7500,3.5575,0.9581,10.86
voicemark,8,3570,0,60,blind_minimax_cb,1,0,0,15,0.9375,3.7267,0.9610,13.54
voicemark,8,3570,1,61,blind_minimax_cb,1,1,1,14,0.8750,3.8128,0.9679,13.96
