model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
wavmark,3,121,0,0,blind_minimax_cb,1,1,1,11,0.6875,4.4393,1.0000,39.54
wavmark,3,121,1,1,blind_minimax_cb,1,1,1,15,0.9375,4.5262,1.0000,42.55
wavmark,3,121,2,2,blind_minimax_cb,1,1,1,13,0.8125,4.4545,1.0000,39.01
wavmark,3,121,3,3,blind_minimax_cb,1,1,1,13,0.8125,4.5490,1.0000,41.24
wavmark,3,237,0,4,blind_minimax_cb,1,1,1,12,0.7500,4.5786,0.9999,42.49
wavmark,3,237,1,5,blind_minimax_cb,1,1,1,10,0.6250,4.5791,0.9999,41.78
wavmark,3,237,2,6,blind_minimax_cb,1,1,1,12,0.7500,4.6172,0.9999,45.24
wavmark,3,237,3,7,blind_minimax_cb,1,0,0,15,0.9375,4.6246,1.0000,46.49
wavmark,3,260,0,8,blind_minimax_cb,1,1,1,15,0.9375,4.5891,0.9996,45.53
wavmark,3,260,1,9,blind_minimax_cb,1,1,1,13,0.8125,4.6137,0.9996,46.30
wavmark,3,260,2,10,blind_minimax_cb,1,1,1,14,0.8750,4.6213,0.9998,45.45
wavmark,3,260,3,11,blind_minimax_cb,1,1,1,12,0.7500,4.6240,0.9998,45.59
wavmark,3,672,0,12,blind_minimax_cb,1,1,1,13,0.8125,4.5829,0.9970,41.01
wavmark,3,672,1,13,blind_minimax_cb,1,1,1,11,0.6875,4.6010,0.9983,43.78
wavmark,3,672,2,14,blind_minimax_cb,1,1,1,11,0.6875,4.6210,0.9989,43.98
wavmark,3,672,3,15,blind_minimax_cb,1,1,1,12,0.7500,4.6225,0.9989,43.88
wavmark,3,908,0,16,blind_minimax_cb,1,1,1,11,0.6875,4.5881,0.9994,43.19
wavmark,3,908,1,17,blind_minimax_cb,1,1,1,12,0.7500,4.5438,0.9990,40.14
wavmark,3,908,2,18,blind_minimax_cb,1,1,1,15,0.9375,4.6003,0.9996,44.69
wavmark,3,908,3,19,blind_minimax_cb,1,1,1,11,0.6875,4.5258,0.9987,39.48
wavmark,3,1089,0,20,blind_minimax_cb,1,1,1,12,0.7500,4.6259,0.9999,46.03
wavmark,3,1089,1,21,blind_minimax_cb,1,1,1,11,0.6875,4.6169,0.9998,44.96
wavmark,3,1089,2,22,blind_minimax_cb,1,1,1,13,0.8125,4.5956,0.9998,44.23
wavmark,3,1089,3,23,blind_minimax_cb,1,1,1,14,0.8750,4.6279,0.9999,46.43
wavmark,3,1188,0,24,blind_minimax_cb,1,1,1,12,0.7500,4.5540,0.9921,40.76
wavmark,3,1188,1,25,blind_minimax_cb,1,1,1,12,0.7500,4.6032,0.9968,45.18
wavmark,3,1188,2,26,blind_minimax_cb,1,1,1,14,0.8750,4.5936,0.9946,44.32
wavmark,3,1188,3,27,blind_minimax_cb,1,1,1,13,0.8125,4.6084,0.9965,44.72
wavmark,3,1221,0,28,blind_minimax_cb,1,1,1,15,0.9375,4.6203,0.9998,43.40
wavmark,3,1221,1,29,blind_minimax_cb,1,1,1,12,0.7500,4.6284,0.9999,43.11
wavmark,3,1221,2,30,blind_minimax_cb,1,1,1,11,0.6875,4.6274,0.9999,43.15
wavmark,3,1221,3,31,blind_minimax_cb,1,1,1,11,0.6875,4.6229,0.9999,43.30
wavmark,3,1284,0,32,blind_minimax_cb,1,1,1,12,0.7500,4.5943,0.9998,44.80
wavmark,3,1284,1,33,blind_minimax_cb,1,1,1,13,0.8125,4.5545,0.9997,42.38
wavmark,3,1284,2,34,blind_minimax_cb,1,1,1,14,0.8750,4.6053,0.9998,45.96
wavmark,3,1284,3,35,blind_minimax_cb,1,1,1,14,0.8750,4.6025,0.9998,45.61
wavmark,3,1320,0,36,blind_minimax_cb,1,1,1,13,0.8125,4.5993,0.9998,45.52
wavmark,3,1320,1,37,blind_minimax_cb,1,1,1,12,0.7500,4.5828,0.9998,45.25
wavmark,3,1320,2,38,blind_minimax_cb,1,1,1,14,0.8750,4.6174,0.9999,47.63
wavmark,3,1320,3,39,blind_minimax_cb,1,1,1,13,0.8125,4.5482,0.9997,42.40
wavmark,3,1580,0,40,blind_minimax_cb,1,1,1,15,0.9375,4.5960,0.9965,39.13
wavmark,3,1580,1,41,blind_minimax_cb,1,1,1,11,0.6875,4.5298,0.9928,34.79
wavmark,3,1580,2,42,blind_minimax_cb,1,1,1,11,0.6875,4.5694,0.9970,37.83
wavmark,3,1580,3,43,blind_minimax_cb,1,1,1,10,0.6250,4.5844,0.9976,38.33
wavmark,3,1995,0,44,blind_minimax_cb,1,1,1,12,0.7500,4.5957,0.9995,44.30
wavmark,3,1995,1,45,blind_minimax_cb,1,1,1,15,0.9375,4.5906,0.9997,46.30
wavmark,3,1995,2,46,blind_minimax_cb,1,1,1,12,0.7500,4.5510,0.9992,41.40
wavmark,3,1995,3,47,blind_minimax_cb,1,1,1,12,0.7500,4.5200,0.9992,41.60
wavmark,3,2300,0,48,blind_minimax_cb,1,1,1,11,0.6875,4.5684,0.9998,46.07
wavmark,3,2300,1,49,blind_minimax_cb,1,1,1,13,0.8125,4.5901,0.9999,47.15
wavmark,3,2300,2,50,blind_minimax_cb,1,1,1,11,0.6875,4.5501,0.9998,44.90
wavmark,3,2300,3,51,blind_minimax_cb,1,1,1,13,0.8125,4.5481,0.9998,45.88
wavmark,3,2830,0,52,blind_minimax_cb,1,1,1,13,0.8125,4.5681,0.9998,40.72
wavmark,3,2830,1,53,blind_minimax_cb,1,1,1,13,0.8125,4.5999,0.9999,44.55
wavmark,3,2830,2,54,blind_minimax_cb,1,1,1,12,0.7500,4.6122,0.9999,44.18
wavmark,3,2830,3,55,blind_minimax_cb,1,1,1,12,0.7500,4.6081,0.9999,44.32
wavmark,3,2961,0,56,blind_minimax_cb,1,1,1,13,0.8125,4.5703,0.9998,41.70
wavmark,3,2961,1,57,blind_minimax_cb,1,1,1,12,0.7500,4.5940,0.9999,44.00
wavmark,3,2961,2,58,blind_minimax_cb,1,1,1,11,0.6875,4.5437,0.9997,40.42
wavmark,3,2961,3,59,blind_minimax_cb,1,1,1,11,0.6875,4.5735,0.9999,42.54
wavmark,3,3570,0,60,blind_minimax_cb,1,1,1,11,0.6875,4.5956,0.9999,44.68
wavmark,3,3570,1,61,blind_minimax_cb,1,1,1,14,0.8750,4.5832,0.9999,45.43
wavmark,3,3570,2,62,blind_minimax_cb,1,1,1,13,0.8125,4.5385,0.9998,41.56
wavmark,3,3570,3,63,blind_minimax_cb,1,1,1,13,0.8125,4.5734,0.9999,43.07
wavmark,3,3575,0,64,blind_minimax_cb,1,1,1,11,0.6875,4.5896,0.9998,44.15
wavmark,3,3575,1,65,blind_minimax_cb,1,1,1,12,0.7500,4.5320,0.9997,40.81
wavmark,3,3575,2,66,blind_minimax_cb,1,1,1,14,0.8750,4.5958,0.9999,44.69
wavmark,3,3575,3,67,blind_minimax_cb,1,1,1,13,0.8125,4.5948,0.9999,45.06
wavmark,3,3729,0,68,blind_minimax_cb,1,1,1,13,0.8125,4.6095,0.9999,37.64
wavmark,3,3729,1,69,blind_minimax_cb,1,1,1,13,0.8125,4.5623,0.9998,37.37
wavmark,3,3729,2,70,blind_minimax_cb,1,1,1,12,0.7500,4.6292,0.9999,40.21
wavmark,3,3729,3,71,blind_minimax_cb,1,1,1,12,0.7500,4.5955,0.9998,37.62
wavmark,3,4077,0,72,blind_minimax_cb,1,1,1,13,0.8125,4.6054,0.9998,45.30
wavmark,3,4077,1,73,blind_minimax_cb,1,1,1,14,0.8750,4.5657,0.9997,43.17
wavmark,3,4077,2,74,blind_minimax_cb,1,1,1,12,0.7500,4.5851,0.9999,45.11
