model,K,trial_id,spk,local_t,method,codec,codec_setting,ASR,attribution_margin,PESQ,STOI,SI_SDR
audioseal,5,0,chinese:SSB0005,0,mean,none,none,1,2.71649408,4.6016,0.9993,35.93
audioseal,5,0,chinese:SSB0005,0,fwp,none,none,1,2.00692701,4.6101,0.9994,38.13
audioseal,5,0,chinese:SSB0005,0,mean,mp3_128k,MP3 128 kbps,1,2.81876183,4.4650,0.9993,28.09
audioseal,5,0,chinese:SSB0005,0,fwp,mp3_128k,MP3 128 kbps,1,0.90114880,4.4676,0.9994,28.37
audioseal,5,0,chinese:SSB0005,0,mean,opus_64k,Opus 64 kbps,1,2.71073055,4.5739,0.9985,30.65
audioseal,5,0,chinese:SSB0005,0,fwp,opus_64k,Opus 64 kbps,1,2.08521795,4.5767,0.9986,30.86
audioseal,5,1,chinese:SSB0005,1,mean,none,none,1,4.44006729,4.6010,0.9993,35.22
audioseal,5,1,chinese:SSB0005,1,fwp,none,none,1,3.05434513,4.6091,0.9994,37.28
audioseal,5,1,chinese:SSB0005,1,mean,mp3_128k,MP3 128 kbps,1,4.43472242,4.4671,0.9993,27.96
audioseal,5,1,chinese:SSB0005,1,fwp,mp3_128k,MP3 128 kbps,1,3.01880169,4.4706,0.9994,28.28
audioseal,5,1,chinese:SSB0005,1,mean,opus_64k,Opus 64 kbps,1,4.43476105,4.5791,0.9986,30.47
audioseal,5,1,chinese:SSB0005,1,fwp,opus_64k,Opus 64 kbps,1,3.07266521,4.5791,0.9986,30.76
audioseal,5,2,chinese:SSB0005,2,mean,none,none,1,3.87249470,4.6015,0.9994,34.70
audioseal,5,2,chinese:SSB0005,2,fwp,none,none,1,1.13465786,4.6160,0.9996,35.11
audioseal,5,2,chinese:SSB0005,2,mean,mp3_128k,MP3 128 kbps,1,3.83312368,4.4666,0.9994,27.85
audioseal,5,2,chinese:SSB0005,2,fwp,mp3_128k,MP3 128 kbps,1,1.02914429,4.4711,0.9996,27.92
audioseal,5,2,chinese:SSB0005,2,mean,opus_64k,Opus 64 kbps,1,3.82999992,4.5793,0.9986,30.23
audioseal,5,2,chinese:SSB0005,2,fwp,opus_64k,Opus 64 kbps,1,1.11681509,4.5780,0.9987,30.16
audioseal,5,3,chinese:SSB0009,0,mean,none,none,1,2.18860388,4.5714,0.9995,32.93
audioseal,5,3,chinese:SSB0009,0,fwp,none,none,1,2.87128448,4.5897,0.9996,34.36
