model,K,trial_id,spk,local_t,method,codec,codec_setting,ASR,attribution_margin,PESQ,STOI,SI_SDR
voicemark,5,0,chinese:SSB0005,0,mean,none,none,1,19.57172987,4.1517,0.9694,16.66
voicemark,5,0,chinese:SSB0005,0,fwp,none,none,1,38.16793646,3.7191,0.9573,13.96
voicemark,5,0,chinese:SSB0005,0,mean,mp3_128k,MP3 128 kbps,1,24.31594887,4.0309,0.9694,16.53
voicemark,5,0,chinese:SSB0005,0,fwp,mp3_128k,MP3 128 kbps,1,29.91279610,3.6290,0.9573,13.91
voicemark,5,0,chinese:SSB0005,0,mean,opus_64k,Opus 64 kbps,1,17.94864941,4.1449,0.9693,16.66
voicemark,5,0,chinese:SSB0005,0,fwp,opus_64k,Opus 64 kbps,1,28.75526810,3.7085,0.9569,13.96
voicemark,5,1,chinese:SSB0005,1,mean,none,none,1,23.37817795,4.4014,0.9799,17.17
voicemark,5,1,chinese:SSB0005,1,fwp,none,none,1,11.83242880,4.2412,0.9700,15.63
voicemark,5,1,chinese:SSB0005,1,mean,mp3_128k,MP3 128 kbps,1,27.45301342,4.2298,0.9799,16.72
voicemark,5,1,chinese:SSB0005,1,fwp,mp3_128k,MP3 128 kbps,1,8.66798040,4.1082,0.9700,15.32
voicemark,5,1,chinese:SSB0005,1,mean,opus_64k,Opus 64 kbps,1,20.98476675,4.3934,0.9796,17.00
voicemark,5,1,chinese:SSB0005,1,fwp,opus_64k,Opus 64 kbps,1,10.84366862,4.2317,0.9691,15.48
voicemark,5,2,chinese:SSB0005,2,mean,none,none,1,36.31726478,4.1846,0.9714,18.07
voicemark,5,2,chinese:SSB0005,2,fwp,none,none,1,10.95325331,3.6799,0.9608,15.26
voicemark,5,2,chinese:SSB0005,2,mean,mp3_128k,MP3 128 kbps,1,30.35814055,3.9992,0.9714,17.66
voicemark,5,2,chinese:SSB0005,2,fwp,mp3_128k,MP3 128 kbps,1,3.38719562,3.5362,0.9608,15.06
voicemark,5,2,chinese:SSB0005,2,mean,opus_64k,Opus 64 kbps,1,32.64095484,4.1792,0.9713,18.01
voicemark,5,2,chinese:SSB0005,2,fwp,opus_64k,Opus 64 kbps,1,5.67253590,3.6716,0.9603,15.23
voicemark,5,3,chinese:SSB0009,0,mean,none,none,1,25.01618596,3.9566,0.9673,13.37
voicemark,5,3,chinese:SSB0009,0,fwp,none,none,1,18.26082610,3.3877,0.9536,9.90
voicemark,5,3,chinese:SSB0009,0,mean,mp3_128k,MP3 128 kbps,1,29.67948195,3.7219,0.9673,13.04
voicemark,5,3,chinese:SSB0009,0,fwp,mp3_128k,MP3 128 kbps,1,11.83738818,3.2323,0.9536,9.76
voicemark,5,3,chinese:SSB0009,0,mean,opus_64k,Opus 64 kbps,1,27.46462270,3.9553,0.9673,13.35
voicemark,5,3,chinese:SSB0009,0,fwp,opus_64k,Opus 64 kbps,1,17.07458868,3.3813,0.9534,9.89
voicemark,5,4,chinese:SSB0009,1,mean,none,none,1,29.04165330,4.3379,0.9787,13.86
voicemark,5,4,chinese:SSB0009,1,fwp,none,none,1,10.06150400,3.7022,0.9542,9.24
voicemark,5,4,chinese:SSB0009,1,mean,mp3_128k,MP3 128 kbps,1,23.91941046,4.1959,0.9787,13.68
voicemark,5,4,chinese:SSB0009,1,fwp,mp3_128k,MP3 128 kbps,1,10.76440256,3.6023,0.9542,9.18
voicemark,5,4,chinese:SSB0009,1,mean,opus_64k,Opus 64 kbps,1,25.46526836,4.3343,0.9787,13.82
voicemark,5,4,chinese:SSB0009,1,fwp,opus_64k,Opus 64 kbps,1,11.04001270,3.6914,0.9540,9.23
voicemark,5,5,chinese:SSB0009,2,mean,none,none,1,15.54310424,4.1635,0.9729,14.64
voicemark,5,5,chinese:SSB0009,2,fwp,none,none,1,18.19023891,3.6632,0.9597,11.36
voicemark,5,5,chinese:SSB0009,2,mean,mp3_128k,MP3 128 kbps,1,18.10356136,3.9564,0.9729,14.31
voicemark,5,5,chinese:SSB0009,2,fwp,mp3_128k,MP3 128 kbps,1,24.28099063,3.5000,0.9597,11.20
voicemark,5,5,chinese:SSB0009,2,mean,opus_64k,Opus 64 kbps,1,13.94924393,4.1605,0.9727,14.59
voicemark,5,5,chinese:SSB0009,2,fwp,opus_64k,Opus 64 kbps,1,23.87317405,3.6495,0.9595,11.34
voicemark,5,6,chinese:SSB0011,0,mean,none,none,1,8.46617512,4.0354,0.9675,16.91
voicemark,5,6,chinese:SSB0011,0,fwp,none,none,1,7.71278978,4.2225,0.9746,18.78
voicemark,5,6,chinese:SSB0011,0,mean,mp3_128k,MP3 128 kbps,1,8.25623626,3.8071,0.9675,16.57
voicemark,5,6,chinese:SSB0011,0,fwp,mp3_128k,MP3 128 kbps,1,7.48359084,3.9875,0.9746,18.24
voicemark,5,6,chinese:SSB0011,0,mean,opus_64k,Opus 64 kbps,1,8.82479006,4.0424,0.9674,16.86
voicemark,5,6,chinese:SSB0011,0,fwp,opus_64k,Opus 64 kbps,1,6.72511695,4.2202,0.9743,18.69
voicemark,5,7,chinese:SSB0011,1,mean,none,none,1,27.95990594,3.9136,0.9570,14.39
voicemark,5,7,chinese:SSB0011,1,fwp,none,none,1,48.52420731,3.8896,0.9651,15.48
voicemark,5,7,chinese:SSB0011,1,mean,mp3_128k,MP3 128 kbps,1,22.89711037,3.7832,0.9570,14.26
voicemark,5,7,chinese:SSB0011,1,fwp,mp3_128k,MP3 128 kbps,1,49.63925585,3.7561,0.9651,15.31
voicemark,5,7,chinese:SSB0011,1,mean,opus_64k,Opus 64 kbps,1,25.12105312,3.9055,0.9569,14.32
voicemark,5,7,chinese:SSB0011,1,fwp,opus_64k,Opus 64 kbps,1,49.95080196,3.8741,0.9649,15.35
voicemark,5,8,chinese:SSB0011,2,mean,none,none,1,6.65854142,4.2094,0.9708,16.93
voicemark,5,8,chinese:SSB0011,2,fwp,none,none,1,13.26158318,3.8726,0.9616,15.78
voicemark,5,8,chinese:SSB0011,2,mean,mp3_128k,MP3 128 kbps,1,10.18361439,4.0069,0.9708,16.69
voicemark,5,8,chinese:SSB0011,2,fwp,mp3_128k,MP3 128 kbps,1,9.28661114,3.6855,0.9616,15.64
voicemark,5,8,chinese:SSB0011,2,mean,opus_64k,Opus 64 kbps,1,8.06314647,4.2075,0.9707,16.87
voicemark,5,8,chinese:SSB0011,2,fwp,opus_64k,Opus 64 kbps,1,14.98815009,3.8650,0.9614,15.74
voicemark,5,9,chinese:SSB0012,0,mean,none,none,1,22.15622582,4.1257,0.9742,15.26
voicemark,5,9,chinese:SSB0012,0,fwp,none,none,1,41.46273217,3.7230,0.9560,13.19
voicemark,5,9,chinese:SSB0012,0,mean,mp3_128k,MP3 128 kbps,1,23.60773876,4.0111,0.9742,15.12
voicemark,5,9,chinese:SSB0012,0,fwp,mp3_128k,MP3 128 kbps,1,39.77499416,3.6115,0.9559,13.11
voicemark,5,9,chinese:SSB0012,0,mean,opus_64k,Opus 64 kbps,1,20.08098175,4.1214,0.9740,15.24
voicemark,5,9,chinese:SSB0012,0,fwp,opus_64k,Opus 64 kbps,1,40.68940345,3.7036,0.9557,13.16
voicemark,5,10,chinese:SSB0012,1,mean,none,none,1,4.92124199,4.0737,0.9626,15.73
voicemark,5,10,chinese:SSB0012,1,fwp,none,none,1,8.13206827,3.2435,0.9451,10.97
voicemark,5,10,chinese:SSB0012,1,mean,mp3_128k,MP3 128 kbps,1,7.82973843,3.8705,0.9626,15.26
voicemark,5,10,chinese:SSB0012,1,fwp,mp3_128k,MP3 128 kbps,1,9.04839896,3.0799,0.9451,10.81
voicemark,5,10,chinese:SSB0012,1,mean,opus_64k,Opus 64 kbps,1,4.89774118,4.0721,0.9622,15.59
voicemark,5,10,chinese:SSB0012,1,fwp,opus_64k,Opus 64 kbps,1,1.98503506,3.2371,0.9447,10.92
voicemark,5,11,chinese:SSB0012,2,mean,none,none,1,22.55391459,3.7597,0.9506,11.93
voicemark,5,11,chinese:SSB0012,2,fwp,none,none,1,27.65063159,3.8971,0.9586,14.76
voicemark,5,11,chinese:SSB0012,2,mean,mp3_128k,MP3 128 kbps,1,34.08664036,3.5895,0.9506,11.76
voicemark,5,11,chinese:SSB0012,2,fwp,mp3_128k,MP3 128 kbps,1,24.00390820,3.6961,0.9586,14.45
voicemark,5,11,chinese:SSB0012,2,mean,opus_64k,Opus 64 kbps,1,30.40610857,3.7508,0.9504,11.88
voicemark,5,11,chinese:SSB0012,2,fwp,opus_64k,Opus 64 kbps,1,25.23101124,3.8848,0.9581,14.65
voicemark,5,12,chinese:SSB0016,0,mean,none,none,1,30.73605706,3.9853,0.9534,14.96
voicemark,5,12,chinese:SSB0016,0,fwp,none,none,0,-2.79829027,3.9644,0.9650,16.66
voicemark,5,12,chinese:SSB0016,0,mean,mp3_128k,MP3 128 kbps,1,24.80794989,3.9399,0.9534,14.93
voicemark,5,12,chinese:SSB0016,0,fwp,mp3_128k,MP3 128 kbps,1,9.20636003,3.9232,0.9650,16.63
voicemark,5,12,chinese:SSB0016,0,mean,opus_64k,Opus 64 kbps,1,28.15622457,3.9807,0.9534,14.98
voicemark,5,12,chinese:SSB0016,0,fwp,opus_64k,Opus 64 kbps,0,-3.33589945,3.9568,0.9648,16.69
voicemark,5,13,chinese:SSB0016,1,mean,none,none,1,9.25797084,4.2388,0.9685,18.75
voicemark,5,13,chinese:SSB0016,1,fwp,none,none,1,19.08284259,3.9171,0.9499,16.45
voicemark,5,13,chinese:SSB0016,1,mean,mp3_128k,MP3 128 kbps,1,21.50627944,4.0765,0.9685,18.29
voicemark,5,13,chinese:SSB0016,1,fwp,mp3_128k,MP3 128 kbps,1,7.91635652,3.7948,0.9499,16.20
voicemark,5,13,chinese:SSB0016,1,mean,opus_64k,Opus 64 kbps,1,9.70049277,4.2322,0.9684,18.51
