model,K,trial_id,spk,local_t,method,codec,codec_setting,ASR,attribution_margin,PESQ,STOI,SI_SDR
wavmark,5,0,chinese:SSB0005,0,mean,none,none,1,3.00000000,4.5766,0.9982,44.25
wavmark,5,0,chinese:SSB0005,0,fwp,none,none,1,4.00000000,4.5433,0.9973,42.74
wavmark,5,0,chinese:SSB0005,0,mean,mp3_128k,MP3 128 kbps,1,3.00000000,4.4495,0.9982,28.76
wavmark,5,0,chinese:SSB0005,0,fwp,mp3_128k,MP3 128 kbps,1,5.00000000,4.4251,0.9973,28.71
wavmark,5,0,chinese:SSB0005,0,mean,opus_64k,Opus 64 kbps,1,3.00000000,4.5621,0.9975,31.90
wavmark,5,0,chinese:SSB0005,0,fwp,opus_64k,Opus 64 kbps,1,4.00000000,4.5305,0.9965,31.49
wavmark,5,1,chinese:SSB0005,1,mean,none,none,1,2.00000000,4.5207,0.9967,43.11
wavmark,5,1,chinese:SSB0005,1,fwp,none,none,1,7.00000000,4.5610,0.9982,44.24
wavmark,5,1,chinese:SSB0005,1,mean,mp3_128k,MP3 128 kbps,1,2.00000000,4.4034,0.9967,28.72
wavmark,5,1,chinese:SSB0005,1,fwp,mp3_128k,MP3 128 kbps,1,6.00000000,4.4390,0.9982,28.76
wavmark,5,1,chinese:SSB0005,1,mean,opus_64k,Opus 64 kbps,1,3.00000000,4.5105,0.9962,31.89
wavmark,5,1,chinese:SSB0005,1,fwp,opus_64k,Opus 64 kbps,1,6.00000000,4.5445,0.9974,31.65
wavmark,5,2,chinese:SSB0005,2,mean,none,none,1,4.00000000,4.5612,0.9979,43.55
wavmark,5,2,chinese:SSB0005,2,fwp,none,none,1,4.00000000,4.5816,0.9985,45.05
wavmark,5,2,chinese:SSB0005,2,mean,mp3_128k,MP3 128 kbps,1,4.00000000,4.4335,0.9979,28.75
wavmark,5,2,chinese:SSB0005,2,fwp,mp3_128k,MP3 128 kbps,1,4.00000000,4.4458,0.9984,28.77
wavmark,5,2,chinese:SSB0005,2,mean,opus_64k,Opus 64 kbps,1,3.00000000,4.5460,0.9973,31.85
wavmark,5,2,chinese:SSB0005,2,fwp,opus_64k,Opus 64 kbps,1,4.00000000,4.5562,0.9977,31.61
wavmark,5,3,chinese:SSB0009,0,mean,none,none,1,1.00000000,4.5937,0.9999,42.35
wavmark,5,3,chinese:SSB0009,0,fwp,none,none,1,5.00000000,4.6022,0.9999,43.53
wavmark,5,3,chinese:SSB0009,0,mean,mp3_128k,MP3 128 kbps,1,1.00000000,4.4448,0.9999,31.42
wavmark,5,3,chinese:SSB0009,0,fwp,mp3_128k,MP3 128 kbps,1,5.00000000,4.4511,0.9999,31.49
wavmark,5,3,chinese:SSB0009,0,mean,opus_64k,Opus 64 kbps,1,1.00000000,4.5644,0.9996,31.17
wavmark,5,3,chinese:SSB0009,0,fwp,opus_64k,Opus 64 kbps,1,5.00000000,4.5693,0.9996,30.84
wavmark,5,4,chinese:SSB0009,1,mean,none,none,1,2.00000000,4.5779,0.9999,42.21
wavmark,5,4,chinese:SSB0009,1,fwp,none,none,1,4.00000000,4.5914,1.0000,44.48
wavmark,5,4,chinese:SSB0009,1,mean,mp3_128k,MP3 128 kbps,1,2.00000000,4.4380,0.9999,31.42
wavmark,5,4,chinese:SSB0009,1,fwp,mp3_128k,MP3 128 kbps,1,3.00000000,4.4449,0.9999,31.55
wavmark,5,4,chinese:SSB0009,1,mean,opus_64k,Opus 64 kbps,1,2.00000000,4.5538,0.9996,31.06
wavmark,5,4,chinese:SSB0009,1,fwp,opus_64k,Opus 64 kbps,1,3.00000000,4.5592,0.9995,30.87
wavmark,5,5,chinese:SSB0009,2,mean,none,none,1,3.00000000,4.5922,0.9999,42.95
wavmark,5,5,chinese:SSB0009,2,fwp,none,none,1,5.00000000,4.6024,0.9999,44.64
wavmark,5,5,chinese:SSB0009,2,mean,mp3_128k,MP3 128 kbps,1,3.00000000,4.4496,0.9999,31.46
wavmark,5,5,chinese:SSB0009,2,fwp,mp3_128k,MP3 128 kbps,1,5.00000000,4.4523,0.9999,31.54
wavmark,5,5,chinese:SSB0009,2,mean,opus_64k,Opus 64 kbps,1,3.00000000,4.5626,0.9996,31.16
wavmark,5,5,chinese:SSB0009,2,fwp,opus_64k,Opus 64 kbps,1,2.00000000,4.5443,0.9995,30.58
wavmark,5,6,chinese:SSB0011,0,mean,none,none,1,3.00000000,4.3243,0.9993,41.26
wavmark,5,6,chinese:SSB0011,0,fwp,none,none,1,3.00000000,4.4405,0.9995,43.29
wavmark,5,6,chinese:SSB0011,0,mean,mp3_128k,MP3 128 kbps,1,3.00000000,4.1788,0.9993,31.29
wavmark,5,6,chinese:SSB0011,0,fwp,mp3_128k,MP3 128 kbps,1,3.00000000,4.2849,0.9995,31.43
wavmark,5,6,chinese:SSB0011,0,mean,opus_64k,Opus 64 kbps,1,3.00000000,4.3169,0.9991,33.48
wavmark,5,6,chinese:SSB0011,0,fwp,opus_64k,Opus 64 kbps,1,5.00000000,4.1790,0.9987,32.69
wavmark,5,7,chinese:SSB0011,1,mean,none,none,1,3.00000000,4.4354,0.9992,41.81
wavmark,5,7,chinese:SSB0011,1,fwp,none,none,1,5.00000000,4.4725,0.9995,43.08
wavmark,5,7,chinese:SSB0011,1,mean,mp3_128k,MP3 128 kbps,1,3.00000000,4.2888,0.9992,31.34
wavmark,5,7,chinese:SSB0011,1,fwp,mp3_128k,MP3 128 kbps,1,5.00000000,4.3221,0.9994,31.44
wavmark,5,7,chinese:SSB0011,1,mean,opus_64k,Opus 64 kbps,1,3.00000000,4.4264,0.9990,33.61
wavmark,5,7,chinese:SSB0011,1,fwp,opus_64k,Opus 64 kbps,1,5.00000000,4.4619,0.9992,33.26
wavmark,5,8,chinese:SSB0011,2,mean,none,none,1,4.00000000,4.4983,0.9995,42.99
wavmark,5,8,chinese:SSB0011,2,fwp,none,none,1,4.00000000,4.4301,0.9993,40.74
wavmark,5,8,chinese:SSB0011,2,mean,mp3_128k,MP3 128 kbps,1,4.00000000,4.3635,0.9995,31.39
wavmark,5,8,chinese:SSB0011,2,fwp,mp3_128k,MP3 128 kbps,1,4.00000000,4.2700,0.9992,31.20
wavmark,5,8,chinese:SSB0011,2,mean,opus_64k,Opus 64 kbps,1,4.00000000,4.4884,0.9993,33.69
wavmark,5,8,chinese:SSB0011,2,fwp,opus_64k,Opus 64 kbps,1,4.00000000,4.4204,0.9990,32.95
wavmark,5,9,chinese:SSB0012,0,mean,none,none,1,3.00000000,4.5395,0.9998,43.55
wavmark,5,9,chinese:SSB0012,0,fwp,none,none,1,1.00000000,4.4345,0.9996,40.58
wavmark,5,9,chinese:SSB0012,0,mean,mp3_128k,MP3 128 kbps,1,3.00000000,4.4076,0.9998,31.26
wavmark,5,9,chinese:SSB0012,0,fwp,mp3_128k,MP3 128 kbps,1,2.00000000,4.3179,0.9996,31.02
wavmark,5,9,chinese:SSB0012,0,mean,opus_64k,Opus 64 kbps,1,3.00000000,4.5327,0.9995,32.87
wavmark,5,9,chinese:SSB0012,0,fwp,opus_64k,Opus 64 kbps,1,1.00000000,4.4297,0.9992,32.19
wavmark,5,10,chinese:SSB0012,1,mean,none,none,1,2.00000000,4.5336,0.9998,42.41
wavmark,5,10,chinese:SSB0012,1,fwp,none,none,1,3.00000000,4.5186,0.9998,42.85
wavmark,5,10,chinese:SSB0012,1,mean,mp3_128k,MP3 128 kbps,1,2.00000000,4.3982,0.9998,31.20
wavmark,5,10,chinese:SSB0012,1,fwp,mp3_128k,MP3 128 kbps,1,4.00000000,4.3829,0.9998,31.22
wavmark,5,10,chinese:SSB0012,1,mean,opus_64k,Opus 64 kbps,1,2.00000000,4.5215,0.9995,32.79
wavmark,5,10,chinese:SSB0012,1,fwp,opus_64k,Opus 64 kbps,1,4.00000000,4.5006,0.9994,32.46
wavmark,5,11,chinese:SSB0012,2,mean,none,none,1,2.00000000,4.5385,0.9998,42.58
wavmark,5,11,chinese:SSB0012,2,fwp,none,none,1,4.00000000,4.5217,0.9998,44.02
wavmark,5,11,chinese:SSB0012,2,mean,mp3_128k,MP3 128 kbps,1,2.00000000,4.4086,0.9998,31.21
wavmark,5,11,chinese:SSB0012,2,fwp,mp3_128k,MP3 128 kbps,1,5.00000000,4.3925,0.9998,31.29
wavmark,5,11,chinese:SSB0012,2,mean,opus_64k,Opus 64 kbps,1,2.00000000,4.5267,0.9994,32.79
wavmark,5,11,chinese:SSB0012,2,fwp,opus_64k,Opus 64 kbps,1,4.00000000,4.5028,0.9994,32.47
wavmark,5,12,chinese:SSB0016,0,mean,none,none,1,5.00000000,4.3094,0.9978,38.07
wavmark,5,12,chinese:SSB0016,0,fwp,none,none,1,3.00000000,4.2895,0.9984,38.83
wavmark,5,12,chinese:SSB0016,0,mean,mp3_128k,MP3 128 kbps,1,5.00000000,4.2129,0.9978,32.45
wavmark,5,12,chinese:SSB0016,0,fwp,mp3_128k,MP3 128 kbps,1,2.00000000,4.1926,0.9984,32.63
wavmark,5,12,chinese:SSB0016,0,mean,opus_64k,Opus 64 kbps,1,5.00000000,4.3056,0.9976,32.05
wavmark,5,12,chinese:SSB0016,0,fwp,opus_64k,Opus 64 kbps,1,3.00000000,4.2839,0.9981,31.62
wavmark,5,13,chinese:SSB0016,1,mean,none,none,1,3.00000000,4.1111,0.9973,37.01
wavmark,5,13,chinese:SSB0016,1,fwp,none,none,1,1.00000000,4.0588,0.9979,38.33
wavmark,5,13,chinese:SSB0016,1,mean,mp3_128k,MP3 128 kbps,1,5.00000000,4.0098,0.9973,32.16
wavmark,5,13,chinese:SSB0016,1,fwp,mp3_128k,MP3 128 kbps,1,1.00000000,3.9578,0.9979,32.53
wavmark,5,13,chinese:SSB0016,1,mean,opus_64k,Opus 64 kbps,1,4.00000000,4.1048,0.9972,31.91
wavmark,5,13,chinese:SSB0016,1,fwp,opus_64k,Opus 64 kbps,1,1.00000000,4.0468,0.9977,31.69
wavmark,5,14,chinese:SSB0016,2,mean,none,none,1,2.00000000,4.3649,0.9977,37.82
wavmark,5,14,chinese:SSB0016,2,fwp,none,none,1,3.00000000,4.3748,0.9981,38.67
wavmark,5,14,chinese:SSB0016,2,mean,mp3_128k,MP3 128 kbps,1,2.00000000,4.2714,0.9977,32.39
wavmark,5,14,chinese:SSB0016,2,fwp,mp3_128k,MP3 128 kbps,1,4.00000000,4.2763,0.9981,32.60
wavmark,5,14,chinese:SSB0016,2,mean,opus_64k,Opus 64 kbps,1,2.00000000,4.3616,0.9975,32.09
wavmark,5,14,chinese:SSB0016,2,fwp,opus_64k,Opus 64 kbps,1,4.00000000,4.3675,0.9979,31.74
wavmark,5,15,chinese:SSB0018,0,mean,none,none,1,4.00000000,4.5037,0.9994,44.26
wavmark,5,15,chinese:SSB0018,0,fwp,none,none,1,5.00000000,4.5081,0.9996,44.83
wavmark,5,15,chinese:SSB0018,0,mean,mp3_128k,MP3 128 kbps,1,4.00000000,4.3456,0.9994,29.99
wavmark,5,15,chinese:SSB0018,0,fwp,mp3_128k,MP3 128 kbps,1,5.00000000,4.3517,0.9996,30.01
wavmark,5,15,chinese:SSB0018,0,mean,opus_64k,Opus 64 kbps,1,4.00000000,4.4879,0.9991,33.79
wavmark,5,15,chinese:SSB0018,0,fwp,opus_64k,Opus 64 kbps,1,5.00000000,4.4853,0.9992,33.33
wavmark,5,16,chinese:SSB0018,1,mean,none,none,1,2.00000000,4.5299,0.9995,43.25
wavmark,5,16,chinese:SSB0018,1,fwp,none,none,1,5.00000000,4.5434,0.9996,43.87
