model,k,trial_id,condition,decoded_payload,bit_count,minimum_confidence,weakest_bit_index,source_path,target_rank,confidence_source
audioseal,8,0,single,60587,16,0.7155149579,12,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,,native decoder bit marginal
audioseal,8,0,targeted,60850,16,0.6250253320,15,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,6,native decoder bit marginal
audioseal,8,0,average,47903,16,0.6577828526,11,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,,native decoder bit marginal
audioseal,8,1,single,50504,16,0.7284628749,12,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,,native decoder bit marginal
audioseal,8,1,targeted,42193,16,0.5098017454,12,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,3,native decoder bit marginal
audioseal,8,1,average,46343,16,0.5168526471,6,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,,native decoder bit marginal
audioseal,8,2,single,43882,16,0.7051357925,12,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,,native decoder bit marginal
audioseal,8,2,targeted,65184,16,0.5458744764,15,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,1,native decoder bit marginal
audioseal,8,2,average,31840,16,0.5191088915,2,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,,native decoder bit marginal
audioseal,8,3,single,22210,16,0.7307138443,8,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_01.wav,,native decoder bit marginal
audioseal,8,3,targeted,29707,16,0.6133518815,3,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_01.wav,1,native decoder bit marginal
audioseal,8,3,average,21666,16,0.5124536753,1,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_01.wav,,native decoder bit marginal
audioseal,8,4,single,2410,16,0.6991143525,12,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_02.wav,,native decoder bit marginal
audioseal,8,4,targeted,55602,16,0.6310652494,5,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_02.wav,1,native decoder bit marginal
audioseal,8,4,average,40160,16,0.5654798746,11,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_02.wav,,native decoder bit marginal
audioseal,8,5,single,31202,16,0.7064718008,13,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_03.wav,,native decoder bit marginal
audioseal,8,5,targeted,29652,16,0.6175751090,4,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_03.wav,1,native decoder bit marginal
