model,K,trial_id,condition,identity,nbits,min_bit_confidence,weakest_bit,source_path,target_rank,confidence_kind
wavmark,8,0,benign_copy,60587,16,0.9777777778,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,,valid-window vote fraction
wavmark,8,0,successful_mrc,60851,16,0.8000000000,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,1,valid-window vote fraction
wavmark,8,0,uniform_collusion,47963,16,0.5744680851,6,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,,valid-window vote fraction (proxy)
wavmark,8,1,benign_copy,50504,16,0.9714285714,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,,valid-window vote fraction
wavmark,8,1,successful_mrc,58849,16,0.9444444444,0,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,1,valid-window vote fraction
wavmark,8,1,uniform_collusion,14279,16,0.5384615385,6,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,,valid-window vote fraction (proxy)
wavmark,8,2,benign_copy,43882,16,0.9772727273,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,,valid-window vote fraction
wavmark,8,2,successful_mrc,65184,16,0.7446808511,4,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,1,valid-window vote fraction
wavmark,8,2,uniform_collusion,65270,16,0.5434782609,6,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,,valid-window vote fraction (proxy)
wavmark,8,3,benign_copy,22210,16,0.9555555556,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_01.wav,,valid-window vote fraction
wavmark,8,3,successful_mrc,62491,16,0.5600000000,8,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_01.wav,2,valid-window vote fraction
wavmark,8,3,uniform_collusion,26295,16,0.5600000000,5,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_01.wav,,valid-window vote fraction (proxy)
wavmark,8,4,benign_copy,2410,16,0.9183673469,9,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_02.wav,,valid-window vote fraction
wavmark,8,4,successful_mrc,55602,16,0.7045454545,10,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_02.wav,1,valid-window vote fraction
wavmark,8,4,uniform_collusion,48635,16,0.6250000000,12,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_02.wav,,valid-window vote fraction (proxy)
wavmark,8,5,benign_copy,31202,16,0.9756097561,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_03.wav,,valid-window vote fraction
wavmark,8,5,successful_mrc,29652,16,0.7446808511,10,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_03.wav,1,valid-window vote fraction
wavmark,8,5,uniform_collusion,19827,16,0.6530612245,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_03.wav,,valid-window vote fraction (proxy)
