model,k,trial_id,condition,decoded_payload,bit_count,minimum_confidence,weakest_bit_index,source_path,target_rank,confidence_source
timbrewm,8,0,single,946,10,0.6753288507,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,,native decoder bit marginal
timbrewm,8,0,targeted,749,10,0.5573847294,2,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,1,native decoder bit marginal
timbrewm,8,0,average,750,10,0.5305860043,6,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,,native decoder bit marginal
timbrewm,8,1,single,228,10,0.7011714578,2,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,,native decoder bit marginal
timbrewm,8,1,targeted,733,10,0.5947966576,6,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,1,native decoder bit marginal
timbrewm,8,1,average,722,10,0.5089303851,9,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,,native decoder bit marginal
timbrewm,8,2,single,468,10,0.6898359358,3,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,,native decoder bit marginal
timbrewm,8,2,targeted,472,10,0.5983651578,5,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,1,native decoder bit marginal
timbrewm,8,2,average,1015,10,0.5128708482,2,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,,native decoder bit marginal
timbrewm,8,3,single,347,10,0.6847817302,1,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_01.wav,,native decoder bit marginal
timbrewm,8,3,targeted,414,10,0.5744614601,2,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_01.wav,1,native decoder bit marginal
timbrewm,8,3,average,409,10,0.5616595149,5,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_01.wav,,native decoder bit marginal
timbrewm,8,4,single,583,10,0.6808550358,1,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_02.wav,,native decoder bit marginal
timbrewm,8,4,targeted,727,10,0.5186650753,2,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_02.wav,1,native decoder bit marginal
timbrewm,8,4,average,741,10,0.5032818913,5,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_02.wav,,native decoder bit marginal
timbrewm,8,5,single,390,10,0.6717138588,3,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_03.wav,,native decoder bit marginal
timbrewm,8,5,targeted,305,10,0.5305803418,3,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_03.wav,1,native decoder bit marginal
timbrewm,8,5,average,273,10,0.5013962090,5,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_03.wav,,native decoder bit marginal
timbrewm,8,6,single,605,10,0.6769251525,7,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_01.wav,,native decoder bit marginal
timbrewm,8,6,targeted,589,10,0.5530939400,7,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_01.wav,1,native decoder bit marginal
timbrewm,8,6,average,638,10,0.5011843443,2,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_01.wav,,native decoder bit marginal
timbrewm,8,7,single,672,10,0.6918856502,3,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_02.wav,,native decoder bit marginal
timbrewm,8,7,targeted,631,10,0.5901805162,3,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_02.wav,1,native decoder bit marginal
timbrewm,8,7,average,542,10,0.5114075243,5,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_02.wav,,native decoder bit marginal
timbrewm,8,8,single,105,10,0.6962399781,7,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_03.wav,,native decoder bit marginal
timbrewm,8,8,targeted,120,10,0.5668042004,7,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_03.wav,1,native decoder bit marginal
timbrewm,8,8,average,238,10,0.5073711574,4,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_03.wav,,native decoder bit marginal
timbrewm,8,9,single,885,10,0.6587054431,3,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_01.wav,,native decoder bit marginal
timbrewm,8,9,targeted,232,10,0.5646580160,2,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_01.wav,1,native decoder bit marginal
timbrewm,8,9,average,239,10,0.5088088214,4,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_01.wav,,native decoder bit marginal
timbrewm,8,10,single,700,10,0.6938391924,8,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_02.wav,,native decoder bit marginal
timbrewm,8,10,targeted,692,10,0.5175350606,3,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_02.wav,1,native decoder bit marginal
timbrewm,8,10,average,676,10,0.5229836106,3,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_02.wav,,native decoder bit marginal
timbrewm,8,11,single,928,10,0.6880620420,3,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_03.wav,,native decoder bit marginal
timbrewm,8,11,targeted,325,10,0.5785652697,3,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_03.wav,1,native decoder bit marginal
timbrewm,8,11,average,340,10,0.5110973716,4,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_03.wav,,native decoder bit marginal
timbrewm,8,12,single,523,10,0.6850993037,1,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_01.wav,,native decoder bit marginal
timbrewm,8,12,targeted,166,10,0.5712226629,1,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_01.wav,1,native decoder bit marginal
timbrewm,8,12,average,4,10,0.5088954568,9,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_01.wav,,native decoder bit marginal
timbrewm,8,13,single,806,10,0.6663474739,3,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_02.wav,,native decoder bit marginal
timbrewm,8,13,targeted,866,10,0.5717626810,9,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_02.wav,1,native decoder bit marginal
timbrewm,8,13,average,353,10,0.5140963793,9,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_02.wav,,native decoder bit marginal
timbrewm,8,14,single,706,10,0.6744537354,1,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_03.wav,,native decoder bit marginal
timbrewm,8,14,targeted,710,10,0.5554376841,2,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_03.wav,1,native decoder bit marginal
timbrewm,8,14,average,765,10,0.5027884841,4,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_03.wav,,native decoder bit marginal
timbrewm,8,15,single,107,10,0.6916701794,1,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_01.wav,,native decoder bit marginal
timbrewm,8,15,targeted,507,10,0.5447280407,1,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_01.wav,1,native decoder bit marginal
timbrewm,8,15,average,488,10,0.5149727762,9,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_01.wav,,native decoder bit marginal
timbrewm,8,16,single,932,10,0.6767643988,3,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_02.wav,,native decoder bit marginal
timbrewm,8,16,targeted,1011,10,0.5616984367,4,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_02.wav,1,native decoder bit marginal
timbrewm,8,16,average,973,10,0.5037817359,2,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_02.wav,,native decoder bit marginal
timbrewm,8,17,single,841,10,0.7090090215,7,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_03.wav,,native decoder bit marginal
timbrewm,8,17,targeted,864,10,0.5540786982,9,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_03.wav,1,native decoder bit marginal
timbrewm,8,17,average,750,10,0.5020300746,8,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_03.wav,,native decoder bit marginal
timbrewm,8,18,single,566,10,0.6806553304,3,dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_01.wav,,native decoder bit marginal
timbrewm,8,18,targeted,430,10,0.5630081892,1,dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_01.wav,1,native decoder bit marginal
timbrewm,8,18,average,296,10,0.5001145303,7,dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_01.wav,,native decoder bit marginal
timbrewm,8,19,single,841,10,0.7052446008,9,dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_02.wav,,native decoder bit marginal
timbrewm,8,19,targeted,857,10,0.5362967849,7,dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_02.wav,1,native decoder bit marginal
timbrewm,8,19,average,921,10,0.5022130609,6,dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_02.wav,,native decoder bit marginal
timbrewm,8,20,single,946,10,0.6732070446,1,dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_03.wav,,native decoder bit marginal
timbrewm,8,20,targeted,935,10,0.5671830773,9,dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_03.wav,1,native decoder bit marginal
timbrewm,8,20,average,429,10,0.5106618702,9,dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_03.wav,,native decoder bit marginal
timbrewm,8,21,single,847,10,0.6986047029,1,dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_01.wav,,native decoder bit marginal
timbrewm,8,21,targeted,845,10,0.5707486868,2,dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_01.wav,1,native decoder bit marginal
timbrewm,8,21,average,323,10,0.5044736862,1,dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_01.wav,,native decoder bit marginal
timbrewm,8,22,single,264,10,0.7033625841,7,dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_02.wav,,native decoder bit marginal
timbrewm,8,22,targeted,265,10,0.5642018914,0,dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_02.wav,1,native decoder bit marginal
timbrewm,8,22,average,314,10,0.5046488643,5,dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_02.wav,,native decoder bit marginal
timbrewm,8,23,single,808,10,0.6968956590,9,dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_03.wav,,native decoder bit marginal
timbrewm,8,23,targeted,958,10,0.5383954644,5,dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_03.wav,1,native decoder bit marginal
timbrewm,8,23,average,955,10,0.5000010729,4,dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_03.wav,,native decoder bit marginal
timbrewm,8,24,single,502,10,0.6861140132,4,dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_01.wav,,native decoder bit marginal
timbrewm,8,24,targeted,498,10,0.5755608678,0,dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_01.wav,1,native decoder bit marginal
timbrewm,8,24,average,245,10,0.5030454993,8,dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_01.wav,,native decoder bit marginal
timbrewm,8,25,single,180,10,0.6920036077,2,dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_02.wav,,native decoder bit marginal
timbrewm,8,25,targeted,902,10,0.5534502864,3,dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_02.wav,1,native decoder bit marginal
timbrewm,8,25,average,914,10,0.5154735744,2,dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_02.wav,,native decoder bit marginal
timbrewm,8,26,single,620,10,0.6913531721,7,dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_03.wav,,native decoder bit marginal
timbrewm,8,26,targeted,370,10,0.5473513305,3,dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_03.wav,1,native decoder bit marginal
timbrewm,8,26,average,872,10,0.5144392252,3,dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_03.wav,,native decoder bit marginal
timbrewm,8,27,single,178,10,0.6777090430,1,dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_01.wav,,native decoder bit marginal
