model,k,trial_id,condition,decoded_payload,bit_count,minimum_confidence,weakest_bit_index,source_path,target_rank,confidence_source
voicemark,8,0,single,60587,16,0.9996536970,5,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,,native decoder bit marginal
voicemark,8,0,average,6965,16,0.9806237593,15,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,,native decoder bit marginal
voicemark,8,1,single,50504,16,0.9941666126,8,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,,native decoder bit marginal
voicemark,8,1,average,6030,16,0.6688947082,7,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,,native decoder bit marginal
voicemark,8,2,single,43882,16,0.9999494553,15,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,,native decoder bit marginal
voicemark,8,2,average,8544,16,0.7908906341,4,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,,native decoder bit marginal
voicemark,8,3,single,22210,16,0.9983177185,10,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_01.wav,,native decoder bit marginal
voicemark,8,3,average,57463,16,0.7714861482,7,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_01.wav,,native decoder bit marginal
voicemark,8,4,single,2410,16,0.9967568535,10,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_02.wav,,native decoder bit marginal
voicemark,8,4,average,37755,16,0.5056408048,9,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_02.wav,,native decoder bit marginal
voicemark,8,5,single,31202,16,0.9997013270,10,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_03.wav,,native decoder bit marginal
voicemark,8,5,average,57411,16,0.5302949250,10,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_03.wav,,native decoder bit marginal
voicemark,8,6,single,36928,16,0.9998452169,4,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_01.wav,,native decoder bit marginal
voicemark,8,6,average,5943,16,0.7224695086,4,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_01.wav,,native decoder bit marginal
voicemark,8,7,single,43066,16,0.9999573108,10,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_02.wav,,native decoder bit marginal
voicemark,8,7,average,24053,16,0.9149908423,10,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_02.wav,,native decoder bit marginal
voicemark,8,8,single,34568,16,0.9683887139,13,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_03.wav,,native decoder bit marginal
voicemark,8,8,average,42935,16,0.4435946941,12,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_03.wav,,native decoder bit marginal
voicemark,8,9,single,10488,16,0.9991707917,9,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_01.wav,,native decoder bit marginal
voicemark,8,9,average,57341,16,0.5838376284,9,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_01.wav,,native decoder bit marginal
voicemark,8,10,single,8513,16,0.9997874759,14,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_02.wav,,native decoder bit marginal
voicemark,8,10,average,12087,16,0.4022752345,10,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_02.wav,,native decoder bit marginal
