model,k,trial_id,condition,decoded_payload,bit_count,minimum_confidence,weakest_bit_index,source_path,target_rank,confidence_source
wavmark,8,0,single,60587,16,0.9777777778,2,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,,valid-window vote fraction
wavmark,8,0,targeted,60851,16,0.8000000000,3,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,1,valid-window vote fraction
wavmark,8,0,average,47963,16,0.5744680851,6,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,,valid-window vote fraction (proxy)
wavmark,8,1,single,50504,16,0.9714285714,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,,valid-window vote fraction
wavmark,8,1,targeted,58849,16,0.9444444444,0,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,1,valid-window vote fraction
wavmark,8,1,average,14279,16,0.5384615385,6,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,,valid-window vote fraction (proxy)
wavmark,8,2,single,43882,16,0.9772727273,2,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,,valid-window vote fraction
wavmark,8,2,targeted,65184,16,0.7446808511,4,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,1,valid-window vote fraction
wavmark,8,2,average,65270,16,0.5434782609,6,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,,valid-window vote fraction (proxy)
wavmark,8,3,single,22210,16,0.9555555556,3,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_01.wav,,valid-window vote fraction
wavmark,8,3,targeted,62491,16,0.5600000000,8,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_01.wav,2,valid-window vote fraction
wavmark,8,3,average,26295,16,0.5600000000,5,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_01.wav,,valid-window vote fraction (proxy)
wavmark,8,4,single,2410,16,0.9183673469,9,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_02.wav,,valid-window vote fraction
wavmark,8,4,targeted,55602,16,0.7045454545,10,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_02.wav,1,valid-window vote fraction
wavmark,8,4,average,48635,16,0.6250000000,12,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_02.wav,,valid-window vote fraction (proxy)
wavmark,8,5,single,31202,16,0.9756097561,2,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_03.wav,,valid-window vote fraction
wavmark,8,5,targeted,29652,16,0.7446808511,10,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_03.wav,1,valid-window vote fraction
wavmark,8,5,average,19827,16,0.6530612245,2,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_03.wav,,valid-window vote fraction (proxy)
wavmark,8,6,single,36928,16,1.0000000000,0,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_01.wav,,valid-window vote fraction
wavmark,8,6,targeted,25514,16,0.6470588235,4,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_01.wav,7,valid-window vote fraction
wavmark,8,6,average,48957,16,0.5200000000,13,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_01.wav,,valid-window vote fraction (proxy)
wavmark,8,7,single,43066,16,1.0000000000,0,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_02.wav,,valid-window vote fraction
wavmark,8,7,targeted,50256,16,0.6410256410,13,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_02.wav,2,valid-window vote fraction
wavmark,8,7,average,36343,16,0.5365853659,13,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_02.wav,,valid-window vote fraction (proxy)
wavmark,8,8,single,34568,16,0.9565217391,1,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_03.wav,,valid-window vote fraction
wavmark,8,8,targeted,61104,16,0.8222222222,14,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_03.wav,1,valid-window vote fraction
wavmark,8,8,average,16381,16,0.5882352941,6,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_03.wav,,valid-window vote fraction (proxy)
wavmark,8,9,single,10488,16,1.0000000000,0,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_01.wav,,valid-window vote fraction
wavmark,8,9,targeted,8209,16,0.5744680851,10,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_01.wav,3,valid-window vote fraction
wavmark,8,9,average,15799,16,0.5531914894,8,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_01.wav,,valid-window vote fraction (proxy)
wavmark,8,10,single,8513,16,0.9333333333,2,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_02.wav,,valid-window vote fraction
wavmark,8,10,targeted,48584,16,0.7777777778,2,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_02.wav,6,valid-window vote fraction
wavmark,8,10,average,44375,16,0.7021276596,7,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_02.wav,,valid-window vote fraction (proxy)
wavmark,8,11,single,62743,16,0.9777777778,3,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_03.wav,,valid-window vote fraction
wavmark,8,11,targeted,17595,16,0.8125000000,14,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_03.wav,1,valid-window vote fraction
wavmark,8,11,average,21878,16,0.5111111111,13,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_03.wav,,valid-window vote fraction (proxy)
wavmark,8,12,single,27012,16,0.9361702128,1,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_01.wav,,valid-window vote fraction
wavmark,8,12,targeted,26928,16,0.6923076923,2,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_01.wav,1,valid-window vote fraction
wavmark,8,12,average,33195,16,0.5686274510,3,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_01.wav,,valid-window vote fraction (proxy)
wavmark,8,13,single,20619,16,0.8461538462,4,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_02.wav,,valid-window vote fraction
wavmark,8,13,targeted,21473,16,0.6274509804,14,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_02.wav,2,valid-window vote fraction
wavmark,8,13,average,51363,16,0.5098039216,15,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_02.wav,,valid-window vote fraction (proxy)
wavmark,8,14,single,8664,16,0.8627450980,1,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_03.wav,,valid-window vote fraction
wavmark,8,14,targeted,7064,16,0.8627450980,1,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_03.wav,1,valid-window vote fraction
wavmark,8,14,average,12726,16,0.5400000000,15,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_03.wav,,valid-window vote fraction (proxy)
wavmark,8,15,single,53720,16,1.0000000000,0,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_01.wav,,valid-window vote fraction
wavmark,8,15,targeted,57061,16,0.7142857143,4,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_01.wav,1,valid-window vote fraction
wavmark,8,15,average,16095,16,0.5961538462,14,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_01.wav,,valid-window vote fraction (proxy)
wavmark,8,16,single,59653,16,1.0000000000,0,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_02.wav,,valid-window vote fraction
wavmark,8,16,targeted,64987,16,0.8222222222,15,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_02.wav,1,valid-window vote fraction
wavmark,8,16,average,64990,16,0.6304347826,9,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_02.wav,,valid-window vote fraction (proxy)
wavmark,8,17,single,25640,16,0.9166666667,4,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_03.wav,,valid-window vote fraction
wavmark,8,17,targeted,47546,16,0.9000000000,0,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_03.wav,1,valid-window vote fraction
wavmark,8,17,average,47511,16,0.6530612245,4,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_03.wav,,valid-window vote fraction (proxy)
