model,k,trial_id,condition,decoded_payload,bit_count,minimum_confidence,weakest_bit_index,source_path,target_rank,confidence_source
wmcodec,8,0,single,60587,16,0.9998711348,7,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,,native decoder bit marginal
wmcodec,8,0,average,878,16,0.6012367010,12,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,,native decoder bit marginal
wmcodec,8,1,single,50504,16,0.9732268546,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,,native decoder bit marginal
wmcodec,8,1,average,13708,16,0.5429510474,3,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,,native decoder bit marginal
wmcodec,8,2,single,43882,16,0.9706861973,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,,native decoder bit marginal
wmcodec,8,2,average,13670,16,0.4237220287,4,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,,native decoder bit marginal
wmcodec,8,3,single,22210,16,0.9994328011,2,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_01.wav,,native decoder bit marginal
wmcodec,8,3,average,15206,16,0.8778630048,4,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_01.wav,,native decoder bit marginal
wmcodec,8,4,single,2410,16,0.9980895519,1,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_02.wav,,native decoder bit marginal
wmcodec,8,4,average,2405,16,0.8854763731,4,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_02.wav,,native decoder bit marginal
wmcodec,8,5,single,31202,16,0.9948877213,2,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_03.wav,,native decoder bit marginal
wmcodec,8,5,average,21958,16,0.7287285328,9,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_03.wav,,native decoder bit marginal
wmcodec,8,6,single,36928,16,0.8142938763,0,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_01.wav,,native decoder bit marginal
wmcodec,8,6,average,25901,16,0.6073317528,7,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_01.wav,,native decoder bit marginal
wmcodec,8,7,single,43066,16,0.9495491385,1,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_02.wav,,native decoder bit marginal
wmcodec,8,7,targeted,50260,16,0.6528201103,15,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_02.wav,4,native decoder bit marginal
wmcodec,8,7,average,107,16,0.5719705522,15,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_02.wav,,native decoder bit marginal
