model,K,spk,local_t,gi,target,tct_hit,tct_margin,oracle_hit,oracle_margin
voicemark,5,chinese:SSB0005,0,0,63605,0,-40.20156660,0,-27.98635115
voicemark,5,chinese:SSB0005,0,0,38789,0,-7.14954656,0,-5.17895323
voicemark,5,chinese:SSB0005,0,0,47819,0,-29.19088261,0,-27.50088232
voicemark,5,chinese:SSB0005,0,0,38885,0,-1.30398858,1,2.61434945
voicemark,5,chinese:SSB0005,0,0,38727,0,-33.59385800,0,-20.20011184
voicemark,5,chinese:SSB0005,0,0,62325,0,-28.82594350,0,-14.72205062
voicemark,5,chinese:SSB0005,0,0,38629,0,-16.76668113,0,-16.56676626
voicemark,5,chinese:SSB0005,0,0,33735,0,-51.66009260,0,-39.60944125
voicemark,5,chinese:SSB0005,0,0,63607,0,-46.45633411,0,-41.46418172
voicemark,5,chinese:SSB0005,0,0,38599,0,-41.08451569,0,-36.39494204
voicemark,5,chinese:SSB0005,1,1,27987,0,-20.72634753,0,-21.80494390
voicemark,5,chinese:SSB0005,1,1,14993,0,-13.64748565,0,-13.24708731
voicemark,5,chinese:SSB0005,1,1,47760,0,-21.15772067,0,-12.38220400
voicemark,5,chinese:SSB0005,1,1,32114,0,-37.41416514,0,-26.23839190
voicemark,5,chinese:SSB0005,1,1,23930,0,-45.08647379,0,-34.56366974
voicemark,5,chinese:SSB0005,1,1,17746,0,-54.45906636,0,-37.07498082
voicemark,5,chinese:SSB0005,1,1,15672,0,-35.41355626,0,-22.83064675
voicemark,5,chinese:SSB0005,1,1,60713,0,-31.53112865,0,-15.72204375
voicemark,5,chinese:SSB0005,1,1,23931,0,-57.15353748,0,-26.37570086
voicemark,5,chinese:SSB0005,1,1,16017,0,-29.93511603,0,-30.40474871
voicemark,5,chinese:SSB0005,2,2,60561,0,-18.54894291,0,-18.89782270
voicemark,5,chinese:SSB0005,2,2,44163,0,-30.55303602,0,-25.92795974
voicemark,5,chinese:SSB0005,2,2,64664,0,-27.36792334,0,-26.51422100
voicemark,5,chinese:SSB0005,2,2,42881,0,-34.05355611,0,-21.78060139
voicemark,5,chinese:SSB0005,2,2,41379,0,-38.14114741,0,-30.95455173
voicemark,5,chinese:SSB0005,2,2,36753,0,-52.51559827,0,-26.46543868
voicemark,5,chinese:SSB0005,2,2,64665,0,-14.62358682,0,-14.71814716
voicemark,5,chinese:SSB0005,2,2,58547,0,-39.77960337,0,-27.53070021
voicemark,5,chinese:SSB0005,2,2,41675,0,-41.57314031,0,-30.21001696
voicemark,5,chinese:SSB0005,2,2,55472,0,-18.42434187,0,-4.79495251
voicemark,5,chinese:SSB0009,0,3,28035,0,-20.14539872,0,-7.10014457
voicemark,5,chinese:SSB0009,0,3,11902,0,-29.29215574,0,-16.31849224
voicemark,5,chinese:SSB0009,0,3,9852,0,-15.58048319,0,-18.44360343
voicemark,5,chinese:SSB0009,0,3,39417,0,-41.26455121,0,-18.97880268
voicemark,5,chinese:SSB0009,0,3,10872,0,-25.37973813,0,-17.60732639
voicemark,5,chinese:SSB0009,0,3,51816,0,-35.11716308,0,-25.66424757
voicemark,5,chinese:SSB0009,0,3,39321,0,-49.81120637,0,-24.12985925
voicemark,5,chinese:SSB0009,0,3,40217,0,-35.31621638,0,-14.30956090
voicemark,5,chinese:SSB0009,0,3,43449,0,-37.53144512,0,-16.16087087
voicemark,5,chinese:SSB0009,0,3,43289,0,-36.49235782,0,-15.62450266
