model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
audioseal,2,121,0,0,dm,1,1,1,15,0.9375,4.6217,0.9999,37.70
audioseal,2,121,1,1,dm,1,1,1,14,0.8750,4.6232,0.9999,36.52
audioseal,2,121,2,2,dm,1,1,1,10,0.6250,4.5954,0.9997,32.25
audioseal,2,121,3,3,dm,1,1,1,12,0.7500,4.6168,0.9998,33.51
audioseal,2,237,0,4,dm,1,1,1,12,0.7500,4.6066,1.0000,42.61
audioseal,2,237,1,5,dm,1,1,1,13,0.8125,4.6152,0.9999,41.46
audioseal,2,237,2,6,dm,1,1,1,14,0.8750,4.6277,1.0000,41.90
audioseal,2,237,3,7,dm,1,1,1,12,0.7500,4.6116,0.9999,39.86
audioseal,2,260,0,8,dm,1,1,1,12,0.7500,4.6104,0.9995,38.05
audioseal,2,260,1,9,dm,1,1,1,12,0.7500,4.6106,0.9996,38.56
audioseal,2,260,2,10,dm,1,1,1,14,0.8750,4.6254,0.9996,39.42
audioseal,2,260,3,11,dm,1,1,1,12,0.7500,4.6172,0.9995,39.87
audioseal,2,672,0,12,dm,1,1,1,14,0.8750,4.6060,0.9994,38.36
audioseal,2,672,1,13,dm,1,1,1,12,0.7500,4.6076,0.9991,38.99
audioseal,2,672,2,14,dm,1,1,1,12,0.7500,4.5958,0.9988,36.41
audioseal,2,672,3,15,dm,1,1,1,11,0.6875,4.5903,0.9989,32.59
audioseal,2,908,0,16,dm,1,1,1,12,0.7500,4.6145,0.9994,37.50
audioseal,2,908,1,17,dm,1,1,1,14,0.8750,4.6265,0.9993,37.75
audioseal,2,908,2,18,dm,1,1,1,10,0.6250,4.6047,0.9987,35.51
audioseal,2,908,3,19,dm,1,1,1,12,0.7500,4.5971,0.9990,36.02
audioseal,2,1089,0,20,dm,1,1,1,13,0.8125,4.6027,0.9995,35.57
audioseal,2,1089,1,21,dm,1,1,1,14,0.8750,4.6091,0.9995,36.23
audioseal,2,1089,2,22,dm,1,1,1,14,0.8750,4.6156,0.9995,35.23
audioseal,2,1089,3,23,dm,1,1,1,11,0.6875,4.6021,0.9995,34.45
audioseal,2,1188,0,24,dm,1,1,1,13,0.8125,4.6116,0.9985,37.48
audioseal,2,1188,1,25,dm,1,1,1,13,0.8125,4.6160,0.9981,32.58
audioseal,2,1188,2,26,dm,1,1,1,13,0.8125,4.6034,0.9983,35.82
audioseal,2,1188,3,27,dm,1,1,1,13,0.8125,4.6015,0.9983,32.51
audioseal,2,1221,0,28,dm,1,0,0,15,0.9375,4.6001,0.9995,31.55
audioseal,2,1221,1,29,dm,1,1,1,12,0.7500,4.6008,0.9995,36.18
audioseal,2,1221,2,30,dm,0,0,0,16,1.0000,4.6252,0.9997,38.96
audioseal,2,1221,3,31,dm,1,1,1,12,0.7500,4.6060,0.9993,31.85
audioseal,2,1284,0,32,dm,1,1,1,12,0.7500,4.6087,0.9997,36.81
audioseal,2,1284,1,33,dm,1,1,1,13,0.8125,4.6027,0.9998,38.57
audioseal,2,1284,2,34,dm,1,1,1,12,0.7500,4.6125,0.9996,36.61
audioseal,2,1284,3,35,dm,1,1,1,14,0.8750,4.6097,0.9999,39.01
audioseal,2,1320,0,36,dm,1,1,1,13,0.8125,4.6190,0.9998,38.38
audioseal,2,1320,1,37,dm,1,1,1,14,0.8750,4.6059,0.9999,40.10
audioseal,2,1320,2,38,dm,1,1,1,11,0.6875,4.6188,0.9998,38.02
audioseal,2,1320,3,39,dm,1,1,1,13,0.8125,4.6201,0.9998,40.54
audioseal,2,1580,0,40,dm,1,1,1,12,0.7500,4.5865,0.9991,30.02
audioseal,2,1580,1,41,dm,1,1,1,11,0.6875,4.5786,0.9988,28.00
audioseal,2,1580,2,42,dm,1,1,1,12,0.7500,4.5639,0.9989,27.76
audioseal,2,1580,3,43,dm,1,1,0,15,0.9375,4.6058,0.9993,29.48
audioseal,2,1995,0,44,dm,1,1,1,13,0.8125,4.6184,0.9996,42.87
audioseal,2,1995,1,45,dm,1,1,1,15,0.9375,4.6227,0.9996,36.84
audioseal,2,1995,2,46,dm,1,1,1,13,0.8125,4.6187,0.9996,40.06
audioseal,2,1995,3,47,dm,1,1,1,12,0.7500,4.6154,0.9996,39.09
audioseal,2,2300,0,48,dm,1,1,1,13,0.8125,4.6083,0.9997,40.30
audioseal,2,2300,1,49,dm,1,1,1,11,0.6875,4.6136,0.9997,39.47
audioseal,2,2300,2,50,dm,1,1,1,10,0.6250,4.6084,0.9996,38.45
audioseal,2,2300,3,51,dm,1,1,1,14,0.8750,4.6225,0.9998,42.98
audioseal,2,2830,0,52,dm,1,1,1,14,0.8750,4.6219,0.9998,40.51
audioseal,2,2830,1,53,dm,1,1,0,14,0.8750,4.6173,0.9997,38.67
audioseal,2,2830,2,54,dm,1,1,1,13,0.8125,4.6181,0.9997,39.86
audioseal,2,2830,3,55,dm,1,1,1,11,0.6875,4.6095,0.9996,37.41
audioseal,2,2961,0,56,dm,1,1,1,12,0.7500,4.6107,0.9997,36.38
audioseal,2,2961,1,57,dm,1,1,1,12,0.7500,4.6243,0.9998,37.27
audioseal,2,2961,2,58,dm,1,1,1,12,0.7500,4.6170,0.9997,36.43
audioseal,2,2961,3,59,dm,1,1,1,12,0.7500,4.6022,0.9997,37.00
audioseal,2,3570,0,60,dm,1,1,0,14,0.8750,4.6279,0.9999,43.51
audioseal,2,3570,1,61,dm,1,1,1,14,0.8750,4.6257,0.9999,44.23
audioseal,2,3570,2,62,dm,1,1,1,11,0.6875,4.6080,0.9998,39.60
audioseal,2,3570,3,63,dm,1,1,1,13,0.8125,4.6116,0.9998,41.55
audioseal,2,3575,0,64,dm,1,1,1,11,0.6875,4.5985,0.9996,38.33
audioseal,2,3575,1,65,dm,1,1,1,12,0.7500,4.6127,0.9997,36.81
audioseal,2,3575,2,66,dm,1,1,1,12,0.7500,4.6109,0.9998,41.34
audioseal,2,3575,3,67,dm,1,1,1,13,0.8125,4.6139,0.9998,42.63
audioseal,2,3729,0,68,dm,1,1,1,13,0.8125,4.6120,0.9997,31.07
audioseal,2,3729,1,69,dm,1,1,1,14,0.8750,4.6211,0.9996,30.43
audioseal,2,3729,2,70,dm,1,1,1,12,0.7500,4.6140,0.9998,31.21
audioseal,2,3729,3,71,dm,1,1,1,12,0.7500,4.6207,0.9997,31.34
audioseal,2,4077,0,72,dm,1,1,1,12,0.7500,4.6100,0.9997,40.23
audioseal,2,4077,1,73,dm,1,1,1,12,0.7500,4.6122,0.9996,40.59
audioseal,2,4077,2,74,dm,1,1,1,12,0.7500,4.6139,0.9997,39.60
audioseal,2,4077,3,75,dm,1,1,0,14,0.8750,4.6160,0.9998,40.41
audioseal,2,4446,0,76,dm,1,1,1,11,0.6875,4.6026,0.9999,35.36
audioseal,2,4446,1,77,dm,1,1,1,13,0.8125,4.5956,0.9999,36.22
audioseal,2,4446,2,78,dm,1,1,1,11,0.6875,4.6172,0.9999,35.25
audioseal,2,4446,3,79,dm,1,1,1,13,0.8125,4.6121,0.9999,37.23
audioseal,2,4507,0,80,dm,1,1,1,14,0.8750,4.6113,0.9998,43.29
audioseal,2,4507,1,81,dm,1,1,1,10,0.6250,4.6084,0.9996,41.81
audioseal,2,4507,2,82,dm,1,1,1,12,0.7500,4.6214,0.9998,44.98
audioseal,2,4507,3,83,dm,1,1,1,12,0.7500,4.6207,0.9996,43.46
