model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
wavmark,5,chinese:SSB0005,0,0,dm,1,1,1,13,0.8125,4.5766,0.9982,44.25
wavmark,5,chinese:SSB0005,1,1,dm,1,1,1,13,0.8125,4.5446,0.9975,43.69
wavmark,5,chinese:SSB0005,2,2,dm,1,1,1,11,0.6875,4.5657,0.9979,43.81
wavmark,5,chinese:SSB0009,0,3,dm,1,1,1,11,0.6875,4.5979,0.9999,42.81
wavmark,5,chinese:SSB0009,1,4,dm,1,1,1,13,0.8125,4.5941,0.9999,43.45
wavmark,5,chinese:SSB0009,2,5,dm,1,1,1,13,0.8125,4.5985,0.9999,43.31
wavmark,5,chinese:SSB0011,0,6,dm,1,1,1,12,0.7500,4.3838,0.9994,42.36
wavmark,5,chinese:SSB0011,1,7,dm,1,1,1,12,0.7500,4.4348,0.9992,41.80
wavmark,5,chinese:SSB0011,2,8,dm,1,1,1,13,0.8125,4.4950,0.9995,42.85
wavmark,5,chinese:SSB0012,0,9,dm,1,1,1,14,0.8750,4.5256,0.9998,43.14
wavmark,5,chinese:SSB0012,1,10,dm,1,1,1,13,0.8125,4.5225,0.9998,42.52
wavmark,5,chinese:SSB0012,2,11,dm,1,1,1,12,0.7500,4.5336,0.9998,43.06
wavmark,5,chinese:SSB0016,0,12,dm,1,1,1,11,0.6875,4.3094,0.9978,38.07
wavmark,5,chinese:SSB0016,1,13,dm,1,1,1,13,0.8125,4.1111,0.9973,37.01
wavmark,5,chinese:SSB0016,2,14,dm,1,1,1,14,0.8750,4.3649,0.9977,37.82
wavmark,5,chinese:SSB0018,0,15,dm,1,1,1,12,0.7500,4.4893,0.9994,43.67
wavmark,5,chinese:SSB0018,1,16,dm,1,1,1,11,0.6875,4.5382,0.9996,43.78
wavmark,5,chinese:SSB0018,2,17,dm,1,1,1,11,0.6875,4.4568,0.9994,43.32
wavmark,5,chinese:SSB0033,0,18,dm,1,1,1,12,0.7500,4.3689,0.9996,43.36
wavmark,5,chinese:SSB0033,1,19,dm,1,1,1,13,0.8125,4.4892,0.9996,43.83
wavmark,5,chinese:SSB0033,2,20,dm,1,1,1,11,0.6875,4.4364,0.9996,43.22
wavmark,5,chinese:SSB0038,0,21,dm,1,1,1,11,0.6875,4.4667,0.9997,41.66
wavmark,5,chinese:SSB0038,1,22,dm,1,1,1,11,0.6875,4.5180,0.9998,42.29
wavmark,5,chinese:SSB0038,2,23,dm,1,1,1,14,0.8750,4.5354,0.9998,42.88
wavmark,5,chinese:SSB0043,0,24,dm,1,1,1,12,0.7500,4.4201,0.9984,41.14
wavmark,5,chinese:SSB0043,1,25,dm,0,0,0,16,1.0000,4.5195,0.9989,43.01
wavmark,5,chinese:SSB0043,2,26,dm,1,1,1,12,0.7500,4.5381,0.9986,42.03
wavmark,5,chinese:SSB0057,0,27,dm,1,1,1,13,0.8125,4.5151,0.9940,43.25
wavmark,5,chinese:SSB0057,1,28,dm,1,1,1,12,0.7500,4.4991,0.9929,43.06
wavmark,5,chinese:SSB0057,2,29,dm,1,1,1,12,0.7500,4.5103,0.9931,42.95
wavmark,5,chinese:SSB0073,0,30,dm,1,1,1,12,0.7500,4.5139,0.9998,44.22
wavmark,5,chinese:SSB0073,1,31,dm,1,1,1,11,0.6875,4.3892,0.9998,43.42
wavmark,5,chinese:SSB0073,2,32,dm,1,1,1,12,0.7500,4.4944,0.9998,44.15
wavmark,5,chinese:SSB0080,0,33,dm,1,1,1,11,0.6875,4.5347,0.9967,42.15
wavmark,5,chinese:SSB0080,1,34,dm,1,1,1,14,0.8750,4.4992,0.9959,41.47
wavmark,5,chinese:SSB0080,2,35,dm,1,1,1,12,0.7500,4.5259,0.9970,43.46
wavmark,5,chinese:SSB0112,0,36,dm,1,1,1,13,0.8125,4.5224,0.9987,39.18
wavmark,5,chinese:SSB0112,1,37,dm,1,1,1,13,0.8125,4.4582,0.9986,37.58
wavmark,5,chinese:SSB0112,2,38,dm,1,1,1,13,0.8125,4.2579,0.9987,38.41
wavmark,5,chinese:SSB0122,0,39,dm,1,1,1,12,0.7500,4.4680,0.9998,42.15
wavmark,5,chinese:SSB0122,1,40,dm,1,1,1,12,0.7500,4.4823,0.9998,42.39
wavmark,5,chinese:SSB0122,2,41,dm,1,1,1,13,0.8125,4.5027,0.9998,42.63
wavmark,5,chinese:SSB0133,0,42,dm,1,1,1,12,0.7500,4.2155,0.9993,40.71
wavmark,5,chinese:SSB0133,1,43,dm,1,1,1,12,0.7500,4.4584,0.9995,40.99
wavmark,5,chinese:SSB0133,2,44,dm,1,1,1,15,0.9375,4.4492,0.9994,40.57
wavmark,5,chinese:SSB0139,0,45,dm,1,1,1,13,0.8125,4.4556,0.9999,43.40
wavmark,5,chinese:SSB0139,1,46,dm,1,1,1,12,0.7500,4.4564,0.9999,42.82
wavmark,5,chinese:SSB0139,2,47,dm,1,1,1,13,0.8125,4.4958,0.9999,43.10
wavmark,5,chinese:SSB0145,0,48,dm,1,1,1,13,0.8125,4.5176,0.9999,40.77
wavmark,5,chinese:SSB0145,1,49,dm,1,1,1,11,0.6875,4.4446,0.9999,40.82
wavmark,5,chinese:SSB0145,2,50,dm,1,1,1,13,0.8125,4.5011,0.9999,41.48
wavmark,5,chinese:SSB0149,0,51,dm,1,1,1,11,0.6875,4.4100,0.9996,43.14
