model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
wmcodec,8,121,0,0,dm,1,1,1,10,0.6250,4.3029,0.9894,11.51
wmcodec,8,121,1,1,dm,1,1,1,11,0.6875,4.2070,0.9881,11.79
wmcodec,8,121,2,2,dm,1,1,1,10,0.6250,4.2703,0.9901,11.76
wmcodec,8,121,3,3,dm,1,1,1,10,0.6250,4.3750,0.9908,11.98
wmcodec,8,237,0,4,dm,1,1,1,11,0.6875,4.3742,0.9937,16.66
wmcodec,8,237,1,5,dm,1,1,1,12,0.7500,4.4488,0.9943,16.85
wmcodec,8,237,2,6,dm,1,1,1,13,0.8125,4.3775,0.9928,16.60
wmcodec,8,237,3,7,dm,1,1,1,11,0.6875,4.4401,0.9938,16.82
wmcodec,8,260,0,8,dm,1,1,1,11,0.6875,4.2204,0.9873,15.39
wmcodec,8,260,1,9,dm,1,1,1,9,0.5625,4.2128,0.9893,15.66
wmcodec,8,260,2,10,dm,1,1,1,8,0.5000,4.3452,0.9883,15.48
wmcodec,8,260,3,11,dm,1,1,1,12,0.7500,4.2565,0.9874,15.15
wmcodec,8,672,0,12,dm,1,1,1,10,0.6250,4.3035,0.9866,9.10
wmcodec,8,672,1,13,dm,1,1,1,12,0.7500,4.2179,0.9840,8.73
wmcodec,8,672,2,14,dm,1,1,1,9,0.5625,4.2943,0.9836,9.36
wmcodec,8,672,3,15,dm,1,1,1,11,0.6875,4.2131,0.9829,9.03
wmcodec,8,908,0,16,dm,1,1,1,11,0.6875,4.3155,0.9851,15.47
wmcodec,8,908,1,17,dm,1,1,1,12,0.7500,4.2933,0.9835,15.33
wmcodec,8,908,2,18,dm,1,1,1,11,0.6875,4.2554,0.9839,15.47
wmcodec,8,908,3,19,dm,1,1,1,11,0.6875,4.2825,0.9844,15.46
wmcodec,8,1089,0,20,dm,1,1,1,10,0.6250,4.3823,0.9856,14.28
wmcodec,8,1089,1,21,dm,1,1,1,14,0.8750,4.3114,0.9873,14.49
wmcodec,8,1089,2,22,dm,1,1,1,14,0.8750,4.2782,0.9872,14.47
