model,K,spk,local_t,gi,restart,start_id,objective,weights
audioseal,5,chinese:SSB0005,0,0,0,0,0.0000012503,0.37326956;0.09158632;0.22394676;0.23454117;0.07665620
audioseal,5,chinese:SSB0005,0,0,0,1,0.0000012494,0.35808482;0.13416913;0.20927837;0.29011905;0.00834863
audioseal,5,chinese:SSB0005,0,0,0,2,0.0000012495,0.36921545;0.11708836;0.20394345;0.29544731;0.01430543
audioseal,5,chinese:SSB0005,0,0,0,3,0.0000012503,0.38263280;0.08240807;0.20801227;0.25658663;0.07036023
audioseal,5,chinese:SSB0005,0,0,0,4,0.0000012509,0.36740649;0.10813897;0.20422457;0.26001481;0.06021516
audioseal,5,chinese:SSB0005,0,0,0,5,0.0000012494,0.35808482;0.13416913;0.20927837;0.29011905;0.00834863
audioseal,5,chinese:SSB0005,0,0,0,6,0.0000012494,0.35808482;0.13416913;0.20927837;0.29011905;0.00834863
audioseal,5,chinese:SSB0005,0,0,1,0,0.0000012503,0.37326956;0.09158632;0.22394676;0.23454117;0.07665620
audioseal,5,chinese:SSB0005,0,0,1,1,0.0000012494,0.35808482;0.13416913;0.20927837;0.29011905;0.00834863
audioseal,5,chinese:SSB0005,0,0,1,2,0.0000012506,0.36071508;0.12340719;0.20409462;0.27526925;0.03651386
audioseal,5,chinese:SSB0005,0,0,1,3,0.0000012503,0.38263280;0.08240807;0.20801227;0.25658663;0.07036023
audioseal,5,chinese:SSB0005,0,0,1,4,0.0000012502,0.35942763;0.12407863;0.22158504;0.26983174;0.02507697
audioseal,5,chinese:SSB0005,0,0,1,5,0.0000012503,0.38263280;0.08240807;0.20801227;0.25658663;0.07036023
audioseal,5,chinese:SSB0005,0,0,1,6,0.0000012477,0.39222728;0.05756715;0.21729342;0.22185913;0.11105302
audioseal,5,chinese:SSB0005,0,0,2,0,0.0000012503,0.37326956;0.09158632;0.22394676;0.23454117;0.07665620
audioseal,5,chinese:SSB0005,0,0,2,1,0.0000012494,0.35808482;0.13416913;0.20927837;0.29011905;0.00834863
audioseal,5,chinese:SSB0005,0,0,2,2,0.0000012505,0.37917750;0.08659352;0.21103876;0.26244469;0.06074553
audioseal,5,chinese:SSB0005,0,0,2,3,0.0000012505,0.37917750;0.08659352;0.21103876;0.26244469;0.06074553
audioseal,5,chinese:SSB0005,0,0,2,4,0.0000012494,0.35808482;0.13416913;0.20927837;0.29011905;0.00834863
audioseal,5,chinese:SSB0005,0,0,2,5,0.0000012477,0.39222728;0.05756715;0.21729342;0.22185913;0.11105302
audioseal,5,chinese:SSB0005,0,0,2,6,0.0000012494,0.35808482;0.13416913;0.20927837;0.29011905;0.00834863
audioseal,5,chinese:SSB0005,0,0,3,0,0.0000012503,0.37326956;0.09158632;0.22394676;0.23454117;0.07665620
audioseal,5,chinese:SSB0005,0,0,3,1,0.0000012494,0.35808482;0.13416913;0.20927837;0.29011905;0.00834863
audioseal,5,chinese:SSB0005,0,0,3,2,0.0000012494,0.35808482;0.13416913;0.20927837;0.29011905;0.00834863
audioseal,5,chinese:SSB0005,0,0,3,3,0.0000012495,0.36921545;0.11708836;0.20394345;0.29544731;0.01430543
audioseal,5,chinese:SSB0005,0,0,3,4,0.0000012495,0.36921545;0.11708836;0.20394345;0.29544731;0.01430543
audioseal,5,chinese:SSB0005,0,0,3,5,0.0000012507,0.36384421;0.11757327;0.20655210;0.27369783;0.03833259
audioseal,5,chinese:SSB0005,0,0,3,6,0.0000012506,0.36071508;0.12340719;0.20409462;0.27526925;0.03651386
audioseal,5,chinese:SSB0009,0,1,0,0,0.0000016814,0.40282371;0.34146895;0.25207392;0.00363343;0.00000000
audioseal,5,chinese:SSB0009,0,1,0,1,0.0000016814,0.40285552;0.34178148;0.25208446;0.00327854;0.00000000
audioseal,5,chinese:SSB0009,0,1,0,2,0.0000016812,0.40031667;0.33388556;0.25727918;0.00851859;0.00000000
audioseal,5,chinese:SSB0009,0,1,0,3,0.0000016812,0.40031667;0.33388556;0.25727918;0.00851859;0.00000000
audioseal,5,chinese:SSB0009,0,1,0,4,0.0000016814,0.40200475;0.33959125;0.25530123;0.00310277;0.00000000
audioseal,5,chinese:SSB0009,0,1,0,5,0.0000016810,0.39834192;0.33344086;0.24912203;0.01909519;0.00000000
audioseal,5,chinese:SSB0009,0,1,0,6,0.0000016814,0.40253776;0.34041134;0.25269205;0.00435884;0.00000000
audioseal,5,chinese:SSB0009,0,1,1,0,0.0000016814,0.40282371;0.34146895;0.25207392;0.00363343;0.00000000
audioseal,5,chinese:SSB0009,0,1,1,1,0.0000016814,0.40285552;0.34178148;0.25208446;0.00327854;0.00000000
audioseal,5,chinese:SSB0009,0,1,1,2,0.0000016814,0.40253776;0.34041134;0.25269205;0.00435884;0.00000000
audioseal,5,chinese:SSB0009,0,1,1,3,0.0000016804,0.39223383;0.32918497;0.25410821;0.02447299;0.00000000
audioseal,5,chinese:SSB0009,0,1,1,4,0.0000016814,0.40284527;0.34177658;0.25208658;0.00329156;0.00000000
audioseal,5,chinese:SSB0009,0,1,1,5,0.0000016809,0.40461964;0.35146765;0.23993118;0.00398154;0.00000000
audioseal,5,chinese:SSB0009,0,1,1,6,0.0000016809,0.40461964;0.35146765;0.23993118;0.00398154;0.00000000
audioseal,5,chinese:SSB0009,0,1,2,0,0.0000016814,0.40282371;0.34146895;0.25207392;0.00363343;0.00000000
audioseal,5,chinese:SSB0009,0,1,2,1,0.0000016814,0.40285552;0.34178148;0.25208446;0.00327854;0.00000000
audioseal,5,chinese:SSB0009,0,1,2,2,0.0000016810,0.39834192;0.33344086;0.24912203;0.01909519;0.00000000
audioseal,5,chinese:SSB0009,0,1,2,3,0.0000016809,0.40461964;0.35146765;0.23993118;0.00398154;0.00000000
audioseal,5,chinese:SSB0009,0,1,2,4,0.0000016804,0.39223383;0.32918497;0.25410821;0.02447299;0.00000000
audioseal,5,chinese:SSB0009,0,1,2,5,0.0000016804,0.39223383;0.32918497;0.25410821;0.02447299;0.00000000
audioseal,5,chinese:SSB0009,0,1,2,6,0.0000016809,0.40461964;0.35146765;0.23993118;0.00398154;0.00000000
audioseal,5,chinese:SSB0009,0,1,3,0,0.0000016814,0.40282371;0.34146895;0.25207392;0.00363343;0.00000000
audioseal,5,chinese:SSB0009,0,1,3,1,0.0000016814,0.40285552;0.34178148;0.25208446;0.00327854;0.00000000
audioseal,5,chinese:SSB0009,0,1,3,2,0.0000016814,0.40253776;0.34041134;0.25269205;0.00435884;0.00000000
audioseal,5,chinese:SSB0009,0,1,3,3,0.0000016814,0.40200475;0.33959125;0.25530123;0.00310277;0.00000000
audioseal,5,chinese:SSB0009,0,1,3,4,0.0000016814,0.40200475;0.33959125;0.25530123;0.00310277;0.00000000
audioseal,5,chinese:SSB0009,0,1,3,5,0.0000016814,0.40200475;0.33959125;0.25530123;0.00310277;0.00000000
audioseal,5,chinese:SSB0009,0,1,3,6,0.0000016812,0.40031667;0.33388556;0.25727918;0.00851859;0.00000000
audioseal,5,chinese:SSB0011,0,2,0,0,0.0000007402,0.28393253;0.19315506;0.18694342;0.00000000;0.33596898
audioseal,5,chinese:SSB0011,0,2,0,1,0.0000007383,0.31312004;0.19877591;0.17498282;0.00000000;0.31312122
audioseal,5,chinese:SSB0011,0,2,0,2,0.0000007398,0.26684495;0.21053445;0.19317216;0.00000000;0.32944844
audioseal,5,chinese:SSB0011,0,2,0,3,0.0000007391,0.26500496;0.17736366;0.20752155;0.00000000;0.35010983
audioseal,5,chinese:SSB0011,0,2,0,4,0.0000007401,0.27643370;0.19885322;0.19234355;0.00000000;0.33236954
audioseal,5,chinese:SSB0011,0,2,0,5,0.0000007391,0.26500496;0.17736366;0.20752155;0.00000000;0.35010983
audioseal,5,chinese:SSB0011,0,2,0,6,0.0000007398,0.26684495;0.21053445;0.19317216;0.00000000;0.32944844
audioseal,5,chinese:SSB0011,0,2,1,0,0.0000007402,0.28393253;0.19315506;0.18694342;0.00000000;0.33596898
audioseal,5,chinese:SSB0011,0,2,1,1,0.0000007383,0.31312004;0.19877591;0.17498282;0.00000000;0.31312122
audioseal,5,chinese:SSB0011,0,2,1,2,0.0000007365,0.26222532;0.19913518;0.19746067;0.05120892;0.28996991
audioseal,5,chinese:SSB0011,0,2,1,3,0.0000007382,0.25915230;0.20343807;0.18638715;0.03887881;0.31214367
audioseal,5,chinese:SSB0011,0,2,1,4,0.0000007388,0.25440576;0.19019749;0.21652642;0.00646941;0.33240093
audioseal,5,chinese:SSB0011,0,2,1,5,0.0000007382,0.25915230;0.20343807;0.18638715;0.03887881;0.31214367
audioseal,5,chinese:SSB0011,0,2,1,6,0.0000007396,0.27974825;0.21277405;0.17084657;0.00000000;0.33663113
audioseal,5,chinese:SSB0011,0,2,2,0,0.0000007402,0.28393253;0.19315506;0.18694342;0.00000000;0.33596898
audioseal,5,chinese:SSB0011,0,2,2,1,0.0000007383,0.31312004;0.19877591;0.17498282;0.00000000;0.31312122
audioseal,5,chinese:SSB0011,0,2,2,2,0.0000007388,0.25440576;0.19019749;0.21652642;0.00646941;0.33240093
audioseal,5,chinese:SSB0011,0,2,2,3,0.0000007388,0.25440576;0.19019749;0.21652642;0.00646941;0.33240093
audioseal,5,chinese:SSB0011,0,2,2,4,0.0000007383,0.31312004;0.19877591;0.17498282;0.00000000;0.31312122
audioseal,5,chinese:SSB0011,0,2,2,5,0.0000007400,0.29207364;0.19457457;0.18678815;0.00000000;0.32656364
audioseal,5,chinese:SSB0011,0,2,2,6,0.0000007398,0.26684495;0.21053445;0.19317216;0.00000000;0.32944844
audioseal,5,chinese:SSB0011,0,2,3,0,0.0000007402,0.28393253;0.19315506;0.18694342;0.00000000;0.33596898
audioseal,5,chinese:SSB0011,0,2,3,1,0.0000007383,0.31312004;0.19877591;0.17498282;0.00000000;0.31312122
audioseal,5,chinese:SSB0011,0,2,3,2,0.0000007382,0.25915230;0.20343807;0.18638715;0.03887881;0.31214367
audioseal,5,chinese:SSB0011,0,2,3,3,0.0000007398,0.26684495;0.21053445;0.19317216;0.00000000;0.32944844
audioseal,5,chinese:SSB0011,0,2,3,4,0.0000007383,0.31312004;0.19877591;0.17498282;0.00000000;0.31312122
audioseal,5,chinese:SSB0011,0,2,3,5,0.0000007396,0.27974825;0.21277405;0.17084657;0.00000000;0.33663113
audioseal,5,chinese:SSB0011,0,2,3,6,0.0000007396,0.27974825;0.21277405;0.17084657;0.00000000;0.33663113
audioseal,5,chinese:SSB0012,0,3,0,0,0.0000019022,0.16081083;0.36913933;0.00000000;0.24255276;0.22749708
audioseal,5,chinese:SSB0012,0,3,0,1,0.0000019018,0.15467400;0.36768501;0.00000000;0.23471176;0.24292923
audioseal,5,chinese:SSB0012,0,3,0,2,0.0000019014,0.13247153;0.36531343;0.00000000;0.25855968;0.24365537
audioseal,5,chinese:SSB0012,0,3,0,3,0.0000019023,0.15344241;0.36782068;0.00000000;0.24592190;0.23281501
audioseal,5,chinese:SSB0012,0,3,0,4,0.0000019020,0.14043869;0.36698768;0.00000000;0.25478557;0.23778805
audioseal,5,chinese:SSB0012,0,3,0,5,0.0000019009,0.12801365;0.36606381;0.00000000;0.26672779;0.23919475
audioseal,5,chinese:SSB0012,0,3,0,6,0.0000019023,0.15344240;0.36782068;0.00000000;0.24592190;0.23281502
audioseal,5,chinese:SSB0012,0,3,1,0,0.0000019022,0.16081083;0.36913933;0.00000000;0.24255276;0.22749708
