model,K,spk,local_t,gi,restart,start_id,objective,weights
wavmark,5,chinese:SSB0005,0,0,0,0,0.0000002614,0.20000000;0.20000000;0.20000000;0.20000000;0.20000000
wavmark,5,chinese:SSB0005,0,0,0,1,0.0000002613,0.19911741;0.32260944;0.15566329;0.32260977;0.00000009
wavmark,5,chinese:SSB0005,0,0,0,2,0.0000002613,0.19911741;0.32260944;0.15566329;0.32260977;0.00000009
wavmark,5,chinese:SSB0005,0,0,0,3,0.0000002609,0.22888796;0.22039177;0.18752265;0.16197927;0.20121835
wavmark,5,chinese:SSB0005,0,0,0,4,0.0000002612,0.26154935;0.18162637;0.17142171;0.22158978;0.16381279
wavmark,5,chinese:SSB0005,0,0,0,5,0.0000002594,0.26650768;0.28794486;0.16017377;0.26650854;0.01886515
wavmark,5,chinese:SSB0005,0,0,0,6,0.0000002594,0.26650768;0.28794486;0.16017377;0.26650854;0.01886515
wavmark,5,chinese:SSB0005,0,0,1,0,0.0000002614,0.20000000;0.20000000;0.20000000;0.20000000;0.20000000
wavmark,5,chinese:SSB0005,0,0,1,1,0.0000002613,0.19911741;0.32260944;0.15566329;0.32260977;0.00000009
wavmark,5,chinese:SSB0005,0,0,1,2,0.0000002584,0.20870659;0.27513886;0.25613023;0.25613097;0.00389335
wavmark,5,chinese:SSB0005,0,0,1,3,0.0000002609,0.22888796;0.22039177;0.18752265;0.16197927;0.20121835
wavmark,5,chinese:SSB0005,0,0,1,4,0.0000002627,0.23358309;0.23358344;0.13271266;0.27409154;0.12602927
wavmark,5,chinese:SSB0005,0,0,1,5,0.0000002609,0.22888796;0.22039177;0.18752265;0.16197927;0.20121835
wavmark,5,chinese:SSB0005,0,0,1,6,0.0000002586,0.21102930;0.27926443;0.10385925;0.20292385;0.20292317
wavmark,5,chinese:SSB0005,0,0,2,0,0.0000002614,0.20000000;0.20000000;0.20000000;0.20000000;0.20000000
wavmark,5,chinese:SSB0005,0,0,2,1,0.0000002613,0.19911741;0.32260944;0.15566329;0.32260977;0.00000009
wavmark,5,chinese:SSB0005,0,0,2,2,0.0000002516,0.24646688;0.11094813;0.30924745;0.08687090;0.24646663
wavmark,5,chinese:SSB0005,0,0,2,3,0.0000002516,0.24646688;0.11094813;0.30924745;0.08687090;0.24646663
wavmark,5,chinese:SSB0005,0,0,2,4,0.0000002594,0.26650768;0.28794486;0.16017377;0.26650854;0.01886515
wavmark,5,chinese:SSB0005,0,0,2,5,0.0000002586,0.21102930;0.27926443;0.10385925;0.20292385;0.20292317
wavmark,5,chinese:SSB0005,0,0,2,6,0.0000002594,0.26650768;0.28794486;0.16017377;0.26650854;0.01886515
wavmark,5,chinese:SSB0005,0,0,3,0,0.0000002614,0.20000000;0.20000000;0.20000000;0.20000000;0.20000000
wavmark,5,chinese:SSB0005,0,0,3,1,0.0000002613,0.19911741;0.32260944;0.15566329;0.32260977;0.00000009
wavmark,5,chinese:SSB0005,0,0,3,2,0.0000002594,0.26650768;0.28794486;0.16017377;0.26650854;0.01886515
wavmark,5,chinese:SSB0005,0,0,3,3,0.0000002613,0.19911741;0.32260944;0.15566329;0.32260977;0.00000009
wavmark,5,chinese:SSB0005,0,0,3,4,0.0000002613,0.19911741;0.32260944;0.15566329;0.32260977;0.00000009
wavmark,5,chinese:SSB0005,0,0,3,5,0.0000002640,0.18964798;0.26371047;0.17290747;0.24309720;0.13063688
wavmark,5,chinese:SSB0005,0,0,3,6,0.0000002584,0.20870659;0.27513886;0.25613023;0.25613097;0.00389335
wavmark,5,chinese:SSB0009,0,1,0,0,0.0000002099,0.20000000;0.20000000;0.20000000;0.20000000;0.20000000
wavmark,5,chinese:SSB0009,0,1,0,1,0.0000002173,0.28143362;0.28143362;0.08740434;0.20095729;0.14877113
wavmark,5,chinese:SSB0009,0,1,0,2,0.0000002175,0.24546079;0.27493822;0.00973946;0.22440107;0.24546045
wavmark,5,chinese:SSB0009,0,1,0,3,0.0000002175,0.24546079;0.27493822;0.00973946;0.22440107;0.24546045
wavmark,5,chinese:SSB0009,0,1,0,4,0.0000002166,0.26182841;0.23725359;0.07986655;0.18379832;0.23725312
wavmark,5,chinese:SSB0009,0,1,0,5,0.0000002182,0.29809487;0.29331193;0.02811802;0.20287484;0.17760034
wavmark,5,chinese:SSB0009,0,1,0,6,0.0000002178,0.28516129;0.25254089;0.00857338;0.25254064;0.20118381
wavmark,5,chinese:SSB0009,0,1,1,0,0.0000002099,0.20000000;0.20000000;0.20000000;0.20000000;0.20000000
wavmark,5,chinese:SSB0009,0,1,1,1,0.0000002173,0.28143362;0.28143362;0.08740434;0.20095729;0.14877113
wavmark,5,chinese:SSB0009,0,1,1,2,0.0000002178,0.28516129;0.25254089;0.00857338;0.25254064;0.20118381
wavmark,5,chinese:SSB0009,0,1,1,3,0.0000002179,0.29273928;0.29501380;0.06276706;0.17815524;0.17132462
wavmark,5,chinese:SSB0009,0,1,1,4,0.0000002128,0.25014390;0.22011368;0.13891747;0.13891812;0.25190683
wavmark,5,chinese:SSB0009,0,1,1,5,0.0000002172,0.26264315;0.29277405;0.00000001;0.26264275;0.18194004
wavmark,5,chinese:SSB0009,0,1,1,6,0.0000002172,0.26264315;0.29277405;0.00000001;0.26264275;0.18194004
wavmark,5,chinese:SSB0009,0,1,2,0,0.0000002099,0.20000000;0.20000000;0.20000000;0.20000000;0.20000000
wavmark,5,chinese:SSB0009,0,1,2,1,0.0000002173,0.28143362;0.28143362;0.08740434;0.20095729;0.14877113
wavmark,5,chinese:SSB0009,0,1,2,2,0.0000002182,0.29809487;0.29331193;0.02811802;0.20287484;0.17760034
wavmark,5,chinese:SSB0009,0,1,2,3,0.0000002172,0.26264315;0.29277405;0.00000001;0.26264275;0.18194004
wavmark,5,chinese:SSB0009,0,1,2,4,0.0000002179,0.29273928;0.29501380;0.06276706;0.17815524;0.17132462
wavmark,5,chinese:SSB0009,0,1,2,5,0.0000002179,0.29273928;0.29501380;0.06276706;0.17815524;0.17132462
wavmark,5,chinese:SSB0009,0,1,2,6,0.0000002172,0.26264315;0.29277405;0.00000001;0.26264275;0.18194004
wavmark,5,chinese:SSB0009,0,1,3,0,0.0000002099,0.20000000;0.20000000;0.20000000;0.20000000;0.20000000
wavmark,5,chinese:SSB0009,0,1,3,1,0.0000002173,0.28143362;0.28143362;0.08740434;0.20095729;0.14877113
wavmark,5,chinese:SSB0009,0,1,3,2,0.0000002178,0.28516129;0.25254089;0.00857338;0.25254064;0.20118381
wavmark,5,chinese:SSB0009,0,1,3,3,0.0000002166,0.26182841;0.23725359;0.07986655;0.18379832;0.23725312
