model,K,spk,local_t,gi,restart,start_id,objective,weights
wmcodec,8,chinese:SSB0005,0,0,0,0,0.0001522159,0.04401112;0.16931804;0.11320606;0.06013683;0.14252345;0.17484334;0.14899139;0.14696976
wmcodec,8,chinese:SSB0005,0,0,0,1,0.0001522159,0.04393325;0.16935913;0.11329507;0.06005357;0.14249568;0.17492645;0.14910319;0.14683367
wmcodec,8,chinese:SSB0005,0,0,0,2,0.0001522159,0.04399413;0.16931609;0.11316934;0.06016176;0.14256549;0.17481470;0.14902065;0.14695785
wmcodec,8,chinese:SSB0005,0,0,0,3,0.0001522159,0.04390588;0.16931279;0.11323867;0.06012779;0.14257199;0.17486883;0.14903900;0.14693505
wmcodec,8,chinese:SSB0005,0,0,0,4,0.0001522159,0.04408348;0.16936592;0.11315533;0.06021755;0.14266496;0.17480680;0.14892928;0.14677669
wmcodec,8,chinese:SSB0005,0,0,0,5,0.0001522159,0.04422572;0.16922915;0.11305601;0.06023815;0.14256702;0.17473477;0.14897344;0.14697573
wmcodec,8,chinese:SSB0005,0,0,0,6,0.0001522159,0.04390059;0.16943356;0.11314871;0.06011159;0.14241019;0.17483671;0.14911940;0.14703924
wmcodec,8,chinese:SSB0005,0,0,1,0,0.0001522159,0.04401112;0.16931804;0.11320606;0.06013683;0.14252345;0.17484334;0.14899139;0.14696976
wmcodec,8,chinese:SSB0005,0,0,1,1,0.0001522159,0.04393325;0.16935913;0.11329507;0.06005357;0.14249568;0.17492645;0.14910319;0.14683367
wmcodec,8,chinese:SSB0005,0,0,1,2,0.0001522159,0.04399413;0.16931609;0.11316934;0.06016176;0.14256549;0.17481470;0.14902065;0.14695785
wmcodec,8,chinese:SSB0005,0,0,1,3,0.0001522159,0.04410618;0.16926685;0.11316728;0.06018954;0.14267960;0.17483287;0.14896286;0.14679483
wmcodec,8,chinese:SSB0005,0,0,1,4,0.0001522159,0.04393325;0.16935913;0.11329507;0.06005357;0.14249568;0.17492645;0.14910319;0.14683367
wmcodec,8,chinese:SSB0005,0,0,1,5,0.0001522159,0.04398943;0.16931105;0.11318156;0.06016490;0.14256656;0.17481646;0.14901514;0.14695489
wmcodec,8,chinese:SSB0005,0,0,1,6,0.0001522159,0.04397999;0.16930706;0.11316631;0.06015843;0.14257894;0.17482721;0.14901482;0.14696723
wmcodec,8,chinese:SSB0005,0,0,2,0,0.0001522159,0.04401112;0.16931804;0.11320606;0.06013683;0.14252345;0.17484334;0.14899139;0.14696976
wmcodec,8,chinese:SSB0005,0,0,2,1,0.0001522159,0.04393325;0.16935913;0.11329507;0.06005357;0.14249568;0.17492645;0.14910319;0.14683367
wmcodec,8,chinese:SSB0005,0,0,2,2,0.0001522159,0.04397999;0.16930706;0.11316631;0.06015843;0.14257894;0.17482721;0.14901482;0.14696723
wmcodec,8,chinese:SSB0005,0,0,2,3,0.0001522159,0.04393325;0.16935913;0.11329507;0.06005357;0.14249568;0.17492645;0.14910319;0.14683367
