model,K,scheme,code_bits,info_bits,codebook_size,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
audioseal,3,ecc1,16,11,2048,chinese:SSB0005,0,0,mean,1,1,0,8,0.7273,4.6059,0.9994,37.87
audioseal,3,ecc1,16,11,2048,chinese:SSB0005,0,0,fwp,1,1,1,8,0.7273,4.6048,0.9995,39.04
audioseal,3,ecc1,16,11,2048,chinese:SSB0005,1,1,mean,1,1,0,8,0.7273,4.6118,0.9996,38.08
audioseal,3,ecc1,16,11,2048,chinese:SSB0005,1,1,fwp,1,1,1,8,0.7273,4.6223,0.9997,39.16
audioseal,3,ecc1,16,11,2048,chinese:SSB0005,2,2,mean,1,1,1,9,0.8182,4.6126,0.9995,38.15
audioseal,3,ecc1,16,11,2048,chinese:SSB0005,2,2,fwp,1,1,0,9,0.8182,4.5867,0.9990,34.63
audioseal,3,ecc1,16,11,2048,chinese:SSB0009,0,3,mean,1,1,0,10,0.9091,4.6042,0.9997,35.50
audioseal,3,ecc1,16,11,2048,chinese:SSB0009,0,3,fwp,1,0,0,11,1.0000,4.6194,0.9998,36.63
audioseal,3,ecc1,16,11,2048,chinese:SSB0009,1,4,mean,0,0,0,11,1.0000,4.5863,0.9996,33.23
audioseal,3,ecc1,16,11,2048,chinese:SSB0009,1,4,fwp,1,1,1,8,0.7273,4.5975,0.9997,34.77
audioseal,3,ecc1,16,11,2048,chinese:SSB0009,2,5,mean,1,1,1,8,0.7273,4.5729,0.9995,32.58
audioseal,3,ecc1,16,11,2048,chinese:SSB0009,2,5,fwp,1,1,1,6,0.5455,4.5960,0.9996,34.40
audioseal,3,ecc1,16,11,2048,chinese:SSB0011,0,6,mean,1,1,1,8,0.7273,4.5960,0.9993,35.45
audioseal,3,ecc1,16,11,2048,chinese:SSB0011,0,6,fwp,1,1,1,8,0.7273,4.5496,0.9986,31.93
audioseal,3,ecc1,16,11,2048,chinese:SSB0011,1,7,mean,0,0,0,11,1.0000,4.5713,0.9990,33.28
audioseal,3,ecc1,16,11,2048,chinese:SSB0011,1,7,fwp,1,1,1,7,0.6364,4.5774,0.9989,32.74
audioseal,3,ecc1,16,11,2048,chinese:SSB0011,2,8,mean,1,1,1,9,0.8182,4.5608,0.9984,32.56
audioseal,3,ecc1,16,11,2048,chinese:SSB0011,2,8,fwp,1,1,1,9,0.8182,4.5726,0.9989,34.04
audioseal,3,ecc1,16,11,2048,chinese:SSB0012,0,9,mean,0,0,0,11,1.0000,4.6256,0.9998,41.14
audioseal,3,ecc1,16,11,2048,chinese:SSB0012,0,9,fwp,1,1,1,7,0.6364,4.6032,0.9995,37.62
audioseal,3,ecc1,16,11,2048,chinese:SSB0012,1,10,mean,1,1,0,10,0.9091,4.5943,0.9994,34.24
audioseal,3,ecc1,16,11,2048,chinese:SSB0012,1,10,fwp,1,1,1,8,0.7273,4.5973,0.9994,33.98
audioseal,3,ecc1,16,11,2048,chinese:SSB0012,2,11,mean,1,0,0,9,0.8182,4.6009,0.9996,33.76
audioseal,3,ecc1,16,11,2048,chinese:SSB0012,2,11,fwp,1,0,0,9,0.8182,4.6029,0.9995,34.22
audioseal,3,ecc1,16,11,2048,chinese:SSB0016,0,12,mean,0,0,0,11,1.0000,4.5710,0.9987,33.67
audioseal,3,ecc1,16,11,2048,chinese:SSB0016,0,12,fwp,1,1,1,9,0.8182,4.5736,0.9990,35.26
audioseal,3,ecc1,16,11,2048,chinese:SSB0016,1,13,mean,1,0,0,10,0.9091,4.5564,0.9982,31.37
audioseal,3,ecc1,16,11,2048,chinese:SSB0016,1,13,fwp,1,0,0,9,0.8182,4.5746,0.9986,33.34
audioseal,3,ecc1,16,11,2048,chinese:SSB0016,2,14,mean,1,1,1,9,0.8182,4.5452,0.9991,33.84
audioseal,3,ecc1,16,11,2048,chinese:SSB0016,2,14,fwp,1,1,1,9,0.8182,4.5510,0.9990,34.48
audioseal,3,ecc1,16,11,2048,chinese:SSB0018,0,15,mean,1,1,1,9,0.8182,4.5932,0.9997,37.69
audioseal,3,ecc1,16,11,2048,chinese:SSB0018,0,15,fwp,1,0,0,8,0.7273,4.5626,0.9995,34.16
audioseal,3,ecc1,16,11,2048,chinese:SSB0018,1,16,mean,0,0,0,11,1.0000,4.6054,0.9998,38.45
audioseal,3,ecc1,16,11,2048,chinese:SSB0018,1,16,fwp,1,1,1,8,0.7273,4.6022,0.9998,37.35
audioseal,3,ecc1,16,11,2048,chinese:SSB0018,2,17,mean,0,0,0,11,1.0000,4.5914,0.9996,35.43
audioseal,3,ecc1,16,11,2048,chinese:SSB0018,2,17,fwp,1,1,1,9,0.8182,4.5927,0.9997,35.70
