model,K,scheme,code_bits,info_bits,codebook_size,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
timbrewm,8,ecc1,10,6,64,chinese:SSB0005,0,0,mean,1,0,0,5,0.8333,4.5064,0.9958,32.41
timbrewm,8,ecc1,10,6,64,chinese:SSB0005,0,0,fwp,0,0,0,5,0.8333,4.5413,0.9969,34.30
timbrewm,8,ecc1,10,6,64,chinese:SSB0005,1,1,mean,1,0,0,5,0.8333,4.5278,0.9929,33.13
timbrewm,8,ecc1,10,6,64,chinese:SSB0005,1,1,fwp,0,0,0,6,1.0000,4.4747,0.9901,30.88
timbrewm,8,ecc1,10,6,64,chinese:SSB0005,2,2,mean,1,0,0,6,1.0000,4.5468,0.9932,33.29
timbrewm,8,ecc1,10,6,64,chinese:SSB0005,2,2,fwp,1,0,0,4,0.6667,4.4335,0.9904,30.77
timbrewm,8,ecc1,10,6,64,chinese:SSB0009,0,3,mean,0,0,0,6,1.0000,4.5283,0.9976,29.03
timbrewm,8,ecc1,10,6,64,chinese:SSB0009,0,3,fwp,1,0,0,5,0.8333,4.4205,0.9966,26.81
timbrewm,8,ecc1,10,6,64,chinese:SSB0009,1,4,mean,1,0,0,5,0.8333,4.5802,0.9978,29.69
timbrewm,8,ecc1,10,6,64,chinese:SSB0009,1,4,fwp,1,1,0,5,0.8333,4.5535,0.9969,27.89
timbrewm,8,ecc1,10,6,64,chinese:SSB0009,2,5,mean,0,0,0,6,1.0000,4.5766,0.9974,29.44
timbrewm,8,ecc1,10,6,64,chinese:SSB0009,2,5,fwp,1,0,0,4,0.6667,4.5310,0.9984,30.86
timbrewm,8,ecc1,10,6,64,chinese:SSB0011,0,6,mean,0,0,0,5,0.8333,4.4742,0.9937,29.20
timbrewm,8,ecc1,10,6,64,chinese:SSB0011,0,6,fwp,0,0,0,6,1.0000,4.3334,0.9914,27.54
timbrewm,8,ecc1,10,6,64,chinese:SSB0011,1,7,mean,1,1,0,5,0.8333,4.5368,0.9949,29.98
timbrewm,8,ecc1,10,6,64,chinese:SSB0011,1,7,fwp,1,0,0,6,1.0000,4.4166,0.9928,28.32
timbrewm,8,ecc1,10,6,64,chinese:SSB0011,2,8,mean,1,0,0,5,0.8333,4.5246,0.9966,31.71
timbrewm,8,ecc1,10,6,64,chinese:SSB0011,2,8,fwp,0,0,0,4,0.6667,4.4060,0.9945,29.83
timbrewm,8,ecc1,10,6,64,chinese:SSB0012,0,9,mean,0,0,0,6,1.0000,4.5309,0.9972,32.82
timbrewm,8,ecc1,10,6,64,chinese:SSB0012,0,9,fwp,1,0,0,5,0.8333,4.3832,0.9950,30.13
timbrewm,8,ecc1,10,6,64,chinese:SSB0012,1,10,mean,1,1,0,5,0.8333,4.5467,0.9966,32.71
timbrewm,8,ecc1,10,6,64,chinese:SSB0012,1,10,fwp,1,0,0,4,0.6667,4.5116,0.9958,31.05
timbrewm,8,ecc1,10,6,64,chinese:SSB0012,2,11,mean,1,0,0,5,0.8333,4.4988,0.9966,32.45
timbrewm,8,ecc1,10,6,64,chinese:SSB0012,2,11,fwp,0,0,0,6,1.0000,4.4008,0.9946,30.00
timbrewm,8,ecc1,10,6,64,chinese:SSB0016,0,12,mean,0,0,0,6,1.0000,4.5176,0.9921,27.22
timbrewm,8,ecc1,10,6,64,chinese:SSB0016,0,12,fwp,0,0,0,6,1.0000,4.3822,0.9886,24.82
timbrewm,8,ecc1,10,6,64,chinese:SSB0016,1,13,mean,0,0,0,6,1.0000,4.5449,0.9944,27.90
timbrewm,8,ecc1,10,6,64,chinese:SSB0016,1,13,fwp,0,0,0,6,1.0000,4.4944,0.9935,27.20
timbrewm,8,ecc1,10,6,64,chinese:SSB0016,2,14,mean,1,0,0,5,0.8333,4.5334,0.9966,29.20
timbrewm,8,ecc1,10,6,64,chinese:SSB0016,2,14,fwp,1,1,0,4,0.6667,4.4649,0.9943,27.15
timbrewm,8,ecc1,10,6,64,chinese:SSB0018,0,15,mean,0,0,0,5,0.8333,4.4998,0.9975,33.60
timbrewm,8,ecc1,10,6,64,chinese:SSB0018,0,15,fwp,1,0,0,4,0.6667,4.3476,0.9969,31.98
timbrewm,8,ecc1,10,6,64,chinese:SSB0018,1,16,mean,1,0,0,5,0.8333,4.4923,0.9955,31.36
timbrewm,8,ecc1,10,6,64,chinese:SSB0018,1,16,fwp,1,0,0,5,0.8333,4.4864,0.9976,33.74
timbrewm,8,ecc1,10,6,64,chinese:SSB0018,2,17,mean,0,0,0,6,1.0000,4.5169,0.9973,32.87
timbrewm,8,ecc1,10,6,64,chinese:SSB0018,2,17,fwp,0,0,0,5,0.8333,4.4440,0.9955,31.00
timbrewm,8,ecc1,10,6,64,chinese:SSB0033,0,18,mean,1,1,0,4,0.6667,4.5220,0.9969,34.81
timbrewm,8,ecc1,10,6,64,chinese:SSB0033,0,18,fwp,1,1,0,4,0.6667,4.5199,0.9951,33.73
timbrewm,8,ecc1,10,6,64,chinese:SSB0033,1,19,mean,0,0,0,5,0.8333,4.5177,0.9977,35.27
timbrewm,8,ecc1,10,6,64,chinese:SSB0033,1,19,fwp,0,0,0,4,0.6667,4.5066,0.9989,36.58
