model,K,scheme,code_bits,info_bits,codebook_size,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
voicemark,2,ecc1,16,11,2048,chinese:SSB0005,0,0,mean,1,1,1,10,0.9091,3.8636,0.9754,17.02
voicemark,2,ecc1,16,11,2048,chinese:SSB0005,0,0,fwp,1,1,1,10,0.9091,3.8636,0.9754,17.02
voicemark,2,ecc1,16,11,2048,chinese:SSB0005,1,1,mean,0,0,0,8,0.7273,4.4766,0.9791,19.85
voicemark,2,ecc1,16,11,2048,chinese:SSB0005,1,1,fwp,0,0,0,8,0.7273,4.4766,0.9791,19.85
voicemark,2,ecc1,16,11,2048,chinese:SSB0005,2,2,mean,1,1,1,9,0.8182,4.1295,0.9777,18.09
voicemark,2,ecc1,16,11,2048,chinese:SSB0005,2,2,fwp,1,1,1,9,0.8182,4.1295,0.9777,18.09
voicemark,2,ecc1,16,11,2048,chinese:SSB0009,0,3,mean,0,0,0,9,0.8182,4.1941,0.9778,15.23
voicemark,2,ecc1,16,11,2048,chinese:SSB0009,0,3,fwp,0,0,0,9,0.8182,4.1941,0.9778,15.23
voicemark,2,ecc1,16,11,2048,chinese:SSB0009,1,4,mean,1,1,0,7,0.6364,4.1683,0.9762,14.46
voicemark,2,ecc1,16,11,2048,chinese:SSB0009,1,4,fwp,1,1,0,7,0.6364,4.1683,0.9762,14.46
voicemark,2,ecc1,16,11,2048,chinese:SSB0009,2,5,mean,1,1,0,10,0.9091,4.2760,0.9843,13.56
voicemark,2,ecc1,16,11,2048,chinese:SSB0009,2,5,fwp,1,1,0,10,0.9091,4.2760,0.9843,13.56
voicemark,2,ecc1,16,11,2048,chinese:SSB0011,0,6,mean,1,1,1,6,0.5455,3.9733,0.9766,19.14
voicemark,2,ecc1,16,11,2048,chinese:SSB0011,0,6,fwp,1,1,1,6,0.5455,3.9733,0.9766,19.14
voicemark,2,ecc1,16,11,2048,chinese:SSB0011,1,7,mean,0,0,0,7,0.6364,4.4180,0.9785,19.97
voicemark,2,ecc1,16,11,2048,chinese:SSB0011,1,7,fwp,0,0,0,7,0.6364,4.4180,0.9785,19.97
voicemark,2,ecc1,16,11,2048,chinese:SSB0011,2,8,mean,1,1,0,8,0.7273,4.2219,0.9793,20.01
voicemark,2,ecc1,16,11,2048,chinese:SSB0011,2,8,fwp,1,1,0,8,0.7273,4.2219,0.9793,20.01
voicemark,2,ecc1,16,11,2048,chinese:SSB0012,0,9,mean,1,1,1,9,0.8182,4.1877,0.9732,15.57
voicemark,2,ecc1,16,11,2048,chinese:SSB0012,0,9,fwp,1,1,1,9,0.8182,4.1877,0.9732,15.57
voicemark,2,ecc1,16,11,2048,chinese:SSB0012,1,10,mean,1,1,1,7,0.6364,3.9439,0.9530,13.34
voicemark,2,ecc1,16,11,2048,chinese:SSB0012,1,10,fwp,1,1,1,7,0.6364,3.9439,0.9530,13.34
voicemark,2,ecc1,16,11,2048,chinese:SSB0012,2,11,mean,1,1,1,8,0.7273,4.2629,0.9788,18.14
voicemark,2,ecc1,16,11,2048,chinese:SSB0012,2,11,fwp,1,1,1,8,0.7273,4.2629,0.9788,18.14
voicemark,2,ecc1,16,11,2048,chinese:SSB0016,0,12,mean,1,1,1,8,0.7273,4.2049,0.9698,19.19
voicemark,2,ecc1,16,11,2048,chinese:SSB0016,0,12,fwp,1,1,1,8,0.7273,4.2049,0.9698,19.19
voicemark,2,ecc1,16,11,2048,chinese:SSB0016,1,13,mean,0,0,0,11,1.0000,4.2818,0.9819,19.15
voicemark,2,ecc1,16,11,2048,chinese:SSB0016,1,13,fwp,0,0,0,11,1.0000,4.2818,0.9819,19.15
voicemark,2,ecc1,16,11,2048,chinese:SSB0016,2,14,mean,1,1,1,9,0.8182,3.8482,0.9704,15.71
voicemark,2,ecc1,16,11,2048,chinese:SSB0016,2,14,fwp,1,1,1,9,0.8182,3.8482,0.9704,15.71
voicemark,2,ecc1,16,11,2048,chinese:SSB0018,0,15,mean,0,0,0,9,0.8182,4.4511,0.9840,18.46
voicemark,2,ecc1,16,11,2048,chinese:SSB0018,0,15,fwp,0,0,0,9,0.8182,4.4511,0.9840,18.46
voicemark,2,ecc1,16,11,2048,chinese:SSB0018,1,16,mean,1,1,1,6,0.5455,4.2585,0.9767,15.68
voicemark,2,ecc1,16,11,2048,chinese:SSB0018,1,16,fwp,1,1,1,6,0.5455,4.2585,0.9767,15.68
voicemark,2,ecc1,16,11,2048,chinese:SSB0018,2,17,mean,0,0,0,11,1.0000,4.3614,0.9793,16.62
voicemark,2,ecc1,16,11,2048,chinese:SSB0018,2,17,fwp,0,0,0,11,1.0000,4.3614,0.9793,16.62
voicemark,2,ecc1,16,11,2048,chinese:SSB0033,0,18,mean,1,0,0,11,1.0000,4.2952,0.9798,19.73
voicemark,2,ecc1,16,11,2048,chinese:SSB0033,0,18,fwp,1,0,0,11,1.0000,4.2952,0.9798,19.73
voicemark,2,ecc1,16,11,2048,chinese:SSB0033,1,19,mean,1,0,0,9,0.8182,4.2241,0.9843,22.80
voicemark,2,ecc1,16,11,2048,chinese:SSB0033,1,19,fwp,1,0,0,9,0.8182,4.2241,0.9843,22.80
voicemark,2,ecc1,16,11,2048,chinese:SSB0033,2,20,mean,1,1,1,8,0.7273,4.1004,0.9762,22.15
voicemark,2,ecc1,16,11,2048,chinese:SSB0033,2,20,fwp,1,1,1,8,0.7273,4.1004,0.9762,22.15
voicemark,2,ecc1,16,11,2048,chinese:SSB0038,0,21,mean,1,1,1,6,0.5455,4.3190,0.9872,19.23
voicemark,2,ecc1,16,11,2048,chinese:SSB0038,0,21,fwp,1,1,1,6,0.5455,4.3190,0.9872,19.23
voicemark,2,ecc1,16,11,2048,chinese:SSB0038,1,22,mean,1,1,1,8,0.7273,4.0561,0.9771,17.98
voicemark,2,ecc1,16,11,2048,chinese:SSB0038,1,22,fwp,1,1,1,8,0.7273,4.0561,0.9771,17.98
voicemark,2,ecc1,16,11,2048,chinese:SSB0038,2,23,mean,1,1,1,8,0.7273,3.9671,0.9765,17.02
voicemark,2,ecc1,16,11,2048,chinese:SSB0038,2,23,fwp,1,1,1,8,0.7273,3.9671,0.9765,17.02
voicemark,2,ecc1,16,11,2048,chinese:SSB0043,0,24,mean,1,1,0,8,0.7273,4.2765,0.9789,17.78
voicemark,2,ecc1,16,11,2048,chinese:SSB0043,0,24,fwp,1,1,0,8,0.7273,4.2765,0.9789,17.78
voicemark,2,ecc1,16,11,2048,chinese:SSB0043,1,25,mean,1,1,1,7,0.6364,3.7391,0.9682,16.46
voicemark,2,ecc1,16,11,2048,chinese:SSB0043,1,25,fwp,1,1,1,7,0.6364,3.7391,0.9682,16.46
voicemark,2,ecc1,16,11,2048,chinese:SSB0043,2,26,mean,1,1,0,7,0.6364,3.9456,0.9675,18.01
voicemark,2,ecc1,16,11,2048,chinese:SSB0043,2,26,fwp,1,1,0,7,0.6364,3.9456,0.9675,18.01
voicemark,2,ecc1,16,11,2048,chinese:SSB0057,0,27,mean,1,1,1,6,0.5455,3.6808,0.9680,15.20
voicemark,2,ecc1,16,11,2048,chinese:SSB0057,0,27,fwp,1,1,1,6,0.5455,3.6808,0.9680,15.20
voicemark,2,ecc1,16,11,2048,chinese:SSB0057,1,28,mean,1,1,1,8,0.7273,4.2928,0.9806,17.04
voicemark,2,ecc1,16,11,2048,chinese:SSB0057,1,28,fwp,1,1,1,8,0.7273,4.2928,0.9806,17.04
voicemark,2,ecc1,16,11,2048,chinese:SSB0057,2,29,mean,0,0,0,8,0.7273,4.4834,0.9884,20.70
voicemark,2,ecc1,16,11,2048,chinese:SSB0057,2,29,fwp,0,0,0,8,0.7273,4.4834,0.9884,20.70
voicemark,2,ecc1,16,11,2048,chinese:SSB0073,0,30,mean,1,1,1,9,0.8182,4.4351,0.9823,15.30
