model,K,scheme,code_bits,info_bits,codebook_size,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
wavmark,5,ecc1,16,11,2048,chinese:SSB0005,0,0,mean,1,1,1,9,0.8182,4.5500,0.9977,43.92
wavmark,5,ecc1,16,11,2048,chinese:SSB0005,0,0,fwp,1,0,0,10,0.9091,4.5015,0.9956,41.47
wavmark,5,ecc1,16,11,2048,chinese:SSB0005,1,1,mean,1,1,1,10,0.9091,4.5623,0.9968,44.71
wavmark,5,ecc1,16,11,2048,chinese:SSB0005,1,1,fwp,1,1,1,8,0.7273,4.5787,0.9981,45.56
wavmark,5,ecc1,16,11,2048,chinese:SSB0005,2,2,mean,1,1,1,8,0.7273,4.5691,0.9973,43.98
wavmark,5,ecc1,16,11,2048,chinese:SSB0005,2,2,fwp,1,1,1,9,0.8182,4.5837,0.9976,45.82
wavmark,5,ecc1,16,11,2048,chinese:SSB0009,0,3,mean,1,1,1,8,0.7273,4.6031,0.9999,42.85
wavmark,5,ecc1,16,11,2048,chinese:SSB0009,0,3,fwp,1,1,1,8,0.7273,4.6130,1.0000,44.17
wavmark,5,ecc1,16,11,2048,chinese:SSB0009,1,4,mean,1,1,1,8,0.7273,4.5755,0.9999,42.29
wavmark,5,ecc1,16,11,2048,chinese:SSB0009,1,4,fwp,1,1,1,9,0.8182,4.5949,0.9999,43.38
wavmark,5,ecc1,16,11,2048,chinese:SSB0009,2,5,mean,1,1,1,9,0.8182,4.5948,0.9999,42.56
wavmark,5,ecc1,16,11,2048,chinese:SSB0009,2,5,fwp,1,1,1,7,0.6364,4.5721,0.9999,40.77
wavmark,5,ecc1,16,11,2048,chinese:SSB0011,0,6,mean,1,1,1,9,0.8182,4.4565,0.9995,43.45
wavmark,5,ecc1,16,11,2048,chinese:SSB0011,0,6,fwp,1,1,0,8,0.7273,4.2204,0.9991,40.31
wavmark,5,ecc1,16,11,2048,chinese:SSB0011,1,7,mean,1,1,1,8,0.7273,4.4379,0.9994,41.84
wavmark,5,ecc1,16,11,2048,chinese:SSB0011,1,7,fwp,1,1,1,7,0.6364,4.4906,0.9996,43.44
wavmark,5,ecc1,16,11,2048,chinese:SSB0011,2,8,mean,1,1,1,9,0.8182,4.4519,0.9993,41.94
wavmark,5,ecc1,16,11,2048,chinese:SSB0011,2,8,fwp,1,1,1,6,0.5455,4.4647,0.9995,43.44
wavmark,5,ecc1,16,11,2048,chinese:SSB0012,0,9,mean,1,1,1,9,0.8182,4.5295,0.9998,43.13
wavmark,5,ecc1,16,11,2048,chinese:SSB0012,0,9,fwp,1,1,1,8,0.7273,4.5036,0.9998,43.54
wavmark,5,ecc1,16,11,2048,chinese:SSB0012,1,10,mean,1,1,1,8,0.7273,4.5314,0.9998,42.84
wavmark,5,ecc1,16,11,2048,chinese:SSB0012,1,10,fwp,1,1,1,9,0.8182,4.5285,0.9998,43.59
wavmark,5,ecc1,16,11,2048,chinese:SSB0012,2,11,mean,1,1,1,9,0.8182,4.5175,0.9998,42.34
wavmark,5,ecc1,16,11,2048,chinese:SSB0012,2,11,fwp,1,1,1,9,0.8182,4.4347,0.9996,39.80
wavmark,5,ecc1,16,11,2048,chinese:SSB0016,0,12,mean,1,1,1,8,0.7273,4.3980,0.9982,38.59
wavmark,5,ecc1,16,11,2048,chinese:SSB0016,0,12,fwp,1,0,0,10,0.9091,4.4292,0.9985,39.47
wavmark,5,ecc1,16,11,2048,chinese:SSB0016,1,13,mean,1,1,1,8,0.7273,4.1234,0.9979,37.73
wavmark,5,ecc1,16,11,2048,chinese:SSB0016,1,13,fwp,1,1,1,9,0.8182,4.1850,0.9985,39.30
wavmark,5,ecc1,16,11,2048,chinese:SSB0016,2,14,mean,1,1,0,8,0.7273,4.3909,0.9984,38.69
wavmark,5,ecc1,16,11,2048,chinese:SSB0016,2,14,fwp,1,1,1,7,0.6364,4.3841,0.9985,38.84
wavmark,5,ecc1,16,11,2048,chinese:SSB0018,0,15,mean,1,1,1,8,0.7273,4.5339,0.9993,43.83
