model,K,scheme,code_bits,info_bits,codebook_size,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
wmcodec,3,ecc1,16,11,2048,chinese:SSB0005,0,0,mean,0,0,0,9,0.8182,4.5058,0.9896,18.54
wmcodec,3,ecc1,16,11,2048,chinese:SSB0005,0,0,fwp,0,0,0,9,0.8182,4.2598,0.9908,19.21
wmcodec,3,ecc1,16,11,2048,chinese:SSB0005,1,1,mean,1,1,1,7,0.6364,4.2252,0.9882,18.38
wmcodec,3,ecc1,16,11,2048,chinese:SSB0005,1,1,fwp,1,1,1,7,0.6364,4.2376,0.9908,18.92
wmcodec,3,ecc1,16,11,2048,chinese:SSB0005,2,2,mean,0,0,0,11,1.0000,4.2060,0.9900,18.58
wmcodec,3,ecc1,16,11,2048,chinese:SSB0005,2,2,fwp,1,1,0,9,0.8182,4.2126,0.9905,19.58
wmcodec,3,ecc1,16,11,2048,chinese:SSB0009,0,3,mean,1,1,1,7,0.6364,4.1840,0.9862,14.28
wmcodec,3,ecc1,16,11,2048,chinese:SSB0009,0,3,fwp,1,1,1,7,0.6364,4.3052,0.9880,14.79
wmcodec,3,ecc1,16,11,2048,chinese:SSB0009,1,4,mean,1,0,0,7,0.6364,4.3100,0.9878,14.15
wmcodec,3,ecc1,16,11,2048,chinese:SSB0009,1,4,fwp,1,0,0,6,0.5455,4.3489,0.9896,15.00
wmcodec,3,ecc1,16,11,2048,chinese:SSB0009,2,5,mean,1,1,1,9,0.8182,4.2838,0.9864,14.43
wmcodec,3,ecc1,16,11,2048,chinese:SSB0009,2,5,fwp,1,1,1,10,0.9091,4.3303,0.9884,15.35
wmcodec,3,ecc1,16,11,2048,chinese:SSB0011,0,6,mean,0,0,0,9,0.8182,4.2216,0.9858,17.58
wmcodec,3,ecc1,16,11,2048,chinese:SSB0011,0,6,fwp,1,1,1,8,0.7273,3.8875,0.9754,13.90
wmcodec,3,ecc1,16,11,2048,chinese:SSB0011,1,7,mean,0,0,0,9,0.8182,4.2630,0.9851,17.51
wmcodec,3,ecc1,16,11,2048,chinese:SSB0011,1,7,fwp,1,1,1,10,0.9091,3.6347,0.9743,13.92
wmcodec,3,ecc1,16,11,2048,chinese:SSB0011,2,8,mean,1,1,1,8,0.7273,4.1248,0.9838,17.59
wmcodec,3,ecc1,16,11,2048,chinese:SSB0011,2,8,fwp,1,1,1,6,0.5455,4.2490,0.9869,18.72
wmcodec,3,ecc1,16,11,2048,chinese:SSB0012,0,9,mean,1,1,1,9,0.8182,4.3783,0.9865,14.99
wmcodec,3,ecc1,16,11,2048,chinese:SSB0012,0,9,fwp,1,1,0,9,0.8182,4.0426,0.9762,11.28
wmcodec,3,ecc1,16,11,2048,chinese:SSB0012,1,10,mean,1,1,1,6,0.5455,4.3725,0.9870,13.13
wmcodec,3,ecc1,16,11,2048,chinese:SSB0012,1,10,fwp,0,0,0,10,0.9091,4.4289,0.9887,14.69
wmcodec,3,ecc1,16,11,2048,chinese:SSB0012,2,11,mean,0,0,0,9,0.8182,4.2974,0.9844,13.94
wmcodec,3,ecc1,16,11,2048,chinese:SSB0012,2,11,fwp,1,1,1,6,0.5455,4.4024,0.9875,15.25
wmcodec,3,ecc1,16,11,2048,chinese:SSB0016,0,12,mean,1,1,1,10,0.9091,4.2523,0.9828,15.20
wmcodec,3,ecc1,16,11,2048,chinese:SSB0016,0,12,fwp,1,1,1,8,0.7273,4.3891,0.9883,16.53
wmcodec,3,ecc1,16,11,2048,chinese:SSB0016,1,13,mean,1,1,1,7,0.6364,4.3234,0.9877,17.09
wmcodec,3,ecc1,16,11,2048,chinese:SSB0016,1,13,fwp,0,0,0,8,0.7273,4.0534,0.9766,13.46
wmcodec,3,ecc1,16,11,2048,chinese:SSB0016,2,14,mean,1,1,1,10,0.9091,4.3815,0.9836,16.58
wmcodec,3,ecc1,16,11,2048,chinese:SSB0016,2,14,fwp,1,1,1,7,0.6364,4.0525,0.9717,12.94
wmcodec,3,ecc1,16,11,2048,chinese:SSB0018,0,15,mean,1,1,1,9,0.8182,4.3614,0.9877,16.78
wmcodec,3,ecc1,16,11,2048,chinese:SSB0018,0,15,fwp,1,1,1,7,0.6364,4.0959,0.9766,13.14
wmcodec,3,ecc1,16,11,2048,chinese:SSB0018,1,16,mean,1,1,1,7,0.6364,4.3020,0.9881,16.53
wmcodec,3,ecc1,16,11,2048,chinese:SSB0018,1,16,fwp,1,1,1,6,0.5455,4.4242,0.9908,17.84
wmcodec,3,ecc1,16,11,2048,chinese:SSB0018,2,17,mean,1,0,0,8,0.7273,4.4401,0.9890,15.34
wmcodec,3,ecc1,16,11,2048,chinese:SSB0018,2,17,fwp,1,0,0,7,0.6364,4.4324,0.9899,16.66
wmcodec,3,ecc1,16,11,2048,chinese:SSB0033,0,18,mean,1,0,0,9,0.8182,4.3886,0.9893,20.23
wmcodec,3,ecc1,16,11,2048,chinese:SSB0033,0,18,fwp,1,1,1,9,0.8182,4.4319,0.9914,21.50
wmcodec,3,ecc1,16,11,2048,chinese:SSB0033,1,19,mean,1,1,1,7,0.6364,4.3683,0.9885,20.40
wmcodec,3,ecc1,16,11,2048,chinese:SSB0033,1,19,fwp,1,1,1,6,0.5455,4.1337,0.9802,16.85
wmcodec,3,ecc1,16,11,2048,chinese:SSB0033,2,20,mean,1,1,0,7,0.6364,4.2900,0.9883,19.93
wmcodec,3,ecc1,16,11,2048,chinese:SSB0033,2,20,fwp,1,1,1,10,0.9091,4.4046,0.9915,21.37
wmcodec,3,ecc1,16,11,2048,chinese:SSB0038,0,21,mean,1,1,1,9,0.8182,4.4349,0.9898,17.49
wmcodec,3,ecc1,16,11,2048,chinese:SSB0038,0,21,fwp,0,0,0,9,0.8182,4.1632,0.9817,13.83
wmcodec,3,ecc1,16,11,2048,chinese:SSB0038,1,22,mean,0,0,0,9,0.8182,4.4270,0.9905,18.09
wmcodec,3,ecc1,16,11,2048,chinese:SSB0038,1,22,fwp,1,1,1,7,0.6364,4.2059,0.9822,14.49
wmcodec,3,ecc1,16,11,2048,chinese:SSB0038,2,23,mean,1,1,1,7,0.6364,4.4058,0.9897,18.09
wmcodec,3,ecc1,16,11,2048,chinese:SSB0038,2,23,fwp,1,1,1,7,0.6364,4.1954,0.9825,14.58
wmcodec,3,ecc1,16,11,2048,chinese:SSB0043,0,24,mean,1,1,1,8,0.7273,4.0456,0.9806,16.86
wmcodec,3,ecc1,16,11,2048,chinese:SSB0043,0,24,fwp,1,1,1,6,0.5455,4.1369,0.9840,17.60
wmcodec,3,ecc1,16,11,2048,chinese:SSB0043,1,25,mean,1,1,1,8,0.7273,4.1047,0.9819,16.82
wmcodec,3,ecc1,16,11,2048,chinese:SSB0043,1,25,fwp,1,1,1,6,0.5455,4.2703,0.9853,18.13
wmcodec,3,ecc1,16,11,2048,chinese:SSB0043,2,26,mean,1,1,1,7,0.6364,3.9997,0.9820,16.81
wmcodec,3,ecc1,16,11,2048,chinese:SSB0043,2,26,fwp,1,1,1,10,0.9091,3.5431,0.9665,13.20
wmcodec,3,ecc1,16,11,2048,chinese:SSB0057,0,27,mean,1,1,1,8,0.7273,4.4558,0.9883,16.98
wmcodec,3,ecc1,16,11,2048,chinese:SSB0057,0,27,fwp,0,0,0,7,0.6364,4.4837,0.9900,17.70
wmcodec,3,ecc1,16,11,2048,chinese:SSB0057,1,28,mean,1,1,1,9,0.8182,4.3392,0.9859,15.89
wmcodec,3,ecc1,16,11,2048,chinese:SSB0057,1,28,fwp,1,1,1,8,0.7273,4.0349,0.9779,12.17
wmcodec,3,ecc1,16,11,2048,chinese:SSB0057,2,29,mean,1,1,1,7,0.6364,4.3904,0.9894,17.33
wmcodec,3,ecc1,16,11,2048,chinese:SSB0057,2,29,fwp,1,1,1,6,0.5455,4.4514,0.9905,18.10
wmcodec,3,ecc1,16,11,2048,chinese:SSB0073,0,30,mean,1,1,1,6,0.5455,4.3544,0.9841,14.75
wmcodec,3,ecc1,16,11,2048,chinese:SSB0073,0,30,fwp,1,1,1,9,0.8182,4.3806,0.9872,15.61
wmcodec,3,ecc1,16,11,2048,chinese:SSB0073,1,31,mean,1,1,1,8,0.7273,4.3389,0.9859,14.83
wmcodec,3,ecc1,16,11,2048,chinese:SSB0073,1,31,fwp,1,1,1,8,0.7273,4.3861,0.9886,15.37
wmcodec,3,ecc1,16,11,2048,chinese:SSB0073,2,32,mean,0,0,0,7,0.6364,4.3278,0.9869,15.44
wmcodec,3,ecc1,16,11,2048,chinese:SSB0073,2,32,fwp,0,0,0,8,0.7273,4.4072,0.9898,16.85
wmcodec,3,ecc1,16,11,2048,chinese:SSB0080,0,33,mean,1,1,1,9,0.8182,4.3989,0.9854,16.68
wmcodec,3,ecc1,16,11,2048,chinese:SSB0080,0,33,fwp,1,1,1,6,0.5455,4.4618,0.9889,17.76
wmcodec,3,ecc1,16,11,2048,chinese:SSB0080,1,34,mean,1,1,1,8,0.7273,4.4408,0.9862,16.57
wmcodec,3,ecc1,16,11,2048,chinese:SSB0080,1,34,fwp,1,1,1,8,0.7273,4.2187,0.9740,12.94
wmcodec,3,ecc1,16,11,2048,chinese:SSB0080,2,35,mean,1,0,0,8,0.7273,4.3419,0.9866,16.84
wmcodec,3,ecc1,16,11,2048,chinese:SSB0080,2,35,fwp,1,1,1,6,0.5455,4.3683,0.9892,18.05
wmcodec,3,ecc1,16,11,2048,chinese:SSB0112,0,36,mean,1,1,1,7,0.6364,4.4733,0.9904,16.20
wmcodec,3,ecc1,16,11,2048,chinese:SSB0112,0,36,fwp,1,1,1,8,0.7273,4.2345,0.9817,12.58
wmcodec,3,ecc1,16,11,2048,chinese:SSB0112,1,37,mean,1,1,0,9,0.8182,4.4575,0.9905,15.85
wmcodec,3,ecc1,16,11,2048,chinese:SSB0112,1,37,fwp,1,1,1,6,0.5455,4.5213,0.9927,17.01
