model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
timbrewm,8,chinese:SSB0005,0,0,eep,1,0,0,9,0.9000,0.500000,4.3502,0.9915,29.94
timbrewm,8,chinese:SSB0005,1,1,eep,1,1,0,9,0.9000,0.500000,4.5736,0.9977,34.97
timbrewm,8,chinese:SSB0005,2,2,eep,1,1,1,8,0.8000,0.300000,4.4863,0.9972,33.21
timbrewm,8,chinese:SSB0009,0,3,eep,1,1,1,8,0.8000,0.300000,4.5631,0.9983,30.65
timbrewm,8,chinese:SSB0009,1,4,eep,1,1,1,7,0.7000,0.300000,4.5921,0.9987,31.92
timbrewm,8,chinese:SSB0009,2,5,eep,1,1,1,7,0.7000,0.400000,4.5323,0.9983,31.63
timbrewm,8,chinese:SSB0011,0,6,eep,1,1,1,7,0.7000,0.300000,4.3933,0.9934,29.53
timbrewm,8,chinese:SSB0011,1,7,eep,1,1,0,9,0.9000,0.600000,4.5905,0.9975,33.92
timbrewm,8,chinese:SSB0011,2,8,eep,1,1,1,8,0.8000,0.300000,4.5626,0.9952,30.55
timbrewm,8,chinese:SSB0012,0,9,eep,1,1,1,7,0.7000,0.300000,4.4805,0.9969,33.10
timbrewm,8,chinese:SSB0012,1,10,eep,1,1,1,8,0.8000,0.500000,4.4240,0.9928,29.51
timbrewm,8,chinese:SSB0012,2,11,eep,1,1,1,7,0.7000,0.300000,4.3995,0.9950,30.46
timbrewm,8,chinese:SSB0016,0,12,eep,1,1,1,8,0.8000,0.500000,4.4832,0.9905,25.69
timbrewm,8,chinese:SSB0016,1,13,eep,0,0,0,10,1.0000,0.600000,4.5526,0.9937,27.29
timbrewm,8,chinese:SSB0016,2,14,eep,1,1,1,8,0.8000,0.500000,4.3411,0.9922,25.14
timbrewm,8,chinese:SSB0018,0,15,eep,1,1,1,8,0.8000,0.400000,4.5675,0.9973,34.47
timbrewm,8,chinese:SSB0018,1,16,eep,1,1,1,8,0.8000,0.300000,4.5526,0.9982,35.35
timbrewm,8,chinese:SSB0018,2,17,eep,1,0,0,9,0.9000,0.800000,4.6099,0.9992,38.23
timbrewm,8,chinese:SSB0033,0,18,eep,1,1,0,9,0.9000,0.500000,4.4446,0.9959,33.05
timbrewm,8,chinese:SSB0033,1,19,eep,1,1,1,7,0.7000,0.400000,4.5954,0.9978,37.50
timbrewm,8,chinese:SSB0033,2,20,eep,1,0,0,9,0.9000,0.400000,4.4760,0.9937,33.72
timbrewm,8,chinese:SSB0038,0,21,eep,0,0,0,10,1.0000,0.500000,4.5104,0.9946,29.02
timbrewm,8,chinese:SSB0038,1,22,eep,1,1,1,9,0.9000,0.600000,4.4902,0.9947,29.55
timbrewm,8,chinese:SSB0038,2,23,eep,1,0,0,9,0.9000,0.700000,4.5646,0.9984,35.71
timbrewm,8,chinese:SSB0043,0,24,eep,1,1,1,8,0.8000,0.500000,3.9745,0.9846,24.48
timbrewm,8,chinese:SSB0043,1,25,eep,1,1,1,8,0.8000,0.500000,4.2311,0.9917,28.17
timbrewm,8,chinese:SSB0043,2,26,eep,1,0,0,9,0.9000,0.500000,4.0839,0.9879,26.75
timbrewm,8,chinese:SSB0057,0,27,eep,1,0,0,9,0.9000,0.400000,4.5823,0.9977,35.69
timbrewm,8,chinese:SSB0057,1,28,eep,1,0,0,9,0.9000,0.500000,4.3520,0.9940,30.97
timbrewm,8,chinese:SSB0057,2,29,eep,1,1,0,9,0.9000,0.500000,4.5027,0.9954,31.82
timbrewm,8,chinese:SSB0073,0,30,eep,1,1,1,9,0.9000,0.500000,4.4905,0.9976,31.19
