model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
wavmark,3,chinese:SSB0005,0,0,eep,1,1,1,10,0.6250,0.187500,4.5787,0.9978,44.54
wavmark,3,chinese:SSB0005,1,1,eep,1,1,1,12,0.7500,0.312500,4.5043,0.9968,43.95
wavmark,3,chinese:SSB0005,2,2,eep,1,1,1,14,0.8750,0.500000,4.5927,0.9979,45.99
wavmark,3,chinese:SSB0009,0,3,eep,1,1,1,15,0.9375,0.687500,4.6157,1.0000,46.51
wavmark,3,chinese:SSB0009,1,4,eep,1,1,1,11,0.6875,0.250000,4.5914,0.9999,43.17
wavmark,3,chinese:SSB0009,2,5,eep,1,1,1,12,0.7500,0.437500,4.5087,0.9998,38.27
wavmark,3,chinese:SSB0011,0,6,eep,1,1,1,14,0.8750,0.562500,4.4365,0.9996,44.42
wavmark,3,chinese:SSB0011,1,7,eep,1,1,1,13,0.8125,0.312500,4.5000,0.9995,43.49
wavmark,3,chinese:SSB0011,2,8,eep,1,0,0,15,0.9375,0.687500,4.5549,0.9998,46.08
wavmark,3,chinese:SSB0012,0,9,eep,1,1,1,13,0.8125,0.562500,4.5559,0.9999,45.13
wavmark,3,chinese:SSB0012,1,10,eep,1,1,1,12,0.7500,0.375000,4.5621,0.9998,44.16
wavmark,3,chinese:SSB0012,2,11,eep,1,1,1,12,0.7500,0.500000,4.5691,0.9999,45.14
wavmark,3,chinese:SSB0016,0,12,eep,1,1,1,12,0.7500,0.500000,4.4707,0.9990,40.66
wavmark,3,chinese:SSB0016,1,13,eep,1,1,1,14,0.8750,0.562500,4.4719,0.9990,40.89
wavmark,3,chinese:SSB0016,2,14,eep,1,1,0,15,0.9375,0.500000,4.4777,0.9986,40.53
wavmark,3,chinese:SSB0018,0,15,eep,1,1,1,13,0.8125,0.625000,4.4110,0.9987,40.46
wavmark,3,chinese:SSB0018,1,16,eep,1,1,1,13,0.8125,0.500000,4.2670,0.9989,40.32
wavmark,3,chinese:SSB0018,2,17,eep,1,1,1,12,0.7500,0.375000,4.5798,0.9995,45.01
wavmark,3,chinese:SSB0033,0,18,eep,1,1,0,15,0.9375,0.625000,4.0750,0.9990,39.11
wavmark,3,chinese:SSB0033,1,19,eep,1,1,1,14,0.8750,0.625000,4.5478,0.9998,47.03
wavmark,3,chinese:SSB0033,2,20,eep,1,1,1,14,0.8750,0.500000,4.5256,0.9998,45.52
wavmark,3,chinese:SSB0038,0,21,eep,1,1,1,12,0.7500,0.375000,4.5438,0.9999,44.43
wavmark,3,chinese:SSB0038,1,22,eep,1,1,1,12,0.7500,0.375000,4.5712,0.9999,44.15
wavmark,3,chinese:SSB0038,2,23,eep,1,1,1,14,0.8750,0.437500,4.5101,0.9999,44.53
wavmark,3,chinese:SSB0043,0,24,eep,1,1,1,13,0.8125,0.312500,4.5306,0.9990,42.98
wavmark,3,chinese:SSB0043,1,25,eep,1,1,1,12,0.7500,0.437500,4.5040,0.9991,43.93
wavmark,3,chinese:SSB0043,2,26,eep,1,1,1,12,0.7500,0.437500,4.5215,0.9991,43.83
wavmark,3,chinese:SSB0057,0,27,eep,1,1,1,14,0.8750,0.250000,4.5058,0.9954,43.81
wavmark,3,chinese:SSB0057,1,28,eep,1,1,1,14,0.8750,0.625000,4.5462,0.9977,46.43
wavmark,3,chinese:SSB0057,2,29,eep,1,1,1,14,0.8750,0.562500,4.3848,0.9908,40.48
wavmark,3,chinese:SSB0073,0,30,eep,1,1,1,13,0.8125,0.500000,4.2434,0.9996,40.44
wavmark,3,chinese:SSB0073,1,31,eep,1,1,1,14,0.8750,0.437500,4.5696,0.9999,46.15
wavmark,3,chinese:SSB0073,2,32,eep,1,1,1,13,0.8125,0.500000,4.5451,0.9999,46.33
wavmark,3,chinese:SSB0080,0,33,eep,0,0,0,16,1.0000,0.500000,4.5373,0.9973,44.83
wavmark,3,chinese:SSB0080,1,34,eep,1,1,1,12,0.7500,0.375000,4.5630,0.9972,44.47
wavmark,3,chinese:SSB0080,2,35,eep,1,1,1,14,0.8750,0.562500,4.4980,0.9933,40.40
wavmark,3,chinese:SSB0112,0,36,eep,1,1,1,14,0.8750,0.562500,4.5805,0.9994,41.56
wavmark,3,chinese:SSB0112,1,37,eep,1,1,1,13,0.8125,0.312500,4.4991,0.9989,39.63
wavmark,3,chinese:SSB0112,2,38,eep,1,1,1,12,0.7500,0.375000,4.3858,0.9988,39.14
wavmark,3,chinese:SSB0122,0,39,eep,1,1,1,14,0.8750,0.500000,4.5566,0.9999,44.31
wavmark,3,chinese:SSB0122,1,40,eep,1,1,1,13,0.8125,0.437500,4.5183,0.9999,43.82
wavmark,3,chinese:SSB0122,2,41,eep,1,1,1,13,0.8125,0.500000,4.2694,0.9996,38.97
