model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
wmcodec,3,chinese:SSB0005,0,0,eep,1,1,1,10,0.6250,0.562500,4.4198,0.9903,19.92
wmcodec,3,chinese:SSB0005,1,1,eep,1,1,1,10,0.6250,0.312500,4.4610,0.9908,19.30
wmcodec,3,chinese:SSB0005,2,2,eep,1,1,1,9,0.5625,0.500000,4.2071,0.9893,18.79
wmcodec,3,chinese:SSB0009,0,3,eep,1,1,1,13,0.8125,0.687500,4.4062,0.9892,16.14
wmcodec,3,chinese:SSB0009,1,4,eep,1,1,1,11,0.6875,0.625000,3.9886,0.9785,10.10
wmcodec,3,chinese:SSB0009,2,5,eep,1,1,1,11,0.6875,0.437500,4.4746,0.9903,15.96
wmcodec,3,chinese:SSB0011,0,6,eep,1,1,1,10,0.6250,0.562500,3.9948,0.9903,20.15
wmcodec,3,chinese:SSB0011,1,7,eep,1,1,1,11,0.6875,0.312500,3.9781,0.9893,18.53
wmcodec,3,chinese:SSB0011,2,8,eep,1,1,1,13,0.8125,0.250000,3.7496,0.9778,14.14
wmcodec,3,chinese:SSB0012,0,9,eep,1,1,1,13,0.8125,0.562500,4.4665,0.9889,15.88
wmcodec,3,chinese:SSB0012,1,10,eep,1,1,1,12,0.7500,0.625000,3.9852,0.9746,10.73
wmcodec,3,chinese:SSB0012,2,11,eep,1,1,1,13,0.8125,0.500000,4.4583,0.9902,16.67
wmcodec,3,chinese:SSB0016,0,12,eep,1,1,1,12,0.7500,0.500000,4.4135,0.9909,17.76
wmcodec,3,chinese:SSB0016,1,13,eep,1,1,1,12,0.7500,0.437500,4.4652,0.9916,18.33
wmcodec,3,chinese:SSB0016,2,14,eep,1,1,1,11,0.6875,0.500000,4.0115,0.9751,13.09
wmcodec,3,chinese:SSB0018,0,15,eep,1,1,1,9,0.5625,0.625000,4.2018,0.9794,11.04
wmcodec,3,chinese:SSB0018,1,16,eep,1,1,1,15,0.9375,0.437500,4.4219,0.9901,17.63
wmcodec,3,chinese:SSB0018,2,17,eep,1,1,1,7,0.4375,0.375000,4.4528,0.9906,17.46
wmcodec,3,chinese:SSB0033,0,18,eep,1,1,1,9,0.5625,0.250000,4.4000,0.9903,21.40
wmcodec,3,chinese:SSB0033,1,19,eep,1,1,1,11,0.6875,0.625000,4.4340,0.9912,21.91
wmcodec,3,chinese:SSB0033,2,20,eep,1,1,0,15,0.9375,0.500000,4.4178,0.9918,21.66
wmcodec,3,chinese:SSB0038,0,21,eep,1,1,1,10,0.6250,0.375000,4.4442,0.9931,19.12
wmcodec,3,chinese:SSB0038,1,22,eep,1,1,1,10,0.6250,0.187500,4.1971,0.9829,14.38
wmcodec,3,chinese:SSB0038,2,23,eep,1,1,1,10,0.6250,0.437500,4.4617,0.9904,18.90
