model,K,spk,local_t,gi,method,ASR,presence,S_C,margin,PESQ,STOI,SI_SDR,rho_wave,rho_det,cb_margin,cb_shuf_margin
audioseal,5,chinese:SSB0005,0,0,single_copy,0,0.9999,-4.2554,0.9537,4.6439,1.0000,147.63,0.5758,-0.4010,-0.4518,-0.4518
audioseal,5,chinese:SSB0005,0,0,mean,1,1.0000,-8.3964,-2.7165,4.6016,0.9993,35.93,0.5758,-0.4010,-0.4518,-0.4518
audioseal,5,chinese:SSB0005,0,0,rp,1,1.0000,-6.9962,-1.7389,4.5575,0.9987,32.83,0.5758,-0.4010,-0.4518,-0.4518
audioseal,5,chinese:SSB0005,0,0,random_dirichlet,0,1.0000,-4.7403,0.6327,4.5767,0.9990,34.58,0.5758,-0.4010,-0.4518,-0.4518
audioseal,5,chinese:SSB0005,0,0,eep,1,0.9998,-6.8990,-0.9890,4.6114,0.9995,38.52,0.5758,-0.4010,-0.4518,-0.4518
audioseal,5,chinese:SSB0005,0,0,fwp,1,1.0000,-7.5380,-2.0069,4.6101,0.9994,38.13,0.5758,-0.4010,-0.4518,-0.4518
audioseal,5,chinese:SSB0005,0,0,dm,1,1.0000,-7.7202,-2.2998,4.6090,0.9995,37.59,0.5758,-0.4010,-0.4518,-0.4518
audioseal,5,chinese:SSB0005,0,0,tct,1,1.0000,-5.9479,-0.4518,4.5789,0.9990,34.09,0.5758,-0.4010,-0.4518,-0.4518
audioseal,5,chinese:SSB0005,0,0,payload_farthest,1,1.0000,-8.8659,-2.8572,4.5868,0.9992,34.49,0.5758,-0.4010,-0.4518,-0.4518
audioseal,5,chinese:SSB0005,1,1,single_copy,0,0.9993,-4.4143,0.8610,4.6439,1.0000,147.63,-0.2147,-0.1604,-4.5973,-4.5973
audioseal,5,chinese:SSB0005,1,1,mean,1,1.0000,-9.4987,-4.4401,4.6010,0.9993,35.22,-0.2147,-0.1604,-4.5973,-4.5973
audioseal,5,chinese:SSB0005,1,1,rp,1,1.0000,-7.6566,-2.0493,4.5807,0.9991,32.81,-0.2147,-0.1604,-4.5973,-4.5973
audioseal,5,chinese:SSB0005,1,1,random_dirichlet,1,1.0000,-8.4092,-2.2978,4.5962,0.9992,34.58,-0.2147,-0.1604,-4.5973,-4.5973
audioseal,5,chinese:SSB0005,1,1,eep,1,1.0000,-7.1846,-1.9498,4.5711,0.9987,32.73,-0.2147,-0.1604,-4.5973,-4.5973
audioseal,5,chinese:SSB0005,1,1,fwp,1,1.0000,-8.2354,-3.0543,4.6091,0.9994,37.28,-0.2147,-0.1604,-4.5973,-4.5973
audioseal,5,chinese:SSB0005,1,1,dm,1,1.0000,-9.0007,-3.8503,4.6073,0.9994,36.15,-0.2147,-0.1604,-4.5973,-4.5973
audioseal,5,chinese:SSB0005,1,1,tct,1,1.0000,-9.4242,-4.5973,4.5860,0.9990,33.71,-0.2147,-0.1604,-4.5973,-4.5973
audioseal,5,chinese:SSB0005,1,1,payload_farthest,1,1.0000,-9.4711,-3.7500,4.6075,0.9995,38.18,-0.2147,-0.1604,-4.5973,-4.5973
audioseal,5,chinese:SSB0005,2,2,single_copy,0,0.9999,-4.4238,0.9345,4.6439,1.0000,147.62,0.2680,-0.6777,-3.2522,-3.2522
audioseal,5,chinese:SSB0005,2,2,mean,1,1.0000,-9.2720,-3.8725,4.6015,0.9994,34.70,0.2680,-0.6777,-3.2522,-3.2522
audioseal,5,chinese:SSB0005,2,2,rp,1,1.0000,-8.2687,-2.8029,4.6042,0.9996,36.95,0.2680,-0.6777,-3.2522,-3.2522
audioseal,5,chinese:SSB0005,2,2,random_dirichlet,0,1.0000,-4.7845,0.6407,4.5728,0.9991,32.18,0.2680,-0.6777,-3.2522,-3.2522
audioseal,5,chinese:SSB0005,2,2,eep,1,1.0000,-7.2241,-1.1347,4.6160,0.9996,35.11,0.2680,-0.6777,-3.2522,-3.2522
audioseal,5,chinese:SSB0005,2,2,fwp,1,1.0000,-7.2241,-1.1347,4.6160,0.9996,35.11,0.2680,-0.6777,-3.2522,-3.2522
audioseal,5,chinese:SSB0005,2,2,dm,1,1.0000,-7.9899,-1.9828,4.6076,0.9995,34.56,0.2680,-0.6777,-3.2522,-3.2522
audioseal,5,chinese:SSB0005,2,2,tct,1,1.0000,-8.9689,-3.2522,4.6130,0.9996,35.67,0.2680,-0.6777,-3.2522,-3.2522
audioseal,5,chinese:SSB0005,2,2,payload_farthest,1,1.0000,-8.9174,-3.5680,4.5981,0.9995,37.05,0.2680,-0.6777,-3.2522,-3.2522
audioseal,5,chinese:SSB0009,0,3,single_copy,0,1.0000,-4.3419,0.9115,4.6439,1.0000,145.15,0.5724,-0.6157,-3.9550,-3.9550
audioseal,5,chinese:SSB0009,0,3,mean,1,1.0000,-7.0455,-2.1886,4.5714,0.9995,32.93,0.5724,-0.6157,-3.9550,-3.9550
audioseal,5,chinese:SSB0009,0,3,rp,1,1.0000,-8.4733,-2.6740,4.5159,0.9990,29.44,0.5724,-0.6157,-3.9550,-3.9550
audioseal,5,chinese:SSB0009,0,3,random_dirichlet,1,1.0000,-5.8612,-0.8463,4.5282,0.9992,30.34,0.5724,-0.6157,-3.9550,-3.9550
audioseal,5,chinese:SSB0009,0,3,eep,1,1.0000,-7.4805,-2.6968,4.6029,0.9998,35.01,0.5724,-0.6157,-3.9550,-3.9550
audioseal,5,chinese:SSB0009,0,3,fwp,1,1.0000,-9.5240,-2.8713,4.5897,0.9996,34.36,0.5724,-0.6157,-3.9550,-3.9550
audioseal,5,chinese:SSB0009,0,3,dm,1,1.0000,-9.2824,-4.3023,4.5852,0.9996,33.86,0.5724,-0.6157,-3.9550,-3.9550
audioseal,5,chinese:SSB0009,0,3,tct,1,1.0000,-8.6548,-3.9550,4.5485,0.9993,31.39,0.5724,-0.6157,-3.9550,-3.9550
audioseal,5,chinese:SSB0009,0,3,payload_farthest,1,1.0000,-9.5240,-2.8713,4.5897,0.9996,34.36,0.5724,-0.6157,-3.9550,-3.9550
audioseal,5,chinese:SSB0009,1,4,single_copy,0,1.0000,-4.4187,0.8367,4.6439,1.0000,145.14,0.8555,-0.9067,-1.5053,-1.5053
audioseal,5,chinese:SSB0009,1,4,mean,1,1.0000,-6.8247,-1.7280,4.5906,0.9996,33.86,0.8555,-0.9067,-1.5053,-1.5053
audioseal,5,chinese:SSB0009,1,4,rp,1,1.0000,-8.0783,-2.6513,4.5722,0.9995,32.29,0.8555,-0.9067,-1.5053,-1.5053
audioseal,5,chinese:SSB0009,1,4,random_dirichlet,1,1.0000,-6.9783,-2.0645,4.5959,0.9997,34.86,0.8555,-0.9067,-1.5053,-1.5053
audioseal,5,chinese:SSB0009,1,4,eep,1,1.0000,-6.1570,-0.8584,4.6094,0.9998,36.97,0.8555,-0.9067,-1.5053,-1.5053
audioseal,5,chinese:SSB0009,1,4,fwp,1,1.0000,-7.5630,-1.0479,4.6036,0.9998,36.09,0.8555,-0.9067,-1.5053,-1.5053
audioseal,5,chinese:SSB0009,1,4,dm,1,1.0000,-7.5652,-1.8886,4.6009,0.9997,35.27,0.8555,-0.9067,-1.5053,-1.5053
audioseal,5,chinese:SSB0009,1,4,tct,1,1.0000,-6.1559,-1.5053,4.5982,0.9997,35.35,0.8555,-0.9067,-1.5053,-1.5053
audioseal,5,chinese:SSB0009,1,4,payload_farthest,1,1.0000,-7.5630,-1.0479,4.6036,0.9998,36.09,0.8555,-0.9067,-1.5053,-1.5053
audioseal,5,chinese:SSB0009,2,5,single_copy,0,1.0000,-4.5449,0.8502,4.6439,1.0000,145.15,0.4015,-0.9609,-2.7843,-2.7840
audioseal,5,chinese:SSB0009,2,5,mean,1,1.0000,-7.4559,-2.1060,4.5939,0.9997,33.48,0.4015,-0.9609,-2.7843,-2.7840
audioseal,5,chinese:SSB0009,2,5,rp,1,1.0000,-5.9525,-0.7772,4.5487,0.9993,30.10,0.4015,-0.9609,-2.7843,-2.7840
audioseal,5,chinese:SSB0009,2,5,random_dirichlet,1,1.0000,-7.7209,-1.8864,4.5772,0.9995,32.22,0.4015,-0.9609,-2.7843,-2.7840
audioseal,5,chinese:SSB0009,2,5,eep,1,1.0000,-8.3009,-2.2376,4.6044,0.9998,36.62,0.4015,-0.9609,-2.7843,-2.7840
audioseal,5,chinese:SSB0009,2,5,fwp,1,1.0000,-10.2629,-5.6951,4.6098,0.9997,34.71,0.4015,-0.9609,-2.7843,-2.7840
