model,K,spk,local_t,gi,method,ASR,presence,S_C,margin,PESQ,STOI,SI_SDR,rho_wave,rho_det,cb_margin,cb_shuf_margin
timbrewm,3,chinese:SSB0005,0,0,single_copy,0,,-3.2040,0.8356,4.6439,1.0000,147.69,1.0000,-0.8387,-0.0433,-0.0433
timbrewm,3,chinese:SSB0005,0,0,mean,1,,-5.9264,-1.0264,4.5268,0.9965,35.23,1.0000,-0.8387,-0.0433,-0.0433
timbrewm,3,chinese:SSB0005,0,0,rp,1,,-4.8041,-0.0062,4.5759,0.9975,36.85,1.0000,-0.8387,-0.0433,-0.0433
timbrewm,3,chinese:SSB0005,0,0,random_dirichlet,0,,-4.6213,0.1128,4.4174,0.9945,32.73,1.0000,-0.8387,-0.0433,-0.0433
timbrewm,3,chinese:SSB0005,0,0,eep,1,,-4.8041,-0.0062,4.5759,0.9975,36.85,1.0000,-0.8387,-0.0433,-0.0433
timbrewm,3,chinese:SSB0005,0,0,fwp,1,,-5.5142,-0.0855,4.5119,0.9975,36.12,1.0000,-0.8387,-0.0433,-0.0433
timbrewm,3,chinese:SSB0005,0,0,dm,1,,-5.9637,-1.0192,4.5224,0.9965,35.20,1.0000,-0.8387,-0.0433,-0.0433
timbrewm,3,chinese:SSB0005,0,0,tct,1,,-4.9169,-0.0433,4.5796,0.9979,37.73,1.0000,-0.8387,-0.0433,-0.0433
timbrewm,3,chinese:SSB0005,0,0,payload_farthest,1,,-5.5142,-0.0855,4.5119,0.9975,36.12,1.0000,-0.8387,-0.0433,-0.0433
timbrewm,3,chinese:SSB0005,1,1,single_copy,0,,-3.3261,0.7644,4.6439,1.0000,147.69,0.8660,-0.9995,-0.1112,-0.1112
timbrewm,3,chinese:SSB0005,1,1,mean,1,,-5.2519,-0.6826,4.5625,0.9962,34.56,0.8660,-0.9995,-0.1112,-0.1112
timbrewm,3,chinese:SSB0005,1,1,rp,1,,-5.2938,-0.1692,4.5654,0.9970,35.67,0.8660,-0.9995,-0.1112,-0.1112
timbrewm,3,chinese:SSB0005,1,1,random_dirichlet,1,,-4.7158,-0.3167,4.5891,0.9970,35.60,0.8660,-0.9995,-0.1112,-0.1112
timbrewm,3,chinese:SSB0005,1,1,eep,1,,-4.4805,-0.0277,4.4151,0.9917,31.04,0.8660,-0.9995,-0.1112,-0.1112
timbrewm,3,chinese:SSB0005,1,1,fwp,1,,-5.2938,-0.1692,4.5654,0.9970,35.67,0.8660,-0.9995,-0.1112,-0.1112
timbrewm,3,chinese:SSB0005,1,1,dm,1,,-5.3309,-0.4627,4.5735,0.9969,35.51,0.8660,-0.9995,-0.1112,-0.1112
timbrewm,3,chinese:SSB0005,1,1,tct,1,,-5.0315,-0.1112,4.5495,0.9960,34.39,0.8660,-0.9995,-0.1112,-0.1112
timbrewm,3,chinese:SSB0005,1,1,payload_farthest,1,,-5.2938,-0.1692,4.5654,0.9970,35.67,0.8660,-0.9995,-0.1112,-0.1112
timbrewm,3,chinese:SSB0005,2,2,single_copy,0,,-3.3696,0.7921,4.6439,1.0000,147.69,-0.8660,-0.9843,-0.3063,-0.3063
timbrewm,3,chinese:SSB0005,2,2,mean,1,,-5.4923,-0.7589,4.5862,0.9969,35.40,-0.8660,-0.9843,-0.3063,-0.3063
