model,K,spk,local_t,gi,method,ASR,presence,S_C,margin,PESQ,STOI,SI_SDR,rho_wave,rho_det,cb_margin,cb_shuf_margin
wavmark,3,chinese:SSB0005,0,0,single_copy,0,1.0000,-0.0000,1.0000,4.6439,1.0000,147.65,1.0000,-1.0000,-3.0000,-3.0000
wavmark,3,chinese:SSB0005,0,0,mean,1,1.0000,-2.0000,-2.0000,4.5834,0.9972,44.24,1.0000,-1.0000,-3.0000,-3.0000
wavmark,3,chinese:SSB0005,0,0,rp,1,1.0000,-1.0000,-1.0000,4.5966,0.9980,46.75,1.0000,-1.0000,-3.0000,-3.0000
wavmark,3,chinese:SSB0005,0,0,random_dirichlet,1,1.0000,-1.0000,-1.0000,4.5290,0.9951,41.30,1.0000,-1.0000,-3.0000,-3.0000
wavmark,3,chinese:SSB0005,0,0,eep,1,1.0000,-6.0000,-6.0000,4.5787,0.9978,44.54,1.0000,-1.0000,-3.0000,-3.0000
wavmark,3,chinese:SSB0005,0,0,fwp,1,1.0000,-6.0000,-6.0000,4.5787,0.9978,44.54,1.0000,-1.0000,-3.0000,-3.0000
wavmark,3,chinese:SSB0005,0,0,dm,1,1.0000,-4.0000,-4.0000,4.5856,0.9977,44.53,1.0000,-1.0000,-3.0000,-3.0000
wavmark,3,chinese:SSB0005,0,0,tct,1,1.0000,-3.0000,-3.0000,4.5895,0.9975,44.95,1.0000,-1.0000,-3.0000,-3.0000
wavmark,3,chinese:SSB0005,0,0,payload_farthest,1,1.0000,-6.0000,-6.0000,4.5787,0.9978,44.54,1.0000,-1.0000,-3.0000,-3.0000
wavmark,3,chinese:SSB0005,1,1,single_copy,0,1.0000,-0.0000,1.0000,4.6439,1.0000,147.65,1.0000,-1.0000,-3.0000,-3.0000
wavmark,3,chinese:SSB0005,1,1,mean,1,1.0000,-1.0000,-1.0000,4.4767,0.9958,42.31,1.0000,-1.0000,-3.0000,-3.0000
wavmark,3,chinese:SSB0005,1,1,rp,1,1.0000,-4.0000,-4.0000,4.5043,0.9968,43.95,1.0000,-1.0000,-3.0000,-3.0000
wavmark,3,chinese:SSB0005,1,1,random_dirichlet,1,1.0000,-1.0000,-1.0000,4.5221,0.9967,43.25,1.0000,-1.0000,-3.0000,-3.0000
wavmark,3,chinese:SSB0005,1,1,eep,1,1.0000,-4.0000,-4.0000,4.5043,0.9968,43.95,1.0000,-1.0000,-3.0000,-3.0000
wavmark,3,chinese:SSB0005,1,1,fwp,1,1.0000,-4.0000,-4.0000,4.5043,0.9968,43.95,1.0000,-1.0000,-3.0000,-3.0000
wavmark,3,chinese:SSB0005,1,1,dm,1,1.0000,-3.0000,-3.0000,4.5259,0.9970,44.11,1.0000,-1.0000,-3.0000,-3.0000
wavmark,3,chinese:SSB0005,1,1,tct,1,1.0000,-3.0000,-3.0000,4.4727,0.9959,42.59,1.0000,-1.0000,-3.0000,-3.0000
wavmark,3,chinese:SSB0005,1,1,payload_farthest,1,1.0000,-4.0000,-4.0000,4.5043,0.9968,43.95,1.0000,-1.0000,-3.0000,-3.0000
wavmark,3,chinese:SSB0005,2,2,single_copy,0,1.0000,-0.0000,1.0000,4.6439,1.0000,147.65,0.8660,-1.0000,-3.0000,-3.0000
wavmark,3,chinese:SSB0005,2,2,mean,1,1.0000,-3.0000,-3.0000,4.5875,0.9973,45.59,0.8660,-1.0000,-3.0000,-3.0000
wavmark,3,chinese:SSB0005,2,2,rp,1,1.0000,-2.0000,-2.0000,4.5927,0.9979,45.99,0.8660,-1.0000,-3.0000,-3.0000
wavmark,3,chinese:SSB0005,2,2,random_dirichlet,0,1.0000,-0.0000,1.0000,4.5688,0.9969,44.47,0.8660,-1.0000,-3.0000,-3.0000
wavmark,3,chinese:SSB0005,2,2,eep,1,1.0000,-2.0000,-2.0000,4.5927,0.9979,45.99,0.8660,-1.0000,-3.0000,-3.0000
wavmark,3,chinese:SSB0005,2,2,fwp,1,1.0000,-2.0000,-2.0000,4.5927,0.9979,45.99,0.8660,-1.0000,-3.0000,-3.0000
wavmark,3,chinese:SSB0005,2,2,dm,1,1.0000,-3.0000,-3.0000,4.5903,0.9975,45.78,0.8660,-1.0000,-3.0000,-3.0000
wavmark,3,chinese:SSB0005,2,2,tct,1,1.0000,-3.0000,-3.0000,4.6112,0.9984,47.74,0.8660,-1.0000,-3.0000,-3.0000
wavmark,3,chinese:SSB0005,2,2,payload_farthest,1,1.0000,-2.0000,-2.0000,4.5927,0.9979,45.99,0.8660,-1.0000,-3.0000,-3.0000
wavmark,3,chinese:SSB0009,0,3,single_copy,0,1.0000,-0.0000,1.0000,4.6439,1.0000,145.16,0.5000,0.0000,-1.0000,-1.0000
wavmark,3,chinese:SSB0009,0,3,mean,1,1.0000,-2.0000,-2.0000,4.6051,0.9999,45.54,0.5000,0.0000,-1.0000,-1.0000
wavmark,3,chinese:SSB0009,0,3,rp,1,1.0000,-1.0000,-1.0000,4.6157,1.0000,46.51,0.5000,0.0000,-1.0000,-1.0000
wavmark,3,chinese:SSB0009,0,3,random_dirichlet,1,1.0000,-1.0000,-1.0000,4.5930,0.9999,44.42,0.5000,0.0000,-1.0000,-1.0000
wavmark,3,chinese:SSB0009,0,3,eep,1,1.0000,-1.0000,-1.0000,4.6157,1.0000,46.51,0.5000,0.0000,-1.0000,-1.0000
wavmark,3,chinese:SSB0009,0,3,fwp,1,1.0000,-1.0000,-1.0000,4.6157,1.0000,46.51,0.5000,0.0000,-1.0000,-1.0000
wavmark,3,chinese:SSB0009,0,3,dm,1,1.0000,-2.0000,-2.0000,4.6105,0.9999,46.26,0.5000,0.0000,-1.0000,-1.0000
wavmark,3,chinese:SSB0009,0,3,tct,1,1.0000,-1.0000,-1.0000,4.6014,0.9999,45.30,0.5000,0.0000,-1.0000,-1.0000
wavmark,3,chinese:SSB0009,0,3,payload_farthest,1,1.0000,-1.0000,-1.0000,4.6157,1.0000,46.51,0.5000,0.0000,-1.0000,-1.0000
wavmark,3,chinese:SSB0009,1,4,single_copy,0,1.0000,-0.0000,1.0000,4.6439,1.0000,145.16,1.0000,-0.9449,-1.0000,-1.0000
wavmark,3,chinese:SSB0009,1,4,mean,1,1.0000,-2.0000,-2.0000,4.5780,0.9999,42.05,1.0000,-0.9449,-1.0000,-1.0000
wavmark,3,chinese:SSB0009,1,4,rp,1,1.0000,-5.0000,-5.0000,4.5914,0.9999,43.17,1.0000,-0.9449,-1.0000,-1.0000
wavmark,3,chinese:SSB0009,1,4,random_dirichlet,0,1.0000,-0.0000,1.0000,4.5228,0.9998,39.38,1.0000,-0.9449,-1.0000,-1.0000
wavmark,3,chinese:SSB0009,1,4,eep,1,1.0000,-5.0000,-5.0000,4.5914,0.9999,43.17,1.0000,-0.9449,-1.0000,-1.0000
wavmark,3,chinese:SSB0009,1,4,fwp,1,1.0000,-5.0000,-5.0000,4.5914,0.9999,43.17,1.0000,-0.9449,-1.0000,-1.0000
wavmark,3,chinese:SSB0009,1,4,dm,1,1.0000,-3.0000,-3.0000,4.5915,0.9999,43.03,1.0000,-0.9449,-1.0000,-1.0000
wavmark,3,chinese:SSB0009,1,4,tct,1,1.0000,-1.0000,-1.0000,4.5805,0.9999,42.25,1.0000,-0.9449,-1.0000,-1.0000
wavmark,3,chinese:SSB0009,1,4,payload_farthest,1,1.0000,-5.0000,-5.0000,4.5914,0.9999,43.17,1.0000,-0.9449,-1.0000,-1.0000
wavmark,3,chinese:SSB0009,2,5,single_copy,0,1.0000,-0.0000,1.0000,4.6439,1.0000,145.16,0.8660,-1.0000,-3.0000,-3.0000
wavmark,3,chinese:SSB0009,2,5,mean,1,1.0000,-2.0000,-2.0000,4.5763,0.9999,41.79,0.8660,-1.0000,-3.0000,-3.0000
wavmark,3,chinese:SSB0009,2,5,rp,1,1.0000,-7.0000,-7.0000,4.5971,0.9999,42.85,0.8660,-1.0000,-3.0000,-3.0000
wavmark,3,chinese:SSB0009,2,5,random_dirichlet,1,1.0000,-2.0000,-2.0000,4.5118,0.9998,38.83,0.8660,-1.0000,-3.0000,-3.0000
wavmark,3,chinese:SSB0009,2,5,eep,1,1.0000,-4.0000,-4.0000,4.5087,0.9998,38.27,0.8660,-1.0000,-3.0000,-3.0000
wavmark,3,chinese:SSB0009,2,5,fwp,1,1.0000,-7.0000,-7.0000,4.5971,0.9999,42.85,0.8660,-1.0000,-3.0000,-3.0000
wavmark,3,chinese:SSB0009,2,5,dm,1,1.0000,-3.0000,-3.0000,4.5855,0.9999,42.21,0.8660,-1.0000,-3.0000,-3.0000
wavmark,3,chinese:SSB0009,2,5,tct,1,1.0000,-3.0000,-3.0000,4.5581,0.9999,40.18,0.8660,-1.0000,-3.0000,-3.0000
wavmark,3,chinese:SSB0009,2,5,payload_farthest,1,1.0000,-7.0000,-7.0000,4.5971,0.9999,42.85,0.8660,-1.0000,-3.0000,-3.0000
wavmark,3,chinese:SSB0011,0,6,single_copy,0,1.0000,-0.0000,1.0000,4.6439,1.0000,140.67,0.5000,-1.0000,-2.0000,-2.0000
wavmark,3,chinese:SSB0011,0,6,mean,1,1.0000,-2.0000,-2.0000,4.4135,0.9995,43.80,0.5000,-1.0000,-2.0000,-2.0000
wavmark,3,chinese:SSB0011,0,6,rp,1,1.0000,-1.0000,-1.0000,4.4849,0.9997,45.63,0.5000,-1.0000,-2.0000,-2.0000
wavmark,3,chinese:SSB0011,0,6,random_dirichlet,1,1.0000,-2.0000,-2.0000,4.3913,0.9995,43.22,0.5000,-1.0000,-2.0000,-2.0000
wavmark,3,chinese:SSB0011,0,6,eep,1,1.0000,-2.0000,-2.0000,4.4365,0.9996,44.42,0.5000,-1.0000,-2.0000,-2.0000
wavmark,3,chinese:SSB0011,0,6,fwp,1,1.0000,-2.0000,-2.0000,4.4365,0.9996,44.42,0.5000,-1.0000,-2.0000,-2.0000
wavmark,3,chinese:SSB0011,0,6,dm,1,1.0000,-2.0000,-2.0000,4.3994,0.9995,43.43,0.5000,-1.0000,-2.0000,-2.0000
wavmark,3,chinese:SSB0011,0,6,tct,1,1.0000,-2.0000,-2.0000,4.3730,0.9994,42.79,0.5000,-1.0000,-2.0000,-2.0000
wavmark,3,chinese:SSB0011,0,6,payload_farthest,1,1.0000,-4.0000,-4.0000,4.2413,0.9990,40.28,0.5000,-1.0000,-2.0000,-2.0000
wavmark,3,chinese:SSB0011,1,7,single_copy,0,1.0000,-0.0000,1.0000,4.6439,1.0000,140.67,1.0000,-0.9686,-3.0000,-3.0000
wavmark,3,chinese:SSB0011,1,7,mean,1,1.0000,-1.0000,-1.0000,4.5120,0.9995,43.62,1.0000,-0.9686,-3.0000,-3.0000
wavmark,3,chinese:SSB0011,1,7,rp,1,1.0000,-3.0000,-3.0000,4.5000,0.9995,43.49,1.0000,-0.9686,-3.0000,-3.0000
wavmark,3,chinese:SSB0011,1,7,random_dirichlet,0,1.0000,-0.0000,1.0000,4.3431,0.9988,39.74,1.0000,-0.9686,-3.0000,-3.0000
wavmark,3,chinese:SSB0011,1,7,eep,1,1.0000,-3.0000,-3.0000,4.5000,0.9995,43.49,1.0000,-0.9686,-3.0000,-3.0000
wavmark,3,chinese:SSB0011,1,7,fwp,1,1.0000,-3.0000,-3.0000,4.5000,0.9995,43.49,1.0000,-0.9686,-3.0000,-3.0000
wavmark,3,chinese:SSB0011,1,7,dm,1,1.0000,-3.0000,-3.0000,4.5000,0.9995,43.49,1.0000,-0.9686,-3.0000,-3.0000
wavmark,3,chinese:SSB0011,1,7,tct,1,1.0000,-3.0000,-3.0000,4.5211,0.9996,44.27,1.0000,-0.9686,-3.0000,-3.0000
wavmark,3,chinese:SSB0011,1,7,payload_farthest,1,1.0000,-3.0000,-3.0000,4.5000,0.9995,43.49,1.0000,-0.9686,-3.0000,-3.0000
wavmark,3,chinese:SSB0011,2,8,single_copy,0,1.0000,-0.0000,1.0000,4.6439,1.0000,140.67,1.0000,-0.9992,-3.0000,-3.0000
wavmark,3,chinese:SSB0011,2,8,mean,1,1.0000,-3.0000,-3.0000,4.5131,0.9996,43.35,1.0000,-0.9992,-3.0000,-3.0000
