model,K,spk,local_t,gi,method,ASR,presence,S_C,margin,PESQ,STOI,SI_SDR,rho_wave,rho_det,cb_margin,cb_shuf_margin
wmcodec,3,chinese:SSB0005,0,0,single_copy,1,,-7.5051,-7.4805,4.6439,1.0000,147.86,-0.5000,0.6775,-27.4014,-27.4014
wmcodec,3,chinese:SSB0005,0,0,mean,1,,-26.4748,-26.3083,4.4270,0.9886,18.92,-0.5000,0.6775,-27.4014,-27.4014
wmcodec,3,chinese:SSB0005,0,0,rp,1,,-25.4906,-25.0551,4.4198,0.9903,19.92,-0.5000,0.6775,-27.4014,-27.4014
wmcodec,3,chinese:SSB0005,0,0,random_dirichlet,1,,-13.0453,-12.8336,4.3319,0.9845,16.63,-0.5000,0.6775,-27.4014,-27.4014
wmcodec,3,chinese:SSB0005,0,0,eep,1,,-25.4906,-25.0551,4.4198,0.9903,19.92,-0.5000,0.6775,-27.4014,-27.4014
wmcodec,3,chinese:SSB0005,0,0,fwp,1,,-25.5946,-24.1107,4.2162,0.9784,15.26,-0.5000,0.6775,-27.4014,-27.4014
wmcodec,3,chinese:SSB0005,0,0,dm,1,,-27.0948,-26.9367,4.4166,0.9881,18.70,-0.5000,0.6775,-27.4014,-27.4014
wmcodec,3,chinese:SSB0005,0,0,tct,1,,-27.5486,-27.4014,4.4283,0.9889,19.15,-0.5000,0.6775,-27.4014,-27.4014
wmcodec,3,chinese:SSB0005,0,0,payload_farthest,1,,-18.2542,-17.9994,4.4858,0.9919,20.18,-0.5000,0.6775,-27.4014,-27.4014
wmcodec,3,chinese:SSB0005,1,1,single_copy,0,,-0.5566,0.4251,4.6439,1.0000,147.72,0.5000,-0.9061,-13.3985,-13.3985
wmcodec,3,chinese:SSB0005,1,1,mean,1,,-14.1746,-13.5483,4.3749,0.9883,17.54,0.5000,-0.9061,-13.3985,-13.3985
wmcodec,3,chinese:SSB0005,1,1,rp,1,,-24.7936,-23.9578,4.4610,0.9908,19.30,0.5000,-0.9061,-13.3985,-13.3985
wmcodec,3,chinese:SSB0005,1,1,random_dirichlet,1,,-9.0519,-8.9338,4.3747,0.9891,17.77,0.5000,-0.9061,-13.3985,-13.3985
wmcodec,3,chinese:SSB0005,1,1,eep,1,,-24.7936,-23.9578,4.4610,0.9908,19.30,0.5000,-0.9061,-13.3985,-13.3985
wmcodec,3,chinese:SSB0005,1,1,fwp,1,,-22.9928,-22.5460,4.4407,0.9910,18.93,0.5000,-0.9061,-13.3985,-13.3985
wmcodec,3,chinese:SSB0005,1,1,dm,1,,-19.0569,-18.3768,4.4121,0.9895,18.14,0.5000,-0.9061,-13.3985,-13.3985
wmcodec,3,chinese:SSB0005,1,1,tct,1,,-13.7907,-13.3985,4.3674,0.9890,18.02,0.5000,-0.9061,-13.3985,-13.3985
wmcodec,3,chinese:SSB0005,1,1,payload_farthest,1,,-24.7936,-23.9578,4.4610,0.9908,19.30,0.5000,-0.9061,-13.3985,-13.3985
wmcodec,3,chinese:SSB0005,2,2,single_copy,1,,-8.8200,-8.8135,4.6439,1.0000,147.48,0.0000,0.0919,-14.6769,-14.6769
wmcodec,3,chinese:SSB0005,2,2,mean,1,,-1.4375,-0.8129,4.1449,0.9865,17.54,0.0000,0.0919,-14.6769,-14.6769
wmcodec,3,chinese:SSB0005,2,2,rp,1,,-8.1121,-7.1998,4.2071,0.9893,18.79,0.0000,0.0919,-14.6769,-14.6769
wmcodec,3,chinese:SSB0005,2,2,random_dirichlet,0,,-0.2004,1.5584,4.0412,0.9840,16.19,0.0000,0.0919,-14.6769,-14.6769
wmcodec,3,chinese:SSB0005,2,2,eep,1,,-8.1121,-7.1998,4.2071,0.9893,18.79,0.0000,0.0919,-14.6769,-14.6769
wmcodec,3,chinese:SSB0005,2,2,fwp,1,,-8.1121,-7.1998,4.2071,0.9893,18.79,0.0000,0.0919,-14.6769,-14.6769
wmcodec,3,chinese:SSB0005,2,2,dm,1,,-5.4379,-4.1260,4.1662,0.9873,17.98,0.0000,0.0919,-14.6769,-14.6769
wmcodec,3,chinese:SSB0005,2,2,tct,1,,-15.6778,-14.6769,4.2352,0.9906,19.90,0.0000,0.0919,-14.6769,-14.6769
