model,K,spk,local_t,gi,target,method,d_hull,target_hit,target_margin
audioseal,3,chinese:SSB0005,0,0,40222,mean,0.948683,0,-3.222949
audioseal,3,chinese:SSB0005,0,0,40222,tct,0.948683,0,-1.446690
audioseal,3,chinese:SSB0005,0,0,59921,mean,0.960769,0,-11.427852
audioseal,3,chinese:SSB0005,0,0,59921,tct,0.960769,0,-6.407739
audioseal,3,chinese:SSB0005,0,0,38764,mean,1.195229,0,-4.126171
audioseal,3,chinese:SSB0005,0,0,38764,tct,1.195229,0,-3.430150
audioseal,3,chinese:SSB0005,0,0,21884,mean,1.195229,0,-3.717486
audioseal,3,chinese:SSB0005,0,0,21884,tct,1.195229,0,-2.337356
audioseal,3,chinese:SSB0005,0,0,21870,mean,1.195229,0,-1.841695
audioseal,3,chinese:SSB0005,0,0,21870,tct,1.195229,0,-0.267224
audioseal,3,chinese:SSB0005,0,0,59991,mean,1.255292,0,-8.012658
audioseal,3,chinese:SSB0005,0,0,59991,tct,1.255292,0,-4.212158
audioseal,3,chinese:SSB0005,0,0,44382,mean,1.264911,0,-4.568818
audioseal,3,chinese:SSB0005,0,0,44382,tct,1.264911,0,-2.547124
audioseal,3,chinese:SSB0005,0,0,27153,mean,1.300887,0,-12.081651
audioseal,3,chinese:SSB0005,0,0,27153,tct,1.300887,0,-7.567849
audioseal,3,chinese:SSB0005,0,0,18280,mean,1.300887,0,-5.828940
audioseal,3,chinese:SSB0005,0,0,18280,tct,1.300887,0,-3.189528
audioseal,3,chinese:SSB0005,0,0,8014,mean,1.308480,0,-2.509922
audioseal,3,chinese:SSB0005,0,0,8014,tct,1.308480,0,-2.100792
audioseal,3,chinese:SSB0005,1,1,3138,mean,1.242118,0,-7.405700
audioseal,3,chinese:SSB0005,1,1,3138,tct,1.242118,0,-5.431392
audioseal,3,chinese:SSB0005,1,1,9443,mean,1.247219,0,-6.599594
audioseal,3,chinese:SSB0005,1,1,9443,tct,1.247219,0,-5.433356
audioseal,3,chinese:SSB0005,1,1,11427,mean,1.247219,0,-6.258956
audioseal,3,chinese:SSB0005,1,1,11427,tct,1.247219,0,-5.100027
audioseal,3,chinese:SSB0005,1,1,30053,mean,1.279204,0,-5.492546
audioseal,3,chinese:SSB0005,1,1,30053,tct,1.279204,0,-4.289941
audioseal,3,chinese:SSB0005,1,1,28963,mean,1.279204,0,-3.331640
audioseal,3,chinese:SSB0005,1,1,28963,tct,1.279204,0,-2.332928
audioseal,3,chinese:SSB0005,1,1,18497,mean,1.279204,0,-6.894784
audioseal,3,chinese:SSB0005,1,1,18497,tct,1.279204,0,-5.839469
audioseal,3,chinese:SSB0005,1,1,2064,mean,1.373213,0,-7.206228
audioseal,3,chinese:SSB0005,1,1,2064,tct,1.373213,0,-4.365926
audioseal,3,chinese:SSB0005,1,1,41127,mean,1.374369,0,-3.990337
audioseal,3,chinese:SSB0005,1,1,41127,tct,1.374369,0,-3.280076
audioseal,3,chinese:SSB0005,1,1,69,mean,1.404076,0,-4.034202
audioseal,3,chinese:SSB0005,1,1,69,tct,1.404076,0,-2.014327
audioseal,3,chinese:SSB0005,1,1,9280,mean,1.404076,0,-6.400179
audioseal,3,chinese:SSB0005,1,1,9280,tct,1.404076,0,-4.148324
audioseal,3,chinese:SSB0005,2,2,15881,mean,1.086042,0,-1.165289
audioseal,3,chinese:SSB0005,2,2,15881,tct,1.086042,0,-1.059011
audioseal,3,chinese:SSB0005,2,2,11787,mean,1.086042,0,-1.403388
audioseal,3,chinese:SSB0005,2,2,11787,tct,1.086042,0,-0.841993
audioseal,3,chinese:SSB0005,2,2,11403,mean,1.154701,0,-2.246149
audioseal,3,chinese:SSB0005,2,2,11403,tct,1.154701,0,-2.121335
audioseal,3,chinese:SSB0005,2,2,43521,mean,1.176697,0,-2.252643
audioseal,3,chinese:SSB0005,2,2,43521,tct,1.176697,0,-0.801791
audioseal,3,chinese:SSB0005,2,2,43555,mean,1.224745,0,-4.339110
audioseal,3,chinese:SSB0005,2,2,43555,tct,1.224745,0,-2.765679
audioseal,3,chinese:SSB0005,2,2,51753,mean,1.224745,0,-3.997921
audioseal,3,chinese:SSB0005,2,2,51753,tct,1.224745,0,-2.712984
audioseal,3,chinese:SSB0005,2,2,59393,mean,1.224745,0,-2.634892
audioseal,3,chinese:SSB0005,2,2,59393,tct,1.224745,0,-0.490882
audioseal,3,chinese:SSB0005,2,2,10753,mean,1.270978,0,-1.571821
audioseal,3,chinese:SSB0005,2,2,10753,tct,1.270978,0,-1.575365
