model,K,spk,local_t,gi,target,method,d_hull,target_hit,target_margin
timbrewm,8,chinese:SSB0005,0,0,750,mean,0.654654,1,0.101102
timbrewm,8,chinese:SSB0005,0,0,750,tct,0.654654,1,0.179219
timbrewm,8,chinese:SSB0005,0,0,876,mean,0.707107,0,-0.600813
timbrewm,8,chinese:SSB0005,0,0,876,tct,0.707107,0,-0.091053
timbrewm,8,chinese:SSB0005,0,0,878,mean,0.735980,0,-0.499711
timbrewm,8,chinese:SSB0005,0,0,878,tct,0.735980,1,0.083486
timbrewm,8,chinese:SSB0005,0,0,812,mean,0.735980,0,-0.729727
timbrewm,8,chinese:SSB0005,0,0,812,tct,0.735980,0,-0.038998
timbrewm,8,chinese:SSB0005,0,0,638,mean,0.738549,0,-0.905018
timbrewm,8,chinese:SSB0005,0,0,638,tct,0.738549,0,-0.076053
timbrewm,8,chinese:SSB0005,0,0,1004,mean,0.738549,0,-0.288471
timbrewm,8,chinese:SSB0005,0,0,1004,tct,0.738549,1,0.174483
timbrewm,8,chinese:SSB0005,0,0,751,mean,0.750000,0,-0.323237
timbrewm,8,chinese:SSB0005,0,0,751,tct,0.750000,1,0.206777
timbrewm,8,chinese:SSB0005,0,0,718,mean,0.750000,0,-0.589953
timbrewm,8,chinese:SSB0005,0,0,718,tct,0.750000,1,0.106505
timbrewm,8,chinese:SSB0005,0,0,942,mean,0.762001,0,-0.316283
timbrewm,8,chinese:SSB0005,0,0,942,tct,0.762001,0,-0.160333
timbrewm,8,chinese:SSB0005,0,0,684,mean,0.763763,0,-0.230016
timbrewm,8,chinese:SSB0005,0,0,684,tct,0.763763,1,0.002460
timbrewm,8,chinese:SSB0005,1,1,723,mean,0.666667,0,-0.346275
timbrewm,8,chinese:SSB0005,1,1,723,tct,0.666667,0,-0.017316
timbrewm,8,chinese:SSB0005,1,1,219,mean,0.707107,0,-0.437383
timbrewm,8,chinese:SSB0005,1,1,219,tct,0.707107,1,0.044946
timbrewm,8,chinese:SSB0005,1,1,210,mean,0.726844,0,-0.023275
timbrewm,8,chinese:SSB0005,1,1,210,tct,0.726844,1,0.070129
timbrewm,8,chinese:SSB0005,1,1,402,mean,0.730297,0,-0.515911
timbrewm,8,chinese:SSB0005,1,1,402,tct,0.730297,0,-0.180632
timbrewm,8,chinese:SSB0005,1,1,274,mean,0.737210,0,-1.108512
timbrewm,8,chinese:SSB0005,1,1,274,tct,0.737210,0,-0.020063
timbrewm,8,chinese:SSB0005,1,1,467,mean,0.738549,0,-0.527522
timbrewm,8,chinese:SSB0005,1,1,467,tct,0.738549,1,0.061018
timbrewm,8,chinese:SSB0005,1,1,339,mean,0.738549,0,-1.120123
timbrewm,8,chinese:SSB0005,1,1,339,tct,0.738549,1,0.137259
timbrewm,8,chinese:SSB0005,1,1,746,mean,0.738549,0,-1.125380
timbrewm,8,chinese:SSB0005,1,1,746,tct,0.738549,1,0.059199
timbrewm,8,chinese:SSB0005,1,1,912,mean,0.738549,0,-0.802692
timbrewm,8,chinese:SSB0005,1,1,912,tct,0.738549,1,0.024564
timbrewm,8,chinese:SSB0005,1,1,914,mean,0.752355,0,-0.492636
timbrewm,8,chinese:SSB0005,1,1,914,tct,0.752355,1,0.073736
timbrewm,8,chinese:SSB0005,2,2,209,mean,0.632456,0,-0.697258
timbrewm,8,chinese:SSB0005,2,2,209,tct,0.632456,1,0.211789
timbrewm,8,chinese:SSB0005,2,2,467,mean,0.638285,0,-0.429084
timbrewm,8,chinese:SSB0005,2,2,467,tct,0.638285,1,0.017649
timbrewm,8,chinese:SSB0005,2,2,958,mean,0.707107,0,-0.635095
timbrewm,8,chinese:SSB0005,2,2,958,tct,0.707107,1,0.114223
timbrewm,8,chinese:SSB0005,2,2,697,mean,0.738549,0,-0.422420
timbrewm,8,chinese:SSB0005,2,2,697,tct,0.738549,1,0.036119
timbrewm,8,chinese:SSB0005,2,2,497,mean,0.755929,0,-0.113499
timbrewm,8,chinese:SSB0005,2,2,497,tct,0.755929,1,0.075395
timbrewm,8,chinese:SSB0005,2,2,243,mean,0.755929,0,-0.311375
timbrewm,8,chinese:SSB0005,2,2,243,tct,0.755929,1,0.095224
timbrewm,8,chinese:SSB0005,2,2,251,mean,0.755929,0,-0.328566
timbrewm,8,chinese:SSB0005,2,2,251,tct,0.755929,0,-0.190622
