model,K,spk,local_t,gi,target,method,d_hull,target_hit,target_margin
voicemark,3,chinese:SSB0005,0,0,40222,mean,0.948683,0,-13.738475
voicemark,3,chinese:SSB0005,0,0,40222,tct,0.948683,0,-10.300226
voicemark,3,chinese:SSB0005,0,0,59921,mean,0.960769,0,-18.820982
voicemark,3,chinese:SSB0005,0,0,59921,tct,0.960769,0,-20.452785
voicemark,3,chinese:SSB0005,0,0,38764,mean,1.195229,0,-6.348077
voicemark,3,chinese:SSB0005,0,0,38764,tct,1.195229,0,-19.623961
voicemark,3,chinese:SSB0005,0,0,21884,mean,1.195229,0,-31.768550
voicemark,3,chinese:SSB0005,0,0,21884,tct,1.195229,0,-46.540488
voicemark,3,chinese:SSB0005,0,0,21870,mean,1.195229,0,-26.138721
voicemark,3,chinese:SSB0005,0,0,21870,tct,1.195229,0,-32.992411
voicemark,3,chinese:SSB0005,0,0,59991,mean,1.255292,0,-26.915159
voicemark,3,chinese:SSB0005,0,0,59991,tct,1.255292,0,-30.792988
voicemark,3,chinese:SSB0005,0,0,44382,mean,1.264911,0,-39.337632
voicemark,3,chinese:SSB0005,0,0,44382,tct,1.264911,0,-32.901902
voicemark,3,chinese:SSB0005,0,0,27153,mean,1.300887,0,-29.554508
voicemark,3,chinese:SSB0005,0,0,27153,tct,1.300887,0,-36.065720
voicemark,3,chinese:SSB0005,0,0,18280,mean,1.300887,0,-32.143018
voicemark,3,chinese:SSB0005,0,0,18280,tct,1.300887,0,-30.887737
voicemark,3,chinese:SSB0005,0,0,8014,mean,1.308480,0,-38.556959
voicemark,3,chinese:SSB0005,0,0,8014,tct,1.308480,0,-39.135131
voicemark,3,chinese:SSB0005,1,1,3138,mean,1.242118,0,-40.325310
voicemark,3,chinese:SSB0005,1,1,3138,tct,1.242118,0,-20.070681
voicemark,3,chinese:SSB0005,1,1,9443,mean,1.247219,0,-56.238500
voicemark,3,chinese:SSB0005,1,1,9443,tct,1.247219,0,-41.871622
voicemark,3,chinese:SSB0005,1,1,11427,mean,1.247219,0,-36.991034
voicemark,3,chinese:SSB0005,1,1,11427,tct,1.247219,0,-30.690108
voicemark,3,chinese:SSB0005,1,1,30053,mean,1.279204,0,-37.252210
voicemark,3,chinese:SSB0005,1,1,30053,tct,1.279204,0,-27.371748
voicemark,3,chinese:SSB0005,1,1,28963,mean,1.279204,0,-37.831278
voicemark,3,chinese:SSB0005,1,1,28963,tct,1.279204,0,-33.800670
voicemark,3,chinese:SSB0005,1,1,18497,mean,1.279204,0,-53.234901
voicemark,3,chinese:SSB0005,1,1,18497,tct,1.279204,0,-40.449274
voicemark,3,chinese:SSB0005,1,1,2064,mean,1.373213,0,-59.552977
voicemark,3,chinese:SSB0005,1,1,2064,tct,1.373213,0,-24.262652
voicemark,3,chinese:SSB0005,1,1,41127,mean,1.374369,0,-50.681007
voicemark,3,chinese:SSB0005,1,1,41127,tct,1.374369,0,-42.636468
voicemark,3,chinese:SSB0005,1,1,69,mean,1.404076,0,-64.630849
voicemark,3,chinese:SSB0005,1,1,69,tct,1.404076,0,-42.605504
voicemark,3,chinese:SSB0005,1,1,9280,mean,1.404076,0,-46.863788
voicemark,3,chinese:SSB0005,1,1,9280,tct,1.404076,0,-12.637127
