model,K,spk,local_t,clip_index,source_path,source_exact_count,source_payload_attempts,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
audioseal,3,chinese:SSB0005,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,3,3,0,mean,1,1,1,15,0.9375,0.222222,4.6047,0.9996,39.98
audioseal,3,chinese:SSB0005,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,3,3,1,mean,1,1,1,15,0.9375,0.333333,4.6116,0.9997,37.94
audioseal,3,chinese:SSB0005,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,3,3,2,mean,1,1,1,14,0.8750,0.388889,4.5990,0.9995,35.66
audioseal,3,chinese:SSB0009,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_01.wav,3,3,3,mean,1,1,0,15,0.9375,0.611111,4.6076,0.9999,40.00
audioseal,3,chinese:SSB0009,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_02.wav,3,3,4,mean,1,1,1,13,0.8125,0.333333,4.5925,0.9996,31.98
audioseal,3,chinese:SSB0009,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_03.wav,3,3,5,mean,1,1,1,10,0.6250,0.111111,4.5943,0.9997,34.14
audioseal,3,chinese:SSB0011,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_01.wav,3,3,6,mean,1,1,1,13,0.8125,0.388889,4.5873,0.9994,35.48
audioseal,3,chinese:SSB0011,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_02.wav,3,3,7,mean,1,1,1,14,0.8750,0.444444,4.5762,0.9989,35.50
audioseal,3,chinese:SSB0011,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_03.wav,3,3,8,mean,1,1,1,10,0.6250,0.111111,4.5770,0.9989,32.07
audioseal,3,chinese:SSB0012,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_01.wav,3,3,9,mean,1,1,1,13,0.8125,0.388889,4.6108,0.9996,34.95
audioseal,3,chinese:SSB0012,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_02.wav,3,3,10,mean,1,1,1,13,0.8125,0.333333,4.6035,0.9998,36.04
audioseal,3,chinese:SSB0012,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_03.wav,3,3,11,mean,1,1,1,11,0.6875,0.222222,4.5992,0.9998,34.08
audioseal,3,chinese:SSB0016,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_01.wav,3,3,12,mean,1,1,1,14,0.8750,0.500000,4.5611,0.9985,32.00
audioseal,3,chinese:SSB0016,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_02.wav,3,3,13,mean,0,0,0,16,1.0000,0.444444,4.5900,0.9994,33.20
audioseal,3,chinese:SSB0016,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_03.wav,3,3,14,mean,1,1,1,13,0.8125,0.333333,4.5615,0.9980,34.23
audioseal,3,chinese:SSB0018,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_01.wav,3,3,15,mean,1,1,1,13,0.8125,0.277778,4.5948,0.9997,34.62
audioseal,3,chinese:SSB0018,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_02.wav,3,3,16,mean,1,1,1,13,0.8125,0.500000,4.6257,0.9997,37.81
audioseal,3,chinese:SSB0018,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_03.wav,3,3,17,mean,1,1,1,13,0.8125,0.444444,4.5998,0.9998,39.07
audioseal,3,chinese:SSB0033,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_01.wav,3,3,18,mean,1,1,1,11,0.6875,0.166667,4.5923,0.9996,39.84
audioseal,3,chinese:SSB0033,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_02.wav,3,3,19,mean,1,0,0,15,0.9375,0.611111,4.6162,0.9998,42.36
audioseal,3,chinese:SSB0033,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_03.wav,3,3,20,mean,1,1,1,13,0.8125,0.444444,4.6026,0.9998,38.79
audioseal,3,chinese:SSB0038,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_01.wav,3,3,21,mean,1,1,1,14,0.8750,0.333333,4.5991,0.9991,36.75
audioseal,3,chinese:SSB0038,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_02.wav,3,3,22,mean,1,1,1,13,0.8125,0.222222,4.5806,0.9992,34.23
audioseal,3,chinese:SSB0038,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_03.wav,3,3,23,mean,1,1,1,13,0.8125,0.222222,4.5831,0.9990,34.98
audioseal,3,chinese:SSB0043,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_01.wav,3,3,24,mean,1,1,1,15,0.9375,0.388889,4.5768,0.9993,34.51
audioseal,3,chinese:SSB0043,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_02.wav,3,3,25,mean,1,1,1,12,0.7500,0.333333,4.5647,0.9994,32.95
audioseal,3,chinese:SSB0043,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_03.wav,3,3,26,mean,1,1,1,14,0.8750,0.222222,4.5619,0.9993,34.40
audioseal,3,chinese:SSB0057,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_01.wav,3,3,27,mean,1,1,1,12,0.7500,0.166667,4.5992,0.9988,37.51
audioseal,3,chinese:SSB0057,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_02.wav,3,3,28,mean,1,1,1,13,0.8125,0.444444,4.6214,0.9999,40.86
audioseal,3,chinese:SSB0057,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_03.wav,3,3,29,mean,1,1,1,14,0.8750,0.333333,4.6042,0.9994,36.53
audioseal,3,chinese:SSB0073,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_01.wav,3,3,30,mean,1,0,0,15,0.9375,0.333333,4.5867,0.9997,30.67
audioseal,3,chinese:SSB0073,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_02.wav,3,3,31,mean,1,1,1,12,0.7500,0.277778,4.5931,0.9995,34.87
audioseal,3,chinese:SSB0073,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_03.wav,3,3,32,mean,1,1,1,14,0.8750,0.444444,4.6078,0.9998,33.86
audioseal,3,chinese:SSB0080,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_01.wav,3,3,33,mean,1,1,1,14,0.8750,0.444444,4.5994,0.9992,35.83
audioseal,3,chinese:SSB0080,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_02.wav,3,3,34,mean,1,1,1,12,0.7500,0.277778,4.5940,0.9982,32.44
audioseal,3,chinese:SSB0080,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_03.wav,3,3,35,mean,1,1,1,13,0.8125,0.333333,4.5967,0.9993,32.64
audioseal,3,chinese:SSB0112,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0112/chinese_SSB0112_01.wav,3,3,36,mean,1,1,1,14,0.8750,0.277778,4.5277,0.9991,27.92
audioseal,3,chinese:SSB0112,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0112/chinese_SSB0112_02.wav,3,3,37,mean,1,1,1,14,0.8750,0.333333,4.5525,0.9996,29.51
audioseal,3,chinese:SSB0112,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0112/chinese_SSB0112_03.wav,3,3,38,mean,1,1,1,12,0.7500,0.277778,4.5647,0.9989,29.44
audioseal,3,chinese:SSB0122,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0122/chinese_SSB0122_01.wav,3,3,39,mean,1,0,0,15,0.9375,0.500000,4.6195,0.9999,41.91
audioseal,3,chinese:SSB0122,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0122/chinese_SSB0122_02.wav,3,3,40,mean,1,1,1,13,0.8125,0.277778,4.5788,0.9999,34.98
