model,K,spk,local_t,clip_index,source_path,source_exact_count,source_payload_attempts,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
timbrewm,5,chinese:SSB0005,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,5,5,0,mean,1,0,0,9,0.9000,0.232000,4.5509,0.9973,34.17
timbrewm,5,chinese:SSB0005,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,5,5,1,mean,1,0,0,9,0.9000,0.168000,4.5354,0.9966,32.71
timbrewm,5,chinese:SSB0005,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,5,5,2,mean,1,1,0,9,0.9000,0.200000,4.5776,0.9967,33.31
timbrewm,5,chinese:SSB0009,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_01.wav,5,5,3,mean,1,1,1,9,0.9000,0.136000,4.5785,0.9981,29.76
timbrewm,5,chinese:SSB0009,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_02.wav,5,5,4,mean,1,0,0,9,0.9000,0.264000,4.5637,0.9981,31.00
timbrewm,5,chinese:SSB0009,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_03.wav,5,5,5,mean,1,0,0,9,0.9000,0.264000,4.4407,0.9974,29.29
timbrewm,5,chinese:SSB0011,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_01.wav,5,5,6,mean,0,0,0,10,1.0000,0.200000,4.5540,0.9979,34.03
timbrewm,5,chinese:SSB0011,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_02.wav,5,5,7,mean,1,1,1,8,0.8000,0.136000,4.5169,0.9938,30.83
timbrewm,5,chinese:SSB0011,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_03.wav,5,5,8,mean,1,1,1,8,0.8000,0.296000,4.5304,0.9958,31.96
timbrewm,5,chinese:SSB0012,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_01.wav,5,5,9,mean,1,1,1,9,0.9000,0.328000,4.4305,0.9970,32.68
