model,K,spk,local_t,clip_index,source_path,source_exact_count,source_payload_attempts,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
voicemark,3,chinese:SSB0005,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,3,3,0,mean,1,1,1,12,0.7500,0.222222,4.1289,0.9805,16.24
voicemark,3,chinese:SSB0005,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,3,3,1,mean,1,1,1,12,0.7500,0.333333,3.8733,0.9758,17.74
voicemark,3,chinese:SSB0005,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,3,3,2,mean,1,1,1,13,0.8125,0.388889,4.0730,0.9757,13.84
voicemark,3,chinese:SSB0009,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_01.wav,3,4,3,mean,1,1,1,12,0.7500,0.500000,4.0450,0.9697,13.96
voicemark,3,chinese:SSB0009,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_02.wav,3,3,4,mean,1,1,1,12,0.7500,0.333333,3.9717,0.9755,13.37
voicemark,3,chinese:SSB0009,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_03.wav,3,3,5,mean,1,1,1,12,0.7500,0.111111,4.2123,0.9759,11.57
voicemark,3,chinese:SSB0011,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_01.wav,3,3,6,mean,1,1,1,12,0.7500,0.388889,4.4754,0.9869,19.25
voicemark,3,chinese:SSB0011,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_02.wav,3,4,7,mean,1,1,1,10,0.6250,0.166667,4.1957,0.9744,17.68
voicemark,3,chinese:SSB0011,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_03.wav,3,3,8,mean,1,1,1,9,0.5625,0.111111,3.7929,0.9593,14.59
voicemark,3,chinese:SSB0012,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_01.wav,3,4,9,mean,1,1,1,14,0.8750,0.222222,3.9499,0.9619,13.10
voicemark,3,chinese:SSB0012,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_02.wav,3,3,10,mean,1,1,1,10,0.6250,0.333333,3.9408,0.9688,13.60
voicemark,3,chinese:SSB0012,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_03.wav,3,3,11,mean,1,1,1,12,0.7500,0.222222,4.0692,0.9740,14.82
voicemark,3,chinese:SSB0016,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_01.wav,3,3,12,mean,1,1,1,11,0.6875,0.500000,4.2086,0.9620,15.87
voicemark,3,chinese:SSB0016,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_02.wav,3,3,13,mean,1,1,1,10,0.6250,0.444444,3.9479,0.9619,16.71
voicemark,3,chinese:SSB0016,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_03.wav,3,4,14,mean,1,1,1,9,0.5625,0.333333,4.3839,0.9749,19.87
voicemark,3,chinese:SSB0018,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_01.wav,3,4,15,mean,1,1,1,11,0.6875,0.333333,4.2580,0.9806,16.35
voicemark,3,chinese:SSB0018,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_02.wav,3,3,16,mean,1,1,0,9,0.5625,0.500000,4.3644,0.9831,17.92
voicemark,3,chinese:SSB0018,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_03.wav,3,3,17,mean,1,1,1,9,0.5625,0.444444,4.4264,0.9845,18.28
voicemark,3,chinese:SSB0033,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_01.wav,3,3,18,mean,1,1,1,12,0.7500,0.166667,4.2943,0.9816,20.55
voicemark,3,chinese:SSB0033,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_02.wav,3,3,19,mean,1,1,1,13,0.8125,0.611111,4.2748,0.9850,22.01
voicemark,3,chinese:SSB0033,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_03.wav,3,3,20,mean,1,1,1,11,0.6875,0.444444,4.4510,0.9885,20.74
voicemark,3,chinese:SSB0038,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_01.wav,3,3,21,mean,1,0,0,14,0.8750,0.333333,3.8750,0.9725,16.82
voicemark,3,chinese:SSB0038,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_02.wav,3,3,22,mean,1,1,1,11,0.6875,0.222222,4.2866,0.9847,18.90
voicemark,3,chinese:SSB0038,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_03.wav,3,3,23,mean,1,1,1,9,0.5625,0.222222,4.1814,0.9782,17.64
voicemark,3,chinese:SSB0043,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_01.wav,3,3,24,mean,1,1,1,10,0.6250,0.388889,4.0358,0.9689,15.69
voicemark,3,chinese:SSB0043,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_02.wav,3,3,25,mean,1,1,1,13,0.8125,0.333333,3.6678,0.9632,16.81
voicemark,3,chinese:SSB0043,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_03.wav,3,3,26,mean,1,1,1,13,0.8125,0.222222,4.2764,0.9688,18.33
voicemark,3,chinese:SSB0057,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_01.wav,3,3,27,mean,1,1,0,13,0.8125,0.166667,4.4178,0.9817,18.09
voicemark,3,chinese:SSB0057,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_02.wav,3,3,28,mean,1,1,1,12,0.7500,0.444444,4.3251,0.9872,17.78
voicemark,3,chinese:SSB0057,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_03.wav,3,5,29,mean,1,1,1,14,0.8750,0.500000,4.0512,0.9774,16.40
voicemark,3,chinese:SSB0073,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_01.wav,3,3,30,mean,1,1,1,13,0.8125,0.333333,3.8856,0.9697,12.59
voicemark,3,chinese:SSB0073,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_02.wav,3,3,31,mean,1,1,1,12,0.7500,0.277778,3.9769,0.9737,15.50
voicemark,3,chinese:SSB0073,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_03.wav,3,3,32,mean,1,1,1,10,0.6250,0.444444,3.9610,0.9642,12.66
voicemark,3,chinese:SSB0080,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_01.wav,3,3,33,mean,1,1,1,12,0.7500,0.444444,4.2126,0.9761,13.31
voicemark,3,chinese:SSB0080,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_02.wav,3,3,34,mean,1,1,1,12,0.7500,0.277778,4.2707,0.9658,16.94
voicemark,3,chinese:SSB0080,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_03.wav,3,4,35,mean,1,1,1,10,0.6250,0.333333,4.1990,0.9800,14.53
voicemark,3,chinese:SSB0112,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0112/chinese_SSB0112_01.wav,3,3,36,mean,1,1,1,14,0.8750,0.277778,4.1399,0.9694,13.74
voicemark,3,chinese:SSB0112,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0112/chinese_SSB0112_02.wav,3,3,37,mean,1,1,1,12,0.7500,0.333333,4.2031,0.9768,13.80
voicemark,3,chinese:SSB0112,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0112/chinese_SSB0112_03.wav,3,3,38,mean,1,1,1,11,0.6875,0.277778,4.2047,0.9758,15.43
voicemark,3,chinese:SSB0122,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0122/chinese_SSB0122_01.wav,3,3,39,mean,1,1,0,14,0.8750,0.500000,4.3574,0.9888,18.65
voicemark,3,chinese:SSB0122,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0122/chinese_SSB0122_02.wav,3,3,40,mean,1,1,1,10,0.6250,0.277778,4.3567,0.9812,16.25
voicemark,3,chinese:SSB0122,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0122/chinese_SSB0122_03.wav,3,4,41,mean,1,1,1,12,0.7500,0.333333,4.4381,0.9864,17.35
voicemark,3,chinese:SSB0133,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0133/chinese_SSB0133_01.wav,3,3,42,mean,1,1,1,13,0.8125,0.222222,3.4718,0.9600,16.28
voicemark,3,chinese:SSB0133,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0133/chinese_SSB0133_02.wav,3,3,43,mean,1,1,1,11,0.6875,0.500000,4.2649,0.9797,17.22
voicemark,3,chinese:SSB0133,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0133/chinese_SSB0133_03.wav,3,3,44,mean,1,1,1,12,0.7500,0.222222,4.1907,0.9820,19.86
voicemark,3,chinese:SSB0139,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0139/chinese_SSB0139_01.wav,3,3,45,mean,1,1,1,14,0.8750,0.444444,3.9957,0.9720,15.83
voicemark,3,chinese:SSB0139,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0139/chinese_SSB0139_02.wav,3,3,46,mean,1,1,1,12,0.7500,0.333333,4.3984,0.9855,17.94
voicemark,3,chinese:SSB0139,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0139/chinese_SSB0139_03.wav,3,3,47,mean,1,1,1,12,0.7500,0.333333,4.3028,0.9799,13.32
voicemark,3,chinese:SSB0145,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0145/chinese_SSB0145_01.wav,3,3,48,mean,1,1,1,11,0.6875,0.444444,4.3134,0.9783,15.64
voicemark,3,chinese:SSB0145,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0145/chinese_SSB0145_02.wav,3,4,49,mean,1,1,1,12,0.7500,0.444444,4.3183,0.9790,15.86
voicemark,3,chinese:SSB0145,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0145/chinese_SSB0145_03.wav,3,4,50,mean,1,1,1,9,0.5625,0.277778,4.4024,0.9851,14.63
voicemark,3,chinese:SSB0149,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0149/chinese_SSB0149_01.wav,3,3,51,mean,1,1,1,11,0.6875,0.388889,4.0485,0.9681,12.22
voicemark,3,chinese:SSB0149,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0149/chinese_SSB0149_02.wav,3,3,52,mean,1,1,1,13,0.8125,0.388889,3.9329,0.9793,15.83
voicemark,3,chinese:SSB0149,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0149/chinese_SSB0149_03.wav,3,3,53,mean,1,1,1,10,0.6250,0.388889,3.9936,0.9745,11.49
voicemark,3,chinese:SSB0193,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0193/chinese_SSB0193_01.wav,3,3,54,mean,1,0,0,13,0.8125,0.222222,3.6891,0.9810,14.46
voicemark,3,chinese:SSB0193,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0193/chinese_SSB0193_02.wav,3,3,55,mean,1,1,1,13,0.8125,0.277778,4.2614,0.9717,15.28
voicemark,3,chinese:SSB0193,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0193/chinese_SSB0193_03.wav,3,3,56,mean,1,1,1,14,0.8750,0.444444,3.9371,0.9785,13.58
voicemark,3,chinese:SSB0197,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0197/chinese_SSB0197_01.wav,3,4,57,mean,1,1,1,9,0.5625,0.500000,4.2728,0.9785,19.09
voicemark,3,chinese:SSB0197,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0197/chinese_SSB0197_02.wav,3,3,58,mean,1,1,1,14,0.8750,0.500000,4.3582,0.9685,19.15
voicemark,3,chinese:SSB0197,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0197/chinese_SSB0197_03.wav,3,3,59,mean,1,1,1,11,0.6875,0.388889,4.0705,0.9679,17.39
voicemark,3,chinese:SSB0200,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0200/chinese_SSB0200_01.wav,3,3,60,mean,1,1,1,13,0.8125,0.555556,4.1653,0.9759,17.36
voicemark,3,chinese:SSB0200,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0200/chinese_SSB0200_02.wav,3,4,61,mean,1,1,1,10,0.6250,0.388889,4.3608,0.9714,15.53
voicemark,3,chinese:SSB0200,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0200/chinese_SSB0200_03.wav,3,3,62,mean,1,1,1,14,0.8750,0.444444,4.0646,0.9489,14.52
voicemark,3,chinese:SSB0241,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0241/chinese_SSB0241_01.wav,3,3,63,mean,1,1,1,13,0.8125,0.500000,4.0771,0.9781,19.28
voicemark,3,chinese:SSB0241,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0241/chinese_SSB0241_02.wav,3,3,64,mean,1,1,1,13,0.8125,0.166667,3.8442,0.9722,11.41
voicemark,3,chinese:SSB0241,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0241/chinese_SSB0241_03.wav,3,3,65,mean,1,1,1,14,0.8750,0.555556,4.0855,0.9745,10.37
voicemark,3,chinese:SSB0246,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0246/chinese_SSB0246_01.wav,3,3,66,mean,1,1,1,11,0.6875,0.277778,4.0137,0.9830,17.90
voicemark,3,chinese:SSB0246,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0246/chinese_SSB0246_02.wav,3,5,67,mean,1,1,1,12,0.7500,0.277778,4.3472,0.9763,16.25
voicemark,3,chinese:SSB0246,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0246/chinese_SSB0246_03.wav,3,3,68,mean,1,1,1,10,0.6250,0.444444,4.1350,0.9664,17.27
voicemark,3,chinese:SSB0261,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0261/chinese_SSB0261_01.wav,3,3,69,mean,1,1,1,13,0.8125,0.388889,3.7957,0.9669,13.73
voicemark,3,chinese:SSB0261,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0261/chinese_SSB0261_02.wav,3,3,70,mean,1,1,1,10,0.6250,0.222222,4.3002,0.9754,13.98
