model,K,spk,local_t,clip_index,source_path,source_exact_count,source_payload_attempts,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
wavmark,2,chinese:SSB0005,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,2,2,0,mean,1,1,1,14,0.8750,0.375000,4.5519,0.9975,45.38
wavmark,2,chinese:SSB0005,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,2,2,1,mean,1,1,1,11,0.6875,0.375000,4.5940,0.9995,44.53
wavmark,2,chinese:SSB0005,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,2,2,2,mean,1,1,1,14,0.8750,0.750000,4.5959,0.9993,46.72
wavmark,2,chinese:SSB0009,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_01.wav,2,2,3,mean,1,1,1,15,0.9375,0.812500,4.6023,1.0000,48.11
wavmark,2,chinese:SSB0009,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_02.wav,2,2,4,mean,1,1,1,12,0.7500,0.437500,4.5600,0.9999,44.60
wavmark,2,chinese:SSB0009,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_03.wav,2,2,5,mean,1,1,1,12,0.7500,0.500000,4.6075,0.9999,45.31
wavmark,2,chinese:SSB0011,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_01.wav,2,2,6,mean,1,1,1,13,0.8125,0.500000,4.5268,0.9997,44.31
wavmark,2,chinese:SSB0011,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_02.wav,2,2,7,mean,1,1,1,12,0.7500,0.375000,4.5693,0.9994,43.16
wavmark,2,chinese:SSB0011,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_03.wav,2,2,8,mean,1,1,1,12,0.7500,0.437500,4.5267,0.9996,43.91
wavmark,2,chinese:SSB0012,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_01.wav,2,2,9,mean,1,1,1,13,0.8125,0.500000,4.5633,0.9998,44.73
wavmark,2,chinese:SSB0012,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_02.wav,2,2,10,mean,1,1,1,14,0.8750,0.437500,4.6055,0.9999,43.96
wavmark,2,chinese:SSB0012,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_03.wav,2,2,11,mean,1,1,1,14,0.8750,0.687500,4.5970,0.9999,46.68
wavmark,2,chinese:SSB0016,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_01.wav,2,2,12,mean,0,0,0,16,1.0000,0.687500,4.5226,0.9992,42.35
wavmark,2,chinese:SSB0016,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_02.wav,2,2,13,mean,1,1,1,13,0.8125,0.437500,4.4739,0.9985,39.70
wavmark,2,chinese:SSB0016,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_03.wav,2,2,14,mean,1,1,1,15,0.9375,0.812500,4.5573,0.9989,44.57
wavmark,2,chinese:SSB0018,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_01.wav,2,2,15,mean,1,1,1,11,0.6875,0.375000,4.5753,0.9996,45.34
wavmark,2,chinese:SSB0018,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_02.wav,2,2,16,mean,1,1,1,13,0.8125,0.312500,4.5298,0.9996,44.05
wavmark,2,chinese:SSB0018,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_03.wav,2,2,17,mean,1,1,1,14,0.8750,0.625000,4.6043,0.9998,46.25
wavmark,2,chinese:SSB0033,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_01.wav,2,2,18,mean,1,1,1,13,0.8125,0.375000,4.5227,0.9997,44.92
wavmark,2,chinese:SSB0033,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_02.wav,2,2,19,mean,1,1,1,15,0.9375,0.500000,4.5317,0.9981,45.88
wavmark,2,chinese:SSB0033,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_03.wav,2,2,20,mean,1,1,1,14,0.8750,0.437500,4.5341,0.9993,44.80
wavmark,2,chinese:SSB0038,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_01.wav,2,2,21,mean,1,1,1,12,0.7500,0.375000,4.5659,0.9999,44.26
wavmark,2,chinese:SSB0038,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_02.wav,2,2,22,mean,1,1,1,12,0.7500,0.375000,4.5537,0.9999,44.41
wavmark,2,chinese:SSB0038,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_03.wav,2,2,23,mean,1,1,1,13,0.8125,0.562500,4.5562,0.9999,45.43
wavmark,2,chinese:SSB0043,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_01.wav,2,2,24,mean,1,1,1,13,0.8125,0.562500,4.5744,0.9993,44.69
wavmark,2,chinese:SSB0043,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_02.wav,2,2,25,mean,1,1,1,12,0.7500,0.437500,4.5206,0.9991,43.17
wavmark,2,chinese:SSB0043,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_03.wav,2,2,26,mean,1,1,1,12,0.7500,0.375000,4.5769,0.9990,43.19
wavmark,2,chinese:SSB0057,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_01.wav,2,2,27,mean,1,1,1,12,0.7500,0.437500,4.5653,0.9977,44.90
wavmark,2,chinese:SSB0057,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_02.wav,2,2,28,mean,1,1,1,13,0.8125,0.562500,4.5470,0.9997,48.12
wavmark,2,chinese:SSB0057,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_03.wav,2,2,29,mean,1,0,0,15,0.9375,0.625000,4.5767,0.9994,46.47
wavmark,2,chinese:SSB0073,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_01.wav,2,2,30,mean,1,1,1,13,0.8125,0.562500,4.3725,0.9999,45.42
wavmark,2,chinese:SSB0073,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_02.wav,2,2,31,mean,1,1,1,15,0.9375,0.750000,4.5605,0.9999,48.06
wavmark,2,chinese:SSB0073,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_03.wav,2,2,32,mean,1,1,1,14,0.8750,0.375000,4.5559,0.9995,45.48
wavmark,2,chinese:SSB0080,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_01.wav,2,2,33,mean,1,1,1,12,0.7500,0.437500,4.5940,0.9976,45.16
wavmark,2,chinese:SSB0080,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_02.wav,2,2,34,mean,1,1,1,12,0.7500,0.375000,4.5422,0.9941,44.27
wavmark,2,chinese:SSB0080,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_03.wav,2,2,35,mean,1,1,1,12,0.7500,0.500000,4.5141,0.9973,45.17
wavmark,2,chinese:SSB0112,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0112/chinese_SSB0112_01.wav,2,2,36,mean,1,0,0,15,0.9375,0.687500,4.5849,0.9994,42.00
wavmark,2,chinese:SSB0112,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0112/chinese_SSB0112_02.wav,2,2,37,mean,1,1,1,14,0.8750,0.562500,4.5539,0.9998,41.45
wavmark,2,chinese:SSB0112,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0112/chinese_SSB0112_03.wav,2,2,38,mean,1,1,1,13,0.8125,0.562500,4.5748,0.9995,41.13
wavmark,2,chinese:SSB0122,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0122/chinese_SSB0122_01.wav,2,2,39,mean,1,1,1,14,0.8750,0.562500,4.5228,0.9999,45.23
wavmark,2,chinese:SSB0122,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0122/chinese_SSB0122_02.wav,2,2,40,mean,1,1,1,14,0.8750,0.687500,4.5693,0.9999,47.22
wavmark,2,chinese:SSB0122,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0122/chinese_SSB0122_03.wav,2,2,41,mean,1,1,1,13,0.8125,0.375000,4.5444,0.9999,44.22
