model,K,spk,local_t,clip_index,source_path,source_exact_count,source_payload_attempts,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
wmcodec,2,chinese:SSB0005,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,2,4,0,mean,1,1,1,11,0.6875,0.562500,4.4439,0.9904,19.27
wmcodec,2,chinese:SSB0005,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,2,3,1,mean,1,1,1,13,0.8125,0.500000,4.4642,0.9880,17.65
wmcodec,2,chinese:SSB0005,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,2,2,2,mean,1,1,1,12,0.7500,0.750000,4.5154,0.9900,18.03
wmcodec,2,chinese:SSB0009,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_01.wav,2,5,3,mean,1,1,1,11,0.6875,0.250000,4.3703,0.9902,16.36
wmcodec,2,chinese:SSB0009,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_02.wav,2,2,4,mean,1,1,1,11,0.6875,0.437500,4.2936,0.9909,15.43
wmcodec,2,chinese:SSB0009,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_03.wav,2,6,5,mean,1,1,1,7,0.4375,0.500000,4.3140,0.9894,15.18
wmcodec,2,chinese:SSB0011,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_01.wav,2,5,6,mean,1,1,1,14,0.8750,0.562500,4.4001,0.9880,18.35
wmcodec,2,chinese:SSB0011,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_02.wav,2,4,7,mean,1,1,1,9,0.5625,0.562500,4.4694,0.9909,18.57
wmcodec,2,chinese:SSB0011,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_03.wav,2,4,8,mean,1,1,1,9,0.5625,0.437500,4.3540,0.9868,18.74
wmcodec,2,chinese:SSB0012,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_01.wav,2,2,9,mean,1,1,1,10,0.6250,0.500000,4.4871,0.9896,15.42
wmcodec,2,chinese:SSB0012,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_02.wav,2,3,10,mean,1,1,1,11,0.6875,0.625000,4.4529,0.9873,15.36
wmcodec,2,chinese:SSB0012,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_03.wav,2,4,11,mean,1,1,1,12,0.7500,0.625000,4.3515,0.9908,15.56
wmcodec,2,chinese:SSB0016,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_01.wav,2,4,12,mean,1,1,1,14,0.8750,0.562500,4.4652,0.9890,17.61
