model,k,trial_id,speaker,clip_index,source_path,coalition_payloads,coalition_member_index,base_payload,flipped_payload,flipped_bit,pair_attempts,sample_count,waveform_mse,mel_distance,band_energy_0_1k,band_energy_1_2k,band_energy_2_4k,band_energy_4_8k,band_fraction_0_1k,band_fraction_1_2k,band_fraction_2_4k,band_fraction_4_8k,base_decoded_payload,flipped_decoded_payload,base_payload_correct,flipped_payload_correct,base_changed_bit_correct,flipped_changed_bit_correct,decoded_bit_changes,base_changed_bit_score,flipped_changed_bit_score,changed_bit_score_change,unchanged_bit_score_change,base_bit_scores,flipped_bit_scores
audioseal,5,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[38853,41735,47835,55549,61557]",3,55549,22781,15,,160000,2.4501890910593944e-07,0.010149297304451466,1.2911863948857739e-08,2.3210013698279323e-07,6.6417733727403286e-12,2.6640091573335877e-13,0.05269741831751852,0.9472743872287812,2.71071869390644e-05,1.0872667611877023e-06,55549,22781,1,1,1,1,1,0.565866231918335,-0.43462955951690674,1.0004957914352417,0.015288273493448893,"[0.565750002861023,-0.5293513536453247,0.6049529314041138,0.5722960233688354,0.4393150806427002,0.3943929672241211,0.5322122573852539,0.4649972915649414,-0.4103619456291199,-0.5350135564804077,-0.5518907904624939,0.554581880569458,0.6068806648254395,-0.5583477020263672,0.6211084127426147,0.565866231918335]","[0.5552281141281128,-0.5240023136138916,0.5913994312286377,0.593738317489624,0.46404945850372314,0.46745288372039795,0.5122997760772705,0.4601997137069702,-0.41843360662460327,-0.547160804271698,-0.550251841545105,0.5573421716690063,0.6165328025817871,-0.5755399465560913,0.6255989074707031,-0.43462955951690674]"
audioseal,5,1,chinese:SSB0005,2,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,"[16742,19795,32120,44331,47761]",0,16742,16750,3,,160000,7.472072741161701e-07,0.02097686007618904,3.8908134978143665e-08,7.082844796573015e-07,1.4079130632639352e-11,5.803500922271685e-13,0.0520714081968299,0.9479089727747789,1.8842336150023127e-05,7.766922410031839e-07,16742,16750,1,1,1,1,1,-0.4718480110168457,0.6567468643188477,1.1285948753356934,0.017829859256744386,"[-0.5684258937835693,0.5103201866149902,0.5290061235427856,-0.4718480110168457,-0.588397741317749,0.4627174139022827,0.598851203918457,-0.5401196479797363,0.44675683975219727,-0.5077041387557983,-0.5233502388000488,-0.45323067903518677,-0.4030178189277649,-0.6330713033676147,0.6438890695571899,-0.49943453073501587]","[-0.5551199913024902,0.5116602182388306,0.5624436140060425,0.6567468643188477,-0.6339558362960815,0.4529017210006714,0.5559078454971313,-0.5428318977355957,0.4966247081756592,-0.5312033295631409,-0.5328618288040161,-0.46280086040496826,-0.4075855612754822,-0.6244186162948608,0.6362909078598022,-0.5045021772384644]"
audioseal,5,2,chinese:SSB0005,3,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,"[9931,36736,41249,60563,63672]",3,60563,27795,15,,160000,2.5194236307301743e-07,0.011827239766716957,1.6539753777388964e-08,2.3539460782034561e-07,7.663192821069087e-12,3.3828246172682004e-13,0.06564895865724434,0.9343192821928245,3.041645211070818e-05,1.3426978202501803e-06,60563,27795,1,1,1,1,1,0.5404471158981323,-0.5309630632400513,1.0714101791381836,0.010444355010986329,"[0.5143474340438843,0.5427771806716919,-0.5935872793197632,-0.5193049907684326,0.556115984916687,-0.6394376158714294,-0.5618278384208679,0.47797608375549316,-0.420249879360199,-0.4591515064239502,0.5166826248168945,0.5203084945678711,-0.43204522132873535,0.45351266860961914,0.628892183303833,0.5404471158981323]","[0.5107192993164062,0.5389690399169922,-0.5862884521484375,-0.557347297668457,0.5461456775665283,-0.6272827386856079,-0.5805292129516602,0.475466251373291,-0.4358330965042114,-0.4668429493904114,0.5119175910949707,0.5205937623977661,-0.4408682584762573,0.46703505516052246,0.6387733221054077,-0.5309630632400513]"
audioseal,5,3,chinese:SSB0009,1,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_01.wav,"[11900,27011,35193,48537,55914]",2,35193,43385,13,,160000,3.1552083089326665e-07,0.014273234643042088,6.269742608941036e-08,2.52816000494502e-07,7.126395115356944e-12,2.7791423895958356e-13,0.19871089307133397,0.8012656399856648,2.2586131936777377e-05,8.808110645905198e-07,35193,43385,1,1,1,1,1,-0.5384129285812378,0.5283682346343994,1.0667811632156372,0.015263473987579346,"[0.6002298593521118,-0.5057696104049683,-0.573430061340332,0.545418381690979,0.444868803024292,0.3668687343597412,0.5227876901626587,-0.5384827256202698,0.5708885192871094,-0.5161440372467041,-0.5914837718009949,0.5641463994979858,-0.4481614828109741,-0.5384129285812378,-0.46371012926101685,0.5767173767089844]","[0.6067138910293579,-0.48587775230407715,-0.5673942565917969,0.5866237878799438,0.48931801319122314,0.3788028955459595,0.510676383972168,-0.5366296768188477,0.5786901712417603,-0.5027244091033936,-0.5861913561820984,0.550546407699585,-0.4520498514175415,0.5283682346343994,-0.429229199886322,0.5832216739654541]"
audioseal,5,4,chinese:SSB0009,2,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_02.wav,"[1693,21034,30376,50638,53834]",0,1693,1949,8,,160000,3.278273900848258e-07,0.013781331479549408,7.748759922092988e-09,3.2006840727772614e-07,9.811630912061924e-12,4.112540946077774e-13,0.02363670686603699,0.9763321093911891,2.992925914312148e-05,1.2544836308563625e-06,1693,1949,1,1,1,1,1,-0.4021567702293396,0.5710957050323486,0.9732524752616882,0.017476745446523032,"[0.5503880977630615,-0.459108829498291,0.5742192268371582,0.593920111656189,0.5653990507125854,-0.5822681784629822,-0.6323210000991821,0.4877818822860718,-0.4021567702293396,0.5990452766418457,0.4903693199157715,-0.46744072437286377,-0.4226471185684204,-0.5709558725357056,-0.45208245515823364,-0.47571754455566406]","[0.582547664642334,-0.45676517486572266,0.5916317701339722,0.6023684740066528,0.5484158992767334,-0.6492499709129333,-0.6410468816757202,0.48204684257507324,0.5710957050323486,0.5995539426803589,0.47349655628204346,-0.4800933599472046,-0.43006694316864014,-0.5352738499641418,-0.4711986184120178,-0.46460843086242676]"
audioseal,5,5,chinese:SSB0009,3,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_03.wav,"[12711,38031,39994,42017,51263]",4,51263,51231,5,,160000,4.853054539957563e-07,0.012585149146616459,3.159490326342722e-08,4.5370262809283105e-07,7.601603247599892e-12,3.210362503692149e-13,0.06510312835615381,0.9348805465862299,1.566354382587747e-05,6.61513790389057e-07,51263,51231,1,1,1,1,1,0.3605935573577881,-0.6739810109138489,1.034574568271637,0.022849496205647787,"[0.5368658304214478,0.5232065916061401,0.5707859992980957,0.5985726118087769,0.4975179433822632,0.3605935573577881,-0.5923912525177002,-0.5392371416091919,-0.41613292694091797,-0.5013048648834229,-0.5557724237442017,0.5483548641204834,-0.4372536540031433,-0.5436422228813171,0.6316776275634766,0.5346378087997437]","[0.558379054069519,0.5339949131011963,0.5782877206802368,0.6244320869445801,0.5672554969787598,-0.6739810109138489,-0.6070175170898438,-0.5385928153991699,-0.39056193828582764,-0.5179767608642578,-0.5739186406135559,0.5503642559051514,-0.4490811228752136,-0.46278834342956543,0.6211192607879639,0.5610711574554443]"
audioseal,5,6,chinese:SSB0011,1,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_01.wav,"[14360,26078,35446,45165,53359]",4,53359,53295,6,,160000,9.561648899083514e-08,0.01366695761680603,1.6344419574570706e-09,9.397794250388963e-08,3.959353475926627e-12,1.451760125065958e-13,0.017093724886862685,0.9828633481082685,4.140868920951628e-05,1.5183156591381529e-06,53359,53295,1,1,1,1,1,0.5571599006652832,-0.5906468629837036,1.1478067636489868,0.009574055671691895,"[0.5400497913360596,0.5199875831604004,0.5667142868041992,0.6548421382904053,-0.6280533075332642,0.4466201066970825,0.5571599006652832,-0.5355013608932495,-0.4444929361343384,-0.5244641304016113,-0.5634708404541016,-0.47642993927001953,0.6207839250564575,-0.6494793891906738,0.6356396675109863,0.5255873203277588]","[0.5307883024215698,0.5132770538330078,0.5559388399124146,0.6460354328155518,-0.6231839060783386,0.42760932445526123,-0.5906468629837036,-0.5308514833450317,-0.4366028904914856,-0.5155118703842163,-0.5550856590270996,-0.4647219181060791,0.6235936880111694,-0.6127574443817139,0.6375235319137573,0.5244117975234985]"
audioseal,5,7,chinese:SSB0011,2,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_02.wav,"[24814,34257,45141,51717,62240]",0,24814,25838,10,,160000,1.2535461182623783e-07,0.01781238056719303,3.7273788842284526e-09,1.216229943644811e-07,4.0491937360766824e-12,1.893837922238694e-13,0.029734676929120202,0.9702315103737118,3.2301912766396925e-05,1.5107844016651464e-06,24814,25838,1,1,1,1,1,-0.5494466423988342,0.5335264205932617,1.082973062992096,0.01528472105662028,"[-0.5643506050109863,0.5088729858398438,0.5815044641494751,0.658155083656311,-0.6366610527038574,0.5187252759933472,0.5606342554092407,0.4715503454208374,-0.4530588984489441,-0.5374718904495239,-0.5494466423988342,-0.5058929324150085,-0.43575918674468994,0.4086400270462036,0.6690560579299927,-0.5474207997322083]","[-0.6041731834411621,0.5234582424163818,0.5706205368041992,0.6507742404937744,-0.6548317670822144,0.5439146757125854,0.5801901817321777,0.4854741096496582,-0.4483835697174072,-0.541362464427948,0.5335264205932617,-0.5239076614379883,-0.4481808543205261,0.40123093128204346,0.6784355640411377,-0.571388304233551]"
audioseal,5,8,chinese:SSB0011,3,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_03.wav,"[6947,18578,38432,39064,53545]",2,38432,38440,3,,160000,1.7013209345551798e-07,0.022006232291460037,1.1409012136878754e-08,1.587165439604743e-07,6.27017604528555e-12,2.671821195961362e-13,0.06705972932650539,0.93290184548262,3.6854751610547384e-05,1.570439263806464e-06,38432,38440,1,1,1,1,1,-0.4863528609275818,0.6208688020706177,1.1072216629981995,0.01572928826014201,"[-0.5757405161857605,-0.5076125860214233,-0.5964486598968506,-0.4863528609275818,-0.618553102016449,0.6001174449920654,-0.560649037361145,-0.5379725098609924,-0.5186853408813477,0.5853626728057861,0.5279529094696045,-0.45874035358428955,0.6010841131210327,-0.6603093147277832,-0.49992263317108154,0.5635629892349243]","[-0.5746827125549316,-0.5178719162940979,-0.6069741249084473,0.6208688020706177,-0.6314243078231812,0.5808432102203369,-0.6045434474945068,-0.532389760017395,-0.49413418769836426,0.5786991119384766,0.517570972442627,-0.4714246988296509,0.5999859571456909,-0.6314195394515991,-0.499159038066864,0.5161213874816895]"
audioseal,5,9,chinese:SSB0012,1,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_01.wav,"[29059,38402,45705,53545,62414]",2,45705,45961,8,,160000,2.628749226350952e-07,0.013324306346476078,6.957308175466631e-09,2.5590879657620734e-07,8.445408350461135e-12,3.724750707681056e-13,0.026466230044789346,0.9735002259285199,3.212709780683214e-05,1.41692888402729e-06,45705,45961,1,1,1,1,1,-0.40726715326309204,0.5935463905334473,1.0008135437965393,0.012259260813395182,"[0.6009172201156616,-0.5234034657478333,-0.5353397727012634,0.6001852750778198,-0.5745887756347656,-0.6128115057945251,-0.6342253684997559,0.4808635711669922,-0.40726715326309204,0.5966546535491943,-0.5834759473800659,-0.4460211992263794,0.5870938301086426,0.5295040607452393,-0.502587080001831,0.5683645009994507]","[0.6340910196304321,-0.5202187299728394,-0.5503033995628357,0.5921721458435059,-0.5661962032318115,-0.6459702253341675,-0.6481534242630005,0.4807302951812744,0.5935463905334473,0.6043856143951416,-0.589673638343811,-0.44606029987335205,0.5683634281158447,0.5535004138946533,-0.5058356523513794,0.5593665838241577]"
