model,k,trial_id,speaker,clip_index,source_path,coalition_payloads,coalition_member_index,base_payload,flipped_payload,flipped_bit,pair_attempts,sample_count,waveform_mse,mel_distance,band_energy_0_1k,band_energy_1_2k,band_energy_2_4k,band_energy_4_8k,band_fraction_0_1k,band_fraction_1_2k,band_fraction_2_4k,band_fraction_4_8k,base_decoded_payload,flipped_decoded_payload,base_payload_correct,flipped_payload_correct,base_changed_bit_correct,flipped_changed_bit_correct,decoded_bit_changes,base_changed_bit_score,flipped_changed_bit_score,changed_bit_score_change,unchanged_bit_score_change,base_bit_scores,flipped_bit_scores
voicemark,5,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[38853,41735,47835,49618,61557]",3,49618,16850,15,2,160000,0.00011419358652276527,0.0934971421957016,2.5091694219720786e-05,3.123053462449102e-05,2.923172691283574e-05,2.8639630765717765e-05,0.2197294522728611,0.2734876412543974,0.2559839637492093,0.25079894272353254,49618,16850,1,1,1,1,1,0.9981991052627563,-0.976399252191186,1.9745983574539423,0.05441060522201345,"[-0.9999793370589032,0.9999845027923584,-0.9999784339415783,-0.9999788873938087,0.9999313354492188,-0.9999846335831535,0.9999312162399292,0.999931812286377,0.9999456405639648,-0.9999299425107893,-0.9999669562384952,-0.9999525852072111,-0.9996338698838372,-0.9981754724867642,0.9985190629959106,0.9981991052627563]","[-0.9999844213434699,0.9999921321868896,-0.9999881174662733,-0.9999853446361158,0.9999184608459473,-0.9999884612361711,0.9999139308929443,0.9999136924743652,0.9991698265075684,-0.9991398680140264,-0.9999910447322691,-0.9999334640669986,-0.581855297088623,-0.976381553336978,0.6236225366592407,-0.976399252191186]"
voicemark,5,1,chinese:SSB0005,2,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,"[16742,19795,32120,44331,47761]",0,16742,16750,3,1,160000,0.00015120964387156213,0.09214312583208084,3.176898644030978e-05,0.00010000766639803255,1.800991101841543e-05,1.4230800148043583e-06,0.21009894360504175,0.6613841805154923,0.11910557129354193,0.009411304585923938,16742,16750,1,1,1,1,1,-0.9999816178424226,0.9999910593032837,1.9999726771457063,0.0010333010467093117,"[-0.999988576350006,0.9999864101409912,0.9999775886535645,-0.9999816178424226,-0.9999758478479635,0.9999831914901733,0.9999480247497559,-0.9999908118115854,0.9999855756759644,-0.9999832367175259,-0.9999891316329013,-0.9999863784014451,-0.9847163837403059,-0.9999075151208672,0.9999336004257202,-0.9999187925568549]","[-0.9999900557440924,0.9999860525131226,0.9999957084655762,0.9999910593032837,-0.9999829360458534,0.9999927282333374,0.999982476234436,-0.9999904099795458,0.9999959468841553,-0.9999960211821417,-0.9999979788876772,-0.9999979326737503,-0.9994307479937561,-0.9997191772272345,0.9996529817581177,-0.999717589962529]"
voicemark,5,2,chinese:SSB0005,3,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,"[9931,36736,41249,60563,63672]",3,60563,27795,15,1,160000,7.703265488831849e-05,0.07011698186397552,1.4466209867156283e-05,3.055091897402074e-05,2.3803649779348287e-05,8.211876267793177e-06,0.1877932142950196,0.39659698887846057,0.30900726210019225,0.10660253472632755,60563,27795,1,1,1,1,1,0.9999115467071533,-0.999802988502779,1.9997145352099324,0.003140356844831634,"[0.9999920129776001,0.9999798536300659,-0.9999819559707248,-0.9999912664434305,0.999910831451416,-0.999910881924734,-0.9999981244881155,0.999988317489624,-0.9999141853841138,-0.9998911806760589,0.9999171495437622,0.9999097585678101,-0.9997638410422951,0.9997638463973999,0.999811053276062,0.9999115467071533]","[0.9997483491897583,0.9981236457824707,-0.9981711715226993,-0.9996779795619659,0.9958302974700928,-0.9959931313060224,-0.9995431309798732,0.9992341995239258,-0.9916461147367954,-0.9948334582149982,0.9939775466918945,0.987199068069458,-0.9997709036542801,0.9989548921585083,0.9989291429519653,-0.999802988502779]"
voicemark,5,3,chinese:SSB0009,1,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_01.wav,"[11900,27011,33400,48537,55914]",2,33400,41592,13,2,160000,0.00010706783542717466,0.06011227145791054,1.9526667801375066e-05,3.967451702244213e-05,3.72282627199348e-05,1.063838788342268e-05,0.18237660006358028,0.3705549557824761,0.347707250934915,0.09936119321902881,33400,41592,1,1,1,1,1,-0.9999944750884424,0.9998403787612915,1.999834853849734,0.00015336816997357043,"[-0.9999851303373362,-0.9999858010514799,-0.9999848874012969,0.9999934434890747,0.9999864101409912,0.9999920129776001,0.9999938011169434,-0.9999853021754461,-0.9999345727192122,0.9999457597732544,-0.9999499864061363,-0.999969467666233,-0.9999976043211518,-0.9999944750884424,-0.9999812529295014,0.999981164932251]","[-0.9999684333597543,-0.9999938218320494,-0.9999936376552796,0.9999843835830688,0.9999985694885254,0.9999992847442627,0.9999995231628418,-0.9999984096100434,-0.9991713674971834,0.9999969005584717,-0.9999971828899561,-0.9991720161633566,-0.9998439545015572,0.9998403787612915,-0.9997777721728198,0.9997775554656982]"
voicemark,5,4,chinese:SSB0009,2,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_02.wav,"[1693,21034,30376,50638,53834]",0,1693,1949,8,1,160000,0.0001340317591349482,0.05532620847225189,3.54870557288635e-05,5.4419304940939736e-05,2.79238670702876e-05,1.6201531394857357e-05,0.26476602230620433,0.40601798627553887,0.20833768989163828,0.12087830152661837,1693,1949,1,1,1,1,1,-0.9999878425605857,0.9999581575393677,1.9999460000999534,0.00022856500166502277,"[0.9998824596405029,-0.9999232982372632,0.9998884201049805,0.9999423027038574,0.9997596740722656,-0.9997515565773938,-0.9999867751275815,0.999981164932251,-0.9999878425605857,0.9996559619903564,0.9996457099914551,-0.9999605008888466,-0.9998415280279005,-0.9999971113463744,-0.9999873990718697,-0.9998503944807453]","[0.9993294477462769,-0.999093719467055,0.9997066259384155,0.9995238780975342,0.9999964237213135,-0.9998189731122693,-0.9998208542529028,0.9999481439590454,0.9999581575393677,0.9999451637268066,0.999951958656311,-0.9999073747167131,-0.9999801705635036,-0.9999982190245191,-0.9999805935094628,-0.9999978196869961]"
voicemark,5,5,chinese:SSB0009,3,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_03.wav,"[12711,38031,39994,42017,51263]",4,51263,51231,5,1,160000,0.0004305909447332219,0.06447939574718475,0.00013471374532683238,0.0002179121996610631,7.169939732414988e-05,6.26560242117657e-06,0.3128578224288855,0.5060770606685038,0.16651394601103875,0.014551170891572054,51263,51231,1,1,1,1,1,0.9982335567474365,-0.9999955965563458,1.9982291533037824,0.00024891433168553097,"[0.9999841451644897,0.999991774559021,0.9999926090240479,0.9999898672103882,0.999024510383606,0.9982335567474365,-0.9985630526207387,-0.9991893997066654,-0.9999910547521722,-0.9999826424846106,-0.9999776391450723,0.9999829530715942,-0.9999920038735581,-0.99999521274367,0.9999997615814209,0.9999958276748657]","[0.9998205900192261,0.9998257160186768,0.999830961227417,0.9999880790710449,0.9999951124191284,-0.9999955965563458,-0.9999939626823107,-0.9999938921582725,-0.9999982829682494,-0.999983576753948,-0.9999836855495232,0.9999991655349731,-0.9999922579663689,-0.9999936115705168,1.0,0.9999936819076538]"
voicemark,5,6,chinese:SSB0011,1,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_01.wav,"[14360,26078,35446,45165,44946]",4,44946,45010,6,2,160000,4.22705255479684e-05,0.057964302599430084,1.2483832406084188e-05,2.8248528774851184e-05,1.2386756205883188e-06,2.994887464447177e-07,0.2953318475285478,0.668279573264233,0.029303530167437246,0.007085049039782088,44946,45010,1,1,1,1,1,-0.9999308573824237,0.9948896169662476,1.9948204743486713,0.0007522180287878655,"[-0.9999992031617921,0.9999992847442627,-0.9999992206187471,-0.9999992490327259,0.9999960660934448,-0.9999223412305582,-0.9999308573824237,0.9999781847000122,0.9999879598617554,0.9999746084213257,0.9999860525131226,0.9999808073043823,-0.9997923717892263,0.9997909069061279,-0.9998152786720311,0.9997780323028564]","[-0.9999989591472058,0.9999990463256836,-0.9999990348325127,-0.9999991476876176,0.994937539100647,-0.9998603112471756,0.9948896169662476,0.9948385953903198,0.9999397993087769,0.9998799562454224,0.9999381303787231,0.9998618364334106,-0.9999727691556473,0.9999728202819824,-0.9999745242857898,0.9999691247940063]"
voicemark,5,7,chinese:SSB0011,2,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_02.wav,"[24814,34257,45141,51717,62240]",0,24814,25838,10,1,160000,1.5558268715214145e-05,0.050184883177280426,3.3142861501504433e-06,7.388200082085545e-06,1.9636517803130845e-06,2.8921307026650716e-06,0.21302409739905467,0.47487289346408834,0.12621274360641846,0.1858902655304385,24814,25838,1,1,1,1,1,-0.9975189920514822,0.9984077215194702,1.9959267135709524,0.0010286628332854284,"[-0.999969752789184,0.9999637603759766,0.9999849796295166,0.9999861717224121,-0.9997710805328097,0.9999499320983887,0.9999967813491821,0.9999487400054932,-0.9993438161327504,-0.9914134228602052,-0.9975189920514822,-0.9932527840137482,-0.9999882655911279,0.9999873638153076,0.9999443292617798,-0.999945308030874]","[-0.9999822471545485,0.9999786615371704,0.9999858140945435,0.9999934434890747,-0.9987247528042644,0.9999088048934937,0.9999959468841553,0.9998691082000732,-0.9999346582117141,-0.998455950175412,0.9984077215194702,-0.9997255273046903,-0.9999982960997613,0.9999978542327881,0.9999946355819702,-0.9999948876366034]"
voicemark,5,8,chinese:SSB0011,3,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_03.wav,"[6947,18578,38432,39064,53545]",2,38432,38440,3,1,160000,1.3913069231126136e-05,0.032979268580675125,5.25747735828264e-06,3.3466136119695302e-06,2.456002452658943e-06,2.8529758082150244e-06,0.377880485674626,0.24053740812864857,0.17652484953962613,0.20505725665709937,38432,38440,1,1,1,1,1,-0.9999405648268294,0.999997615814209,1.9999381806410383,0.0017707990473203002,"[-0.9999186994100455,-0.999965059418173,-0.9999915115267868,-0.9999405648268294,-0.9999764705571579,0.9999802112579346,-0.9999896734125286,-0.999774593001348,-0.9995351412799209,0.9845240116119385,0.984542965888977,-0.9942976110614836,0.9999289512634277,-0.9999432933982462,-0.9997230173612479,0.999650239944458]","[-0.9999949017710605,-0.9999984500186656,-0.9999964677160733,0.999997615814209,-0.9999976932003847,0.9999977350234985,-0.99999243557113,-0.9999945615682009,-0.9999625645505148,0.994348406791687,0.994338870048523,-0.9998483774252236,0.999974250793457,-0.9999799729448569,-0.9999523008118558,0.9999264478683472]"
voicemark,5,9,chinese:SSB0012,1,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_01.wav,"[29059,38402,16173,53545,62414]",2,16173,15917,8,3,160000,3.920162982927975e-05,0.033079441636800766,1.1355182049968762e-05,1.5240985372477691e-05,9.266262749002828e-06,3.3391996578304744e-06,0.28966096816432774,0.38878448265674354,0.2363744259959785,0.08518012318295047,16173,15917,1,1,1,1,1,0.999794602394104,-0.9998499446664937,1.9996445470605977,8.748896525503369e-05,"[0.9995694160461426,-0.999622653296683,0.9996688365936279,0.9997894763946533,-0.9999732531341579,0.9999362230300903,-0.9999876748079259,-0.9999476875200344,0.999794602394104,0.9993644952774048,0.9997291564941406,0.9996147155761719,0.9999885559082031,0.9999958276748657,-0.999992332119291,-0.9999992980783645]","[0.999657392501831,-0.9997237178031355,0.9996908903121948,0.9998281002044678,-0.999985736927556,0.9999581575393677,-0.999990998136127,-0.9999616211352986,-0.9998499446664937,0.9998475313186646,0.9999338388442993,0.9999228715896606,0.9999861717224121,0.9999916553497314,-0.9999882527372392,-0.9999948676340864]"
