model,trial_id,base_payload,flipped_payload,weight_count,direct_path,has_other_payload,unique_payload_count,other_payload_count
audioseal,0,55549,22781,20,1,0,2,0
audioseal,1,16742,16750,20,1,0,2,0
audioseal,2,60563,27795,20,1,0,2,0
audioseal,3,35193,43385,20,1,0,2,0
audioseal,4,1693,1949,20,1,0,2,0
audioseal,5,51263,51231,20,1,0,2,0
audioseal,6,53359,53295,20,1,0,2,0
audioseal,7,24814,25838,20,1,0,2,0
audioseal,8,38432,38440,20,1,0,2,0
audioseal,9,45705,45961,20,1,0,2,0
audioseal,10,5958,8006,20,1,0,2,0
audioseal,11,28758,12374,20,1,0,2,0
audioseal,12,24562,32754,20,1,0,2,0
audioseal,13,41827,41763,20,1,0,2,0
audioseal,14,6952,6953,20,1,0,2,0
audioseal,15,61373,59325,20,1,0,2,0
audioseal,16,18186,1802,20,1,0,2,0
audioseal,17,15248,15250,20,1,0,2,0
audioseal,18,10205,10207,20,1,0,2,0
audioseal,19,40333,48525,20,1,0,2,0
audioseal,20,63254,63286,20,0,1,3,1
audioseal,21,32274,30226,20,1,0,2,0
audioseal,22,22968,22712,20,1,0,2,0
audioseal,23,10687,10686,20,1,0,2,0
audioseal,24,9943,9975,20,1,0,2,0
audioseal,25,21302,22326,20,1,0,2,0
audioseal,26,60644,60652,20,1,0,2,0
audioseal,27,50441,34057,20,1,0,2,0
audioseal,28,56603,56347,20,1,0,2,0
audioseal,29,37014,45206,20,1,0,2,0
audioseal,30,34942,34938,20,1,0,2,0
audioseal,31,30025,30041,20,1,0,2,0
audioseal,32,22906,22907,20,1,0,2,0
audioseal,33,62403,64451,20,1,0,2,0
audioseal,34,61801,61805,20,1,0,2,0
audioseal,35,25922,17730,20,1,0,2,0
audioseal,36,24463,20367,20,1,0,2,0
audioseal,37,14583,14551,20,1,0,2,0
audioseal,38,45826,47874,20,1,0,2,0
audioseal,39,23026,24050,20,1,0,2,0
audioseal,40,44096,44098,20,1,0,2,0
audioseal,41,1599,17983,20,1,0,2,0
audioseal,42,35834,35832,20,1,0,2,0
audioseal,43,3291,19675,20,1,0,2,0
audioseal,44,17602,21698,20,1,0,2,0
audioseal,45,8047,8175,20,1,0,2,0
audioseal,46,63270,55078,20,1,0,2,0
audioseal,47,63202,30434,20,1,0,2,0
audioseal,48,36918,36916,20,1,0,2,0
audioseal,49,51745,51761,20,1,0,2,0
audioseal,50,16500,16508,20,1,0,2,0
audioseal,51,52558,56654,20,1,0,2,0
audioseal,52,65394,65362,20,1,0,2,0
audioseal,53,55140,55108,20,1,0,2,0
audioseal,54,13740,13756,20,1,0,2,0
audioseal,55,56034,56002,20,1,0,2,0
audioseal,56,5083,7131,20,1,0,2,0
audioseal,57,26286,26284,20,1,0,2,0
audioseal,58,63374,63390,20,1,0,2,0
audioseal,59,41478,41494,20,1,0,2,0
audioseal,60,3712,3776,20,1,0,2,0
audioseal,61,48881,48865,20,1,0,2,0
audioseal,62,23396,23412,20,1,0,2,0
audioseal,63,31513,31641,20,1,0,2,0
audioseal,64,4174,4166,20,1,0,2,0
audioseal,65,64360,65384,20,1,0,2,0
audioseal,66,52711,52707,20,1,0,2,0
audioseal,67,8034,8035,20,1,0,2,0
audioseal,68,63747,63755,20,1,0,2,0
audioseal,69,47092,47094,20,1,0,2,0
audioseal,70,63328,63296,20,1,0,2,0
audioseal,71,55796,53748,20,1,0,2,0
audioseal,72,20988,20984,20,1,0,2,0
audioseal,73,1181,1693,20,1,0,2,0
audioseal,74,26538,26506,20,1,0,2,0
audioseal,75,14533,15557,20,1,0,2,0
audioseal,76,4428,20812,20,1,0,2,0
audioseal,77,16156,14108,20,1,0,2,0
audioseal,78,40395,40387,20,1,0,2,0
audioseal,79,63233,63297,20,1,0,2,0
audioseal,80,146,16530,20,1,0,2,0
audioseal,81,48889,48857,20,1,0,2,0
audioseal,82,63660,59564,20,1,0,2,0
audioseal,83,65086,65070,20,1,0,2,0
audioseal,84,20030,19518,20,1,0,2,0
audioseal,85,13673,13609,20,1,0,2,0
audioseal,86,19301,27493,20,1,0,2,0
audioseal,87,43466,44490,20,1,0,2,0
audioseal,88,2881,2885,20,1,0,2,0
audioseal,89,49227,49355,20,1,0,2,0
audioseal,90,45949,45941,20,1,0,2,0
audioseal,91,64209,56017,20,1,0,2,0
audioseal,92,1301,1365,20,1,0,2,0
audioseal,93,4443,4441,20,1,0,2,0
audioseal,94,3713,1665,20,1,0,2,0
audioseal,95,30768,30776,20,1,0,2,0
audioseal,96,38167,38231,20,1,0,2,0
audioseal,97,63055,63047,20,1,0,2,0
audioseal,98,18395,18387,20,1,0,2,0
audioseal,99,46150,45126,20,1,0,2,0
audioseal,100,29094,28966,20,1,0,2,0
audioseal,101,41768,45864,20,1,0,2,0
audioseal,102,31444,23252,20,1,0,2,0
audioseal,103,6054,6055,20,1,0,2,0
audioseal,104,8241,9265,20,1,0,2,0
audioseal,105,64021,64149,20,1,0,2,0
audioseal,106,40148,40156,20,1,0,2,0
audioseal,107,37142,37654,20,1,0,2,0
audioseal,108,40346,56730,20,1,0,2,0
audioseal,109,2600,2604,20,1,0,2,0
audioseal,110,51773,55869,20,1,0,2,0
audioseal,111,25206,25204,20,1,0,2,0
audioseal,112,27985,26961,20,1,0,2,0
audioseal,113,45154,45155,20,1,0,2,0
audioseal,114,60202,60206,20,1,0,2,0
audioseal,115,38124,38092,20,1,0,2,0
audioseal,116,24768,24772,20,1,0,2,0
audioseal,117,53646,53710,20,1,0,2,0
audioseal,118,64741,64740,20,1,0,2,0
audioseal,119,64425,64417,20,1,0,2,0
audioseal,120,62666,62670,20,1,0,2,0
audioseal,121,59414,59412,20,1,0,2,0
audioseal,122,21060,20996,20,1,0,2,0
audioseal,123,55606,55670,20,1,0,2,0
audioseal,124,65378,65506,20,1,0,2,0
audioseal,125,6048,38816,20,1,0,2,0
audioseal,126,45658,12890,20,1,0,2,0
audioseal,127,15338,14826,20,1,0,2,0
audioseal,128,9327,9319,20,1,0,2,0
audioseal,129,25308,26332,20,1,0,2,0
audioseal,130,59249,59377,20,1,0,2,0
audioseal,131,35148,35149,20,1,0,2,0
audioseal,132,33774,33775,20,1,0,2,0
audioseal,133,56923,54875,20,1,0,2,0
audioseal,134,38810,38794,20,1,0,2,0
audioseal,135,53480,53482,20,1,0,2,0
audioseal,136,5630,5614,20,1,0,2,0
audioseal,137,37925,33829,20,1,0,2,0
audioseal,138,40998,41062,20,1,0,2,0
audioseal,139,15946,15938,20,1,0,2,0
audioseal,140,39215,40239,20,1,0,2,0
audioseal,141,50935,49911,20,1,0,2,0
audioseal,142,6274,6786,20,1,0,2,0
audioseal,143,46916,48964,20,1,0,2,0
audioseal,144,31771,31770,20,1,0,2,0
audioseal,145,34456,42648,20,1,0,2,0
audioseal,146,10600,26984,20,1,0,2,0
audioseal,147,34649,34777,20,1,0,2,0
audioseal,148,35843,44035,20,1,0,2,0
audioseal,149,19530,19562,20,1,0,2,0
audioseal,150,54171,55195,20,1,0,2,0
audioseal,151,31984,31856,20,1,0,2,0
audioseal,152,56873,57001,20,1,0,2,0
audioseal,153,4268,4780,20,1,0,2,0
audioseal,154,6445,6189,20,1,0,2,0
audioseal,155,5724,5716,20,1,0,2,0
audioseal,156,6388,6384,20,1,0,2,0
audioseal,157,5922,5926,20,1,0,2,0
audioseal,158,3923,3955,20,1,0,2,0
audioseal,159,16476,16468,20,1,0,2,0
audioseal,160,22318,22316,20,1,0,2,0
audioseal,161,27348,27332,20,1,0,2,0
audioseal,162,44130,44128,20,1,0,2,0
audioseal,163,25996,25998,20,1,0,2,0
audioseal,164,33587,37683,20,1,0,2,0
audioseal,165,53330,53458,20,1,0,2,0
audioseal,166,31961,31963,20,1,0,2,0
audioseal,167,26854,26855,20,1,0,2,0
audioseal,168,42567,9799,20,1,0,2,0
audioseal,169,48964,48980,20,1,0,2,0
audioseal,170,44316,44318,20,1,0,2,0
audioseal,171,56823,56759,20,1,0,2,0
audioseal,172,56813,54765,20,1,0,2,0
audioseal,173,18443,18507,20,1,0,2,0
audioseal,174,60452,58404,20,1,0,2,0
audioseal,175,54136,53880,20,1,0,2,0
audioseal,176,1216,33984,20,1,0,2,0
audioseal,177,20720,20704,20,1,0,2,0
audioseal,178,28562,20370,20,1,0,2,0
audioseal,179,13142,13138,20,1,0,2,0
audioseal,180,5782,1686,20,1,0,2,0
audioseal,181,20579,20583,20,1,0,2,0
audioseal,182,48250,48186,20,1,0,2,0
audioseal,183,54286,37902,20,1,0,2,0
audioseal,184,51095,50839,20,1,0,2,0
audioseal,185,33574,33590,20,1,0,2,0
audioseal,186,18681,19193,20,1,0,2,0
audioseal,187,34354,34482,20,1,0,2,0
audioseal,188,18342,51110,20,1,0,2,0
audioseal,189,32821,36917,20,1,0,2,0
audioseal,190,13291,13295,20,1,0,2,0
audioseal,191,12925,8829,20,1,0,2,0
audioseal,192,26207,9823,20,1,0,2,0
audioseal,193,3282,36050,20,1,0,2,0
audioseal,194,27137,25089,20,1,0,2,0
audioseal,195,20269,19757,20,1,0,2,0
audioseal,196,44768,36576,20,1,0,2,0
audioseal,197,38466,37442,20,1,0,2,0
audioseal,198,13196,13068,20,1,0,2,0
audioseal,199,11886,11902,20,1,0,2,0
audioseal,200,61934,61935,20,1,0,2,0
audioseal,201,21719,21751,20,1,0,2,0
audioseal,202,63806,63790,20,1,0,2,0
audioseal,203,62139,63163,20,1,0,2,0
audioseal,204,58258,58002,20,1,0,2,0
audioseal,205,62602,62634,20,1,0,2,0
audioseal,206,59431,59943,20,1,0,2,0
audioseal,207,29189,30213,20,1,0,2,0
audioseal,208,24193,20097,20,1,0,2,0
audioseal,209,48508,49020,20,1,0,2,0
audioseal,210,43873,43617,20,1,0,2,0
audioseal,211,26020,17828,20,1,0,2,0
audioseal,212,15931,15419,20,1,0,2,0
audioseal,213,35120,35248,20,1,0,2,0
audioseal,214,32965,49349,20,1,0,2,0
audioseal,215,20068,18020,20,1,0,2,0
audioseal,216,32773,40965,20,1,0,2,0
audioseal,217,12036,12100,20,1,0,2,0
audioseal,218,7703,24087,20,1,0,2,0
audioseal,219,43200,10432,20,1,0,2,0
audioseal,220,58821,58565,20,1,0,2,0
audioseal,221,41672,41676,20,1,0,2,0
audioseal,222,18878,19390,20,1,0,2,0
audioseal,223,43250,43234,20,1,0,2,0
audioseal,224,7629,7373,20,1,0,2,0
audioseal,225,60494,27726,20,1,0,2,0
audioseal,226,25513,27561,20,1,0,2,0
audioseal,227,44947,44946,20,1,0,2,0
audioseal,228,59405,59469,20,1,0,2,0
audioseal,229,19647,20159,20,1,0,2,0
audioseal,230,29299,62067,20,1,0,2,0
audioseal,231,2444,2446,20,1,0,2,0
audioseal,232,44656,44660,20,1,0,2,0
audioseal,233,57255,57271,20,1,0,2,0
audioseal,234,35394,34882,20,1,0,2,0
audioseal,235,9101,9103,20,1,0,2,0
audioseal,236,8697,8689,20,1,0,2,0
audioseal,237,8987,8991,20,1,0,2,0
audioseal,238,42231,42103,20,1,0,2,0
audioseal,239,41259,45355,20,1,0,2,0
audioseal,240,50429,50941,20,1,0,2,0
audioseal,241,27947,28011,20,1,0,2,0
audioseal,242,42010,42011,20,1,0,2,0
audioseal,243,25002,24746,20,1,0,2,0
audioseal,244,57173,57169,20,1,0,2,0
audioseal,245,7953,5905,20,1,0,2,0
audioseal,246,34670,34686,20,1,0,2,0
audioseal,247,24617,8233,20,1,0,2,0
audioseal,248,41595,45691,20,1,0,2,0
audioseal,249,10895,10383,20,1,0,2,0
audioseal,250,2510,6606,20,1,0,2,0
audioseal,251,1740,3788,20,1,0,2,0
audioseal,252,34885,35141,20,1,0,2,0
audioseal,253,11160,11192,20,1,0,2,0
audioseal,254,48560,48432,20,1,0,2,0
audioseal,255,63838,63582,20,1,0,2,0
audioseal,256,34045,34044,20,1,0,2,0
audioseal,257,2734,2798,20,1,0,2,0
audioseal,258,16666,17178,20,1,0,2,0
audioseal,259,22684,22685,20,1,0,2,0
audioseal,260,37162,4394,20,1,0,2,0
audioseal,261,11435,44203,20,1,0,2,0
audioseal,262,63351,59255,20,1,0,2,0
audioseal,263,8138,8170,20,1,0,2,0
audioseal,264,61307,61299,20,1,0,2,0
audioseal,265,62190,53998,20,1,0,2,0
audioseal,266,56215,56247,20,1,0,2,0
audioseal,267,15448,15704,20,1,0,2,0
audioseal,268,51334,51206,20,1,0,2,0
audioseal,269,33329,49713,20,1,0,2,0
audioseal,270,24337,24336,20,1,0,2,0
audioseal,271,25376,8992,20,1,0,2,0
audioseal,272,12424,12680,20,1,0,2,0
audioseal,273,65429,57237,20,1,0,2,0
audioseal,274,4885,4884,20,1,0,2,0
audioseal,275,46300,48348,20,1,0,2,0
audioseal,276,44478,44350,20,1,0,2,0
audioseal,277,43002,10234,20,1,0,2,0
audioseal,278,43715,60099,20,1,0,2,0
audioseal,279,13464,13720,20,1,0,2,0
audioseal,280,33510,742,20,1,0,2,0
audioseal,281,1123,33891,20,1,0,2,0
audioseal,282,19412,3028,20,1,0,2,0
audioseal,283,28083,27827,20,1,0,2,0
audioseal,284,20645,16549,20,1,0,2,0
audioseal,285,23844,22820,20,1,0,2,0
audioseal,286,53175,53174,20,1,0,2,0
audioseal,287,24823,24759,20,1,0,2,0
audioseal,288,52521,60713,20,1,0,2,0
audioseal,289,44383,44381,20,1,0,2,0
audioseal,290,17140,16628,20,1,0,2,0
audioseal,291,1331,5427,20,1,0,2,0
audioseal,292,19836,19964,20,1,0,2,0
audioseal,293,18789,19813,20,1,0,2,0
audioseal,294,44471,44467,20,1,0,2,0
audioseal,295,27427,27395,20,1,0,2,0
audioseal,296,57017,56505,20,1,0,2,0
audioseal,297,51101,50845,20,1,0,2,0
audioseal,298,42789,41765,20,1,0,2,0
audioseal,299,53376,20608,20,1,0,2,0
voicemark,0,49618,16850,20,0,1,4,2
voicemark,1,16742,16750,20,0,1,4,2
voicemark,2,60563,27795,20,0,1,3,1
voicemark,3,33400,41592,20,1,0,2,0
voicemark,4,1693,1949,20,0,1,3,1
voicemark,5,51263,51231,20,0,1,3,1
voicemark,6,44946,45010,20,0,1,3,1
voicemark,7,24814,25838,20,0,1,4,2
