model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
audioseal,2,121,0,0,pgr,1,1,1,15,0.9375,0.812500,4.6217,0.9999,37.70
audioseal,2,121,1,1,pgr,1,1,1,14,0.8750,0.687500,4.6232,0.9999,36.52
audioseal,2,121,2,2,pgr,1,1,1,10,0.6250,0.312500,4.5954,0.9997,32.25
audioseal,2,121,3,3,pgr,1,1,1,12,0.7500,0.375000,4.6168,0.9998,33.51
audioseal,2,121,4,4,pgr,1,1,1,12,0.7500,0.500000,4.6057,0.9998,33.63
audioseal,2,121,5,5,pgr,1,1,1,14,0.8750,0.562500,4.6097,0.9999,36.34
audioseal,2,121,6,6,pgr,1,1,1,12,0.7500,0.562500,4.6029,0.9998,33.84
audioseal,2,121,7,7,pgr,1,1,1,13,0.8125,0.562500,4.6158,0.9999,34.78
audioseal,2,237,0,8,pgr,1,1,1,12,0.7500,0.375000,4.6066,1.0000,42.61
audioseal,2,237,1,9,pgr,1,1,1,13,0.8125,0.437500,4.6152,0.9999,41.46
audioseal,2,237,2,10,pgr,1,1,1,14,0.8750,0.625000,4.6277,1.0000,41.90
audioseal,2,237,3,11,pgr,1,1,1,12,0.7500,0.437500,4.6116,0.9999,39.86
audioseal,2,237,4,12,pgr,1,1,1,13,0.8125,0.562500,4.6315,1.0000,44.10
audioseal,2,237,5,13,pgr,1,1,1,14,0.8750,0.500000,4.6240,0.9999,43.23
audioseal,2,237,6,14,pgr,1,1,1,12,0.7500,0.437500,4.6200,0.9999,40.13
audioseal,2,237,7,15,pgr,1,1,1,13,0.8125,0.437500,4.6241,0.9999,41.99
audioseal,2,260,0,16,pgr,1,1,1,12,0.7500,0.500000,4.6104,0.9995,38.05
audioseal,2,260,1,17,pgr,1,1,1,12,0.7500,0.375000,4.6106,0.9996,38.56
audioseal,2,260,2,18,pgr,1,1,1,14,0.8750,0.500000,4.6254,0.9996,39.42
audioseal,2,260,3,19,pgr,1,1,1,12,0.7500,0.375000,4.6172,0.9995,39.87
audioseal,2,260,4,20,pgr,1,1,1,12,0.7500,0.500000,4.6292,0.9996,38.90
audioseal,2,260,5,21,pgr,1,1,1,12,0.7500,0.500000,4.6144,0.9995,39.21
audioseal,2,260,6,22,pgr,1,1,1,12,0.7500,0.437500,4.6019,0.9994,38.55
audioseal,2,260,7,23,pgr,1,1,1,12,0.7500,0.375000,4.6121,0.9995,37.48
audioseal,2,672,0,24,pgr,1,1,1,14,0.8750,0.687500,4.6060,0.9994,38.36
audioseal,2,672,1,25,pgr,1,1,1,12,0.7500,0.437500,4.6076,0.9991,38.99
audioseal,2,672,2,26,pgr,1,1,1,12,0.7500,0.312500,4.5958,0.9988,36.41
audioseal,2,672,3,27,pgr,1,1,1,11,0.6875,0.375000,4.5903,0.9989,32.59
audioseal,2,672,4,28,pgr,1,1,1,14,0.8750,0.562500,4.6147,0.9994,35.25
audioseal,2,672,5,29,pgr,1,1,1,13,0.8125,0.562500,4.6094,0.9994,40.41
audioseal,2,672,6,30,pgr,1,1,1,11,0.6875,0.312500,4.5987,0.9989,34.53
audioseal,2,672,7,31,pgr,1,1,1,14,0.8750,0.625000,4.6268,0.9996,38.17
audioseal,2,908,0,32,pgr,1,1,1,12,0.7500,0.437500,4.6145,0.9994,37.50
audioseal,2,908,1,33,pgr,1,1,1,14,0.8750,0.437500,4.6265,0.9993,37.75
audioseal,2,908,2,34,pgr,1,1,1,10,0.6250,0.250000,4.6047,0.9987,35.51
audioseal,2,908,3,35,pgr,1,1,1,12,0.7500,0.375000,4.5971,0.9990,36.02
audioseal,2,908,4,36,pgr,1,1,1,14,0.8750,0.562500,4.6233,0.9994,38.35
audioseal,2,908,5,37,pgr,1,1,1,13,0.8125,0.562500,4.6022,0.9992,37.45
audioseal,2,908,6,38,pgr,1,1,1,13,0.8125,0.562500,4.6171,0.9994,37.43
audioseal,2,908,7,39,pgr,1,1,1,13,0.8125,0.500000,4.6108,0.9994,37.52
audioseal,2,1089,0,40,pgr,1,1,1,13,0.8125,0.437500,4.6027,0.9995,35.57
audioseal,2,1089,1,41,pgr,1,1,1,14,0.8750,0.500000,4.6091,0.9995,36.23
audioseal,2,1089,2,42,pgr,1,1,1,14,0.8750,0.562500,4.6156,0.9995,35.23
audioseal,2,1089,3,43,pgr,1,1,1,11,0.6875,0.312500,4.6021,0.9995,34.45
audioseal,2,1089,4,44,pgr,1,1,1,13,0.8125,0.625000,4.6281,0.9997,36.44
audioseal,2,1089,5,45,pgr,1,1,1,13,0.8125,0.375000,4.6001,0.9995,36.10
audioseal,2,1089,6,46,pgr,1,1,1,12,0.7500,0.437500,4.6125,0.9996,35.16
audioseal,2,1089,7,47,pgr,1,1,1,13,0.8125,0.437500,4.6012,0.9996,34.91
audioseal,2,1188,0,48,pgr,1,1,1,13,0.8125,0.562500,4.6116,0.9985,37.48
audioseal,2,1188,1,49,pgr,1,1,1,13,0.8125,0.500000,4.6160,0.9981,32.58
audioseal,2,1188,2,50,pgr,1,1,1,13,0.8125,0.375000,4.6034,0.9983,35.82
audioseal,2,1188,3,51,pgr,1,1,1,13,0.8125,0.437500,4.6015,0.9983,32.51
audioseal,2,1188,4,52,pgr,1,1,1,12,0.7500,0.375000,4.6029,0.9979,33.26
audioseal,2,1188,5,53,pgr,1,1,1,14,0.8750,0.562500,4.6107,0.9985,36.49
audioseal,2,1188,6,54,pgr,1,1,1,12,0.7500,0.375000,4.6027,0.9982,33.05
audioseal,2,1188,7,55,pgr,1,1,1,14,0.8750,0.625000,4.6138,0.9986,33.93
audioseal,2,1221,0,56,pgr,1,0,0,15,0.9375,0.375000,4.6001,0.9995,31.55
audioseal,2,1221,1,57,pgr,1,1,1,12,0.7500,0.375000,4.6008,0.9995,36.18
audioseal,2,1221,2,58,pgr,0,0,0,16,1.0000,0.625000,4.6252,0.9997,38.96
